order_id,decision_id,cycle_id,signal_date,execution_date,side,quantity,order_type,limit_price,status
ORD-A6D0C1B83D6FB7CFE425,DEC-ACB7A4B3430FE24836B2,CYC-153C378564E3CB4C9A78,2021-08-06,2021-08-09,BUY,54600,LIMIT,1.954,FILLED
ORD-BB41D55D4D28496EA263,DEC-C0C806D01DF9B368BA92,CYC-153C378564E3CB4C9A78,2021-08-09,2021-08-10,SELL,54600,MARKET,1.612,FILLED
ORD-FC5FB936A75285EFE079,DEC-1EB21277805B4245B467,CYC-B5F664205F57728F74E7,2021-08-17,2021-08-18,BUY,57000,LIMIT,1.86,FILLED
ORD-4478363587BC7A8240F9,DEC-43E343E6221D1F321D0D,CYC-B5F664205F57728F74E7,2021-08-18,2021-08-19,SELL,57000,MARKET,1.545,FILLED
ORD-F826D72FD06FEAC03174,DEC-DCE6AA495FEAA447077F,CYC-C74F9D52CAFD6DD34155,2021-09-02,2021-09-03,BUY,61400,LIMIT,1.725,FILLED
ORD-B88FF067E1725F59939C,DEC-E2C35C66AEB50AF7B5FB,CYC-C74F9D52CAFD6DD34155,2021-09-06,2021-09-07,SELL,61400,MARKET,1.471,FILLED
ORD-2E881AB7F63F16D9D851,DEC-224B54A9C0ED75622C2C,CYC-D10E47BE635BA6CF2EB6,2021-09-08,2021-09-09,BUY,61800,LIMIT,1.737,FILLED
ORD-C4795CD55BAB5695817E,DEC-5138BD21C117AC1B0CCD,CYC-D10E47BE635BA6CF2EB6,2021-09-09,2021-09-10,SELL,61800,MARKET,1.438,FILLED
ORD-F8FBC138623ADFFACC76,DEC-277A272A1105C62603EC,CYC-CE54D56EE6FFA1DAC64C,2021-11-02,2021-11-03,BUY,61600,LIMIT,1.731,FILLED
ORD-D317E5605C0D5EC17B6D,DEC-7CFFBE74857ED442E634,CYC-CE54D56EE6FFA1DAC64C,2021-11-09,2021-11-10,SELL,61600,MARKET,1.457,FILLED
ORD-4680B516049C17C8CF37,DEC-13D59218DF54C4ED932D,CYC-60FA43E259D2F2D545E6,2021-11-15,2021-11-16,BUY,60600,LIMIT,1.76,FILLED
ORD-9C050980873D6A973BE5,DEC-25637009524701BF362D,CYC-60FA43E259D2F2D545E6,2021-11-17,2021-11-18,SELL,60600,MARKET,1.473,FILLED
ORD-FA466B95889A2BF4FC96,DEC-EA2CF0E625821AEEF1FA,CYC-7F13A4E170EBBD8E4ACA,2021-11-24,2021-11-25,BUY,58900,LIMIT,1.809,FILLED
ORD-29800EDC118CE3B6E2B6,DEC-AC30556DF7FFC5378DED,CYC-7F13A4E170EBBD8E4ACA,2021-11-25,2021-11-26,SELL,58900,MARKET,1.506,FILLED
ORD-61F088B78E0433A7DCD4,DEC-62F6EA720306BED10367,CYC-17618F8017ADDEE8AAFE,2021-12-13,2021-12-14,BUY,59500,LIMIT,1.779,FILLED
ORD-156F7CFEE391625628B0,DEC-116D6F5D37F9CE41234A,CYC-17618F8017ADDEE8AAFE,2021-12-14,2021-12-15,SELL,59500,MARKET,1.48,FILLED
ORD-226AD00742355AC796F8,DEC-43D37C1191BB92AA313C,CYC-C206E8A2465E5C7D3BF5,2022-01-05,2022-01-06,BUY,64500,LIMIT,1.645,FILLED
ORD-CFF29489EF309599F566,DEC-FBDB1133EBAFB90F3E83,CYC-C206E8A2465E5C7D3BF5,2022-01-06,2022-01-07,SELL,64500,MARKET,1.363,FILLED
ORD-ABD399E192F724F85229,DEC-3477F6D3F49D338652E0,CYC-9CBEE965688863A02D81,2022-01-18,2022-01-19,BUY,63800,LIMIT,1.653,FILLED
ORD-108FFA8B35A4593336C3,DEC-4329154B9D8D392F8F95,CYC-9CBEE965688863A02D81,2022-01-19,2022-01-20,SELL,63800,MARKET,1.362,FILLED
ORD-6B2902D933487690047B,DEC-4061D6471CDA2D394ED9,CYC-CCB30A882569366A10D4,2022-01-25,2022-01-26,BUY,66000,LIMIT,1.576,FILLED
ORD-06785A1604A52D5C1758,DEC-A42D153E5C866139D927,CYC-CCB30A882569366A10D4,2022-01-26,2022-01-27,SELL,66000,MARKET,1.311,FILLED
ORD-37240ECA827464A29E4F,DEC-7BA752D0D2625A46C92A,CYC-0D35FB77537A3A10E931,2022-02-24,2022-02-25,BUY,68800,LIMIT,1.497,FILLED
ORD-61ADD3E19B14CFE50708,DEC-DE6307E4DDFB5E90F4F6,CYC-0D35FB77537A3A10E931,2022-02-28,2022-03-01,SELL,68800,MARKET,1.283,FILLED
ORD-B598754921BF140C1C63,DEC-D05EA6F9E5D70B657542,CYC-2601226CE85653F7A5AE,2022-03-03,2022-03-04,BUY,70000,LIMIT,1.491,FILLED
ORD-FADB32F4BECB385244B5,DEC-90201552F4732F97E1C0,CYC-2601226CE85653F7A5AE,2022-03-11,2022-03-14,SELL,70000,MARKET,1.197,FILLED
ORD-970A98A72EAC410DC2C7,DEC-5A2B80F2E71AFF57F5B8,CYC-488745BB9FA0DEB086B0,2022-03-14,2022-03-15,BUY,72200,LIMIT,1.392,FILLED
ORD-0A4B4D41B9D3A04BF522,DEC-1CBBD77337D28D419B9A,CYC-488745BB9FA0DEB086B0,2022-03-18,2022-03-21,SELL,72200,MARKET,1.175,FILLED
ORD-4A1CF00E06E96229210D,DEC-36782DB37090EE380B6F,CYC-F7A0F77B22FC3354638D,2022-03-25,2022-03-28,BUY,74600,LIMIT,1.366,FILLED
ORD-212ADDDB019B281E3EDA,DEC-1EEF29B38F24E2479E1F,CYC-F7A0F77B22FC3354638D,2022-03-28,2022-03-29,SELL,74600,MARKET,1.123,FILLED
ORD-BF512615F016D086B37C,DEC-9945A2A1247DBF8D5D88,CYC-AC689C81B467E1B4B784,2022-03-29,2022-03-30,BUY,76000,LIMIT,1.332,FILLED
ORD-CDBA73F53CF1C8BF2A7A,DEC-EA2E50BD237841DA83BD,CYC-AC689C81B467E1B4B784,2022-03-30,2022-03-31,SELL,76000,MARKET,1.142,FILLED
ORD-B57F7E2A0E427BD29F72,DEC-A30945171729A9A196A1,CYC-831D9BF9F3F019F5FA6C,2022-04-20,2022-04-21,BUY,85300,LIMIT,1.201,FILLED
ORD-09047ED808EC7630414D,DEC-EBF50180256193773737,CYC-831D9BF9F3F019F5FA6C,2022-04-22,2022-04-25,SELL,85300,MARKET,0.971,FILLED
ORD-FD8883248A716DA4DD12,DEC-12FF43A001366D80487F,CYC-BE1B78310F3DB34DF250,2022-04-25,2022-04-26,BUY,90400,LIMIT,1.094,FILLED
ORD-471AFA8646E005E5B545,DEC-B35D318FA28CC45F875B,CYC-BE1B78310F3DB34DF250,2022-04-27,2022-04-28,SELL,90400,MARKET,0.934,FILLED
ORD-DF3807AC4AEDC352AA83,DEC-E3EF88E26049FF6A4D91,CYC-7944A6D46E4F489D7152,2022-04-29,2022-05-05,BUY,85100,LIMIT,1.169,FILLED
ORD-76C97A1A0F56CB9F5A84,DEC-877D091FF3AEEE9EA470,CYC-7944A6D46E4F489D7152,2022-05-06,2022-05-09,SELL,85100,MARKET,0.972,FILLED
ORD-FC3851AF73C8F518CFB6,DEC-96FD2B775531F932A737,CYC-E60AD6FEB9FEDBE017F0,2022-05-11,2022-05-12,BUY,80100,LIMIT,1.233,FILLED
ORD-288360AD62AAAD0D8555,DEC-D5F865AB48EAA2C2C4A2,CYC-E60AD6FEB9FEDBE017F0,2022-05-12,2022-05-13,SELL,80100,MARKET,1.042,FILLED
ORD-157079113FEFF84F5554,DEC-9C6FA3BE901041DF45CF,CYC-CDEBE86B545A5643C635,2022-05-16,2022-05-17,BUY,81900,LIMIT,1.228,FILLED
ORD-086F44AA4248DCB99765,DEC-8A316C3884D8BCF38251,CYC-CDEBE86B545A5643C635,2022-05-17,2022-05-18,SELL,81900,MARKET,1.041,FILLED
ORD-27CAD469D0490D1735CB,DEC-F73F8248AEDCD7F79294,CYC-47B2761B302E741D518E,2022-05-24,2022-05-25,BUY,82700,LIMIT,1.231,FILLED
ORD-801B3E44E361507796A4,DEC-54485E4B230E00C249FD,CYC-47B2761B302E741D518E,2022-05-25,2022-05-26,SELL,82700,MARKET,1.035,FILLED
ORD-88976B165FD2705B41F1,DEC-975EBE8F1DF31486B3C0,CYC-E76CD727B706D60DB263,2022-06-07,2022-06-08,BUY,74600,LIMIT,1.371,FILLED
ORD-A8A46B17B399C37E307F,DEC-C869944C0588F6F7898E,CYC-E76CD727B706D60DB263,2022-06-10,2022-06-13,SELL,74600,MARKET,1.138,FILLED
ORD-1AF945B7646D941BC03C,DEC-7F52282DB7E3087455C9,CYC-B210DCC508190C955992,2022-06-15,2022-06-16,BUY,76300,LIMIT,1.316,FILLED
ORD-326A0B34652102E45459,DEC-9479C91BC8CB76BDB4D9,CYC-B210DCC508190C955992,2022-06-17,2022-06-20,SELL,76300,MARKET,1.128,FILLED
ORD-30CFC4D38981EFE83185,DEC-5DA81F46040736521E94,CYC-B70905E82A5526884FA6,2022-06-22,2022-06-23,BUY,78000,LIMIT,1.314,FILLED
ORD-EE54A8175C53654386E6,DEC-6889941F88D867CA1817,CYC-B70905E82A5526884FA6,2022-06-23,2022-06-24,SELL,78000,MARKET,1.115,FILLED
ORD-99F8E97D094EC8647790,DEC-491B767EE571D983215E,CYC-6AC6E524D0EAEBE1359C,2022-06-27,2022-06-28,BUY,76400,LIMIT,1.362,FILLED
ORD-362C3214E49B744AAFEE,DEC-6E56D2365DC47CE16AF4,CYC-6AC6E524D0EAEBE1359C,2022-06-28,2022-06-29,SELL,76400,MARKET,1.153,FILLED
ORD-DFAE57B466F478C53A7A,DEC-BA277C31F5D867BD287F,CYC-FF41A73C946FEF255D1F,2022-06-29,2022-06-30,BUY,77400,LIMIT,1.348,FILLED
ORD-9A801E7182F953AB49BB,DEC-C0337F6F3FD17FF582EF,CYC-FF41A73C946FEF255D1F,2022-06-30,2022-07-01,SELL,77400,MARKET,1.14,FILLED
ORD-096060ECAD693EFBAB38,DEC-696643BE527A8B8E9DC9,CYC-ACB71E6B7C3B60EA01F3,2022-07-08,2022-07-11,BUY,76900,LIMIT,1.365,FILLED
ORD-D87B4D0D62A324FAB56D,DEC-EC475B68B234F4622C78,CYC-ACB71E6B7C3B60EA01F3,2022-07-11,2022-07-12,SELL,76900,MARKET,1.114,FILLED
ORD-1360B5A212D3E5B85532,DEC-AC990F35E5DF4D7989C0,CYC-31C382490FDA149AF626,2022-09-15,2022-09-16,BUY,83700,LIMIT,1.233,FILLED
ORD-91E51A9E0C30BD00F04D,DEC-A0D3735F9A24832FD84E,CYC-31C382490FDA149AF626,2022-09-19,2022-09-20,SELL,83700,MARKET,1.008,FILLED
ORD-8EDE55A37B2273550B8A,DEC-E3E76E7E1AA8C09867EC,CYC-44E7BA9853566A07F180,2022-09-28,2022-09-29,BUY,86100,LIMIT,1.178,FILLED
ORD-77CC590B9B7937775DBA,DEC-31F9B0236CD351C2B490,CYC-44E7BA9853566A07F180,2022-09-30,2022-10-10,SELL,86100,MARKET,0.967,FILLED
ORD-53450B6CB80349C3826F,DEC-C14D1DF6DF8AB1C3C104,CYC-0954BC4C9DC5ED46CFC9,2022-10-10,2022-10-11,BUY,89700,LIMIT,1.106,FILLED
ORD-AF18870FED8E3E7E9813,DEC-0A33EE94555646936B50,CYC-0954BC4C9DC5ED46CFC9,2022-10-11,2022-10-12,SELL,89700,MARKET,0.918,FILLED
ORD-9EF80D43E1E0F930B65F,DEC-3344BBE26B2B8CBEBCBD,CYC-773C2B5DB4CEF44F1A39,2022-10-14,2022-10-17,BUY,83400,LIMIT,1.181,FILLED
ORD-47F71FE6DFFCBA040739,DEC-B4196E55BF85AB6906A7,CYC-773C2B5DB4CEF44F1A39,2022-10-17,2022-10-18,SELL,83400,MARKET,0.99,FILLED
ORD-55A2C17ABF5715817426,DEC-88A5D48550CBE036AD79,CYC-A74FF23FB42F2942B2D6,2022-10-18,2022-10-19,BUY,84800,LIMIT,1.184,FILLED
ORD-DBF45E26F704AD50CA59,DEC-90499F402B7F85B2DE7B,CYC-A74FF23FB42F2942B2D6,2022-10-20,2022-10-21,SELL,84800,MARKET,0.992,FILLED
ORD-B7558C72CE73E5FD3C2C,DEC-A005AACBBD9A211A9747,CYC-884C4166AA0CF861CCD0,2022-10-25,2022-10-26,BUY,84200,LIMIT,1.199,FILLED
ORD-AE73B552426EC9466A61,DEC-06F37D7672BC1051478E,CYC-884C4166AA0CF861CCD0,2022-11-01,2022-11-02,SELL,84200,MARKET,1.053,FILLED
ORD-44EF40380D0C30D78356,DEC-CF54440E4E383F1D7013,CYC-DFCDAB530E0DB981A0D4,2022-11-11,2022-11-14,BUY,83300,LIMIT,1.263,FILLED
ORD-2D344AF8DFCEE354BBE7,DEC-E656E5D58648AF01A5FD,CYC-DFCDAB530E0DB981A0D4,2022-11-14,2022-11-15,SELL,83300,MARKET,1.054,FILLED
ORD-CFBA4DDAD7EBEB86895C,DEC-3FB2F52B17DCDB3BF390,CYC-CA85AE6341558CF260E1,2022-11-16,2022-11-17,BUY,82400,LIMIT,1.279,FILLED
ORD-24C79032E0E23DFEEDC5,DEC-9D4B70A547CF6835B432,CYC-CA85AE6341558CF260E1,2022-11-17,2022-11-18,SELL,82400,MARKET,1.072,FILLED
ORD-4354AD4682AB5C0E74F6,DEC-E4B097BF5D9A598EC8DC,CYC-375AF2E980AFC8C2AD44,2023-02-16,2023-02-17,BUY,85500,LIMIT,1.235,FILLED
ORD-1D33CF401297BA13C671,DEC-778853F8F593189479C3,CYC-375AF2E980AFC8C2AD44,2023-02-17,2023-02-20,SELL,85500,MARKET,1.011,FILLED
ORD-E20FC7DB297D9A9F873A,DEC-52728510FAEEE9B2963F,CYC-4402062495149092F4BB,2023-03-07,2023-03-08,BUY,85400,LIMIT,1.216,FILLED
ORD-954CD3F119E7FB5E3E1C,DEC-5325824A436FC77BC0AB,CYC-4402062495149092F4BB,2023-03-08,2023-03-09,SELL,85400,MARKET,1.017,FILLED
ORD-BA408469CA0995B2627F,DEC-B62C008A3F00161A1918,CYC-667D279E192507D87C2E,2023-03-24,2023-03-27,BUY,79900,LIMIT,1.302,FILLED
ORD-790BCA3BD5F13385AECD,DEC-1682796574A2300039F8,CYC-667D279E192507D87C2E,2023-03-30,2023-03-31,SELL,79900,MARKET,1.089,FILLED
ORD-F5699951386C3E1AD4DF,DEC-17CFB5C33B77624BC9E3,CYC-A0602D1AAD0FD730C7AA,2023-04-04,2023-04-06,BUY,75500,LIMIT,1.379,FILLED
ORD-F3E0DC46F0574A2910AE,DEC-195821EC239209F88228,CYC-A0602D1AAD0FD730C7AA,2023-04-07,2023-04-10,SELL,75500,MARKET,1.185,FILLED
ORD-B77DCECB91BDDD79EB88,DEC-349E9B322951322A6CC3,CYC-CA002D90D428C7E4FF62,2023-04-10,2023-04-11,BUY,77700,LIMIT,1.38,FILLED
ORD-3F5BDE283CA3A99E9FEE,DEC-BFAE5BF221F1FE22F7A9,CYC-CA002D90D428C7E4FF62,2023-04-12,2023-04-13,SELL,77700,MARKET,1.153,FILLED
ORD-186497B4CA70113F11F2,DEC-0C9CC86B22014644D99A,CYC-0546F7DD8FDBE5FF9AFB,2023-04-13,2023-04-14,BUY,79100,LIMIT,1.348,FILLED
ORD-49B3275CD935EA29C134,DEC-84D2F18771070E7FC1F2,CYC-0546F7DD8FDBE5FF9AFB,2023-04-14,2023-04-17,SELL,79100,MARKET,1.16,FILLED
ORD-E9B6CE21B4CE7492D23B,DEC-1E9028DA29709D4A4E54,CYC-F5137313BB502B4E85DB,2023-04-24,2023-04-25,BUY,81000,LIMIT,1.341,FILLED
ORD-F24703A1CF9ED098DB69,DEC-10B4129C06F710202286,CYC-F5137313BB502B4E85DB,2023-04-27,2023-04-28,SELL,81000,MARKET,1.092,FILLED
ORD-41F470E938906367BCEF,DEC-3E129B4B64B1E54358E1,CYC-891A3CB9949C54C71E46,2023-06-06,2023-06-07,BUY,84300,LIMIT,1.256,FILLED
ORD-6A92B549AB9838FA269B,DEC-DA2D70D1662470A596AC,CYC-891A3CB9949C54C71E46,2023-06-07,2023-06-08,SELL,84300,MARKET,1.045,FILLED
ORD-3B63CD70654A9171B4CD,DEC-C0B9CE2AF3C3F6BC2946,CYC-182E80A21B750BC4BDD8,2023-06-21,2023-06-26,BUY,83800,LIMIT,1.249,FILLED
ORD-FAB66F92FB5E7AE67A97,DEC-630DA498F9C2ACD41302,CYC-182E80A21B750BC4BDD8,2023-06-27,2023-06-28,SELL,83800,MARKET,1.036,FILLED
ORD-7D787349B0C54F6646AE,DEC-3C1006D8667783E08598,CYC-979039542CF182013A0C,2023-07-31,2023-08-01,BUY,87700,LIMIT,1.19,FILLED
ORD-8BC486BB6C9ECEC0633E,DEC-214B7FBFF68E5EDDAD21,CYC-979039542CF182013A0C,2023-08-01,2023-08-02,SELL,87700,MARKET,0.994,FILLED
ORD-97CDD3D38FCCD2A33A81,DEC-5A52F1CDBB7D0293347D,CYC-7EFB6710775B70B2A6A5,2023-08-08,2023-08-09,BUY,87900,LIMIT,1.185,FILLED
ORD-0B77E4F9BEB19E90DAF2,DEC-7E20268AD9FD0B66B012,CYC-7EFB6710775B70B2A6A5,2023-08-09,2023-08-10,SELL,87900,MARKET,0.981,FILLED
ORD-D84A8B118266392A5324,DEC-A3F8BEB77BEBA84D8F00,CYC-C697AC0EEE2540588665,2023-08-11,2023-08-14,BUY,89400,LIMIT,1.153,FILLED
ORD-4052056F94E7D242D84E,DEC-D7964802E575EF002B6A,CYC-C697AC0EEE2540588665,2023-08-14,2023-08-15,SELL,89400,MARKET,0.954,FILLED
ORD-D6A55AD64872D07FEACD,DEC-4686C73FAC44051638EF,CYC-155BD73D80EC5A27FE44,2023-08-28,2023-08-29,BUY,95200,LIMIT,1.082,FILLED
ORD-CDAADBF3900568DDBCFF,DEC-62C6A826FB25713916DA,CYC-155BD73D80EC5A27FE44,2023-08-29,2023-08-30,SELL,95200,MARKET,0.94,FILLED
ORD-8C5BBA32F329A13A92C4,DEC-A24F8232CDF43020B36C,CYC-CF8B47DEF317DC28347B,2023-08-30,2023-08-31,BUY,93100,LIMIT,1.154,FILLED
ORD-6783BC7A5C6D5D65B5B5,DEC-ADA92943402B32EB32B4,CYC-CF8B47DEF317DC28347B,2023-08-31,2023-09-01,SELL,93100,MARKET,0.965,FILLED
ORD-A50232C2048B98D4B3CB,DEC-279AEAB4D55BC650E2CC,CYC-30AD37DEF87CAF655B48,2023-09-05,2023-09-06,BUY,94300,LIMIT,1.143,FILLED
ORD-945BC69A6D67F6D396C8,DEC-EEFD9887ADEBD579D121,CYC-30AD37DEF87CAF655B48,2023-09-06,2023-09-07,SELL,94300,MARKET,0.957,FILLED
ORD-ECEF9793901F477976B5,DEC-C181E915CED91ABBE6A2,CYC-2192ACE3EBFE8264A01E,2023-10-16,2023-10-17,BUY,100500,LIMIT,1.073,FILLED
ORD-ACCDA129D07F20F264FD,DEC-574783DCCC154E116A24,CYC-2192ACE3EBFE8264A01E,2023-10-17,2023-10-18,SELL,100500,MARKET,0.903,FILLED
ORD-659352D8191B98FD0342,DEC-64528030F29BFB653411,CYC-B682E5D2B0D06709CF0A,2023-10-25,2023-10-26,BUY,103900,LIMIT,1.041,FILLED
ORD-BEED0E1D388D813707EF,DEC-4801AFAE24C3E7CFFF76,CYC-B682E5D2B0D06709CF0A,2023-10-26,2023-10-27,SELL,103900,MARKET,0.87,FILLED
ORD-CA471EEE59EA4AD9B5ED,DEC-CCCDB1FDBA45D6ECF419,CYC-06E83D9C30F428FDFA67,2023-11-06,2023-11-07,BUY,99000,LIMIT,1.092,FILLED
ORD-D24AE0949271EA1ED081,DEC-F42999936D4006349426,CYC-06E83D9C30F428FDFA67,2023-11-07,2023-11-08,SELL,99000,MARKET,0.912,FILLED
ORD-C669B09D359E7499F379,DEC-965B5A3182C65F286049,CYC-9153EB78A056D9CFB6A8,2023-11-15,2023-11-16,BUY,97600,LIMIT,1.107,FILLED
ORD-5868097A5F3DA0D3A384,DEC-3477509475771F989653,CYC-9153EB78A056D9CFB6A8,2023-11-16,2023-11-17,SELL,97600,MARKET,0.908,FILLED
ORD-20B89EF82DB665423C32,DEC-F1D22374A872296B7B33,CYC-EDAB50A70FD6A60D1D54,2023-12-05,2023-12-06,BUY,102100,LIMIT,1.039,FILLED
ORD-80C4CC925ABFE8F3F92F,DEC-BFE95EBC6AAE38A63A8C,CYC-EDAB50A70FD6A60D1D54,2023-12-07,2023-12-08,SELL,102100,MARKET,0.87,FILLED
ORD-D477207D0132C38BB769,DEC-B0FFB7B16E5594087325,CYC-B0E44CB517B73DBC5DA8,2024-01-08,2024-01-09,BUY,110600,LIMIT,0.961,FILLED
ORD-6E8229ACE7C5F51EA687,DEC-81311A826E04DCC5A7B0,CYC-B0E44CB517B73DBC5DA8,2024-01-15,2024-01-16,SELL,110600,MARKET,0.792,FILLED
ORD-E38EAB8C3B960BC0D2C2,DEC-41DF15893E5D2343AEEC,CYC-CEE120B437763DF6A99D,2024-01-19,2024-01-22,BUY,111600,LIMIT,0.938,FILLED
