cycle_id,status,entry_date,exit_date,quantity,entry_price,exit_price,net_return,decision_id,entry_signal_date,entry_execution_date,entry_factor_score,entry_regime,entry_order_attempts,overlaps_drawdown_1,overlaps_drawdown_2,overlaps_drawdown_3
CYC-8F9D9FD659A646FD372D,CLOSED,2022-08-18 00:00:00,2022-08-23,90600,1.169,1.14,-0.0257822329211787,DEC-E21221D6C1B0CC6CDF5F,2022-08-17,2022-08-18,0.2632563145606794,range,1,False,False,False
CYC-A88EFC9F89EAE577F3B3,CLOSED,2022-10-18 10:00:00,2022-11-22,104200,0.99,1.061,0.070645990136245,DEC-9F5B7E5A7E80A1F6FB86,2022-10-17,2022-10-18,0.2390715336717556,trend,1,False,False,False
CYC-2B921BB003B4F676271E,CLOSED,2022-12-05 10:00:00,2022-12-08,106200,1.04,1.026,-0.0144475839003574,DEC-44D3A6D029E17970BEF4,2022-12-02,2022-12-05,0.2668738534159479,range,1,False,False,False
CYC-7165796AC88DC8DC306D,CLOSED,2022-12-13 00:00:00,2022-12-16,105500,1.028,1.01,-0.0184917268991963,DEC-9C92041730C44B72D18C,2022-12-12,2022-12-13,0.3234001644685077,range,1,False,False,False
CYC-0B7A2704CE043F949618,CLOSED,2022-12-28 00:00:00,2023-01-12,108300,0.984,0.997,0.0121986770842221,DEC-C320FC436BEB2870AA95,2022-12-27,2022-12-28,0.2668738534159479,range,1,False,False,False
CYC-85365FD95FC0A00AC91B,CLOSED,2023-01-13 10:00:00,2023-02-09,108600,0.996,1.032,0.035108951548322,DEC-C6BA047A5EA96EC405F4,2023-01-12,2023-01-13,0.2632563145606794,range,1,False,False,False
CYC-C8D5E7C0A280B95E411C,CLOSED,2023-02-10 00:00:00,2023-02-20,105300,1.062,1.01,-0.0499147789570375,DEC-9E361CF8AE1730B5B8C6,2023-02-09,2023-02-10,0.4431743354224605,range,1,False,False,False
CYC-5344E176408944F292D0,CLOSED,2023-02-22 00:00:00,2023-02-28,104400,1.013,1.013,-0.0009995002498749,DEC-93FCA0F66C0E2F83EC08,2023-02-21,2023-02-22,0.1784127579822232,range,1,False,False,False
CYC-3B3321CF170C22DD9DFC,CLOSED,2023-03-02 10:00:00,2023-03-08,104400,1.018,1.012,-0.0068875189124494,DEC-7D9F7C9944D4EF2AAE04,2023-03-01,2023-03-02,0.4092857968271055,range,1,False,False,False
CYC-646BBAEA3DBE6B7FF0FF,CLOSED,2023-03-10 00:00:00,2023-03-17,103200,1.016,1.019,0.0019503043753712,DEC-6E47179CC84A6FEA4119,2023-03-09,2023-03-10,0.3138492602721814,range,1,False,False,False
CYC-A78D19E73249C391ACEC,CLOSED,2023-03-20 00:00:00,2023-04-24,102000,1.037,1.136,0.0943727750396739,DEC-FC95915671FA4BF708CA,2023-03-17,2023-03-20,0.2480296017728377,range,1,False,False,True
CYC-3A0D450BB90EA1F2BC80,CLOSED,2023-05-17 00:00:00,2023-05-24,110300,1.047,1.038,-0.0095868970958645,DEC-D1112999A2E59F5298AA,2023-05-16,2023-05-17,0.1914332726043683,range,1,False,False,True
CYC-287E89B7EC5CFE23688A,CLOSED,2023-05-29 10:00:00,2023-06-07,107500,1.066,1.052,-0.0141195818601018,DEC-1A2BC49D67DB752E0174,2023-05-26,2023-05-29,0.4351833538507526,range,2,False,False,True
CYC-76C1930C58A85AD4AA19,CLOSED,2023-06-12 00:00:00,2023-06-27,107000,1.053,1.035,-0.0180764318695354,DEC-4F30F53DD5FF6AF3FDE3,2023-06-09,2023-06-12,0.2423564327553284,range,1,False,False,True
CYC-4E007E948BF934266B09,CLOSED,2023-06-28 00:00:00,2023-07-06,107100,1.036,1.029,-0.0077495036265651,DEC-9901CF4405B8BC9064F5,2023-06-27,2023-06-28,0.2139090218767268,range,1,False,False,True
CYC-2D3FC9458D53BD8F250E,CLOSED,2023-08-01 00:00:00,2023-08-09,110900,0.993,0.988,-0.0060297142466027,DEC-0196BBCC445EC61E1240,2023-07-31,2023-08-01,0.3037795592828951,trend,1,False,False,True
CYC-48D9651C042B8251B360,CLOSED,2023-08-31 00:00:00,2023-09-08,113700,0.959,0.917,-0.0447513469542599,DEC-BF64FC8A4761E24DB9A6,2023-08-30,2023-08-31,0.3846645912968195,trend,1,False,False,True
CYC-3F32A7088BA61B62FF4B,CLOSED,2023-09-28 00:00:00,2023-10-17,115800,0.903,0.896,-0.0087436901704187,DEC-8454F39123C22BB0F991,2023-09-27,2023-09-28,0.3850715441141396,trend,1,False,False,True
CYC-8929EDE9C5667EAEF4CC,CLOSED,2023-10-30 00:00:00,2023-11-22,117300,0.88,0.905,0.0273811957657534,DEC-26A5ECCCD26B336C8145,2023-10-27,2023-10-30,0.2394784864890756,trend,1,False,False,True
CYC-6B032AD84CC964AD7661,CLOSED,2023-12-11 00:00:00,2023-12-14,120200,0.882,0.888,0.0057964215171326,DEC-5B7BC0748AD3C5B8C0F2,2023-12-08,2023-12-11,0.3041865121002152,trend,1,False,False,True
CYC-A0683CBCD546FB3F3128,CLOSED,2023-12-25 00:00:00,2023-12-28,124000,0.863,0.849,-0.0172057655992398,DEC-AD5851B5DD7E6C1A2A10,2023-12-22,2023-12-25,0.2066317365980317,range,1,False,False,True
CYC-1F21A8ACAB130B0096B9,CLOSED,2023-12-29 00:00:00,2024-01-04,120800,0.869,0.849,-0.0239914565157005,DEC-A3280FA5360FEAE2C7C6,2023-12-28,2023-12-29,0.3527594857745457,range,1,False,False,True
CYC-29FB32C9F945C4154ED7,CLOSED,2024-02-19 10:00:00,2024-03-08,133400,0.77,0.814,0.0560862425929891,DEC-B0F0FC97FB30FFB0440F,2024-02-08,2024-02-19,0.2228945272689707,trend,2,False,False,True
CYC-2FF3EB669AEEB2611D77,CLOSED,2024-03-11 00:00:00,2024-03-15,132200,0.817,0.821,0.003891567068363,DEC-FA46A8EC5466F9D09E9E,2024-03-08,2024-03-11,0.4093840637371934,range,1,False,False,True
CYC-744CCE297293D023F925,CLOSED,2024-04-19 00:00:00,2024-04-26,142600,0.759,0.751,-0.0115291497861081,DEC-6E4E802025DE3B527FCA,2024-04-18,2024-04-19,0.2668738534159479,range,1,False,False,True
CYC-C559190BB91CEC6433F7,CLOSED,2024-04-29 10:00:00,2024-05-14,139700,0.771,0.782,0.0132534251680904,DEC-6EAF28AEBD2F9DDF0062,2024-04-26,2024-04-29,0.1776027235028375,range,1,False,False,True
