clock,event_mean_return,control_mean_return,abnormal_mean_return,abnormal_lower_90,abnormal_upper_90,abnormal_positive_probability,event_cumulative_amount_share,control_cumulative_amount_share
13:25,0.001815783385940271,-0.001744412700496594,0.003560196086436865,0.002557133648455899,0.004570911215930614,1.0,0.6433466422075813,0.6156950190555918
13:30,0.001763035767999407,-0.0019983424505632622,0.0037613782185626685,0.002743603265820026,0.004790970428139174,1.0,0.6577792004316818,0.630396831287942
13:35,0.0017978663122832602,-0.0020232653045137074,0.003821131616796967,0.0027945119274765153,0.004879441063591098,1.0,0.6735607477012113,0.6463732940336537
13:40,0.0017751884201887486,-0.0021653788271125537,0.0039405672473013026,0.0029091026480730984,0.005015582937876078,1.0,0.6879943639620942,0.6617588439686152
13:45,0.0020498727471673396,-0.0021807804490189715,0.004230653196186311,0.0031255954958445326,0.0053740265989069246,1.0,0.7026546964505344,0.6757006084938167
13:50,0.002019850623252755,-0.002134536250494256,0.004154386873747012,0.0030874955706885797,0.005225510888552763,1.0,0.7161854783969401,0.6923004286729012
13:55,0.002068383956548837,-0.002112576795597812,0.004180960752146649,0.003099252431250117,0.005262754018018713,1.0,0.7295932388057444,0.709113735212879
14:00,0.0019742394985029204,-0.002077019721413005,0.0040512592199159255,0.002999823802328321,0.0051224985623369535,1.0,0.7432627681835444,0.7250749454973286
14:05,0.001970333726219152,-0.0021937372750408797,0.004164071001260031,0.0030957474604564705,0.005229115801428931,1.0,0.7595266849012354,0.743032631796727
14:10,0.001925728575006364,-0.0023209523088551782,0.004246680883861542,0.003140681193618568,0.005358950130668907,1.0,0.7743250292189083,0.7603536685233084
14:15,0.001978517474659993,-0.0021197407219601385,0.004098258196620132,0.003008232259958361,0.005225001815392994,1.0,0.789321600662843,0.7779968070433437
14:20,0.002036177093126636,-0.0020799949369087007,0.004116172030035337,0.0030322796576584977,0.005235284788668948,1.0,0.8045964855915086,0.7962678764162308
14:25,0.001995102235115557,-0.00199465964316587,0.003989761878281427,0.0029583994627631724,0.005046392559468875,1.0,0.8206819929912096,0.8124341108538303
