factor,factor_kind,year,horizon,active_n,control_n,active_return,control_return,return_delta,active_mae,control_mae,mae_delta,active_max_drawdown,control_max_drawdown,max_drawdown_delta
state__raw__daily__cxt_second_bs_V230320__di_1::二买,event,2021,60,10,233,0.04486451988401267,-0.019265003980830253,0.06412952386484291,-0.06702207868816949,-0.09909509433453684,0.032073015646367345,-0.10805800725703636,-0.13050667856837406,0.022448671311337695
state__raw__daily__cxt_second_bs_V230320__di_1::二买,event,2022,5,10,232,-0.010555278988800898,-0.005300340978670207,-0.005254938010130691,-0.023315724988016307,-0.02242326090938018,-0.0008924640786361279,-0.030668373578598085,-0.03145639282891229,0.0007880192503142078
state__raw__daily__cxt_second_bs_V230320__di_1::二买,event,2022,20,10,232,-0.054743565848252386,-0.016749637001937965,-0.03799392884631442,-0.06828049453050518,-0.06727699168117016,-0.0010035028493350223,-0.0829484538530475,-0.087178140394313,0.004229686541265501
state__raw__daily__cxt_second_bs_V230320__di_1::二买,event,2022,60,10,232,-0.040852977775275655,-0.03705203134762404,-0.003800946427651615,-0.11352688144110679,-0.1368169503997709,0.023290068958664117,-0.14028427477389144,-0.17150401142187544,0.031219736647983998
state__raw__daily__cxt_second_bs_V230320__di_1::二买,event,2023,5,4,233,-0.016862632453794185,-0.0027352334264569827,-0.014127399027337203,-0.025922655103850833,-0.01529756502850664,-0.010625090075344193,-0.034121455931661715,-0.022285775114158152,-0.011835680817503563
state__raw__daily__cxt_second_bs_V230320__di_1::二买,event,2023,20,2,220,-0.07325776092688474,-0.013007592109057145,-0.0602501688178276,-0.08227063646336535,-0.04106731465418515,-0.0412033218091802,-0.09456260791077253,-0.058671176025105014,-0.03589143188566752
state__raw__daily__cxt_second_bs_V230320__di_1::二买,event,2023,60,1,181,-0.13390557939914172,-0.045651456600887104,-0.08825412279825462,-0.13390557939914172,-0.08221676651148396,-0.051688812887657754,-0.15067340067340074,-0.12023764896494656,-0.03043575170845418
state__raw__daily__cxt_second_bs_V230320__di_1::二卖,event,2021,5,9,234,0.0005946972076458347,-0.0004679259158212518,0.0010626231234670866,-0.014454729887328495,-0.017108319785281836,0.0026535898979533415,-0.02196871174338355,-0.025823127522124643,0.0038544157787410924
state__raw__daily__cxt_second_bs_V230320__di_1::二卖,event,2021,20,9,234,0.02409448310575102,-0.006136086483800568,0.030230569589551587,-0.0223374236964406,-0.04510266206953842,0.022765238373097817,-0.041894751073401605,-0.06501815142567502,0.023123400352273414
state__raw__daily__cxt_second_bs_V230320__di_1::二卖,event,2021,60,9,234,0.05512310645517157,-0.019385507208503693,0.07450861366367527,-0.0468963362900945,-0.09973209718041849,0.05283576089032399,-0.09446494078689024,-0.13093355432444231,0.03646861353755207
