factor,endpoint,pass
dynamic__state__raw__30m__cxt_bi_status_V230101__di_1__joint::向下|延伸|任意__age_1_3,return_20,True
dynamic__state__raw__30m__cxt_bi_status_V230101__di_1__v1::向上__age_1_3,max_drawdown_20,True
dynamic__state__raw__30m__cxt_bi_status_V230101__di_1__v2::底分__age_1_3,return_20,True
dynamic__state__raw__30m__cxt_bi_status_V230101__di_1__v2::延伸__age_1_3,return_20,True
dynamic__state__raw__30m__cxt_bi_status_V230101__di_1__v2::顶分__age_1_3,return_20,True
dynamic__state__raw__30m__cxt_bi_status_V230102__di_1__joint::向上|延伸|任意__age_1_3,return_20,True
dynamic__state__raw__30m__cxt_bi_status_V230102__di_1__v1::向上__age_1_3,return_20,True
dynamic__state__raw__30m__cxt_bi_status_V230102__di_1__v2::底分__age_1_3,return_20,True
dynamic__state__raw__30m__cxt_bi_stop_V230815__di_1__joint::向上|阈值内|任意__exit,return_20,False
dynamic__state__raw__30m__cxt_bi_stop_V230815__di_1__v2::阈值外__age_1_3,return_20,True
dynamic__state__raw__30m__cxt_bi_stop_V230815__di_1__v2::阈值外__age_4_8,return_20,True
dynamic__state__raw__30m__cxt_bi_stop_V230815__di_1__v2::阈值外__age_9_plus,return_20,True
dynamic__state__raw__30m__cxt_bi_trend_V230824__di_1__v1::向下__age_1_3,return_20,True
dynamic__state__raw__30m__cxt_bi_trend_V230824__di_1__v1::横盘__age_9_plus,return_20,False
dynamic__state__raw__30m__cxt_bi_trend_V230824__di_1__v1::横盘__age_9_plus,max_drawdown_20,False
dynamic__state__raw__30m__cxt_bi_trend_V230913__di_1__joint::下降趋势|强|任意__age_1_3,return_20,True
dynamic__state__raw__30m__cxt_bi_trend_V230913__di_1__v1::下降趋势__age_1_3,return_20,True
dynamic__state__raw__30m__cxt_bi_zdf_V230601__di_1__joint::向上|第1层|任意__onset,max_drawdown_20,True
dynamic__state__raw__30m__cxt_bi_zdf_V230601__di_1__joint::向上|第1层|任意__exit,max_drawdown_20,True
dynamic__state__raw__30m__cxt_bi_zdf_V230601__di_1__joint::向上|第1层|任意__age_1_3,max_drawdown_20,True
dynamic__state__raw__30m__cxt_bi_zdf_V230601__di_1__joint::向上|第4层|任意__onset,max_drawdown_20,True
dynamic__state__raw__30m__cxt_bi_zdf_V230601__di_1__joint::向下|第1层|任意__onset,max_drawdown_20,True
dynamic__state__raw__30m__cxt_bi_zdf_V230601__di_1__joint::向下|第1层|任意__exit,max_drawdown_20,True
dynamic__state__raw__30m__cxt_bi_zdf_V230601__di_1__joint::向下|第1层|任意__age_1_3,max_drawdown_20,True
dynamic__state__raw__30m__cxt_bi_zdf_V230601__di_1__joint::向下|第2层|任意__age_1_3,max_drawdown_20,True
dynamic__state__raw__30m__cxt_bi_zdf_V230601__di_1__joint::向下|第3层|任意__onset,max_drawdown_20,True
dynamic__state__raw__30m__cxt_bi_zdf_V230601__di_1__joint::向下|第3层|任意__exit,max_drawdown_20,True
dynamic__state__raw__30m__cxt_bi_zdf_V230601__di_1__joint::向下|第4层|任意__age_1_3,return_20,True
dynamic__state__raw__30m__cxt_bi_zdf_V230601__di_1__v2::第1层__onset,max_drawdown_20,True
dynamic__state__raw__30m__cxt_bi_zdf_V230601__di_1__v2::第1层__exit,max_drawdown_20,True
dynamic__state__raw__30m__cxt_bi_zdf_V230601__di_1__v2::第1层__age_1_3,max_drawdown_20,True
dynamic__state__raw__30m__cxt_bi_zdf_V230601__di_1__v2::第2层__age_1_3,max_drawdown_20,True
dynamic__state__raw__30m__cxt_bi_zdf_V230601__di_1__v2::第3层__exit,max_drawdown_20,True
dynamic__state__raw__30m__cxt_bi_zdf_V230601__di_1__v2::第3层__age_1_3,max_drawdown_20,False
dynamic__state__raw__30m__cxt_bs_V240527__di_1__v1::买点__post_1_5,max_drawdown_20,True
dynamic__state__raw__30m__cxt_bs_V240527__di_1__v1::买点__post_6_20,return_20,True
dynamic__state__raw__30m__cxt_bs_V240527__di_1__v1::买点__post_6_20,max_drawdown_20,True
dynamic__state__raw__30m__cxt_bs_V240527__di_1__v1::卖点__post_6_20,return_20,False
dynamic__state__raw__30m__cxt_decision_V240526__di_1__v1::开多__onset,max_drawdown_20,True
dynamic__state__raw__30m__cxt_decision_V240526__di_1__v1::开多__exit,max_drawdown_20,True
dynamic__state__raw__30m__cxt_decision_V240526__di_1__v1::开多__age_1_3,return_20,True
dynamic__state__raw__30m__cxt_decision_V240526__di_1__v1::开多__age_1_3,max_drawdown_20,True
dynamic__state__raw__30m__cxt_decision_V240612__di_1__v1::开多__exit,return_20,True
dynamic__state__raw__30m__cxt_decision_V240612__di_1__v1::开多__age_1_3,return_20,True
dynamic__state__raw__30m__cxt_decision_V240613__di_1__v1::开空__exit,return_20,True
dynamic__state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|5笔|任意__post_6_20,return_20,True
dynamic__state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买__post_1_5,return_20,False
dynamic__state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买__post_6_20,return_20,True
dynamic__state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买__post_6_20,max_drawdown_20,False
dynamic__state__raw__30m__cxt_first_sell_V221126__di_1__joint::一卖|11笔|任意__post_6_20,return_20,False
dynamic__state__raw__30m__cxt_first_sell_V221126__di_1__joint::一卖|5笔|任意__post_6_20,max_drawdown_20,True
dynamic__state__raw__30m__cxt_first_sell_V221126__di_1__v1::一卖__post_6_20,return_20,True
dynamic__state__raw__30m__cxt_first_sell_V221126__di_1__v1::一卖__post_6_20,max_drawdown_20,False
dynamic__state__raw__30m__cxt_fx_power_V221107__di_1__joint::中顶|有中枢|任意__age_1_3,return_20,True
dynamic__state__raw__30m__cxt_fx_power_V221107__di_1__joint::弱顶|有中枢|任意__age_1_3,max_drawdown_20,True
dynamic__state__raw__30m__cxt_fx_power_V221107__di_1__joint::强顶|有中枢|任意__age_1_3,max_drawdown_20,True
dynamic__state__raw__30m__cxt_fx_power_V221107__di_1__v1::弱顶__age_1_3,max_drawdown_20,True
dynamic__state__raw__30m__cxt_fx_power_V221107__di_1__v1::强顶__age_1_3,return_20,False
dynamic__state__raw__30m__cxt_fx_power_V221107__di_1__v2::有中枢__age_9_plus,max_drawdown_20,True
dynamic__state__raw__30m__cxt_overlap_V240526__di_1__joint::顶重合0次|底重合0次|任意__age_1_3,return_20,True
dynamic__state__raw__30m__cxt_overlap_V240526__di_1__joint::顶重合1次|底重合0次|任意__age_1_3,return_20,True
dynamic__state__raw__30m__cxt_overlap_V240526__di_1__joint::顶重合1次|底重合0次|任意__age_1_3,max_drawdown_20,True
dynamic__state__raw__30m__cxt_overlap_V240526__di_1__joint::顶重合1次|底重合1次|任意__exit,max_drawdown_20,True
dynamic__state__raw__30m__cxt_overlap_V240526__di_1__joint::顶重合2次|底重合1次|任意__exit,max_drawdown_20,True
dynamic__state__raw__30m__cxt_overlap_V240526__di_1__joint::顶重合3次|底重合0次|任意__onset,max_drawdown_20,True
dynamic__state__raw__30m__cxt_overlap_V240526__di_1__joint::顶重合3次|底重合0次|任意__exit,max_drawdown_20,True
dynamic__state__raw__30m__cxt_overlap_V240526__di_1__v1::顶重合0次__age_4_8,max_drawdown_20,True
dynamic__state__raw__30m__cxt_overlap_V240526__di_1__v1::顶重合1次__age_1_3,return_20,True
dynamic__state__raw__30m__cxt_overlap_V240526__di_1__v1::顶重合3次__exit,max_drawdown_20,True
dynamic__state__raw__30m__cxt_overlap_V240526__di_1__v2::底重合0次__onset,return_20,True
dynamic__state__raw__30m__cxt_overlap_V240526__di_1__v2::底重合0次__exit,return_20,True
dynamic__state__raw__30m__cxt_overlap_V240526__di_1__v2::底重合0次__age_1_3,return_20,True
dynamic__state__raw__30m__cxt_overlap_V240526__di_1__v2::底重合0次__age_1_3,max_drawdown_20,True
dynamic__state__raw__30m__cxt_overlap_V240526__di_1__v2::底重合2次__age_1_3,max_drawdown_20,True
dynamic__state__raw__30m__cxt_range_oscillation_V230620__di_1__joint::3笔震荡|向上|任意__onset,return_20,True
dynamic__state__raw__30m__cxt_range_oscillation_V230620__di_1__joint::3笔震荡|向上|任意__age_1_3,return_20,True
dynamic__state__raw__30m__cxt_range_oscillation_V230620__di_1__joint::3笔震荡|向上|任意__age_1_3,max_drawdown_20,True
dynamic__state__raw__30m__cxt_range_oscillation_V230620__di_1__joint::3笔震荡|向下|任意__age_1_3,max_drawdown_20,True
dynamic__state__raw__30m__cxt_range_oscillation_V230620__di_1__joint::7笔震荡|向下|任意__onset,max_drawdown_20,True
dynamic__state__raw__30m__cxt_range_oscillation_V230620__di_1__joint::7笔震荡|向下|任意__exit,max_drawdown_20,True
dynamic__state__raw__30m__cxt_range_oscillation_V230620__di_1__v1::2笔震荡__exit,return_20,True
dynamic__state__raw__30m__cxt_range_oscillation_V230620__di_1__v1::3笔震荡__onset,return_20,True
dynamic__state__raw__30m__cxt_range_oscillation_V230620__di_1__v1::3笔震荡__exit,return_20,True
dynamic__state__raw__30m__cxt_range_oscillation_V230620__di_1__v1::3笔震荡__age_1_3,return_20,False
dynamic__state__raw__30m__cxt_range_oscillation_V230620__di_1__v1::3笔震荡__age_1_3,max_drawdown_20,True
dynamic__state__raw__30m__cxt_range_oscillation_V230620__di_1__v1::4笔震荡__exit,return_20,True
dynamic__state__raw__30m__cxt_range_oscillation_V230620__di_1__v1::6笔震荡__onset,max_drawdown_20,True
dynamic__state__raw__30m__cxt_range_oscillation_V230620__di_1__v1::6笔震荡__exit,max_drawdown_20,True
dynamic__state__raw__30m__cxt_range_oscillation_V230620__di_1__v1::6笔震荡__age_1_3,max_drawdown_20,True
dynamic__state__raw__30m__cxt_range_oscillation_V230620__di_1__v1::8笔震荡__onset,return_20,True
dynamic__state__raw__30m__cxt_second_bs_V230320__di_1__v1::二买__post_6_20,max_drawdown_20,True
dynamic__state__raw__30m__cxt_second_bs_V230320__di_1__v1::二卖__post_6_20,return_20,True
dynamic__state__raw__30m__cxt_third_bs_V230318__di_1__v1::三买__post_6_20,return_20,True
dynamic__state__raw__30m__cxt_third_bs_V230318__di_1__v1::三卖__post_1_5,return_20,True
dynamic__state__raw__30m__cxt_third_bs_V230318__di_1__v1::三卖__post_1_5,max_drawdown_20,False
dynamic__state__raw__30m__cxt_third_bs_V230318__di_1__v1::三卖__post_6_20,max_drawdown_20,True
dynamic__state__raw__30m__cxt_third_bs_V230319__di_1__joint::三卖|均线顶分|任意__post_1_5,max_drawdown_20,False
dynamic__state__raw__30m__cxt_third_bs_V230319__di_1__joint::三卖|均线顶分|任意__post_6_20,max_drawdown_20,False
dynamic__state__raw__30m__cxt_third_bs_V230319__di_1__v1::三买__post_6_20,return_20,True
dynamic__state__raw__30m__cxt_third_bs_V230319__di_1__v1::三卖__post_1_5,return_20,False
dynamic__state__raw__30m__cxt_third_bs_V230319__di_1__v1::三卖__post_6_20,max_drawdown_20,False
dynamic__state__raw__30m__cxt_third_buy_V230228__di_1__joint::三买|10笔|任意__post_6_20,return_20,False
dynamic__state__raw__30m__cxt_third_buy_V230228__di_1__joint::三买|10笔|任意__post_6_20,max_drawdown_20,False
dynamic__state__raw__30m__cxt_third_buy_V230228__di_1__v1::三买__post_1_5,return_20,True
dynamic__state__raw__30m__cxt_three_bi_V230618__di_1__v1::向上扩张__onset,max_drawdown_20,True
dynamic__state__raw__30m__cxt_three_bi_V230618__di_1__v1::向上扩张__exit,max_drawdown_20,True
dynamic__state__raw__30m__cxt_three_bi_V230618__di_1__v1::向下奔走型__onset,return_20,True
dynamic__state__raw__30m__cxt_three_bi_V230618__di_1__v1::向下奔走型__onset,max_drawdown_20,True
dynamic__state__raw__30m__cxt_three_bi_V230618__di_1__v1::向下奔走型__exit,max_drawdown_20,True
dynamic__state__raw__30m__cxt_three_bi_V230618__di_1__v1::向下奔走型__age_1_3,return_20,False
dynamic__state__raw__30m__cxt_three_bi_V230618__di_1__v1::向下奔走型__age_1_3,max_drawdown_20,True
dynamic__state__raw__30m__cxt_three_bi_V230618__di_1__v1::向下收敛__age_1_3,return_20,False
dynamic__state__raw__30m__cxt_three_bi_V230618__di_1__v1::向下盘背__exit,return_20,True
dynamic__state__raw__30m__cxt_ubi_end_V230816__di_1__joint::新高|第3次|任意__onset,max_drawdown_20,True
dynamic__state__raw__30m__cxt_ubi_end_V230816__di_1__joint::新高|第3次|任意__exit,max_drawdown_20,True
dynamic__state__raw__30m__cxt_ubi_end_V230816__di_1__v1::新低__exit,return_20,True
dynamic__state__raw__30m__cxt_ubi_end_V230816__di_1__v1::新高__age_1_3,return_20,True
dynamic__state__raw__30m__cxt_ubi_end_V230816__di_1__v2::第4次__onset,return_20,True
dynamic__state__raw__30m__cxt_ubi_end_V230816__di_1__v2::第4次__exit,return_20,True
dynamic__state__raw__30m__zdy_bi_end_V230406__di_1__joint::看多|任意|任意__age_1_3,return_20,False
dynamic__state__raw__30m__zdy_zs_V230423__di_1__joint::上涨|5笔|任意__onset,return_20,True
dynamic__state__raw__30m__zdy_zs_V230423__di_1__joint::上涨|7笔|任意__onset,return_20,True
dynamic__state__raw__30m__zdy_zs_V230423__di_1__joint::上涨|7笔|任意__onset,max_drawdown_20,True
dynamic__state__raw__30m__zdy_zs_V230423__di_1__joint::上涨|7笔|任意__exit,max_drawdown_20,True
dynamic__state__raw__30m__zdy_zs_V230423__di_1__joint::下跌|5笔|任意__onset,return_20,True
dynamic__state__raw__30m__zdy_zs_V230423__di_1__joint::下跌|5笔|任意__exit,return_20,True
dynamic__state__raw__30m__zdy_zs_V230423__di_1__joint::下跌|5笔|任意__exit,max_drawdown_20,False
dynamic__state__raw__30m__zdy_zs_V230423__di_1__v2::7笔__onset,max_drawdown_20,True
dynamic__state__raw__30m__zdy_zs_space_V230421__di_1__joint::上涨|5笔|任意__onset,return_20,True
dynamic__state__raw__30m__zdy_zs_space_V230421__di_1__joint::上涨|5笔|任意__onset,max_drawdown_20,True
dynamic__state__raw__daily__byi_bi_end_V230106__di_1__joint::看空|强|任意__exit,return_20,True
dynamic__state__raw__daily__byi_bi_end_V230106__di_1__v1::看空__exit,return_20,True
dynamic__state__raw__daily__byi_fx_num_V230628__di_1__joint::向上|其他|任意__exit,max_drawdown_20,True
dynamic__state__raw__daily__byi_fx_num_V230628__di_1__joint::向上|其他|任意__age_1_3,max_drawdown_20,True
dynamic__state__raw__daily__byi_fx_num_V230628__di_1__v1::向上__age_1_3,max_drawdown_20,True
dynamic__state__raw__daily__byi_fx_num_V230628__di_1__v1::向上__age_4_8,return_20,False
dynamic__state__raw__daily__byi_fx_num_V230628__di_1__v1::向上__age_4_8,max_drawdown_20,True
dynamic__state__raw__daily__byi_fx_num_V230628__di_1__v2::满足__exit,return_20,True
dynamic__state__raw__daily__byi_symmetry_zs_V221107__di_1__joint::否|向下|任意__age_1_3,max_drawdown_20,True
dynamic__state__raw__daily__byi_symmetry_zs_V221107__di_1__v1::否__age_1_3,return_20,True
dynamic__state__raw__daily__byi_symmetry_zs_V221107__di_1__v1::否__age_1_3,max_drawdown_20,True
dynamic__state__raw__daily__byi_symmetry_zs_V221107__di_1__v1::是__age_1_3,max_drawdown_20,True
dynamic__state__raw__daily__byi_symmetry_zs_V221107__di_1__v2::向下__age_4_8,max_drawdown_20,True
dynamic__state__raw__daily__cxt_bi_base_V230228__di_1__joint::向下|转折|任意__age_1_3,max_drawdown_20,True
dynamic__state__raw__daily__cxt_bi_base_V230228__di_1__joint::向下|转折|任意__age_4_8,max_drawdown_20,True
dynamic__state__raw__daily__cxt_bi_base_V230228__di_1__v1::向下__age_4_8,max_drawdown_20,True
dynamic__state__raw__daily__cxt_bi_base_V230228__di_1__v2::转折__age_1_3,return_20,False
dynamic__state__raw__daily__cxt_bi_base_V230228__di_1__v2::转折__age_9_plus,max_drawdown_20,True
dynamic__state__raw__daily__cxt_bi_end_V230222__di_1__joint::新低|第1次|任意__age_1_3,return_20,False
dynamic__state__raw__daily__cxt_bi_end_V230222__di_1__joint::新低|第2次|任意__onset,return_20,True
dynamic__state__raw__daily__cxt_bi_end_V230222__di_1__joint::新低|第2次|任意__age_1_3,return_20,True
dynamic__state__raw__daily__cxt_bi_end_V230222__di_1__joint::新低|第2次|任意__age_1_3,max_drawdown_20,True
dynamic__state__raw__daily__cxt_bi_end_V230222__di_1__joint::新高|第1次|任意__exit,max_drawdown_20,True
dynamic__state__raw__daily__cxt_bi_end_V230222__di_1__joint::新高|第1次|任意__age_1_3,max_drawdown_20,True
dynamic__state__raw__daily__cxt_bi_end_V230222__di_1__v1::新高__age_1_3,max_drawdown_20,True
dynamic__state__raw__daily__cxt_bi_end_V230222__di_1__v2::第1次__age_1_3,max_drawdown_20,True
dynamic__state__raw__daily__cxt_bi_end_V230222__di_1__v2::第2次__age_1_3,return_20,True
dynamic__state__raw__daily__cxt_bi_end_V230222__di_1__v2::第3次__exit,return_20,False
dynamic__state__raw__daily__cxt_bi_end_V230222__di_1__v2::第3次__age_1_3,max_drawdown_20,True
dynamic__state__raw__daily__cxt_bi_end_V230312__di_1__v1::看多__age_1_3,max_drawdown_20,True
dynamic__state__raw__daily__cxt_bi_end_V230320__di_1__joint::看多|17K|任意__onset,return_20,True
dynamic__state__raw__daily__cxt_bi_end_V230320__di_1__joint::看多|17K|任意__exit,return_20,True
dynamic__state__raw__daily__cxt_bi_end_V230320__di_1__v2::17K__onset,return_20,True
dynamic__state__raw__daily__cxt_bi_end_V230320__di_1__v2::17K__exit,return_20,True
dynamic__state__raw__daily__cxt_bi_end_V230322__di_1__v2::反向分型__exit,return_20,True
dynamic__state__raw__daily__cxt_bi_end_V230324__di_1__v1::看多__age_1_3,return_20,True
dynamic__state__raw__daily__cxt_bi_end_V230324__di_1__v1::看多__age_1_3,max_drawdown_20,True
dynamic__state__raw__daily__cxt_bi_end_V230324__di_1__v1::看空__age_1_3,max_drawdown_20,True
dynamic__state__raw__daily__cxt_bi_end_V230618__di_1__joint::看多|其他|任意__exit,return_20,True
dynamic__state__raw__daily__cxt_bi_end_V230618__di_1__joint::看空|其他|任意__onset,max_drawdown_20,True
dynamic__state__raw__daily__cxt_bi_end_V230618__di_1__joint::看空|其他|任意__exit,max_drawdown_20,True
dynamic__state__raw__daily__cxt_bi_end_V230618__di_1__joint::看空|其他|任意__age_1_3,max_drawdown_20,True
dynamic__state__raw__daily__cxt_bi_end_V230618__di_1__v1::看空__exit,max_drawdown_20,True
dynamic__state__raw__daily__cxt_bi_end_V230618__di_1__v1::看空__age_1_3,return_20,True
dynamic__state__raw__daily__cxt_bi_end_V230618__di_1__v1::看空__age_1_3,max_drawdown_20,True
dynamic__state__raw__daily__cxt_bi_status_V230101__di_1__joint::向下|延伸|任意__onset,max_drawdown_20,True
dynamic__state__raw__daily__cxt_bi_status_V230101__di_1__joint::向下|延伸|任意__age_1_3,max_drawdown_20,True
dynamic__state__raw__daily__cxt_bi_status_V230101__di_1__v1::向下__age_1_3,return_20,False
dynamic__state__raw__daily__cxt_bi_status_V230102__di_1__joint::向下|延伸|任意__age_1_3,max_drawdown_20,True
dynamic__state__raw__daily__cxt_bi_status_V230102__di_1__v1::向下__age_1_3,max_drawdown_20,True
dynamic__state__raw__daily__cxt_bi_stop_V230815__di_1__joint::向下|阈值外|任意__age_4_8,max_drawdown_20,True
dynamic__state__raw__daily__cxt_bi_stop_V230815__di_1__v1::向下__age_4_8,max_drawdown_20,True
dynamic__state__raw__daily__cxt_bi_stop_V230815__di_1__v2::阈值外__age_4_8,return_20,True
dynamic__state__raw__daily__cxt_bi_trend_V230824__di_1__v1::向上__exit,max_drawdown_20,True
dynamic__state__raw__daily__cxt_bi_trend_V230824__di_1__v1::横盘__age_4_8,max_drawdown_20,True
dynamic__state__raw__daily__cxt_bi_trend_V230913__di_1__joint::上升趋势|强|任意__age_1_3,max_drawdown_20,True
dynamic__state__raw__daily__cxt_bi_trend_V230913__di_1__joint::下降趋势|强|任意__age_1_3,return_20,False
dynamic__state__raw__daily__cxt_bi_trend_V230913__di_1__v1::上升趋势__age_1_3,max_drawdown_20,True
dynamic__state__raw__daily__cxt_bi_zdf_V230601__di_1__joint::向上|第1层|任意__onset,max_drawdown_20,True
dynamic__state__raw__daily__cxt_bi_zdf_V230601__di_1__joint::向上|第1层|任意__exit,max_drawdown_20,True
dynamic__state__raw__daily__cxt_bi_zdf_V230601__di_1__joint::向下|第1层|任意__exit,max_drawdown_20,True
dynamic__state__raw__daily__cxt_bi_zdf_V230601__di_1__joint::向下|第2层|任意__onset,return_20,True
dynamic__state__raw__daily__cxt_bi_zdf_V230601__di_1__joint::向下|第5层|任意__onset,return_20,True
dynamic__state__raw__daily__cxt_bi_zdf_V230601__di_1__joint::向下|第5层|任意__onset,max_drawdown_20,False
dynamic__state__raw__daily__cxt_bi_zdf_V230601__di_1__v1::向上__age_1_3,max_drawdown_20,True
dynamic__state__raw__daily__cxt_bi_zdf_V230601__di_1__v1::向上__age_4_8,return_20,True
dynamic__state__raw__daily__cxt_bi_zdf_V230601__di_1__v1::向上__age_4_8,max_drawdown_20,True
dynamic__state__raw__daily__cxt_bi_zdf_V230601__di_1__v2::第1层__exit,max_drawdown_20,True
dynamic__state__raw__daily__cxt_bi_zdf_V230601__di_1__v2::第1层__age_1_3,return_20,True
dynamic__state__raw__daily__cxt_bi_zdf_V230601__di_1__v2::第1层__age_1_3,max_drawdown_20,True
dynamic__state__raw__daily__cxt_bi_zdf_V230601__di_1__v2::第4层__onset,max_drawdown_20,True
dynamic__state__raw__daily__cxt_bi_zdf_V230601__di_1__v2::第4层__exit,max_drawdown_20,True
dynamic__state__raw__daily__cxt_fx_power_V221107__di_1__joint::中底|有中枢|任意__age_1_3,max_drawdown_20,True
dynamic__state__raw__daily__cxt_fx_power_V221107__di_1__joint::中顶|有中枢|任意__age_1_3,return_20,False
dynamic__state__raw__daily__cxt_fx_power_V221107__di_1__joint::弱顶|无中枢|任意__onset,return_20,True
dynamic__state__raw__daily__cxt_fx_power_V221107__di_1__joint::弱顶|无中枢|任意__exit,return_20,True
dynamic__state__raw__daily__cxt_fx_power_V221107__di_1__joint::弱顶|有中枢|任意__exit,return_20,True
dynamic__state__raw__daily__cxt_fx_power_V221107__di_1__joint::强顶|无中枢|任意__onset,return_20,False
dynamic__state__raw__daily__cxt_fx_power_V221107__di_1__joint::强顶|无中枢|任意__exit,return_20,True
dynamic__state__raw__daily__cxt_fx_power_V221107__di_1__v1::中底__age_1_3,max_drawdown_20,True
dynamic__state__raw__daily__cxt_fx_power_V221107__di_1__v1::中顶__age_1_3,return_20,True
dynamic__state__raw__daily__cxt_fx_power_V221107__di_1__v1::弱底__onset,max_drawdown_20,True
dynamic__state__raw__daily__cxt_fx_power_V221107__di_1__v1::弱顶__onset,return_20,True
dynamic__state__raw__daily__cxt_fx_power_V221107__di_1__v1::弱顶__exit,return_20,True
dynamic__state__raw__daily__cxt_fx_power_V221107__di_1__v2::无中枢__age_1_3,return_20,False
dynamic__state__raw__daily__cxt_fx_power_V221107__di_1__v2::有中枢__age_1_3,return_20,True
dynamic__state__raw__daily__cxt_fx_power_V221107__di_1__v2::有中枢__age_1_3,max_drawdown_20,True
dynamic__state__raw__daily__cxt_fx_power_V221107__di_1__v2::有中枢__age_4_8,return_20,True
dynamic__state__raw__daily__cxt_fx_power_V221107__di_1__v2::有中枢__age_4_8,max_drawdown_20,True
dynamic__state__raw__daily__cxt_fx_power_V221107__di_1__v2::有中枢__age_9_plus,return_20,True
dynamic__state__raw__daily__cxt_fx_power_V221107__di_1__v2::有中枢__age_9_plus,max_drawdown_20,True
dynamic__state__raw__daily__cxt_overlap_V240526__di_1__joint::顶重合1次|底重合0次|任意__age_1_3,return_20,False
