factor,factor_kind,endpoint,direction,conditional_effect,closest_reference,max_abs_correlation
dynamic__state__raw__30m__cxt_bi_zdf_V230601__di_1__joint::向下|第1层|任意__exit,event,max_drawdown_20,1,0.012963812096125571,raw__30m__cxt_bi_status_V230101,0.10661341737910493
dynamic__state__raw__30m__cxt_bi_zdf_V230601__di_1__joint::向下|第1层|任意__age_1_3,state,max_drawdown_20,1,0.01361329823777672,raw__30m__cxt_bi_status_V230101,0.3520528995369099
dynamic__state__raw__30m__cxt_bi_zdf_V230601__di_1__joint::向下|第2层|任意__age_1_3,state,max_drawdown_20,-1,-0.009825497001770354,raw__30m__cxt_bi_status_V230101,0.2458384004387209
dynamic__state__raw__30m__cxt_bi_zdf_V230601__di_1__joint::向下|第3层|任意__onset,event,max_drawdown_20,-1,-0.013286720393403024,raw__30m__cxt_bi_status_V230101,0.18981101752811116
dynamic__state__raw__30m__cxt_bi_zdf_V230601__di_1__joint::向下|第3层|任意__exit,event,max_drawdown_20,-1,-0.013491987743137365,raw__30m__cxt_bi_status_V230101,0.11251995020547709
dynamic__state__raw__30m__cxt_bi_zdf_V230601__di_1__joint::向下|第4层|任意__age_1_3,state,return_20,-1,-0.00900117167877923,raw__30m__cxt_bi_status_V230101,0.2159230365202181
dynamic__state__raw__30m__cxt_bi_zdf_V230601__di_1__v2::第1层__onset,event,max_drawdown_20,1,0.007689045390280751,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.07624594509913966
dynamic__state__raw__30m__cxt_bi_zdf_V230601__di_1__v2::第1层__exit,event,max_drawdown_20,1,0.009091718422619037,raw__30m__cxt_third_buy_V230228__di_1,0.056072190019357336
dynamic__state__raw__30m__cxt_bi_zdf_V230601__di_1__v2::第1层__age_1_3,state,max_drawdown_20,1,0.01191003744855377,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.10789521408926074
dynamic__state__raw__30m__cxt_bi_zdf_V230601__di_1__v2::第2层__age_1_3,state,max_drawdown_20,-1,-0.005218852189243915,target_position,0.05185392464405093
dynamic__state__raw__30m__cxt_bi_zdf_V230601__di_1__v2::第3层__exit,event,max_drawdown_20,-1,-0.009289045598063869,raw__daily__cxt_five_bi_V230619__di_1,0.07166636340688576
dynamic__state__raw__30m__cxt_bs_V240527__di_1__v1::买点__post_1_5,state,max_drawdown_20,-1,-0.00935857541605049,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.11666861191957376
dynamic__state__raw__30m__cxt_bs_V240527__di_1__v1::买点__post_6_20,state,return_20,1,0.013411983282771997,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,0.1344348590278604
dynamic__state__raw__30m__cxt_decision_V240526__di_1__v1::开多__onset,event,max_drawdown_20,1,0.00537042954808884,raw__30m__cxt_bi_status_V230101,0.2838683269962279
dynamic__state__raw__30m__cxt_decision_V240526__di_1__v1::开多__exit,event,max_drawdown_20,1,0.006031342059319084,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,0.11532995924619886
dynamic__state__raw__30m__cxt_decision_V240526__di_1__v1::开多__age_1_3,state,return_20,1,0.007008682316598477,raw__30m__cxt_bi_status_V230101,0.2900070770252177
dynamic__state__raw__30m__cxt_decision_V240612__di_1__v1::开多__exit,event,return_20,1,0.020810299586797483,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,0.0648811923066275
dynamic__state__raw__30m__cxt_decision_V240612__di_1__v1::开多__age_1_3,state,return_20,1,0.01438245913024518,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.1446741840489538
dynamic__state__raw__30m__cxt_decision_V240613__di_1__v1::开空__exit,event,return_20,-1,-0.02067384756679989,raw__30m__cxt_third_buy_V230228__di_1,0.09257750902174139
dynamic__state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|5笔|任意__post_6_20,state,return_20,-1,-0.024457099013760468,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.1392507747990946
dynamic__state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买__post_6_20,state,return_20,1,0.012704464255778808,raw__weekly__cxt_bi_status_V230101,0.27563816777240435
dynamic__state__raw__30m__cxt_first_sell_V221126__di_1__joint::一卖|5笔|任意__post_6_20,state,max_drawdown_20,1,0.01935119850170148,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,0.08583937530649362
dynamic__state__raw__30m__cxt_first_sell_V221126__di_1__v1::一卖__post_6_20,state,return_20,-1,-0.02763596923355177,raw__weekly__cxt_bi_status_V230101,0.17380265647444032
dynamic__state__raw__30m__cxt_fx_power_V221107__di_1__joint::中顶|有中枢|任意__age_1_3,state,return_20,1,0.005608071745112421,raw__30m__cxt_third_buy_V230228__di_1,0.07383256859230651
dynamic__state__raw__30m__cxt_fx_power_V221107__di_1__joint::弱顶|有中枢|任意__age_1_3,state,max_drawdown_20,1,0.006600938644476463,raw__30m__cxt_bi_status_V230101,0.08178939709017409
dynamic__state__raw__30m__cxt_fx_power_V221107__di_1__joint::强顶|有中枢|任意__age_1_3,state,max_drawdown_20,1,0.00557026998441205,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.19815672819521155
dynamic__state__raw__30m__cxt_fx_power_V221107__di_1__v1::弱顶__age_1_3,state,max_drawdown_20,1,0.006180539160971195,raw__30m__cxt_bi_status_V230101,0.10629890343342381
dynamic__state__raw__30m__cxt_fx_power_V221107__di_1__v2::有中枢__age_9_plus,state,max_drawdown_20,-1,-0.006299781925512789,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,0.09080456985605789
dynamic__state__raw__30m__cxt_overlap_V240526__di_1__joint::顶重合0次|底重合0次|任意__age_1_3,state,return_20,1,0.018983264967105902,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,0.12234231402841957
dynamic__state__raw__30m__cxt_overlap_V240526__di_1__joint::顶重合1次|底重合0次|任意__age_1_3,state,return_20,-1,-0.022304497578897214,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,0.3172314745784983
dynamic__state__raw__30m__cxt_overlap_V240526__di_1__joint::顶重合1次|底重合1次|任意__exit,event,max_drawdown_20,1,0.006323022437133558,raw__daily__cxt_bi_status_V230101,0.05663017270881495
dynamic__state__raw__30m__cxt_overlap_V240526__di_1__joint::顶重合2次|底重合1次|任意__exit,event,max_drawdown_20,1,0.013897864767421636,raw__daily__cxt_bi_status_V230101,0.043110366311863824
dynamic__state__raw__30m__cxt_overlap_V240526__di_1__joint::顶重合3次|底重合0次|任意__onset,event,max_drawdown_20,1,0.020175682828371937,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,0.11489325842345502
dynamic__state__raw__30m__cxt_overlap_V240526__di_1__joint::顶重合3次|底重合0次|任意__exit,event,max_drawdown_20,1,0.01803065521540778,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.10242813448337568
dynamic__state__raw__30m__cxt_overlap_V240526__di_1__v1::顶重合0次__age_4_8,state,max_drawdown_20,1,0.0050973574529593075,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,0.2568475029422559
dynamic__state__raw__30m__cxt_overlap_V240526__di_1__v1::顶重合1次__age_1_3,state,return_20,-1,-0.015543305477229824,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.2761165330237936
dynamic__state__raw__30m__cxt_overlap_V240526__di_1__v1::顶重合3次__exit,event,max_drawdown_20,1,0.01803065521540778,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.10242813448337568
dynamic__state__raw__30m__cxt_overlap_V240526__di_1__v2::底重合0次__onset,event,return_20,1,0.009726227009342536,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.07794837366390006
dynamic__state__raw__30m__cxt_overlap_V240526__di_1__v2::底重合0次__exit,event,return_20,1,0.009879804305775355,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.19828689077240627
dynamic__state__raw__30m__cxt_overlap_V240526__di_1__v2::底重合0次__age_1_3,state,return_20,1,0.013126913306618679,raw__daily__cxt_bi_status_V230101,0.10621963528475485
dynamic__state__raw__30m__cxt_overlap_V240526__di_1__v2::底重合2次__age_1_3,state,max_drawdown_20,-1,-0.00527210309476078,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.20086894685879747
