factor,reason
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__v1::否__age_9_plus,state_active_support
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__v1::是__age_4_8,state_influence
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__v1::是__age_9_plus,state_active_support
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__v2::向上__onset,cross_year_direction
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__v2::向上__exit,cross_year_direction
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__v2::向上__age_1_3,minimum_absolute_effect
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__v2::向上__age_4_8,cross_year_direction
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__v2::向下__onset,cross_year_direction
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__v2::向下__age_1_3,minimum_absolute_effect
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__v2::向下__age_4_8,state_active_support
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__v3::3笔__onset,cross_year_direction
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__v3::3笔__age_1_3,minimum_absolute_effect
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__v3::3笔__age_4_8,state_active_support
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__v3::3笔__age_9_plus,state_active_support
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__v3::5笔__onset,cross_year_direction
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__v3::5笔__exit,cross_year_direction
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__v3::5笔__age_1_3,minimum_absolute_effect
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__v3::5笔__age_4_8,state_active_support
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__v3::7笔__onset,cross_year_direction
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__v3::7笔__exit,cross_year_direction
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__v3::7笔__age_1_3,state_active_support
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__v3::7笔__age_4_8,state_active_support
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__v3::7笔__age_9_plus,state_active_support
dynamic__state__raw__30m__cxt_bi_base_V230228__di_1__joint::向上|中继|任意__exit,cross_year_direction
dynamic__state__raw__30m__cxt_bi_base_V230228__di_1__joint::向上|中继|任意__age_4_8,state_active_support
dynamic__state__raw__30m__cxt_bi_base_V230228__di_1__joint::向上|转折|任意__onset,cross_year_direction
dynamic__state__raw__30m__cxt_bi_base_V230228__di_1__joint::向上|转折|任意__exit,cross_year_direction
dynamic__state__raw__30m__cxt_bi_base_V230228__di_1__joint::向上|转折|任意__age_1_3,minimum_absolute_effect
dynamic__state__raw__30m__cxt_bi_base_V230228__di_1__joint::向上|转折|任意__age_4_8,state_active_support
dynamic__state__raw__30m__cxt_bi_base_V230228__di_1__joint::向下|中继|任意__onset,cross_year_direction
dynamic__state__raw__30m__cxt_bi_base_V230228__di_1__joint::向下|中继|任意__exit,cross_year_direction
dynamic__state__raw__30m__cxt_bi_base_V230228__di_1__joint::向下|中继|任意__age_4_8,state_active_support
dynamic__state__raw__30m__cxt_bi_base_V230228__di_1__joint::向下|转折|任意__onset,cross_year_direction
dynamic__state__raw__30m__cxt_bi_base_V230228__di_1__joint::向下|转折|任意__exit,cross_year_direction
dynamic__state__raw__30m__cxt_bi_base_V230228__di_1__joint::向下|转折|任意__age_1_3,minimum_absolute_effect
dynamic__state__raw__30m__cxt_bi_base_V230228__di_1__joint::向下|转折|任意__age_4_8,state_active_support
dynamic__state__raw__30m__cxt_bi_base_V230228__di_1__v2::中继__exit,cross_year_direction
dynamic__state__raw__30m__cxt_bi_base_V230228__di_1__v2::中继__age_4_8,state_active_support
dynamic__state__raw__30m__cxt_bi_base_V230228__di_1__v2::转折__onset,cross_year_direction
dynamic__state__raw__30m__cxt_bi_base_V230228__di_1__v2::转折__age_4_8,minimum_absolute_effect
dynamic__state__raw__30m__cxt_bi_base_V230228__di_1__v2::转折__age_9_plus,state_active_support
dynamic__state__raw__30m__cxt_bi_end_V230104__di_1__v1::看多__onset,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230104__di_1__v1::看多__exit,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230104__di_1__v1::看多__age_1_3,state_active_support
dynamic__state__raw__30m__cxt_bi_end_V230104__di_1__v1::看空__onset,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230104__di_1__v1::看空__exit,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230105__di_1__v1::看多__onset,event_year_support
dynamic__state__raw__30m__cxt_bi_end_V230105__di_1__v1::看多__exit,event_year_support
dynamic__state__raw__30m__cxt_bi_end_V230105__di_1__v1::看空__onset,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230105__di_1__v1::看空__exit,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__joint::新低|第1次|任意__onset,cross_year_direction
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__joint::新低|第1次|任意__exit,cross_year_direction
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__joint::新低|第1次|任意__age_1_3,minimum_absolute_effect
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__joint::新低|第2次|任意__onset,cross_year_direction
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__joint::新低|第2次|任意__exit,cross_year_direction
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__joint::新低|第2次|任意__age_1_3,state_active_support
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__joint::新低|第3次|任意__onset,cross_year_direction
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__joint::新低|第3次|任意__exit,cross_year_direction
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__joint::新低|第4次|任意__onset,cross_year_direction
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__joint::新低|第4次|任意__exit,cross_year_direction
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__joint::新低|第5次|任意__onset,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__joint::新低|第5次|任意__exit,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__joint::新低|第6次|任意__onset,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__joint::新低|第6次|任意__exit,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__joint::新低|第8次|任意__onset,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__joint::新低|第8次|任意__exit,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__joint::新高|第1次|任意__onset,cross_year_direction
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__joint::新高|第1次|任意__exit,cross_year_direction
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__joint::新高|第2次|任意__onset,cross_year_direction
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__joint::新高|第2次|任意__exit,cross_year_direction
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__joint::新高|第2次|任意__age_1_3,state_active_support
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__joint::新高|第3次|任意__onset,cross_year_direction
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__joint::新高|第4次|任意__onset,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__joint::新高|第4次|任意__exit,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__joint::新高|第5次|任意__onset,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__joint::新高|第5次|任意__exit,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__joint::新高|第6次|任意__onset,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__joint::新高|第6次|任意__exit,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__joint::新高|第8次|任意__onset,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__joint::新高|第8次|任意__exit,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__v1::新低__exit,cross_year_direction
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__v1::新低__age_4_8,state_active_support
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__v1::新高__age_4_8,state_active_support
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__v2::第1次__onset,cross_year_direction
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__v2::第1次__exit,minimum_absolute_effect
