candidate_id,trend_trend_multiplier,trend_volume_multiplier,range_trend_multiplier,range_volume_multiplier,strategy_return,annualized_return,max_drawdown,calmar,win_loss_ratio,closed_trade_count,winning_trade_count,losing_trade_count,has_wins_and_losses,sharpe,exposure,trade_count,manhattan_distance,euclidean_distance,strategy_return_delta_from_selected,annualized_return_delta_from_selected,max_drawdown_delta_from_selected,calmar_delta_from_selected,win_loss_ratio_delta_from_selected,closed_trade_count_delta_from_selected,winning_trade_count_delta_from_selected,losing_trade_count_delta_from_selected,has_wins_and_losses_delta_from_selected,sharpe_delta_from_selected,exposure_delta_from_selected,trade_count_delta_from_selected,strategy_return_global_percentile,strategy_return_neighborhood_percentile,sharpe_global_percentile,sharpe_neighborhood_percentile,max_drawdown_global_percentile,max_drawdown_neighborhood_percentile,calmar_global_percentile,calmar_neighborhood_percentile,win_loss_ratio_global_percentile,win_loss_ratio_neighborhood_percentile,exposure_global_percentile,exposure_neighborhood_percentile,trade_count_global_percentile,trade_count_neighborhood_percentile,closed_trade_count_global_percentile,closed_trade_count_neighborhood_percentile
23,0.5,0.5,1.5,1.25,0.9415249212880081,0.1479181282723936,-0.2761677198979212,0.5356097675972702,3.9166141619426664,67,22,45,True,0.8256368724016381,0.5173267326732673,135,2.0,1.4142135623730951,0.18895154530386038,0.02417939477086617,-0.04544492142660106,-0.0006993198504042786,-0.7112662550498232,4.0,4.0,0.0,0.0,0.10102604445539054,-0.00990099009900991,8.0,0.9568,0.9666666666666667,0.9552,0.9666666666666667,0.7104,0.43333333333333335,0.8576,0.8333333333333334,0.6384,0.26666666666666666,0.1824,0.25,0.5192,0.65,0.5192,0.65
43,0.5,0.75,1.25,1.25,0.7501831040825413,0.1234198962348243,-0.35649931557749426,0.3461995320661305,3.708686145382684,66,21,45,True,0.7120123199190985,0.5635313531353136,133,2.0,1.4142135623730951,-0.0023902719016064555,-0.0003188372667031203,-0.1257765171061741,-0.19010955538154395,-0.9191942716098058,3.0,3.0,0.0,0.0,-0.012598508027149014,0.0363036303630363,6.0,0.728,0.6333333333333333,0.7088,0.6,0.4144,0.06666666666666667,0.5616,0.26666666666666666,0.4784,0.06666666666666667,0.5128,0.7666666666666667,0.3968,0.55,0.3968,0.55
133,0.75,0.5,0.75,1.25,0.378457021962725,0.06901241962213844,-0.34624626052953245,0.19931599987995294,3.6214676529619876,66,19,47,True,0.46985510959445476,0.5891089108910891,133,2.0,2.0,-0.37411635402142274,-0.05472631387938898,-0.11552346205821229,-0.3369930875677215,-1.006412764030502,3.0,1.0,2.0,0.0,-0.2547557183517928,0.061881188118811825,6.0,0.1872,0.03333333333333333,0.1936,0.03333333333333333,0.4592,0.1,0.2576,0.03333333333333333,0.4336,0.03333333333333333,0.6584,1.0,0.3968,0.55,0.3968,0.55
137,0.75,0.5,1.0,1.0,0.7480809768849912,0.1231392092855137,-0.22723365546046226,0.5419056830995681,4.174421990840767,65,20,45,True,0.7227816287980912,0.5181518151815182,131,2.0,1.4142135623730951,-0.004492399099156552,-0.0005995242160137249,0.003489143010857898,0.005596595651893632,-0.45345842615172227,2.0,2.0,0.0,0.0,-0.0018291991481563796,-0.009075907590759047,4.0,0.72,0.6,0.7408,0.6333333333333333,0.9248,0.8,0.8688,0.9,0.7904,0.5,0.188,0.3,0.2752,0.38333333333333336,0.2752,0.38333333333333336
139,0.75,0.5,1.0,1.5,0.4628580339158357,0.08230326442557057,-0.32002549894544907,0.25717720836863633,4.312295570954133,72,19,53,True,0.5316948895952389,0.5833333333333334,145,2.0,1.4142135623730951,-0.28971534206831207,-0.041435469075956854,-0.08930270047412892,-0.27913187907903814,-0.315584846038357,9.0,1.0,8.0,0.0,-0.19291593835100862,0.05610561056105612,18.0,0.2928,0.06666666666666667,0.296,0.06666666666666667,0.5536,0.16666666666666666,0.3824,0.06666666666666667,0.8592,0.6666666666666666,0.636,0.9666666666666667,0.9056,1.0,0.9056,1.0
141,0.75,0.5,1.25,0.75,0.8407383324882203,0.1352652860084218,-0.1907920518446088,0.7089670911374707,3.9487100817891783,64,21,43,True,0.7821321765886883,0.4900990099009901,129,2.0,2.0,0.08816495650407252,0.011526552506894383,0.039930746626711366,0.17265800368979622,-0.6791703352033114,1.0,3.0,-2.0,0.0,0.05752134864244074,-0.03712871287128716,2.0,0.8736,0.8666666666666667,0.888,0.9,0.9968,1.0,0.9872,1.0,0.6608,0.3,0.0216,0.03333333333333333,0.18,0.2,0.18,0.2
147,0.75,0.5,1.5,1.0,0.8077839377889422,0.1310091249530121,-0.20527915066069014,0.638199858735579,3.9006785581622676,64,21,43,True,0.7627779931022955,0.49174917491749176,129,2.0,1.4142135623730951,0.055210561804794445,0.00727039145148467,0.02544364781063002,0.10189077128790458,-0.727201858830222,1.0,3.0,-2.0,0.0,0.03816716515604801,-0.03547854785478549,2.0,0.824,0.8,0.84,0.8,0.9872,0.9666666666666667,0.9504,0.9666666666666667,0.624,0.23333333333333334,0.0304,0.06666666666666667,0.18,0.2,0.18,0.2
149,0.75,0.5,1.5,1.5,0.6970421729753129,0.1162407540842123,-0.2550977484925524,0.4556714230960998,4.555999735014936,64,18,46,True,0.6900853738565401,0.5297029702970297,129,2.0,1.4142135623730951,-0.05553120300883485,-0.007497979417315115,-0.024374950021232245,-0.08063766435157466,-0.0718806819775537,1.0,0.0,1.0,0.0,-0.03452545408970742,0.0024752475247524774,2.0,0.6224,0.4,0.6352,0.4,0.8208,0.6,0.736,0.4666666666666667,0.9248,0.8666666666666667,0.2768,0.4166666666666667,0.18,0.2,0.18,0.2
163,0.75,0.75,1.0,1.25,0.7140686409454944,0.11856011824243406,-0.30923416735772635,0.3833991542897072,4.724441857523115,69,19,50,True,0.69663607600322,0.5717821782178217,139,2.0,1.4142135623730951,-0.03850473503865337,-0.005178615259093355,-0.0785113688864062,-0.15290993315796725,0.09656144053062565,6.0,1.0,5.0,0.0,-0.027974751943027565,0.04455445544554448,12.0,0.6608,0.4666666666666667,0.6512,0.43333333333333335,0.5936,0.3,0.616,0.36666666666666664,0.9696,0.9666666666666667,0.572,0.9,0.7136,0.7666666666666667,0.7136,0.7666666666666667
167,0.75,0.75,1.25,1.0,0.7892797650340242,0.1285922456586983,-0.24970884211682054,0.5149687314578127,4.081469970441708,64,20,44,True,0.7464836414763928,0.5214521452145214,129,2.0,1.4142135623730951,0.03670638904987644,0.004853512157170892,-0.018986043645500383,-0.021340355989861726,-0.546410446550782,1.0,2.0,-1.0,0.0,0.021872813530145252,-0.005775577557755818,2.0,0.8016,0.7333333333333333,0.8048,0.7333333333333333,0.848,0.65,0.8288,0.6333333333333333,0.7488,0.4666666666666667,0.2136,0.3333333333333333,0.18,0.2,0.18,0.2
169,0.75,0.75,1.25,1.5,0.6077636053297175,0.10376821037038386,-0.32958978581940035,0.3148404921360152,4.466772996497671,69,19,50,True,0.6286216720497653,0.5808580858085809,139,2.0,1.4142135623730951,-0.14480977065443024,-0.019970523131143558,-0.0988669873480802,-0.22146859531165924,-0.16110742049481885,6.0,1.0,5.0,0.0,-0.09598915589648227,0.05363036303630364,12.0,0.488,0.23333333333333334,0.4896,0.2,0.5248,0.13333333333333333,0.5088,0.16666666666666666,0.9024,0.8,0.6232,0.9333333333333333,0.7136,0.7666666666666667,0.7136,0.7666666666666667
173,0.75,0.75,1.5,1.25,0.802440531027097,0.13031322832763292,-0.24970884211682054,0.5218606887243059,4.177320923026847,65,20,45,True,0.7531970333570327,0.5297029702970297,131,2.0,1.4142135623730951,0.04986715504294925,0.006574494826105504,-0.018986043645500383,-0.01444839872336856,-0.45055949396564277,2.0,2.0,0.0,0.0,0.02858620541078516,0.0024752475247524774,4.0,0.8208,0.7666666666666667,0.8176,0.7666666666666667,0.848,0.65,0.8352,0.6666666666666666,0.7936,0.5333333333333333,0.2768,0.4166666666666667,0.2752,0.38333333333333336,0.2752,0.38333333333333336
193,0.75,1.0,1.25,1.25,0.6664520191289633,0.11202701408104043,-0.37201499914591885,0.30113574543562704,4.061651294545759,65,19,46,True,0.6606380630048218,0.5693069306930693,131,2.0,2.0,-0.0861213568551844,-0.011711719420486988,-0.1412922006745987,-0.23517334201204743,-0.5662291224467308,2.0,1.0,1.0,0.0,-0.06397276494142579,0.042079207920792006,4.0,0.584,0.3,0.568,0.3,0.3536,0.03333333333333333,0.488,0.13333333333333333,0.736,0.43333333333333335,0.556,0.8666666666666667,0.2752,0.38333333333333336,0.2752,0.38333333333333336
263,1.0,0.5,1.0,1.25,0.6025095396981446,0.10301725882507462,-0.29234565332988716,0.35238170176872247,4.298629270700779,71,20,51,True,0.6279918637926345,0.5594059405940595,143,2.0,1.4142135623730951,-0.15006383628600317,-0.0207214746764528,-0.061622854858567,-0.183927385678952,-0.3292511462917105,8.0,2.0,6.0,0.0,-0.09661896415361304,0.03217821782178221,16.0,0.4816,0.16666666666666666,0.4816,0.16666666666666666,0.656,0.36666666666666664,0.5664,0.3,0.848,0.6333333333333333,0.4864,0.6833333333333333,0.8592,0.9166666666666666,0.8592,0.9166666666666666
267,1.0,0.5,1.25,1.0,0.6728255941221999,0.11290998564628363,-0.2265609882512648,0.498364641317075,3.759412591794493,66,21,45,True,0.6771603604553215,0.509075907590759,133,2.0,1.4142135623730951,-0.07974778186194786,-0.010828747855243792,0.004161810220055351,-0.037944446130599496,-0.8684678251979965,3.0,3.0,0.0,0.0,-0.047450467490926074,-0.018151815181518205,6.0,0.5936,0.3333333333333333,0.5984,0.3333333333333333,0.9328,0.9,0.7952,0.5666666666666667,0.5232,0.1,0.1312,0.15,0.3968,0.55,0.3968,0.55
269,1.0,0.5,1.25,1.5,0.5031233018178081,0.08843089068291499,-0.31319894572343476,0.2823473446842393,4.056501294681364,71,20,51,True,0.5601676228751011,0.5684818481848185,143,2.0,1.4142135623730951,-0.24945007416633969,-0.035307842818612434,-0.0824761472521146,-0.2539617427634352,-0.571379122311126,8.0,2.0,6.0,0.0,-0.1644432050711464,0.041254125412541254,16.0,0.328,0.1,0.3344,0.1,0.5808,0.26666666666666666,0.4416,0.1,0.7312,0.4,0.5472,0.8166666666666667,0.8592,0.9166666666666666,0.8592,0.9166666666666666
273,1.0,0.5,1.5,1.25,0.685129799770579,0.1146070545431761,-0.22684876248650643,0.5052134879950833,3.847875538595879,67,21,46,True,0.6840287322403276,0.5173267326732673,135,2.0,1.4142135623730951,-0.06744357621356878,-0.00913167895835132,0.0038740359848137285,-0.031095599452591216,-0.7800048783966105,4.0,3.0,1.0,0.0,-0.040582095705919974,-0.00990099009900991,8.0,0.6032,0.36666666666666664,0.6144,0.36666666666666664,0.9272,0.8333333333333334,0.8096,0.6,0.5936,0.2,0.1824,0.25,0.5192,0.65,0.5192,0.65
293,1.0,0.75,1.25,1.25,0.7822991872239342,0.12767534945726444,-0.24144001884813449,0.5288077348004686,4.664451322650179,63,18,45,True,0.7412455005663339,0.5412541254125413,127,2.0,1.4142135623730951,0.02972581123978646,0.003936615955737022,-0.01071722037681433,-0.007501352647205861,0.0365709056576895,0.0,0.0,0.0,0.0,0.016634672620086333,0.014026402640264002,0.0,0.7952,0.7,0.7936,0.7,0.8784,0.7333333333333333,0.8448,0.7333333333333333,0.9536,0.9333333333333333,0.3744,0.5666666666666667,0.1192,0.06666666666666667,0.1192,0.06666666666666667
393,1.25,0.5,1.25,1.25,0.6063429085500611,0.10356534540811202,-0.31438312273690416,0.3294239986755972,3.8291571932589155,69,21,48,True,0.6335172823931177,0.5305280528052805,139,2.0,2.0,-0.14623046743408663,-0.0201733880934154,-0.08366032426558401,-0.20688508877207729,-0.7987232237335742,6.0,3.0,3.0,0.0,-0.09109354555312987,0.0033003300330032292,12.0,0.4864,0.2,0.5024,0.23333333333333334,0.5776,0.23333333333333334,0.5424,0.23333333333333334,0.5872,0.16666666666666666,0.284,0.4666666666666667,0.7136,0.7666666666666667,0.7136,0.7666666666666667
