candidate_id,trend_trend_multiplier,trend_volume_multiplier,range_trend_multiplier,range_volume_multiplier,strategy_return,annualized_return,max_drawdown,calmar,win_loss_ratio,closed_trade_count,winning_trade_count,losing_trade_count,has_wins_and_losses,sharpe,exposure,trade_count,manhattan_distance,euclidean_distance,strategy_return_delta_from_selected,annualized_return_delta_from_selected,max_drawdown_delta_from_selected,calmar_delta_from_selected,win_loss_ratio_delta_from_selected,closed_trade_count_delta_from_selected,winning_trade_count_delta_from_selected,losing_trade_count_delta_from_selected,has_wins_and_losses_delta_from_selected,sharpe_delta_from_selected,exposure_delta_from_selected,trade_count_delta_from_selected,strategy_return_global_percentile,strategy_return_neighborhood_percentile,sharpe_global_percentile,sharpe_neighborhood_percentile,max_drawdown_global_percentile,max_drawdown_neighborhood_percentile,calmar_global_percentile,calmar_neighborhood_percentile,win_loss_ratio_global_percentile,win_loss_ratio_neighborhood_percentile,exposure_global_percentile,exposure_neighborhood_percentile,trade_count_global_percentile,trade_count_neighborhood_percentile,closed_trade_count_global_percentile,closed_trade_count_neighborhood_percentile
21,0.5,0.5,1.5,0.75,1.0964194172227804,0.16638518961027904,-0.2509792422635083,0.6629440272020097,3.872159161111503,66,23,43,True,0.9095557046523903,0.49504950495049505,133,4.0,2.449489742783178,0.3438460412386326,0.04264645610875162,-0.02025644379218816,0.12663493975433526,-0.7557212558809865,3.0,5.0,-2.0,0.0,0.1849448767061428,-0.03217821782178221,6.0,0.9952,,0.9952,,0.84,,0.9648,,0.6064,,0.0504,,0.3968,,0.3968,
22,0.5,0.5,1.5,1.0,1.0316484121018528,0.15879900865378804,-0.25597402356625854,0.6203715769334037,3.7724208366196437,66,23,43,True,0.8764592066186112,0.49834983498349833,133,3.0,1.7320508075688772,0.279075036117705,0.03506027515226062,-0.02525122509493838,0.08406248948572925,-0.855459580372846,3.0,5.0,-2.0,0.0,0.15184837867236367,-0.028877887788778922,6.0,0.9888,,0.9856,,0.8176,,0.9392,,0.5392,,0.0664,,0.3968,,0.3968,
23,0.5,0.5,1.5,1.25,0.9415249212880081,0.1479181282723936,-0.2761677198979212,0.5356097675972702,3.9166141619426664,67,22,45,True,0.8256368724016381,0.5173267326732673,135,2.0,1.4142135623730951,0.18895154530386038,0.02417939477086617,-0.04544492142660106,-0.0006993198504042786,-0.7112662550498232,4.0,4.0,0.0,0.0,0.10102604445539054,-0.00990099009900991,8.0,0.9568,0.9666666666666667,0.9552,0.9666666666666667,0.7104,0.43333333333333335,0.8576,0.8333333333333334,0.6384,0.26666666666666666,0.1824,0.25,0.5192,0.65,0.5192,0.65
24,0.5,0.5,1.5,1.5,0.9071930909022736,0.14366776599214504,-0.2766121129690703,0.519383494996148,4.394661119221102,66,20,46,True,0.8035124010390449,0.5363036303630363,133,3.0,1.7320508075688772,0.15461971491812587,0.019929032490617615,-0.04588931449775013,-0.016925592451526472,-0.23321929777138806,3.0,2.0,1.0,0.0,0.07890157309279733,0.009075907590759047,6.0,0.9408,,0.9312,,0.704,,0.8336,,0.888,,0.3352,,0.3968,,0.3968,
25,0.5,0.75,0.5,0.5,0.8277848475052982,0.13359955974856996,-0.341859219047113,0.39080285774056617,3.639056434555643,66,22,44,True,0.7590040223085102,0.5511551155115512,133,8.0,4.47213595499958,0.07521147152115049,0.009860826247042542,-0.11113642057579287,-0.1455062297071083,-0.9888239824368465,3.0,4.0,-1.0,0.0,0.034393194362262625,0.02392739273927391,6.0,0.848,,0.8336,,0.4736,,0.6304,,0.44,,0.4352,,0.3968,,0.3968,
26,0.5,0.75,0.5,0.75,0.5389499342546216,0.0937746773890169,-0.4371667390439282,0.2145055170347579,3.0502715251920365,68,23,45,True,0.5782319194606383,0.6023102310231023,137,7.0,3.872983346207417,-0.2136234417295262,-0.029964056112510518,-0.20644394057260806,-0.3218035704129166,-1.5776088918004532,5.0,5.0,0.0,0.0,-0.1463789084856092,0.07508250825082508,10.0,0.3808,,0.3664,,0.1504,,0.2848,,0.112,,0.7456,,0.6208,,0.6208,
27,0.5,0.75,0.5,1.0,0.4330284881733648,0.07767703137283055,-0.45364299266515584,0.17122943069499968,2.9804357196565148,66,22,44,True,0.5044402734004649,0.6237623762376238,133,6.0,3.4641016151377544,-0.31954488781078294,-0.04606170212869687,-0.22292019419383569,-0.3650796567526748,-1.6474446973359749,3.0,4.0,-1.0,0.0,-0.2201705545457826,0.09653465346534651,6.0,0.2496,,0.248,,0.1216,,0.2032,,0.096,,0.8328,,0.3968,,0.3968,
28,0.5,0.75,0.5,1.25,0.2733454623981544,0.051527188540350766,-0.49125991060064345,0.1048878351936973,2.293701936279525,53,20,33,True,0.3847685458110298,0.66996699669967,107,5.0,3.3166247903554,-0.47922791358599337,-0.07221154496117665,-0.2605371121293233,-0.43142125225397715,-2.3341784807129646,-10.0,2.0,-12.0,0.0,-0.3398422821352177,0.14273927392739272,-20.0,0.0976,,0.096,,0.0704,,0.0848,,0.0128,,0.9576,,0.0296,,0.0296,
29,0.5,0.75,0.5,1.5,0.3394641799926934,0.06265335013147189,-0.4933453117090948,0.1269969505019153,2.1638094688319436,53,21,32,True,0.433116157822201,0.6732673267326733,107,6.0,3.4641016151377544,-0.41310919599145435,-0.061085383370055535,-0.26262251323777464,-0.4093121369457592,-2.464070948160546,-10.0,3.0,-13.0,0.0,-0.29149467012404656,0.14603960396039606,-20.0,0.1504,,0.144,,0.0672,,0.112,,0.0048,,0.9632,,0.0296,,0.0296,
30,0.5,0.75,0.75,0.5,0.8850218182836946,0.14089059517382374,-0.28138318644062466,0.5007072275924823,3.264913169455207,67,24,43,True,0.7922872836548823,0.5313531353135313,135,7.0,3.872983346207417,0.1324484422995469,0.01715186167229632,-0.0506603879693045,-0.03560185985519215,-1.3629672475372825,4.0,6.0,-2.0,0.0,0.06767645570863479,0.004125412541254092,8.0,0.9232,,0.9056,,0.68,,0.7984,,0.2064,,0.2912,,0.5192,,0.5192,
