ts_code,trade_date,close,pre_close,pct_chg,vol,amount
000025.SZ,2026-06-12,15.22,15.27,-0.3274,77359.4,117939.7427
000027.SZ,2026-06-12,7.2,7.1,1.4085,456182.38,326480.54824
000032.SZ,2026-06-12,18.92,17.2,10.0,1055555.92,1922674.71884
000034.SZ,2026-06-12,22.33,22.15,0.8126,256345.65,576837.09297
000039.SZ,2026-06-12,8.97,9.26,-3.1317,656608.55,593424.15798
000050.SZ,2026-06-12,7.51,7.66,-1.9582,585581.2,447126.87114
000088.SZ,2026-06-12,4.34,4.22,2.8436,295313.23,126817.22431
000006.SZ,2026-06-15,7.88,7.85,0.3822,205887.9,162702.89399
000008.SZ,2026-06-15,2.56,2.45,4.4898,414675.06,104983.57324
000009.SZ,2026-06-15,6.97,7.06,-1.2748,367036.82,258197.75535
000012.SZ,2026-06-15,4.11,4.0,2.75,510287.84,210047.09253
000021.SZ,2026-06-15,39.47,37.09,6.4168,1327925.73,5102805.73784
000025.SZ,2026-06-15,15.59,15.22,2.431,110969.6,172240.92615
000027.SZ,2026-06-15,7.29,7.2,1.25,426825.24,309390.38894
000032.SZ,2026-06-15,20.81,18.92,9.9894,1004808.61,2028997.07785
000034.SZ,2026-06-15,24.06,22.33,7.7474,404992.83,948370.77899
000039.SZ,2026-06-15,9.4,8.97,4.7938,584516.81,541070.19625
000050.SZ,2026-06-15,7.95,7.51,5.8589,626291.21,492190.60452
000088.SZ,2026-06-15,4.43,4.34,2.0737,292492.29,128995.13319
000006.SZ,2026-06-16,7.93,7.88,0.6345,334825.19,263445.13866
000008.SZ,2026-06-16,2.54,2.56,-0.7813,225266.34,57250.37502
000009.SZ,2026-06-16,7.08,6.97,1.5782,386315.73,271211.97923
000012.SZ,2026-06-16,4.52,4.11,9.9757,428469.97,189512.92713
000021.SZ,2026-06-16,40.77,39.47,3.2936,1563359.84,6337496.118
000025.SZ,2026-06-16,15.78,15.59,1.2187,120662.74,191676.37613
000027.SZ,2026-06-16,7.33,7.29,0.5487,665588.92,495625.03146
000032.SZ,2026-06-16,22.89,20.81,9.9952,1010396.98,2257243.00443
000034.SZ,2026-06-16,26.47,24.06,10.0166,666668.33,1699013.41525
000039.SZ,2026-06-16,9.16,9.4,-2.5532,359883.9,328058.03628
000050.SZ,2026-06-16,8.31,7.95,4.5283,599531.02,495044.3647
000088.SZ,2026-06-16,4.36,4.43,-1.5801,190140.0,82982.334
000006.SZ,2026-06-17,7.74,7.93,-2.396,219717.0,170657.299
000008.SZ,2026-06-17,2.5,2.54,-1.5748,247775.83,62056.7505
000009.SZ,2026-06-17,6.99,7.08,-1.2712,182633.63,127566.12615
000012.SZ,2026-06-17,4.63,4.52,2.4336,1726157.05,798194.41812
000021.SZ,2026-06-17,42.91,40.77,5.249,1654931.46,6952080.32811
000025.SZ,2026-06-17,15.87,15.78,0.5703,103214.78,161473.92424
000027.SZ,2026-06-17,7.37,7.33,0.5457,488611.34,358503.36439
000032.SZ,2026-06-17,23.22,22.89,1.4417,1604794.76,3648586.84668
000034.SZ,2026-06-17,26.69,26.47,0.8311,533511.49,1414603.04795
000039.SZ,2026-06-17,9.09,9.16,-0.7642,394315.81,361184.58688
000050.SZ,2026-06-17,9.14,8.31,9.988,576327.55,520988.41243
000088.SZ,2026-06-17,4.33,4.36,-0.6881,117944.47,51236.81906
000006.SZ,2026-06-18,8.21,7.74,6.0724,616634.2,507013.65798
000008.SZ,2026-06-18,2.45,2.5,-2.0,212449.67,52313.61782
000009.SZ,2026-06-18,6.84,6.99,-2.1459,251156.42,172421.79417
000012.SZ,2026-06-18,4.3,4.63,-7.1274,1065363.67,460635.78949
000021.SZ,2026-06-18,44.04,42.91,2.6334,1886099.24,8236411.12943
000025.SZ,2026-06-18,15.37,15.87,-3.1506,94709.95,148002.0236
000027.SZ,2026-06-18,6.88,7.37,-6.6486,761739.95,537564.34891
000032.SZ,2026-06-18,24.6,23.22,5.9432,1473954.82,3666822.51186
000034.SZ,2026-06-18,26.58,26.69,-0.4121,369141.82,980767.22344
000039.SZ,2026-06-18,8.88,9.09,-2.3102,540772.74,486060.45072
000050.SZ,2026-06-18,8.94,9.14,-2.1882,1333370.94,1184703.4958
000088.SZ,2026-06-18,4.3,4.33,-0.6928,152223.33,65334.92312
000006.SZ,2026-06-22,7.79,8.21,-5.1157,428637.47,332646.912
000008.SZ,2026-06-22,2.46,2.45,0.4082,270400.34,65563.25796
000009.SZ,2026-06-22,6.88,6.84,0.5848,273392.82,184539.90711
000012.SZ,2026-06-22,4.73,4.3,10.0,915655.86,416698.1435
000021.SZ,2026-06-22,46.68,44.04,5.9946,1925258.53,8791270.83155
000025.SZ,2026-06-22,15.61,15.37,1.5615,76200.44,116286.85892
000027.SZ,2026-06-22,7.02,6.88,2.0349,484199.62,332844.12335
000032.SZ,2026-06-22,24.59,24.6,-0.0407,909447.97,2231322.72242
000034.SZ,2026-06-22,26.26,26.58,-1.2039,337008.43,881936.34761
000039.SZ,2026-06-22,8.98,8.88,1.1261,515269.14,450631.06286
000050.SZ,2026-06-22,9.28,8.94,3.8031,1108173.84,1024087.23469
000088.SZ,2026-06-22,4.29,4.3,-0.2326,191519.98,81550.56076
000006.SZ,2026-06-23,7.86,7.79,0.8986,282659.58,223753.0939
000008.SZ,2026-06-23,2.45,2.46,-0.4065,232604.0,57323.536
000009.SZ,2026-06-23,6.77,6.88,-1.5988,228338.59,156230.08711
000012.SZ,2026-06-23,4.67,4.73,-1.2685,1550582.21,732907.15689
000021.SZ,2026-06-23,45.7,46.68,-2.0994,1773391.53,8211136.58104
000025.SZ,2026-06-23,15.89,15.61,1.7937,93969.79,148496.07908
000027.SZ,2026-06-23,7.02,7.02,0.0,445297.8,313546.8383
000032.SZ,2026-06-23,23.04,24.59,-6.3034,835196.04,1955852.76333
000034.SZ,2026-06-23,25.14,26.26,-4.265,330929.05,841749.42625
000039.SZ,2026-06-23,8.53,8.98,-5.0111,475845.58,411942.33874
