window,strategy_return,sharpe,max_drawdown,exposure,trade_count,coalition,coalition_size
2025,0.4320365699748874,1.9498234931360512,-0.14503837773888306,0.691358024691358,15,trend+volume_position,2
2021H1,0.17585416766065864,2.4825597404031496,-0.08541876040230223,0.5084745762711864,5,trend+volume_position,2
2021H2,-0.06864486685100601,-1.0411102759605015,-0.12209653809311272,0.536,17,trend+volume_position,2
2022H1,-0.06279471051900598,-0.6554246825626847,-0.14767770147356896,0.5470085470085471,11,trend+volume_position,2
2022H2,0.012760535343500079,0.29119746258347834,-0.09330383229475037,0.496,13,trend+volume_position,2
2023H1,0.04436105887262132,0.6897739801216366,-0.11094347540392124,0.7711864406779662,13,trend+volume_position,2
2023H2,-0.11618418610099035,-2.5892470144780937,-0.1259809015633543,0.4838709677419355,15,trend+volume_position,2
2024H1,-0.08453461118874661,-1.091420492571889,-0.11218947015927683,0.5384615384615384,14,trend+volume_position,2
2024H2,0.2231153605237759,1.235032118765702,-0.18231540565177728,0.496,13,trend+volume_position,2
2025H1,0.03216155097651252,0.5412830615411443,-0.14503837773888306,0.6495726495726496,11,trend+volume_position,2
2025H2,0.3880707372598369,2.8833982119369064,-0.13253644983643242,0.7301587301587301,5,trend+volume_position,2
2021,-0.00619914062358029,0.05300635265283405,-0.1812898546014765,0.5596707818930041,29,structure+trend+volume_position,3
2022,0.07661831985256495,0.6370395335320825,-0.0854180176971977,0.48760330578512395,23,structure+trend+volume_position,3
2023,-0.050372752649808894,-0.34463972717980246,-0.1508975380849421,0.5330578512396694,33,structure+trend+volume_position,3
2024,0.22170505734424073,0.8682122887851095,-0.18231540565177773,0.45041322314049587,25,structure+trend+volume_position,3
2025,0.4311143133322253,1.9559098664199772,-0.14102529516436368,0.6502057613168725,25,structure+trend+volume_position,3
2021H1,0.19306777530968966,2.6567773518584046,-0.07616618755034055,0.5932203389830508,7,structure+trend+volume_position,3
2021H2,-0.16794861525127291,-2.8407777920336588,-0.1746914467340368,0.528,23,structure+trend+volume_position,3
2022H1,0.04630794366340796,0.7254985472584836,-0.0854180176971977,0.4700854700854701,13,structure+trend+volume_position,3
2022H2,0.031168259974083456,0.5734616952061417,-0.07853962266736636,0.504,11,structure+trend+volume_position,3
2023H1,0.01959253929289262,0.38021080082503983,-0.0856484670694928,0.7033898305084746,20,structure+trend+volume_position,3
2023H2,-0.06862083552634068,-1.5912144703692825,-0.07805054174871007,0.3709677419354839,13,structure+trend+volume_position,3
2024H1,-0.032222302415744974,-0.4131995599473113,-0.08766782107561533,0.4700854700854701,12,structure+trend+volume_position,3
2024H2,0.2623819089795447,1.3922634383082284,-0.1823154056517774,0.432,13,structure+trend+volume_position,3
2025H1,0.042732833304470974,0.6877953718266402,-0.09722267687676034,0.5811965811965812,17,structure+trend+volume_position,3
2025H2,0.37311352138452736,2.792914609533737,-0.14102529516436346,0.7142857142857143,9,structure+trend+volume_position,3
