segment_id,year,episodes,gross_mean_return,gross_win_rate,gross_cumulative_return,baseline_mean_return,baseline_win_rate,baseline_cumulative_return,stress_mean_return,stress_win_rate,stress_cumulative_return
SIGNAL_1030_TO_CLOSE,2022,242,-4.667357463247137e-05,0.512396694214876,-0.024335522134279586,-0.00028663357777409246,0.5,-0.07938791891523767,-0.0012458980316686723,0.4380165289256198,-0.27023780573991296
SIGNAL_1030_TO_CLOSE,2023,242,-0.00029099482083657903,0.49586776859504134,-0.07167510748130801,-0.0005308961939147228,0.4834710743801653,-0.1240563425103588,-0.0014899262681831455,0.39669421487603307,-0.3056461253640733
SIGNAL_1030_TO_CLOSE,2024,242,0.0001169648265099449,0.41735537190082644,0.009018104355103418,-0.0001230344451357293,0.40082644628099173,-0.047916288871594714,-0.0010824558788586356,0.359504132231405,-0.24529048398575237
SIGNAL_1030_TO_CLOSE,2025,243,0.0004358945969493217,0.522633744855967,0.10306879233212074,0.00019581879134283086,0.5061728395061729,0.04057776944252933,-0.0007639085946520305,0.4567901234567901,-0.17593340097337973
SIGNAL_1030_TO_CLOSE,2026,166,0.0004936982810598604,0.5240963855421686,0.07217457606979183,0.0002536086042337068,0.5240963855421686,0.030298844046420914,-0.0007061742333687439,0.4939759036144578,-0.12147518408703817
AFTERNOON_TO_CLOSE,2021,243,0.0002922619147029347,0.5720164609053497,0.07011159740957806,5.2220576804049136e-05,0.5555555555555556,0.009487664620437819,-0.0009073690210332322,0.448559670781893,-0.2005546428415822
AFTERNOON_TO_CLOSE,2022,242,-0.00014089055515130285,0.47520661157024796,-0.04386215261290394,-0.00038082794893071914,0.47107438016528924,-0.0978127486895296,-0.0013400020196064212,0.40082644628099173,-0.2848430281579277
AFTERNOON_TO_CLOSE,2023,242,-0.00026066373119594294,0.49173553719008267,-0.0640075439265011,-0.0005005723828621679,0.49173553719008267,-0.11682142538343654,-0.0014596315540247873,0.384297520661157,-0.29991106158823044
AFTERNOON_TO_CLOSE,2024,242,-0.0007140533659356386,0.4049586776859504,-0.16832050022973422,-0.0009538532171455737,0.39669421487603307,-0.21524846661024433,-0.001912477447447586,0.34710743801652894,-0.3779334285069538
AFTERNOON_TO_CLOSE,2025,243,0.0005442686315456585,0.5432098765432098,0.13504803149628275,0.0003041668192916572,0.5308641975308642,0.07074532162896707,-0.0006556645309146945,0.45267489711934156,-0.1520427578506114
AFTERNOON_TO_CLOSE,2026,166,0.00035558077469615654,0.536144578313253,0.05198567890566674,0.00011552424209422825,0.536144578313253,0.010898461053740593,-0.0008441260981097739,0.4939759036144578,-0.13801768337816478
