repetition,band_mean
87,-0.004459618362421864
88,-0.006185942226957178
89,-0.00011510684522838711
90,0.042785740214154724
91,-0.0030830113614661366
92,-0.0032630457570502042
93,0.003909665561518402
94,-0.006476454961906151
95,0.059647813391824865
96,0.08357956989846271
97,0.008248181601700353
98,0.00045347977937957744
99,0.08306616135456497
100,-0.013095636593934664
101,-0.0031380514992525137
102,0.016135922521040576
103,-0.017854605353013243
104,-0.0035094226183518605
105,-0.0007972975286104666
106,0.08007871093800106
107,0.08357495266782677
108,-0.013477539670000881
109,0.00148796333137266
110,-0.0006008852264911038
111,9.605074604211463e-05
112,0.005102281709908338
113,0.005012567726441234
114,0.0007462856708737816
115,-0.0029103160782588088
116,-0.00626975027922209
117,-0.002336875996462799
118,0.0123231183382469
119,0.001135473946199918
120,5.948168775239946e-05
121,-0.002935923398119953
122,-0.0022576328965005247
123,0.08868196965078039
124,0.0021081624800522213
125,0.0011552187993880598
126,-0.0025722104122171854
127,0.011327679016807276
128,-0.003976091547658129
129,0.0822715827968566
130,0.005984663969308471
131,-0.003383491094244933
132,-0.0011579506493971398
133,-0.014301214700903649
134,-0.0022472285807752816
135,-0.0025197062291913773
136,-0.007765062443943434
137,0.00266648557722283
138,0.01819670490085427
139,0.002952579014691377
140,-0.01098836102887042
141,0.0027121868654968865
142,0.002801144324380968
143,0.004509775406446926
144,0.004062142027612357
145,0.04983776577331211
146,0.011141480146237417
147,-0.011518821019788513
148,0.025305534911127404
149,0.059240509094229524
150,-0.008059158609925178
151,0.010648146478198955
152,-0.0014950195809017488
153,0.0019333787350170788
154,0.0002828618353424802
155,0.01314344408501054
156,0.003203600992586964
157,0.005740969513040681
158,-0.0057728907744705
159,-0.0030226838218359066
160,0.00790318391239958
161,0.006988929639802758
162,-0.004368030422965031
163,-0.003626449884303013
164,0.001979049700439028
165,0.004212013121544981
166,0.011433825916514002
167,0.0015901765724775899
168,0.000167482928083972
169,-0.007496186120015437
170,-0.0014772769113670075
171,0.055726110046443095
172,-0.004350056759191626
173,0.0009574012055049827
174,0.04649622204974771
175,0.0004310581298862344
176,0.0017303897360264257
177,0.0069035426278644275
178,-0.009894726489644297
179,0.0012697278834980124
180,0.0026226449235440177
181,-0.005038134806372367
182,0.010789234654777527
183,0.07097604863273231
184,-0.006373560603445647
185,0.09491428683711074
186,-0.005192059716951043
187,0.004931940114611397
188,0.006294238979859652
189,0.0883024644263439
190,0.013916276051989997
191,0.008450613993871823
192,0.07300941590630047
193,0.10036223791856637
194,-0.006687916553128422
195,-0.009661661070320375
196,0.006984693235250399
197,0.04979523522826718
198,-0.0016617220309519702
199,-0.00448813982450804
200,0.004462406862675835
201,-0.004491630274020452
202,-0.012087514224058234
203,0.01122072486410397
204,-0.009702064197189596
205,-0.011407322606047508
206,-0.0017278827308109547
207,-0.005499528431199079
208,-0.0011926843427647615
209,-0.002343899861232456
210,0.0008842858642563711
211,0.0029185179147524255
212,-0.008891091444801817
213,-0.010813830808891214
214,-0.005836292130712024
215,0.1402457679996499
216,0.0017507159975106113
217,0.0025281416911523908
218,-0.0017703359688871192
219,0.004020359693560896
220,-0.0005427347138246045
221,-0.005637058105527755
222,0.00016674151937608813
223,-0.00011923198529080008
224,0.010541840941761752
225,0.009976576876298071
226,-0.0005935525651151611
227,0.009025201317994577
228,-0.004515284593649407
229,-0.003816647755882386
230,0.0791391768483692
231,0.0052487502131850034
232,0.004070192585992473
233,0.017233557055867748
234,0.0036477049890259825
235,0.08030996982657887
236,0.005102845807506022
237,-0.004148441760213884
238,0.08782591582069223
239,0.017515457717963836
240,0.005955473063484371
241,0.009407784488020779
242,-0.0025618933748951084
243,0.002444095786127685
244,0.00198312486045678
245,-0.006033989144541023
246,-0.005701020587079735
247,0.09623974005520915
248,0.006083184893718207
249,-0.009076442815384162
250,0.005377514164435016
251,0.04858059825738582
252,0.0004345453042837493
253,0.022382053420980767
254,-0.0013120796260446775
255,0.011108861513574188
256,0.0010589167347420949
257,-0.0121587302118484
258,0.011685018855455805
259,0.012756611292451174
260,0.08236664112778735
261,-0.003992221721491497
262,-0.0008569335109933001
263,-0.005626537740784151
264,0.00025137960916578924
265,0.09670851184475904
266,0.007101081533105779
267,0.010017047058525085
268,-9.531453533109075e-05
269,0.0015877494744632363
270,0.07057924828576038
271,0.003449804288957508
272,0.006026172842549017
273,0.0030910813397713698
274,0.003909122052900718
275,-5.3325926088232125e-06
276,0.040346966325067526
277,0.006377960376069393
278,-0.006176406269278832
279,0.08018871698558411
280,0.08416954760119591
281,0.048358444230897316
282,0.0002129393033742192
283,0.013117823507701798
284,-0.00527447942555422
285,-0.004690134838029779
286,0.07666194652395422
287,0.0033531872461948407
288,0.067693653474876
289,0.000317620082481049
290,0.009361026116021413
291,-0.008043478443341944
292,0.011451817853288642
293,-0.000637961402936017
294,-0.0060995825956928484
295,-0.005133887967199254
296,0.003396316353652701
297,0.0042519996928927755
298,0.010959298651622875
299,-0.0015430119557228602
300,-0.00194733204873953
301,-0.003152559828154248
302,0.005101047972404755
303,0.009751269255096652
304,0.08335580348722098
305,0.00746579302870629
306,0.0033994500735223553
307,0.006852320972848158
308,0.005010001029609723
309,0.0011523825484301819
310,-0.00636262482698752
311,0.005584326532950103
312,0.07009368202156427
313,-0.002547567766871887
314,0.08044149375812985
315,-0.011406907668012847
316,0.004569162651414095
317,0.08541216509938122
318,-0.0028835135920447816
319,-0.012387868390118581
320,0.011183838700499635
321,-0.008196722520830988
322,-0.0050772464175039035
323,-0.0034954121518548814
324,-0.004297262885302711
325,0.023690251618688988
326,-0.0033003362258460047
327,0.007711969712032097
328,0.008135204240475124
329,-0.007550661119394307
330,0.010549229283337578
331,0.08049961182833872
332,-0.006992080988754583
333,0.0030380957543515975
334,0.0015656642799194603
335,-0.010523130212723584
336,0.012575051814414075
337,0.01103439520389813
338,0.00586122585180504
339,-0.0034292998103886557
340,0.008075293055132653
341,0.015369138850545031
342,-0.005024204135654829
343,0.008461207285632608
344,0.008051983714795869
345,-0.004426963232075453
346,-0.007366458286559109
347,-0.008501786801610591
348,0.006322915584342977
349,0.008494385271457584
350,0.08943267856834457
351,-0.008459935613602943
352,0.008144600279936557
353,0.08065383113627624
354,-0.0059858004770149105
355,-0.007122615511799394
356,-0.007098265366341583
