split_id,training_blocks,validation_blocks,selected_candidate,training_sharpe,validation_sharpe,validation_rank,validation_candidate_count,validation_percentile,logit
83,"(0, 2, 5, 6, 9)","(1, 3, 4, 7, 8)",LATE_SESSION_FLOW_CONTINUATION:PRIMARY,0.9482645585920442,-0.133374751089093,4,6,0.4,-0.4054651081081643
84,"(0, 2, 5, 7, 8)","(1, 3, 4, 6, 9)",LATE_SESSION_FLOW_CONTINUATION:PRIMARY,1.0232592050394647,-0.02827298170753726,4,6,0.4,-0.4054651081081643
85,"(0, 2, 5, 7, 9)","(1, 3, 4, 6, 8)",LATE_SESSION_FLOW_CONTINUATION:PRIMARY,1.0504726541303577,-0.0953847846505672,4,6,0.4,-0.4054651081081643
86,"(0, 2, 5, 8, 9)","(1, 3, 4, 6, 7)",LATE_SESSION_FLOW_CONTINUATION:PRIMARY,1.0833846939963774,-0.20934748454844473,5,6,0.2,-1.3862943611198906
87,"(0, 2, 6, 7, 8)","(1, 3, 4, 5, 9)",LATE_SESSION_FLOW_CONTINUATION:FIXED_LONG,0.7275075265618086,0.8346143786286626,2,6,0.8,1.3862943611198908
88,"(0, 2, 6, 7, 9)","(1, 3, 4, 5, 8)",LATE_SESSION_FLOW_CONTINUATION:PRIMARY,0.47314017136876685,0.5395935151326248,3,6,0.6,0.4054651081081642
89,"(0, 2, 6, 8, 9)","(1, 3, 4, 5, 7)",PRIOR_INTRADAY_CONTINUATION:FIXED_LONG,0.551509097221841,1.3707902537859782,2,6,0.8,1.3862943611198908
90,"(0, 2, 7, 8, 9)","(1, 3, 4, 5, 6)",LATE_SESSION_FLOW_CONTINUATION:PRIMARY,0.5986387465274093,0.42076529141087055,3,6,0.6,0.4054651081081642
91,"(0, 3, 4, 5, 6)","(1, 2, 7, 8, 9)",PRIOR_INTRADAY_CONTINUATION:FIXED_LONG,1.1376083857839674,0.6661983271803599,2,6,0.8,1.3862943611198908
92,"(0, 3, 4, 5, 7)","(1, 2, 6, 8, 9)",LATE_SESSION_FLOW_CONTINUATION:FIXED_LONG,1.2661492739196618,0.4110421999614795,4,6,0.4,-0.4054651081081643
93,"(0, 3, 4, 5, 8)","(1, 2, 6, 7, 9)",PRIOR_INTRADAY_CONTINUATION:FIXED_LONG,1.269708415188671,0.5925409821468789,1,6,1.0,2.3978952727983702
94,"(0, 3, 4, 5, 9)","(1, 2, 6, 7, 8)",PRIOR_INTRADAY_CONTINUATION:FIXED_LONG,1.0871771404846935,0.753340577350329,3,6,0.6,0.4054651081081642
95,"(0, 3, 4, 6, 7)","(1, 2, 5, 8, 9)",LATE_SESSION_FLOW_CONTINUATION:FIXED_LONG,1.4061516355639885,0.3198689875306144,4,6,0.4,-0.4054651081081643
96,"(0, 3, 4, 6, 8)","(1, 2, 5, 7, 9)",LATE_SESSION_FLOW_CONTINUATION:FIXED_LONG,1.2583027482743503,0.37375560731681434,4,6,0.4,-0.4054651081081643
97,"(0, 3, 4, 6, 9)","(1, 2, 5, 7, 8)",PRIOR_INTRADAY_CONTINUATION:FIXED_LONG,0.7923526129358335,1.036233117556442,2,6,0.8,1.3862943611198908
98,"(0, 3, 4, 7, 8)","(1, 2, 5, 6, 9)",LATE_SESSION_FLOW_CONTINUATION:FIXED_LONG,1.4781702818146365,0.37581122025625485,4,6,0.4,-0.4054651081081643
99,"(0, 3, 4, 7, 9)","(1, 2, 5, 6, 8)",LATE_SESSION_FLOW_CONTINUATION:FIXED_LONG,0.8504915260709119,0.7561789086250532,3,6,0.6,0.4054651081081642
100,"(0, 3, 4, 8, 9)","(1, 2, 5, 6, 7)",PRIOR_INTRADAY_CONTINUATION:FIXED_LONG,0.9094510523906146,0.9407390907463293,1,6,1.0,2.3978952727983702
101,"(0, 3, 5, 6, 7)","(1, 2, 4, 8, 9)",LATE_SESSION_FLOW_CONTINUATION:FIXED_LONG,1.164857410488576,0.37830383123128836,4,6,0.4,-0.4054651081081643
102,"(0, 3, 5, 6, 8)","(1, 2, 4, 7, 9)",PRIOR_INTRADAY_CONTINUATION:FIXED_LONG,1.200829762362948,0.5739266429334122,1,6,1.0,2.3978952727983702
103,"(0, 3, 5, 6, 9)","(1, 2, 4, 7, 8)",PRIOR_INTRADAY_CONTINUATION:FIXED_LONG,1.046232780227219,0.7679306867858376,3,6,0.6,0.4054651081081642
104,"(0, 3, 5, 7, 8)","(1, 2, 4, 6, 9)",PRIOR_INTRADAY_CONTINUATION:FIXED_LONG,1.2395656479847086,0.6381033151002539,1,6,1.0,2.3978952727983702
105,"(0, 3, 5, 7, 9)","(1, 2, 4, 6, 8)",PRIOR_INTRADAY_CONTINUATION:FIXED_LONG,1.051793627869078,0.7955948116835916,2,6,0.8,1.3862943611198908
