mechanism,event_date,component_participation_score,component_flow_score,primary_market_score,pricing_efficiency_score,coordinated_demand_score,threshold
COORDINATED_DEMAND_Q60,2022-05-10,0.7833333333333333,0.8416666666666667,0.975,0.8083333333333333,0.8520833333333333,0.5343749999999999
COORDINATED_DEMAND_Q60,2022-05-18,0.9458333333333333,0.9416666666666667,0.5916666666666667,0.6333333333333333,0.778125,0.5343749999999999
COORDINATED_DEMAND_Q60,2022-05-26,0.7583333333333333,0.925,0.48333333333333334,0.4083333333333333,0.6437499999999999,0.5383333333333333
COORDINATED_DEMAND_Q60,2022-06-01,0.925,0.9666666666666667,0.20833333333333334,0.44166666666666665,0.6354166666666667,0.5424999999999999
COORDINATED_DEMAND_Q60,2022-06-08,0.625,0.15,1.0,0.45833333333333337,0.5583333333333333,0.5566666666666665
COORDINATED_DEMAND_Q60,2022-06-17,0.7625,0.8,0.39166666666666666,0.75,0.6760416666666667,0.5616666666666666
COORDINATED_DEMAND_Q60,2022-06-24,0.7208333333333333,0.6666666666666666,0.5333333333333333,0.9083333333333333,0.7072916666666667,0.5679166666666666
COORDINATED_DEMAND_Q60,2022-07-01,0.9083333333333333,0.6166666666666667,0.025,0.9583333333333334,0.6270833333333333,0.5679166666666666
COORDINATED_DEMAND_Q60,2022-07-20,0.6125,0.3333333333333333,0.8166666666666667,0.44999999999999996,0.553125,0.5477083333333334
COORDINATED_DEMAND_Q60,2022-07-26,0.6,0.19166666666666668,0.9,0.85,0.6354166666666666,0.5504166666666667
COORDINATED_DEMAND_Q60,2022-08-02,0.6875,0.925,0.38333333333333336,0.7666666666666666,0.690625,0.5552083333333333
COORDINATED_DEMAND_Q60,2022-08-08,0.8416666666666667,0.9333333333333333,0.875,0.025000000000000022,0.66875,0.5595833333333333
COORDINATED_DEMAND_Q60,2022-08-12,0.8083333333333333,0.875,0.85,0.2416666666666667,0.69375,0.5595833333333333
COORDINATED_DEMAND_Q60,2022-08-18,0.5083333333333333,0.43333333333333335,0.475,0.8666666666666667,0.5708333333333333,0.5647916666666667
COORDINATED_DEMAND_Q60,2022-09-07,0.5916666666666667,0.7,0.11666666666666667,0.8333333333333334,0.5604166666666667,0.551875
COORDINATED_DEMAND_Q60,2022-09-14,0.6375,0.1,0.6916666666666667,0.8333333333333334,0.565625,0.5504166666666667
COORDINATED_DEMAND_Q60,2022-09-21,0.3958333333333333,0.65,0.4166666666666667,0.975,0.609375,0.5504166666666667
COORDINATED_DEMAND_Q60,2022-09-27,0.41666666666666663,0.725,0.31666666666666665,0.9666666666666667,0.60625,0.551875
