behavior_hash,trial_id,year,cagr,total_return,maximum_drawdown,calmar,closed_trades,order_count,rolling_60_closed_trades_median,rolling_60_closed_trades_p10,exposure_ratio
919906456465c19a65dba780a180b29c42125c6ba4cba118f1a58dadb660dadc,S007-EX09-WEIGHTED-SCORE-00953,2024,0.5279815659863194,0.502490865708676,-0.159521295950669,3.3097873411810452,32,64,8.0,7.0,0.5041322314049587
919906456465c19a65dba780a180b29c42125c6ba4cba118f1a58dadb660dadc,S007-EX09-WEIGHTED-SCORE-00953,2025,0.5003232772368498,0.4787424196053338,-0.10762651461154671,4.648699059359603,21,43,5.5,3.0,0.43209876543209874
919906456465c19a65dba780a180b29c42125c6ba4cba118f1a58dadb660dadc,S007-EX09-WEIGHTED-SCORE-00953,2026,0.9432603543359805,0.5327954697052153,-0.1808872742621046,5.214630814598941,19,38,9.0,4.0,0.4567901234567901
5a34293f504db3aa1c4e0d9a47cdf53d32bd53548d32018f4d325b2894c453d1,S007-EX09-WEIGHTED-SCORE-00659,2021,0.03445148335849879,0.033200874377358636,-0.06141016900605323,0.5610061642250633,28,56,8.0,5.0,0.345679012345679
5a34293f504db3aa1c4e0d9a47cdf53d32bd53548d32018f4d325b2894c453d1,S007-EX09-WEIGHTED-SCORE-00659,2022,-0.014735030431013763,-0.014154465295384777,-0.14552912097105453,-0.10125142193323997,33,66,8.0,6.0,0.30578512396694213
5a34293f504db3aa1c4e0d9a47cdf53d32bd53548d32018f4d325b2894c453d1,S007-EX09-WEIGHTED-SCORE-00659,2023,0.0524446723706804,0.05031205566902064,-0.09191949784588571,0.5705500312742169,23,47,5.0,3.0,0.33884297520661155
5a34293f504db3aa1c4e0d9a47cdf53d32bd53548d32018f4d325b2894c453d1,S007-EX09-WEIGHTED-SCORE-00659,2024,0.47532188754398774,0.4527300797682865,-0.159521295950669,2.9796766927656995,31,62,8.0,6.0,0.512396694214876
5a34293f504db3aa1c4e0d9a47cdf53d32bd53548d32018f4d325b2894c453d1,S007-EX09-WEIGHTED-SCORE-00659,2025,0.48059145390358915,0.45998456849545866,-0.10762651461154671,4.465362978985003,24,49,5.0,4.0,0.411522633744856
5a34293f504db3aa1c4e0d9a47cdf53d32bd53548d32018f4d325b2894c453d1,S007-EX09-WEIGHTED-SCORE-00659,2026,1.0048279669677402,0.5638404025995907,-0.1808872742621045,5.554995347609423,21,42,9.0,5.0,0.4691358024691358
3ffb8d644ec75f2174dba5e155768170967fbd93cbe85324a035c9b924c74661,S007-EX09-WEIGHTED-SCORE-00515,2021,0.040203938232960645,0.03874062922323329,-0.07344972739544853,0.5473667453727264,31,62,9.0,6.0,0.36213991769547327
3ffb8d644ec75f2174dba5e155768170967fbd93cbe85324a035c9b924c74661,S007-EX09-WEIGHTED-SCORE-00515,2022,-0.03181618547978904,-0.03057314232930619,-0.15983477870651375,-0.19905671179493073,35,70,8.0,7.0,0.30991735537190085
3ffb8d644ec75f2174dba5e155768170967fbd93cbe85324a035c9b924c74661,S007-EX09-WEIGHTED-SCORE-00515,2023,0.05400792917235275,0.05181019234355855,-0.08778700120441696,0.6152155607479092,29,59,7.0,4.0,0.34710743801652894
3ffb8d644ec75f2174dba5e155768170967fbd93cbe85324a035c9b924c74661,S007-EX09-WEIGHTED-SCORE-00515,2024,0.4890630174528048,0.46572146336428344,-0.12001055845492792,4.075166583250931,38,76,9.0,7.0,0.48760330578512395
3ffb8d644ec75f2174dba5e155768170967fbd93cbe85324a035c9b924c74661,S007-EX09-WEIGHTED-SCORE-00515,2025,0.46072571211786006,0.44109038735422224,-0.08818295405821364,5.224657271219489,35,71,10.0,6.0,0.38271604938271603
3ffb8d644ec75f2174dba5e155768170967fbd93cbe85324a035c9b924c74661,S007-EX09-WEIGHTED-SCORE-00515,2026,1.0097612098699185,0.5663131037373754,-0.18523959316215932,5.451108980713267,27,54,11.0,8.0,0.43209876543209874
5e26312e6c1c69df76173212ee4e2625c638b3f231c06e6833cb5b574cc50971,S007-EX09-WEIGHTED-SCORE-00584,2021,0.03445148335849879,0.033200874377358636,-0.06141016900605323,0.5610061642250633,28,56,8.0,5.0,0.345679012345679
5e26312e6c1c69df76173212ee4e2625c638b3f231c06e6833cb5b574cc50971,S007-EX09-WEIGHTED-SCORE-00584,2022,-0.04711370094542544,-0.0452871112826424,-0.14602051454333287,-0.3226512459072594,33,66,8.0,6.0,0.3181818181818182
5e26312e6c1c69df76173212ee4e2625c638b3f231c06e6833cb5b574cc50971,S007-EX09-WEIGHTED-SCORE-00584,2023,0.051376680646116224,0.04928850219561487,-0.08465829094784139,0.6068712239628106,24,49,5.0,3.0,0.32231404958677684
5e26312e6c1c69df76173212ee4e2625c638b3f231c06e6833cb5b574cc50971,S007-EX09-WEIGHTED-SCORE-00584,2024,0.4634834261817393,0.4415337015041765,-0.159521295950669,2.905464273090339,31,62,8.0,6.0,0.5082644628099173
5e26312e6c1c69df76173212ee4e2625c638b3f231c06e6833cb5b574cc50971,S007-EX09-WEIGHTED-SCORE-00584,2025,0.522981659016156,0.5002715146394006,-0.1076265146115466,4.859226937746143,25,51,6.0,4.0,0.4279835390946502
5e26312e6c1c69df76173212ee4e2625c638b3f231c06e6833cb5b574cc50971,S007-EX09-WEIGHTED-SCORE-00584,2026,1.0048279669677402,0.5638404025995907,-0.1808872742621045,5.554995347609423,21,42,9.0,5.0,0.4691358024691358
827990d74bbbb2dc781553084cfd61ac42c66c6305a906cfbd7a2f2442b1b9da,S007-EX09-WEIGHTED-SCORE-00841,2021,0.019901546438479745,0.01918400320367364,-0.07198306787677677,0.276475385469093,35,70,9.0,7.0,0.3991769547325103
827990d74bbbb2dc781553084cfd61ac42c66c6305a906cfbd7a2f2442b1b9da,S007-EX09-WEIGHTED-SCORE-00841,2022,-0.0393769697718831,-0.03784434704437123,-0.1579247491092498,-0.24934008123478316,38,76,10.0,8.0,0.34297520661157027
827990d74bbbb2dc781553084cfd61ac42c66c6305a906cfbd7a2f2442b1b9da,S007-EX09-WEIGHTED-SCORE-00841,2023,0.08965647254223308,0.08595006777004355,-0.10567605412269865,0.8484085944213482,32,65,7.0,5.0,0.3884297520661157
827990d74bbbb2dc781553084cfd61ac42c66c6305a906cfbd7a2f2442b1b9da,S007-EX09-WEIGHTED-SCORE-00841,2024,0.5285422482663378,0.5030203123773067,-0.16155486479770986,3.271595992656423,37,74,10.0,8.0,0.5206611570247934
827990d74bbbb2dc781553084cfd61ac42c66c6305a906cfbd7a2f2442b1b9da,S007-EX09-WEIGHTED-SCORE-00841,2025,0.3847363783853557,0.3687315454076807,-0.10762651461154682,3.5747360190374393,40,81,11.0,8.0,0.45267489711934156
