trade_date,opening_return,opening_efficiency,late_return,late_efficiency,opening_signal_time,late_signal_time,OPENING_SELLOFF_REVERSAL_score,OPENING_BREAKOUT_CONTINUATION_score,LATE_SELLOFF_REVERSAL_score,LATE_BREAKOUT_CONTINUATION_score,OPENING_SELLOFF_REVERSAL_threshold,OPENING_SELLOFF_REVERSAL_raw_event,OPENING_BREAKOUT_CONTINUATION_threshold,OPENING_BREAKOUT_CONTINUATION_raw_event,LATE_SELLOFF_REVERSAL_threshold,LATE_SELLOFF_REVERSAL_raw_event,LATE_BREAKOUT_CONTINUATION_threshold,LATE_BREAKOUT_CONTINUATION_raw_event
2021-01-15,0.006756756756756799,0.12864888686895315,0.005438477226376692,0.18276971354383062,2021-01-15 10:30:00,2021-01-15 15:00:00,0.0,0.0008692492356010402,0.0,0.0009939889247795146,,False,,False,,False,,False
2021-01-18,0.008108108108108025,0.13059879732645974,0.0,0.0,2021-01-18 10:30:00,2021-01-18 15:00:00,0.0,0.001058909167511825,-0.0,0.0,,False,,False,,False,,False
2021-01-19,0.002666666666666595,0.04095684242636834,-0.007392473118279508,0.23287240119044528,2021-01-19 10:30:00,2021-01-19 15:00:00,0.0,0.00010921824647031263,0.007392473118279508,0.0,,False,,False,,False,,False
2021-01-20,0.01418918918918921,0.2672943734274977,0.004657351962741307,0.13758771876660914,2021-01-20 10:30:00,2021-01-20 15:00:00,0.0,0.003792690433768554,0.0,0.0006407944320467661,,False,,False,,False,,False
2021-01-21,-0.002645502645502673,0.06033277679220371,-0.0026385224274406704,0.11085652848287351,2021-01-21 10:30:00,2021-01-21 15:00:00,0.002645502645502673,0.0,0.0026385224274406704,0.0,,False,,False,,False,,False
2021-01-22,-0.007957559681697646,0.18095117353929735,0.00998668442077233,0.2740979424110685,2021-01-22 10:30:00,2021-01-22 15:00:00,0.007957559681697646,0.0,0.0,0.0027373296512423688,,False,,False,,False,,False
2021-01-25,0.011265738899933764,0.16848575869287313,-0.007152145643693153,0.2143526295659989,2021-01-25 10:30:00,2021-01-25 15:00:00,0.0,0.0018981165657911542,0.007152145643693153,0.0,,False,,False,,False,,False
2021-01-26,-0.002617801047120394,0.03922427177750373,0.0,0.0,2021-01-26 10:30:00,2021-01-26 15:00:00,0.002617801047120394,0.0,-0.0,0.0,,False,,False,,False,,False
2021-01-27,-0.013289036544850363,0.1800824605022306,0.0013449899125757003,0.04160823154843058,2021-01-27 10:30:00,2021-01-27 15:00:00,0.013289036544850363,0.0,0.0,5.5962651712753144e-05,,False,,False,,False,,False
2021-01-28,0.01089918256130784,0.20715249647690673,-0.010224948875255713,0.2815844292016558,2021-01-28 10:30:00,2021-01-28 15:00:00,0.0,0.002257792877132486,0.010224948875255713,0.0,,False,,False,,False,,False
2021-01-29,-0.004120879120879106,0.06658647206517546,0.003455425017277136,0.07904252963295937,2021-01-29 10:30:00,2021-01-29 15:00:00,0.004120879120879106,0.0,0.0,0.00027312553432259717,,False,,False,,False,,False
2021-02-01,0.0020661157024794985,0.032408562821989964,0.0048442906574392985,0.12746932372214478,2021-02-01 10:30:00,2021-02-01 15:00:00,0.0,6.695984054130676e-05,0.0,0.0006174984540172915,,False,,False,,False,,False
2021-02-02,0.004824259131633202,0.1016344621652872,0.004106776180698102,0.1667646780580157,2021-02-02 10:30:00,2021-02-02 15:00:00,0.0,0.0004903109821895159,0.0,0.0006848652076304463,,False,,False,,False,,False
2021-02-03,-0.002737850787132068,0.05270682344203172,-0.006882312456985562,0.23744208228240296,2021-02-03 10:30:00,2021-02-03 15:00:00,0.002737850787132068,0.0,0.006882312456985562,0.0,,False,,False,,False,,False
2021-02-04,-0.014634146341463539,0.2028535672371343,0.007801418439716379,0.19458140994260612,2021-02-04 10:30:00,2021-02-04 15:00:00,0.014634146341463539,0.0,0.0,0.0015180109995522593,,False,,False,,False,,False
2021-02-05,-0.0007012622720896644,0.012999241471969453,-0.009187279151943506,0.26397987687943475,2021-02-05 10:30:00,2021-02-05 15:00:00,0.0007012622720896644,0.0,0.009187279151943506,0.0,,False,,False,,False,,False
2021-02-08,0.005706134094151327,0.09546309857436422,0.0007092198581561959,0.028568519714742786,2021-02-08 10:30:00,2021-02-08 15:00:00,0.0,0.0005447252415085086,0.0,2.0261361499822367e-05,,False,,False,,False,,False
2021-02-09,0.010623229461756534,0.25621106186481296,0.010402219140083213,0.35100252150988215,2021-02-09 10:30:00,2021-02-09 15:00:00,0.0,0.002721788900830207,0.0,0.0036512051474675658,,False,,False,,False,,False
