hypothesis_id,year,episodes,mean_return,median_return,win_rate,profit_factor,cagr,max_drawdown,calmar
M04,2025,86,-0.0029450931805447994,-0.0027617151295546982,0.2441860465116279,0.2850605025609369,-0.22523498228316008,-0.21864418566839272,-1.030143937258699
M04,2026,64,-0.0031064983853518,-0.000530253312704565,0.46875,0.33818644051583135,-0.1827678009241651,-0.18533950235736618,-0.986124374995664
M05,2021,39,0.004640488902379754,0.004900265947302085,1.0,inf,0.1977804926434139,0.0,inf
M05,2022,37,0.007376128135197294,0.004932092923497056,1.0,inf,0.3117979188834037,0.0,inf
M05,2023,29,0.004781578745153251,0.004514500897427665,1.0,inf,0.1482028025421389,0.0,inf
M05,2024,34,0.008458886680636449,0.00791808287063156,0.9705882352941176,2689.406144142333,0.3309426760854861,-0.00010697868243159103,3093.5385308854584
M05,2025,30,0.00775418602502818,0.005864220022342326,0.9666666666666667,1157.5061214992204,0.26009050485619123,-0.00020114513570346215,1293.0489417334416
M05,2026,23,0.01093929702154427,0.0091784689057266,1.0,inf,0.28387758777279815,0.0,inf
M06,2021,103,-0.0031826005828602152,-0.0026902300741959984,0.06796116504854369,0.03214389916887813,-0.2801906151019794,-0.277623788791704,-1.0092457001665704
M06,2022,129,-0.003525101382437636,-0.003255130969445852,0.09302325581395349,0.05701505535108636,-0.36652989601450825,-0.3631070724763895,-1.0094264854572375
M06,2023,113,-0.0027066498252638032,-0.002518700140549668,0.11504424778761062,0.08802995284003481,-0.26420748978543074,-0.26723599536259035,-0.9886672992047704
M06,2024,130,-0.003588456119755084,-0.003556030068547378,0.12307692307692308,0.11191713276735205,-0.3740633592396235,-0.37331178432576273,-1.0020132632973755
M06,2025,110,-0.002788332978433989,-0.0022902169748878487,0.11818181818181818,0.06758247599600921,-0.26487622740303174,-0.2620185766821004,-1.0109062905276311
M06,2026,66,-0.003690603853319736,-0.0032352357883356775,0.10606060606060606,0.09637135523610711,-0.21696502447254673,-0.22055158718825363,-0.9837382139868912
M07,2021,149,-0.0015953268863649753,-0.0017141925181275441,0.33557046979865773,0.40564744502403155,-0.21287136033737908,-0.22612678208092907,-0.9413805758806315
M07,2022,151,-0.00329362511949111,-0.003263246312266932,0.23178807947019867,0.25917001199589884,-0.39444879279619327,-0.3958771323597252,-0.9963919624378959
M07,2023,149,-0.002074283551794395,-0.002647050841809162,0.174496644295302,0.2725770366308764,-0.26696336109670626,-0.28409267932181215,-0.9397051755575079
M07,2024,160,-0.003313994925401198,-0.0032928100403655236,0.275,0.2710398152899634,-0.41460657430433023,-0.41273403976143774,-1.0045369035807534
M07,2025,144,-0.0020332895846153476,-0.0029115872821121047,0.2708333333333333,0.397220902592595,-0.255639141803647,-0.25597975158886543,-0.9986693877812434
M07,2026,103,-0.002748353647998097,-0.003333216687198437,0.30097087378640774,0.4181316983766995,-0.2494502923807237,-0.25402666442583566,-0.9819846784373769
