candidate_id,window_id,scenario_id,measurement_tier,net_cagr,total_return,max_drawdown,calmar,calmar_status,profit_factor,profit_factor_status,closed_trades,turnover,cost_drag,objective_values
R1242,2022,standard,SCREENING,0.17432842684012217,0.16686374519080105,-0.08841065507636181,1.9718033611395787,VALID,4.620344541499099,LOW_SAMPLE,7,14.643756218909706,0.007321878109454629,"{'net_cagr': 0.17432842684012217, 'total_return': 0.16686374519080105, '2022_return': 0.16686374519080105, 'range_return': -0.01865180225203744, 'range_trade_count': 2.0, 'range_short_loss_count': 2.0, 'range_to_trend_return': 0.0}"
R1242,2023,standard,SCREENING,0.06839433488143132,0.06559318572454487,-0.11666094142656647,0.5862659262396137,VALID,1.6566663826650725,VALID,11,24.975856494435206,0.012487928247217032,"{'net_cagr': 0.06839433488143132, 'total_return': 0.06559318572454487, '2023_return': 0.06559318572454487, 'range_return': 0.024301557189588152, 'range_trade_count': 5.0, 'range_short_loss_count': 2.0, 'range_to_trend_return': 0.10826617941029482}"
R1242,2024,standard,SCREENING,0.23516867773407246,0.22485967969939158,-0.1823154056517775,1.289900197371388,VALID,2.517279193253522,VALID,10,23.067439340709065,0.011533719670353727,"{'net_cagr': 0.23516867773407246, 'total_return': 0.22485967969939158, '2024_return': 0.22485967969939158, 'range_return': -0.05708929188121559, 'range_trade_count': 3.0, 'range_short_loss_count': 2.0, 'range_to_trend_return': 0.0}"
R1242,2025,standard,SCREENING,0.5072961195609516,0.48536896648423733,-0.11895853790375943,4.264478435094481,VALID,6.709001323160839,VALID,10,26.582231201672695,0.013291115600835644,"{'net_cagr': 0.5072961195609516, 'total_return': 0.48536896648423733, '2025_return': 0.48536896648423733, 'range_return': 0.11782563289899373, 'range_trade_count': 5.0, 'range_short_loss_count': 3.0, 'range_to_trend_return': 0.0}"
R1242,2026_ytd,standard,SCREENING,0.8056944941894351,0.46212870901066316,-0.14809605503012324,5.440350818430336,VALID,5.8534210506447835,LOW_SAMPLE,7,18.156825483067674,0.00907841274153354,"{'net_cagr': 0.8056944941894351, 'total_return': 0.46212870901066316, '2026_ytd_return': 0.46212870901066316, 'range_return': 0.024906944850955792, 'range_trade_count': 3.0, 'range_short_loss_count': 1.0, 'range_to_trend_return': 0.25497943998509975}"
R0986,full,standard,SCREENING,0.25641255550593667,2.4714178178198556,-0.18565320588683298,1.3811372353151599,VALID,3.0046283916849963,VALID,64,199.7471760066961,0.0998735880033424,"{'net_cagr': 0.25641255550593667, 'total_return': 2.4714178178198556, 'full_return': 2.4714178178198556, 'range_return': 0.02198524820118264, 'range_trade_count': 24.0, 'range_short_loss_count': 17.0, 'range_to_trend_return': 0.6910621434913884}"
R0986,2021,standard,SCREENING,-0.013769571245673018,-0.013281081288660679,-0.15608286250247838,-0.08821962273695727,VALID,0.9606666842529039,VALID,13,26.97775499995927,0.013488877499978605,"{'net_cagr': -0.013769571245673018, 'total_return': -0.013281081288660679, '2021_return': -0.013281081288660679, 'range_return': -0.0537085981698423, 'range_trade_count': 3.0, 'range_short_loss_count': 3.0, 'range_to_trend_return': 0.08564081458516593}"
R0986,2022,standard,SCREENING,0.17795057690974558,0.17031983712409482,-0.08145466768398668,2.184657822190455,VALID,3.7875409459026312,LOW_SAMPLE,8,17.170210126813792,0.008585105063406479,"{'net_cagr': 0.17795057690974558, 'total_return': 0.17031983712409482, '2022_return': 0.17031983712409482, 'range_return': -0.034266106165447896, 'range_trade_count': 3.0, 'range_short_loss_count': 3.0, 'range_to_trend_return': 0.0}"
R0986,2023,standard,SCREENING,0.041079107325526776,0.03941727905769454,-0.12350638066446784,0.33260716656516054,VALID,1.3444642689964952,VALID,12,26.737005377018754,0.013368502688508442,"{'net_cagr': 0.041079107325526776, 'total_return': 0.03941727905769454, '2023_return': 0.03941727905769454, 'range_return': 0.006943274827566848, 'range_trade_count': 5.0, 'range_short_loss_count': 3.0, 'range_to_trend_return': 0.09967766663375532}"
R0986,2024,standard,SCREENING,0.31478788931978374,0.3005863727280631,-0.1823154056517775,1.7266115729190146,VALID,3.1376986490357566,VALID,10,24.12614663826582,0.012063073319132613,"{'net_cagr': 0.31478788931978374, 'total_return': 0.3005863727280631, '2024_return': 0.3005863727280631, 'range_return': 0.0012059650617541884, 'range_trade_count': 3.0, 'range_short_loss_count': 2.0, 'range_to_trend_return': 0.0}"
R0986,2025,standard,SCREENING,0.48281029651619845,0.46209433134944566,-0.11895853790375954,4.058643499021517,VALID,6.413472205508052,VALID,12,30.462886423507445,0.015231443211752934,"{'net_cagr': 0.48281029651619845, 'total_return': 0.46209433134944566, '2025_return': 0.46209433134944566, 'range_return': 0.16798793610710305, 'range_trade_count': 7.0, 'range_short_loss_count': 4.0, 'range_to_trend_return': 0.0}"
R0986,2026_ytd,standard,SCREENING,0.9085344823050525,0.515130382362283,-0.1746746982707299,5.201294127309192,VALID,5.923950499972759,LOW_SAMPLE,8,22.061241933227382,0.011030620966613386,"{'net_cagr': 0.9085344823050525, 'total_return': 0.515130382362283, '2026_ytd_return': 0.515130382362283, 'range_return': -0.05354763782828664, 'range_trade_count': 3.0, 'range_short_loss_count': 2.0, 'range_to_trend_return': 0.40827247127893806}"
R0536,full,standard,SCREENING,0.21458305571000347,1.8862194956744616,-0.21912657962150717,0.979265299904048,VALID,2.314345070206059,VALID,75,203.7456483386026,0.10187282416929518,"{'net_cagr': 0.21458305571000347, 'total_return': 1.8862194956744616, 'full_return': 1.8862194956744616, 'range_return': -0.2886748852132386, 'range_trade_count': 37.0, 'range_short_loss_count': 25.0, 'range_to_trend_return': 0.6910274788763828}"
R0536,2021,standard,SCREENING,0.06737727809090988,0.06489453435323744,-0.12255146160653596,0.5497876337634514,VALID,1.4535088498942923,VALID,13,28.958252879748343,0.014479126439873296,"{'net_cagr': 0.06737727809090988, 'total_return': 0.06489453435323744, '2021_return': 0.06489453435323744, 'range_return': -0.06947592933224844, 'range_trade_count': 4.0, 'range_short_loss_count': 3.0, 'range_to_trend_return': 0.08564081458516593}"
R0536,2022,standard,SCREENING,0.06509142660657208,0.062429467012770745,-0.10541546300467275,0.6174751288972357,VALID,1.3698551010463202,VALID,13,27.605644281722782,0.013802822140860621,"{'net_cagr': 0.06509142660657208, 'total_return': 0.062429467012770745, '2022_return': 0.062429467012770745, 'range_return': -0.15667662554295125, 'range_trade_count': 7.0, 'range_short_loss_count': 5.0, 'range_to_trend_return': -0.0019011252496496933}"
R0536,2023,standard,SCREENING,0.005948381540301417,0.005711661850001493,-0.14941603192591013,0.03981086543143509,VALID,1.0622468183800107,VALID,15,31.91799971301629,0.015958999856507575,"{'net_cagr': 0.005948381540301417, 'total_return': 0.005711661850001493, '2023_return': 0.005711661850001493, 'range_return': -0.05786944052889331, 'range_trade_count': 9.0, 'range_short_loss_count': 6.0, 'range_to_trend_return': 0.0943727750396739}"
R0536,2024,standard,SCREENING,0.22245027947491813,0.21274543474354135,-0.18231540565177762,1.2201397829199256,VALID,2.219558837129908,VALID,14,30.60545449661226,0.015302727248305505,"{'net_cagr': 0.22245027947491813, 'total_return': 0.21274543474354135, '2024_return': 0.21274543474354135, 'range_return': -0.08578804906555648, 'range_trade_count': 7.0, 'range_short_loss_count': 5.0, 'range_to_trend_return': 0.0}"
R0536,2025,standard,SCREENING,0.4662709711290163,0.4463653660884439,-0.11895853790375932,3.9196091289070996,VALID,5.014093310687842,VALID,12,29.296025241866925,0.014648012620932726,"{'net_cagr': 0.4662709711290163, 'total_return': 0.4463653660884439, '2025_return': 0.4463653660884439, 'range_return': 0.12683166680429636, 'range_trade_count': 7.0, 'range_short_loss_count': 4.0, 'range_to_trend_return': 0.0}"
R0536,2026_ytd,standard,SCREENING,0.763697674342747,0.4401758365853805,-0.18289124433813808,4.175692921257544,VALID,4.281347890954839,LOW_SAMPLE,7,19.01344713475598,0.009506723567377631,"{'net_cagr': 0.763697674342747, 'total_return': 0.4401758365853805, '2026_ytd_return': 0.4401758365853805, 'range_return': -0.0837192750125495, 'range_trade_count': 3.0, 'range_short_loss_count': 2.0, 'range_to_trend_return': 0.3826823258986638}"
R0573,full,standard,SCREENING,0.1498679529415674,1.1412917210546998,-0.3046162225805502,0.491989401194605,VALID,1.8951617666771154,VALID,70,160.74736552271557,0.08037368276135297,"{'net_cagr': 0.1498679529415674, 'total_return': 1.1412917210546998, 'full_return': 1.1412917210546998, 'range_return': -0.3151750158393961, 'range_trade_count': 30.0, 'range_short_loss_count': 21.0, 'range_to_trend_return': 0.3198454656325309}"
