factor,exact_match,closest_reference,max_abs_correlation
state__raw__30m__cxt_bi_stop_V230815__di_1__joint::向下|阈值内|任意,False,raw__30m__cxt_bi_status_V230101,0.30398602271484804
state__raw__30m__cxt_bi_stop_V230815__di_1__joint::向下|阈值外|任意,False,raw__30m__cxt_third_buy_V230228__di_1,0.23383737390187354
state__raw__30m__cxt_bi_trend_V230824__di_1__v1::向上,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.30767308582638603
state__raw__30m__cxt_bi_trend_V230824__di_1__v1::向下,False,raw__daily__cxt_bi_status_V230101,0.2897525442543751
state__raw__30m__cxt_bi_trend_V230824__di_1__v1::横盘,False,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,0.08498472823709564
state__raw__30m__cxt_bi_trend_V230913__di_1__v1::上升趋势,False,raw__30m__cxt_bi_status_V230101,0.33207721930445333
state__raw__30m__cxt_bi_trend_V230913__di_1__v1::下降趋势,False,raw__30m__cxt_bi_status_V230101,0.314924795152196
state__raw__30m__cxt_bi_trend_V230913__di_1__v1::观望,False,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,0.1335200061411097
state__raw__30m__cxt_bi_trend_V230913__di_1__v2::强,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.060751223508217676
state__raw__30m__cxt_bi_trend_V230913__di_1__v2::超强,False,raw__30m__cxt_third_buy_V230228__di_1,0.07470095127598347
state__raw__30m__cxt_bi_trend_V230913__di_1__joint::上升趋势|强|任意,False,raw__30m__cxt_bi_status_V230101,0.34182224692836566
state__raw__30m__cxt_bi_trend_V230913__di_1__joint::下降趋势|强|任意,False,raw__30m__cxt_bi_status_V230101,0.3122995905046912
state__raw__30m__cxt_bi_trend_V230913__di_1__joint::下降趋势|超强|任意,False,raw__30m__cxt_third_buy_V230228__di_1,0.06194613115566078
state__raw__30m__cxt_bi_zdf_V230601__di_1__v2::第1层,False,raw__30m__cxt_third_buy_V230228__di_1,0.12175434074308585
state__raw__30m__cxt_bi_zdf_V230601__di_1__v2::第2层,False,target_position,0.05131662323046154
state__raw__30m__cxt_bi_zdf_V230601__di_1__v2::第3层,False,raw__daily__cxt_five_bi_V230619__di_1,0.11085775905608987
state__raw__30m__cxt_bi_zdf_V230601__di_1__v2::第4层,False,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,0.07619009635178765
state__raw__30m__cxt_bi_zdf_V230601__di_1__v2::第5层,False,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,0.09464049253109875
state__raw__30m__cxt_bi_zdf_V230601__di_1__joint::向上|第1层|任意,False,raw__30m__cxt_bi_status_V230101,0.4049062106851707
state__raw__30m__cxt_bi_zdf_V230601__di_1__joint::向上|第2层|任意,False,raw__30m__cxt_bi_status_V230101,0.258644188510646
state__raw__30m__cxt_bi_zdf_V230601__di_1__joint::向上|第3层|任意,False,raw__30m__cxt_bi_status_V230101,0.2465220284488322
state__raw__30m__cxt_bi_zdf_V230601__di_1__joint::向上|第4层|任意,False,raw__30m__cxt_bi_status_V230101,0.25625760149779303
state__raw__30m__cxt_bi_zdf_V230601__di_1__joint::向上|第5层|任意,False,raw__30m__cxt_bi_status_V230101,0.2151357405905146
state__raw__30m__cxt_bi_zdf_V230601__di_1__joint::向下|第1层|任意,False,raw__30m__cxt_bi_status_V230101,0.3568820853156166
state__raw__30m__cxt_bi_zdf_V230601__di_1__joint::向下|第2层|任意,False,raw__30m__cxt_bi_status_V230101,0.2458384004387209
state__raw__30m__cxt_bi_zdf_V230601__di_1__joint::向下|第3层|任意,False,raw__30m__cxt_bi_status_V230101,0.20579772405424016
state__raw__30m__cxt_bi_zdf_V230601__di_1__joint::向下|第4层|任意,False,raw__30m__cxt_bi_status_V230101,0.22084870900000972
state__raw__30m__cxt_bi_zdf_V230601__di_1__joint::向下|第5层|任意,False,raw__30m__cxt_bi_status_V230101,0.16449816966791386
state__raw__30m__cxt_decision_V240526__di_1__v1::开多,False,raw__30m__cxt_bi_status_V230101,0.2923089135568375
state__raw__30m__cxt_decision_V240526__di_1__v1::开空,False,raw__30m__cxt_bi_status_V230101,0.4160290380542799
state__raw__30m__cxt_decision_V240612__di_1__v1::开多,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.1446741840489538
state__raw__30m__cxt_decision_V240612__di_1__v1::开空,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.20725196288508888
state__raw__30m__cxt_decision_V240613__di_1__v1::开多,False,raw__30m__cxt_bi_status_V230101,0.11390228271449573
state__raw__30m__cxt_decision_V240613__di_1__v1::开空,False,raw__30m__cxt_bi_status_V230101,0.15087802374494766
state__raw__30m__cxt_decision_V240614__di_1__v1::开多,False,raw__30m__cxt_bi_status_V230101,0.26912019128869447
state__raw__30m__cxt_decision_V240614__di_1__v1::开空,False,raw__30m__cxt_bi_status_V230101,0.26336427943430046
state__raw__30m__cxt_double_zs_V230311__di_1__v1::看多,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.23501073116361065
state__raw__30m__cxt_double_zs_V230311__di_1__v1::看空,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.16466014213853997
state__raw__30m__cxt_fx_power_V221107__di_1__v1::中底,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.1356600709160305
state__raw__30m__cxt_fx_power_V221107__di_1__v1::中顶,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.1059064546412467
state__raw__30m__cxt_fx_power_V221107__di_1__v1::弱底,False,raw__30m__cxt_third_buy_V230228__di_1,0.153750359660849
