factor,reason
state__raw__30m__cxt_bi_end_V230618__di_1__joint::看多|6小中枢|任意,state_active_support
state__raw__30m__cxt_bi_end_V230618__di_1__joint::看多|其他|任意,minimum_absolute_effect
state__raw__30m__cxt_bi_end_V230618__di_1__joint::看空|1小中枢|任意,state_active_support
state__raw__30m__cxt_bi_end_V230618__di_1__joint::看空|2小中枢|任意,state_active_support
state__raw__30m__cxt_bi_end_V230618__di_1__joint::看空|3小中枢|任意,state_active_support
state__raw__30m__cxt_bi_end_V230618__di_1__joint::看空|4小中枢|任意,state_active_support
state__raw__30m__cxt_bi_end_V230618__di_1__joint::看空|5小中枢|任意,state_active_support
state__raw__30m__cxt_bi_end_V230618__di_1__joint::看空|6小中枢|任意,state_active_support
state__raw__30m__cxt_bi_end_V230618__di_1__joint::看空|其他|任意,cross_year_direction
state__raw__30m__cxt_bi_end_V230815__di_1__v1::向上,state_active_support
state__raw__30m__cxt_bi_status_V230101__di_1__v1::向上,cross_year_direction
state__raw__30m__cxt_bi_status_V230101__di_1__v1::向下,cross_year_direction
state__raw__30m__cxt_bi_status_V230102__di_1__v1::向下,cross_year_direction
state__raw__30m__cxt_bi_status_V230102__di_1__v2::延伸,minimum_absolute_effect
state__raw__30m__cxt_bi_status_V230102__di_1__v2::顶分,cross_year_direction
state__raw__30m__cxt_bi_status_V230102__di_1__joint::向下|延伸|任意,cross_year_direction
state__raw__30m__cxt_bi_stop_V230815__di_1__v2::阈值内,minimum_absolute_effect
state__raw__30m__cxt_bi_stop_V230815__di_1__v2::阈值外,cross_year_direction
state__raw__30m__cxt_bi_stop_V230815__di_1__joint::向上|阈值内|任意,cross_year_direction
state__raw__30m__cxt_bi_stop_V230815__di_1__joint::向上|阈值外|任意,minimum_absolute_effect
state__raw__30m__cxt_bi_stop_V230815__di_1__joint::向下|阈值内|任意,cross_year_direction
state__raw__30m__cxt_bi_stop_V230815__di_1__joint::向下|阈值外|任意,minimum_absolute_effect
state__raw__30m__cxt_bi_trend_V230913__di_1__v1::上升趋势,cross_year_direction
state__raw__30m__cxt_bi_trend_V230913__di_1__v1::观望,cross_year_direction
state__raw__30m__cxt_bi_trend_V230913__di_1__v2::强,minimum_absolute_effect
state__raw__30m__cxt_bi_trend_V230913__di_1__v2::超强,state_active_support
state__raw__30m__cxt_bi_trend_V230913__di_1__joint::上升趋势|强|任意,cross_year_direction
state__raw__30m__cxt_bi_trend_V230913__di_1__joint::下降趋势|超强|任意,state_active_support
state__raw__30m__cxt_bi_zdf_V230601__di_1__v2::第3层,state_influence
state__raw__30m__cxt_bi_zdf_V230601__di_1__v2::第4层,cross_year_direction
state__raw__30m__cxt_bi_zdf_V230601__di_1__v2::第5层,state_active_support
state__raw__30m__cxt_bi_zdf_V230601__di_1__joint::向上|第2层|任意,state_active_support
state__raw__30m__cxt_bi_zdf_V230601__di_1__joint::向上|第3层|任意,state_active_support
