factor,factor_kind,endpoint,direction,conditional_effect,closest_reference,max_abs_correlation
state__raw__daily__byi_fx_num_V230628__di_1__joint::向下|满足|任意,state,max_drawdown_20,-1,-0.005454021615946732,raw__daily__cxt_bi_status_V230101,0.5028831903398866
state__raw__daily__byi_symmetry_zs_V221107__di_1__v2::向上,state,max_drawdown_20,-1,-0.00579020644475379,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.4544967752992816
state__raw__daily__byi_symmetry_zs_V221107__di_1__v2::向下,state,max_drawdown_20,1,0.0087829742485839,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.46311855879800834
state__raw__daily__byi_symmetry_zs_V221107__di_1__joint::否|向下|任意,state,max_drawdown_20,1,0.010618911165673043,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.33155657001822425
state__raw__daily__cxt_bi_base_V230228__di_1__v1::向上,state,max_drawdown_20,-1,-0.0064080501849876955,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.47398274968366383
state__raw__daily__cxt_bi_base_V230228__di_1__v1::向下,state,max_drawdown_20,1,0.007015489874579164,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.490186466423677
state__raw__daily__cxt_bi_base_V230228__di_1__v2::转折,state,max_drawdown_20,1,0.005242045851714924,target_position,0.23326212318797163
state__raw__daily__cxt_bi_base_V230228__di_1__joint::向上|中继|任意,state,max_drawdown_20,-1,-0.011089384150146389,raw__daily__cxt_bi_status_V230101,0.40621055689237007
state__raw__daily__cxt_bi_base_V230228__di_1__joint::向下|转折|任意,state,max_drawdown_20,1,0.007469375898270689,raw__daily__cxt_bi_status_V230101,0.6581628283832743
state__raw__daily__cxt_bi_end_V230222__di_1__v1::新高,state,max_drawdown_20,1,0.006077683255065846,raw__daily__cxt_bi_status_V230101,0.4256592094200484
state__raw__daily__cxt_bi_end_V230222__di_1__v2::第1次,state,max_drawdown_20,1,0.00980270334808717,raw__daily__cxt_five_bi_V230619__di_1,0.18291938136321703
state__raw__daily__cxt_bi_end_V230222__di_1__v2::第2次,state,return_20,-1,-0.014854017936432803,raw__daily__cxt_five_bi_V230619__di_1,0.08819586349630165
state__raw__daily__cxt_bi_end_V230222__di_1__v2::第3次,state,max_drawdown_20,1,0.010153902505748286,raw__daily__pressure_support_V240406__di_1__w_20,0.053986362384304966
state__raw__daily__cxt_bi_end_V230222__di_1__joint::新低|第2次|任意,state,return_20,-1,-0.01795407157009003,raw__daily__cxt_bi_status_V230101,0.18647012739171762
state__raw__daily__cxt_bi_end_V230222__di_1__joint::新高|第1次|任意,state,max_drawdown_20,1,0.011623462306666868,raw__daily__cxt_bi_status_V230101,0.18289796679934633
state__raw__daily__cxt_bi_end_V230324__di_1__v1::看多,state,max_drawdown_20,-1,-0.0067538654843649765,raw__daily__cxt_bi_status_V230101,0.34430264931114757
state__raw__daily__cxt_bi_end_V230324__di_1__v1::看空,state,max_drawdown_20,1,0.005784691165933326,raw__daily__cxt_bi_status_V230101,0.3654115681815536
state__raw__daily__cxt_bi_end_V230618__di_1__v1::看空,state,max_drawdown_20,1,0.01027200616960781,raw__daily__cxt_bi_status_V230101,0.5747898372559547
state__raw__daily__cxt_bi_end_V230618__di_1__joint::看多|其他|任意,state,max_drawdown_20,1,0.008456847867257098,raw__daily__cxt_bi_status_V230101,0.39328174828195545
state__raw__daily__cxt_bi_end_V230618__di_1__joint::看空|其他|任意,state,max_drawdown_20,1,0.012504971583115379,raw__daily__cxt_bi_status_V230101,0.4234575832107037
