split_id,training_blocks,validation_blocks,selected_candidate,training_sharpe,validation_sharpe,validation_rank,validation_candidate_count,validation_percentile,logit
222,"(2, 4, 6, 7, 8)","(0, 1, 3, 5, 9)",20260910_S003_EX07:M05,4.950246146604396,4.965567242807103,1,142,1.0,5.645446897643239
223,"(2, 4, 6, 7, 9)","(0, 1, 3, 5, 8)",20260910_S003_EX07:M05,4.8531481391943245,5.08785622320305,1,142,1.0,5.645446897643239
224,"(2, 4, 6, 8, 9)","(0, 1, 3, 5, 7)",20260910_S003_EX07:M05,5.303268130396716,4.598214160553731,1,142,1.0,5.645446897643239
225,"(2, 4, 7, 8, 9)","(0, 1, 3, 5, 6)",20260910_S003_EX07:M05,5.144813681464027,4.766410598354887,1,142,1.0,5.645446897643239
226,"(2, 5, 6, 7, 8)","(0, 1, 3, 4, 9)",20260910_S003_EX07:M05,5.172196715206209,4.745397870352788,1,142,1.0,5.645446897643239
227,"(2, 5, 6, 7, 9)","(0, 1, 3, 4, 8)",20260910_S003_EX07:M05,5.09816640108106,4.919620366941961,1,142,1.0,5.645446897643239
228,"(2, 5, 6, 8, 9)","(0, 1, 3, 4, 7)",20260910_S003_EX07:M05,5.525433986785133,4.392113186037843,1,142,1.0,5.645446897643239
229,"(2, 5, 7, 8, 9)","(0, 1, 3, 4, 6)",20260910_S003_EX07:M05,5.370106592052468,4.5589172061212615,1,142,1.0,5.645446897643239
230,"(2, 6, 7, 8, 9)","(0, 1, 3, 4, 5)",20260910_S003_EX07:M05,5.100812541909498,4.881931202971664,1,142,1.0,5.645446897643239
231,"(3, 4, 5, 6, 7)","(0, 1, 2, 8, 9)",20260910_S003_EX07:M05,4.536064636498398,5.3553127918865995,1,142,1.0,5.645446897643239
232,"(3, 4, 5, 6, 8)","(0, 1, 2, 7, 9)",20260910_S003_EX07:M05,5.023300227287764,4.902965820447516,1,142,1.0,5.645446897643239
233,"(3, 4, 5, 6, 9)","(0, 1, 2, 7, 8)",20260910_S003_EX07:M05,4.912926681724001,5.010848264627344,1,142,1.0,5.645446897643239
234,"(3, 4, 5, 7, 8)","(0, 1, 2, 6, 9)",20260910_S003_EX07:M05,4.862526400207755,5.066502979006196,1,142,1.0,5.645446897643239
235,"(3, 4, 5, 7, 9)","(0, 1, 2, 6, 8)",20260910_S003_EX07:M05,4.745867315113835,5.169297252000267,1,142,1.0,5.645446897643239
