signal_id,catalog_signal_id,name,frequency,information_family,catalog_status,opportunity_states,opportunity_state_count,rolling_60_median,rolling_60_p10,independent_transitions,maximum_year_share,s001_reference_function
SIG-30M-5AB8F67776EBF508,SIG-CZSC-tas_ma_system_V230513,tas_ma_system_V230513,30m,TREND_MOMENTUM,DISCOVERED,多头排列|空头排列,2,11.0,9.0,255,0.2039215686274509,False
SIG-30M-FCF161C964C5C292,SIG-CZSC-tas_macd_base_V221028,tas_macd_base_V221028,30m,TREND_MOMENTUM,READY,多头|空头,2,13.0,11.0,295,0.1938775510204081,False
SIG-30M-D1EB221902EBDE31,SIG-CZSC-tas_macd_change_V221105,tas_macd_change_V221105,30m,TREND_MOMENTUM,DISCOVERED,3次|4次,2,9.0,7.0,210,0.2095238095238095,False
SIG-30M-039F9079025E17D2,SIG-CZSC-tas_macd_direct_V221106,tas_macd_direct_V221106,30m,TREND_MOMENTUM,DISCOVERED,向上|向下|模糊,3,15.0,13.0,350,0.1969696969696969,False
SIG-30M-DBCF1773F1530589,SIG-CZSC-tas_macd_power_V221108,tas_macd_power_V221108,30m,TREND_MOMENTUM,DISCOVERED,弱势|强势|超弱|超强,4,9.0,6.0,208,0.2169312169312169,False
SIG-30M-791D6B8746F45A30,SIG-CZSC-tas_sar_base_V230425,tas_sar_base_V230425,30m,TREND_MOMENTUM,DISCOVERED,看多|看空,2,8.0,5.0,171,0.2456140350877192,False
SIG-30M-0EBDC289C363AE05,SIG-CZSC-tas_slope_V231019,tas_slope_V231019,30m,TREND_MOMENTUM,DISCOVERED,看空,1,7.0,6.0,172,0.2151162790697674,False
SIG-30M-BF09ECD9ABCE55A0,SIG-CZSC-xl_bar_trend_V240330,xl_bar_trend_V240330,30m,TREND_MOMENTUM,DISCOVERED,看多|看空,2,11.0,9.0,238,0.1848739495798319,False
SIG-30M-6FD7E2EE42E77B3A,SIG-CZSC-xl_bar_trend_V240331,xl_bar_trend_V240331,30m,TREND_MOMENTUM,DISCOVERED,做空,1,8.0,4.0,171,0.2222222222222222,False
SIG-30M-CC8A74C77A1634F3,SIG-CZSC-xl_bar_trend_V240623,xl_bar_trend_V240623,30m,TREND_MOMENTUM,DISCOVERED,做空,1,8.0,4.0,176,0.2443181818181818,False
SIG-30M-757887E0D0A362BB,SIG-CZSC-zdy_macd_V230519,zdy_macd_V230519,30m,TREND_MOMENTUM,DISCOVERED,多头连续缩柱|空头连续缩柱,2,9.0,7.0,219,0.1989795918367347,False
SIG-30M-E2C296C19B5DA4F1,SIG-CZSC-zdy_macd_dif_V230516,zdy_macd_dif_V230516,30m,TREND_MOMENTUM,DISCOVERED,看多|看空,2,15.0,13.0,338,0.1863905325443787,False
SIG-30M-EDA4CA09BFFD9B6B,SIG-CZSC-zdy_macd_dif_iqr_V230521,zdy_macd_dif_iqr_V230521,30m,TREND_MOMENTUM,DISCOVERED,看多|看空,2,13.0,11.0,295,0.1938775510204081,False
SIG-30M-2EBFCBE9F804598E,SIG-CZSC-bar_tnr_V230630,bar_tnr_V230630,30m,VOLATILITY_RISK,DISCOVERED,噪音减少|噪音增加,2,16.0,14.0,357,0.1938202247191011,False
SIG-30M-1DD7B73BA2D00606,SIG-CZSC-bar_volatility_V241013,bar_volatility_V241013,30m,VOLATILITY_RISK,DISCOVERED,中波动|低波动|高波动,3,13.0,10.0,285,0.2096069868995633,False
