candidate_id,first_front_count,mean_pareto_layer,worst_pareto_layer
1102,1,12.2,23
1103,0,10.2,14
1104,0,18.6,24
1105,0,16.8,24
1106,0,22.2,31
1107,0,21.6,26
1108,0,20.4,26
1116,0,10.2,26
1118,0,9.6,25
1119,0,13.2,32
1127,0,9.0,13
1130,0,11.0,30
1134,0,11.2,13
1139,0,15.8,35
1140,0,17.2,25
1141,0,8.8,14
1142,0,16.0,22
1143,1,13.0,23
1144,0,8.0,18
1145,0,9.0,17
1146,0,11.8,22
1147,0,8.0,15
1148,0,12.0,20
1149,0,18.2,34
1150,0,13.0,20
1151,0,12.2,23
1152,0,8.6,17
1153,0,9.0,18
1154,0,7.4,12
1155,0,9.8,22
1156,0,13.8,23
1157,2,7.0,16
1158,0,20.0,21
1159,0,11.4,19
1160,0,16.4,24
1161,0,17.4,28
1162,0,11.4,20
1163,0,16.6,27
1164,0,12.8,29
1165,0,4.4,6
1166,0,11.2,20
1167,0,10.6,16
1168,0,15.4,21
1169,0,9.8,21
1170,0,12.6,17
1171,0,19.4,36
1172,0,8.2,16
1173,0,12.6,24
1174,0,16.4,26
1175,0,11.6,26
1176,0,17.6,25
1177,0,11.6,23
1178,0,15.6,21
1179,0,9.8,17
1180,0,17.0,24
1181,0,10.2,23
1182,0,11.8,26
1183,0,21.4,31
1184,0,10.0,19
1185,0,8.0,16
1186,0,10.0,23
1187,0,22.4,28
1188,0,12.2,16
1189,0,14.4,29
1190,0,13.4,23
1191,0,13.4,21
1192,0,16.4,25
1193,0,14.2,26
1194,0,16.0,24
1195,1,7.8,21
1196,0,9.8,17
1197,0,7.6,16
1198,0,16.4,23
1199,0,12.4,28
1200,0,10.4,16
1201,0,17.8,37
1202,1,10.0,24
1203,0,21.6,35
1204,0,17.0,21
1205,2,8.2,23
1206,0,12.6,23
1207,0,21.6,35
1208,0,20.4,27
1209,0,18.0,30
1210,1,9.8,27
1211,0,20.8,28
1212,0,15.4,35
1213,0,12.8,26
1214,0,21.0,32
1215,0,21.2,28
1216,0,20.6,30
1217,0,15.6,24
1218,0,18.8,24
1219,0,17.6,23
1220,0,18.6,24
1221,0,16.6,26
1222,0,20.2,34
1223,0,14.6,32
1224,1,13.0,33
1225,0,18.6,23
1226,0,22.2,31
1227,0,19.6,32
1228,0,18.0,30
1229,0,9.4,24
1230,0,11.4,22
1231,0,24.0,31
1232,0,24.0,30
1233,0,7.6,10
1234,0,11.8,25
1235,0,25.2,34
1236,1,4.0,9
1237,0,7.8,22
1238,0,12.8,16
1239,3,2.8,9
1240,0,11.8,14
1241,0,23.8,33
1242,0,13.2,20
1243,0,5.8,12
1244,0,8.8,15
1245,2,8.2,19
1246,0,5.0,9
1247,0,6.4,11
1248,1,5.0,9
1249,0,21.8,24
1250,2,3.0,8
1251,0,12.8,28
1252,0,12.8,16
1253,0,21.6,34
1254,0,9.8,24
1255,0,16.2,26
1256,0,18.6,27
1257,1,5.8,12
1258,0,10.6,26
1259,2,9.6,24
1260,0,7.8,9
1261,0,8.0,16
1262,0,11.4,26
1263,0,18.8,26
1264,2,2.4,5
1265,2,2.4,5
1266,0,14.4,29
1267,0,3.4,6
1268,0,12.0,18
1269,1,6.4,19
1270,0,15.0,29
1271,0,10.0,21
1272,1,8.2,27
1273,2,7.6,26
1274,0,11.0,23
1275,0,16.8,30
1276,0,12.8,19
1277,0,12.8,30
1278,1,2.8,6
1279,0,11.0,21
1280,0,8.0,10
1281,1,3.8,11
1282,0,11.6,31
1283,0,9.4,19
1284,0,13.0,30
1285,0,11.6,19
1286,0,14.8,23
1287,0,12.4,30
1288,0,11.0,29
1289,0,5.6,8
1290,0,12.2,19
1291,0,9.0,27
1292,0,11.2,14
1293,0,8.6,23
1294,0,5.6,9
1295,0,13.6,22
1296,0,9.0,14
1297,0,7.8,15
1298,3,4.2,11
1299,0,8.2,12
1300,0,28.6,39
1301,0,11.8,19
1302,0,8.4,14
1303,0,8.0,12
1304,0,6.8,13
1305,0,8.6,11
1306,0,7.0,13
1307,0,7.4,12
1308,1,7.4,14
1309,0,16.8,38
1310,0,9.0,22
1311,0,11.6,14
1312,0,8.6,18
1313,0,13.2,23
1314,0,11.8,26
1315,0,6.6,11
1316,0,7.6,11
1317,0,17.8,27
1318,1,5.0,10
1319,2,3.8,8
1320,0,11.6,20
1321,0,9.8,14
1322,0,16.2,37
1323,0,25.2,33
1324,0,6.0,10
1325,0,9.8,11
1326,0,17.6,29
1327,0,14.2,19
1328,0,7.8,15
1329,0,10.4,15
1330,0,12.8,23
1331,0,7.6,14
1332,0,4.2,8
1333,0,12.8,27
1334,0,12.6,20
1335,0,14.2,20
1336,0,22.6,32
1337,0,11.6,24
1338,0,24.6,28
1339,0,16.0,20
1340,0,15.4,21
1341,0,11.6,27
1342,0,26.0,39
1343,0,10.0,16
1344,1,4.6,10
1345,0,13.2,22
1346,1,4.2,11
1347,1,4.8,10
1348,0,22.6,31
1349,0,18.8,26
1350,1,9.0,18
1351,0,15.8,22
1352,1,6.2,14
1353,0,4.4,8
1354,0,8.0,12
1355,0,12.2,17
1356,0,15.8,25
1357,0,11.0,19
1358,0,9.4,19
1359,1,8.0,16
1360,0,11.6,16
1361,0,7.8,19
1362,0,12.8,23
1363,1,8.0,20
1364,0,16.2,26
1365,0,11.2,19
1366,0,18.0,22
1367,0,14.2,24
1368,0,10.2,20
1369,0,11.2,20
1370,0,14.6,23
1371,0,8.6,19
1372,0,9.8,20
1373,0,15.8,22
1374,0,11.2,19
1375,1,12.4,25
1376,0,8.8,19
1377,0,7.6,19
1378,1,8.4,25
1379,1,9.6,19
1380,0,9.2,25
1381,0,11.2,21
1382,0,10.0,19
1383,0,10.8,21
1384,0,13.6,25
1385,0,12.8,19
1386,0,12.2,26
1387,0,9.2,20
1388,0,8.6,20
1389,0,11.0,16
1390,0,16.2,28
1391,0,13.4,27
1392,0,13.0,19
1393,0,14.6,28
1394,0,10.0,21
1395,0,8.0,18
1396,0,8.8,19
1397,0,10.8,16
1398,0,13.6,24
1399,0,11.2,20
1400,1,9.4,19
1401,1,4.2,8
1402,0,11.8,18
1403,0,11.0,17
1404,0,13.2,22
1405,1,9.4,19
1406,1,9.2,19
1407,0,11.2,27
1408,0,13.4,16
1409,0,16.0,21
1410,0,12.8,24
1411,0,14.4,23
1412,0,15.4,24
1413,0,12.4,22
1414,0,8.6,22
1415,0,11.0,16
1416,0,12.0,20
1417,0,13.8,28
1418,1,9.2,19
1419,0,20.2,27
1420,2,7.8,15
1421,0,20.6,31
1422,0,15.0,19
1423,0,23.8,41
1424,0,11.4,20
1425,0,6.4,12
1426,0,31.8,43
1427,0,21.4,33
1428,0,19.8,28
1429,0,18.4,25
1430,0,22.4,32
1431,0,16.6,23
1432,0,14.4,16
1433,0,13.2,20
1434,0,19.0,25
1435,0,20.6,28
1436,0,22.0,30
1437,0,20.2,28
1438,1,8.2,16
1439,1,11.2,21
1440,0,32.2,38
1441,0,33.4,44
1442,0,19.6,27
1443,0,27.2,36
1444,0,11.4,20
1445,0,18.4,24
1446,0,17.8,22
1447,0,33.0,42
1448,0,21.8,37
1449,0,9.4,19
1450,0,16.8,37
1451,0,8.4,16
1452,0,9.0,12
1453,0,19.4,33
1454,0,16.4,26
1455,2,4.6,11
1456,0,18.6,42
1457,0,11.8,27
1458,0,32.4,38
1459,0,15.8,29
1460,0,18.2,36
1461,0,15.8,26
1462,0,19.8,36
1463,0,17.2,23
1464,0,12.8,27
1465,0,18.4,24
1466,0,11.8,20
1467,1,6.6,20
1468,0,19.2,28
1469,0,10.0,26
1470,0,12.4,30
1471,0,14.2,30
1472,0,15.4,34
1473,0,14.8,22
1474,0,14.2,19
1475,0,14.8,28
1476,1,9.8,24
1477,0,13.8,29
1478,0,12.0,19
1479,2,3.2,8
1480,0,4.4,9
1481,0,9.2,16
1482,0,6.6,8
1483,1,5.0,11
1484,0,5.6,11
