object_type,object_id,counterfactual,window,champion_return,counterfactual_return,return_delta,champion_sharpe,counterfactual_sharpe,sharpe_delta,dominant_share,trade_count,exposure,max_drawdown,local_classification,weights
weight,structure,delta=-0.05,2024H1,-0.09485536840967668,-0.08809673332419898,0.006758635085477693,-1.2263976900051408,-1.1495713126993765,0.07682637730576425,1.0,14,0.5213675213675214,-0.11218947015927683,inconclusive,"[0.25, 0.325, 0.42500000000000004]"
weight,structure,delta=-0.05,2024H2,0.18015949433488965,0.18015949433488965,0.0,1.0655359885390128,1.0655359885390128,0.0,0.0,15,0.504,-0.18357160128619576,inconclusive,"[0.25, 0.325, 0.42500000000000004]"
weight,structure,delta=-0.05,2025H1,0.03483459850082471,0.03349844277714897,-0.001336155723675736,0.5727132492529325,0.5588653232745648,-0.013847925978367703,0.9999999999999608,11,0.6324786324786325,-0.14393100149378024,inconclusive,"[0.25, 0.325, 0.42500000000000004]"
weight,structure,delta=-0.05,2025H2,0.466221134770592,0.3735930829913139,-0.09262805177927813,3.257468496072225,2.78307452513938,-0.47439397093284486,1.0,9,0.7619047619047619,-0.14158414245950868,inconclusive,"[0.25, 0.325, 0.42500000000000004]"
weight,structure,delta=+0.05,2021,0.0029406556554447683,0.07428288900275559,0.07134223334731082,0.13294054781997158,0.5996008595125963,0.4666603116926248,0.47252638319915036,27,0.5967078189300411,-0.17334598997807993,inconclusive,"[0.35, 0.27499999999999997, 0.375]"
weight,structure,delta=+0.05,2022,-0.07098337536211052,0.05628892482383807,0.1272723001859486,-0.3925555936985177,0.49494355478631713,0.8874991484848349,0.999999999999996,27,0.512396694214876,-0.09410443425020698,inconclusive,"[0.35, 0.27499999999999997, 0.375]"
weight,structure,delta=+0.05,2023,-0.06031910763728798,-0.02263860500184267,0.03768050263544531,-0.3898777490492146,-0.08853917762089494,0.30133857142831966,0.6194629036946316,31,0.6115702479338843,-0.1578633588076005,inconclusive,"[0.35, 0.27499999999999997, 0.375]"
weight,structure,delta=+0.05,2024,0.06821503071757551,0.1748281549086712,0.1066131241910957,0.429718323504386,0.7402573014924964,0.31053897798811037,0.489378106842186,27,0.47107438016528924,-0.18231540565177762,inconclusive,"[0.35, 0.27499999999999997, 0.375]"
weight,structure,delta=+0.05,2025,0.5165797353772803,0.5649728562819099,0.04839312090462955,2.1935321360904703,2.338976238384143,0.14544410229367255,0.5847116679881905,21,0.7119341563786008,-0.1135587602783048,inconclusive,"[0.35, 0.27499999999999997, 0.375]"
weight,structure,delta=+0.05,2021H1,0.24893799167194453,0.24730289179426856,-0.0016350998776759607,3.071835242807882,3.1127109567916733,0.04087571398379142,1.0,5,0.6016949152542372,-0.07616618755034055,inconclusive,"[0.35, 0.27499999999999997, 0.375]"
weight,structure,delta=+0.05,2021H2,-0.19785984963082448,-0.13967483878454245,0.058185010846282026,-2.7932256547119008,-2.0121896673607065,0.7810359873511943,0.7339921654291391,23,0.592,-0.17334598997808115,inconclusive,"[0.35, 0.27499999999999997, 0.375]"
weight,structure,delta=+0.05,2022H1,-0.06477702515250938,0.04630794366340796,0.11108496881591734,-0.7230789850675907,0.7254985472584836,1.4485775323260743,0.999999999999996,13,0.4700854700854701,-0.0854180176971977,inconclusive,"[0.35, 0.27499999999999997, 0.375]"
weight,structure,delta=+0.05,2022H2,-0.004512956055262585,0.011697082016634441,0.016210038071897026,0.027823439228323324,0.27123098105323173,0.24340754182490842,0.0,15,0.552,-0.09410443425020654,inconclusive,"[0.35, 0.27499999999999997, 0.375]"
weight,structure,delta=+0.05,2023H1,0.0509484040161825,0.060992003675887085,0.010043599659704583,0.7678236149964333,0.8939750883282142,0.1261514733317809,0.0,17,0.8389830508474576,-0.08328094827818167,inconclusive,"[0.35, 0.27499999999999997, 0.375]"
weight,structure,delta=+0.05,2023H2,-0.10632026926329408,-0.07928339220800162,0.027036877055292452,-2.295242649962902,-1.806711131856024,0.4885315181068781,0.61946290369463,15,0.3951612903225806,-0.0943985910702776,inconclusive,"[0.35, 0.27499999999999997, 0.375]"
weight,structure,delta=+0.05,2024H1,-0.09485536840967668,-0.06935599555735716,0.025499372852319513,-1.2263976900051408,-1.0353304429773504,0.19106724702779032,0.9379624526349357,14,0.5128205128205128,-0.11538038252715943,inconclusive,"[0.35, 0.27499999999999997, 0.375]"
weight,structure,delta=+0.05,2024H2,0.18015949433488965,0.2623819089795447,0.08222241464465507,1.0655359885390128,1.3922634383082284,0.32672744976921564,0.44678750644316106,13,0.432,-0.1823154056517774,inconclusive,"[0.35, 0.27499999999999997, 0.375]"
weight,structure,delta=+0.05,2025H1,0.03483459850082471,0.08243071509584832,0.04759611659502361,0.5727132492529325,1.1916043198389474,0.6188910705860149,0.9999999999999813,13,0.6581196581196581,-0.1025022982524516,inconclusive,"[0.35, 0.27499999999999997, 0.375]"
weight,structure,delta=+0.05,2025H2,0.466221134770592,0.4464781213327873,-0.019743013437804713,3.257468496072225,3.1077841927608785,-0.1496843033113464,1.0,9,0.7619047619047619,-0.11355876027830503,inconclusive,"[0.35, 0.27499999999999997, 0.375]"
