object_type,object_id,counterfactual,window,champion_return,counterfactual_return,return_delta,champion_sharpe,counterfactual_sharpe,sharpe_delta,dominant_share,trade_count,exposure,max_drawdown,local_classification,value
state_machine,entry_confirm_days,confirm_days=2,2025H2,0.466221134770592,0.4511213672708627,-0.0150997674997293,3.257468496072225,3.2526821408514257,-0.004786355220799177,0.8882785991191772,7,0.6904761904761905,-0.10762651461154682,stable_local_improvement,2
state_machine,min_hold_days,min_hold_days=2,2021,0.0029406556554447683,0.030991447848830678,0.02805079219338591,0.13294054781997158,0.3155788228324402,0.18263827501246863,0.5574290491041487,33,0.6213991769547325,-0.18219660113630698,inconclusive,2
state_machine,min_hold_days,min_hold_days=2,2022,-0.07098337536211052,-0.06036854911888134,0.01061482624322918,-0.3925555936985177,-0.31811605338824184,0.07443954031027589,0.5,27,0.5247933884297521,-0.1646405254941108,inconclusive,2
state_machine,min_hold_days,min_hold_days=2,2023,-0.06031910763728798,-0.07723863187408075,-0.01691952423679277,-0.3898777490492146,-0.5337051122465167,-0.14382736319730216,0.9999999999999104,31,0.640495867768595,-0.19482035090008976,inconclusive,2
state_machine,min_hold_days,min_hold_days=2,2024,0.06821503071757551,0.10392624742767675,0.035711216710101246,0.429718323504386,0.5349567378937692,0.1052384143893832,1.0,31,0.5165289256198347,-0.18357160128619643,inconclusive,2
state_machine,min_hold_days,min_hold_days=2,2025,0.5165797353772803,0.43192510322622835,-0.08465463215105196,2.1935321360904703,1.9209840047147537,-0.27254813137571654,0.5,27,0.6995884773662552,-0.12839821921081496,inconclusive,2
state_machine,min_hold_days,min_hold_days=2,2021H1,0.24893799167194453,0.22423033152688054,-0.02470766014506398,3.071835242807882,2.812326827022689,-0.2595084157851928,1.0,7,0.6271186440677966,-0.07044585434631845,inconclusive,2
state_machine,min_hold_days,min_hold_days=2,2021H2,-0.19785984963082448,-0.15878342209252394,0.03907642753830054,-2.7932256547119008,-2.2529487452817265,0.5402769094301743,0.9999999999999902,27,0.616,-0.18219660113630565,inconclusive,2
state_machine,min_hold_days,min_hold_days=2,2022H1,-0.06477702515250938,-0.06171072031694402,0.003066304835565359,-0.7230789850675907,-0.6821779757093783,0.04090100935821239,0.0,13,0.5213675213675214,-0.1646405254941108,inconclusive,2
state_machine,min_hold_days,min_hold_days=2,2022H2,-0.004512956055262585,0.0035709561992129935,0.008083912254475578,0.027823439228323324,0.14880898365251077,0.12098554442418745,1.0,15,0.528,-0.08449211336370144,inconclusive,2
