hypothesis_id,mechanism,signal_name,state_primary,exit_clock,episodes,mean_return,median_return,win_rate,profit_factor,cagr,max_drawdown,calmar,positive_years,rolling_30d_median_episodes,rolling_30d_p10_episodes,rolling_30d_min_episodes,rolling_30d_max_episodes,density_pass,matched_random_percentile,evidence
M04,rbreaker_long,bar_r_breaker_V230326,做多,11:30,288,-0.00360353468129412,-0.005358799460794317,0.3784722222222222,0.5909756214046429,-0.17493864761883904,-0.6967492670635207,-0.2510783374859157,0,6.0,1.0,0,16,False,0.637,EVIDENCE_RATE_FAIL
M05,cci_oversold_reversal,cci_decision_V240620,开多,11:30,289,-0.005479033809671,-0.005259445958441078,0.356401384083045,0.43973177406450203,-0.2509884172547926,-0.804369064944507,-0.3120314146741933,0,6.0,1.0,0,18,False,0.062,EVIDENCE_RATE_FAIL
M06,10bar_price_momentum_continuation,ntmdk_V230824,看多,11:30,307,-0.003493479991284506,-0.004212253944767541,0.36807817589576547,0.5967845263995228,-0.18095980963240255,-0.6798366483090716,-0.26618130999924183,0,7.0,1.0,0,16,False,0.6345,EVIDENCE_RATE_FAIL
M07,macd_direction_continuation,tas_macd_direct_V221106,向上,11:30,326,-0.0028822789133575426,-0.004128337884687805,0.37423312883435583,0.6632857077214849,-0.16223043342818222,-0.6388291350519663,-0.25394964713840956,0,7.0,1.0,0,17,False,0.8245,EVIDENCE_RATE_FAIL
M01,10bar_momentum_continuation,bar_section_momentum_V221112,上涨,15:00,255,-0.00412920880650402,-0.004510953905110582,0.40784313725490196,0.5879270242664264,-0.17897644231366838,-0.6769890558791238,-0.26437124907618087,0,6.0,1.0,0,14,False,0.6025,EVIDENCE_RATE_FAIL
M02,10bar_down_move_reversal,bar_section_momentum_V221112,下跌,15:00,244,-0.004501771227726646,-0.0049324044729704974,0.36475409836065575,0.5845651293529742,-0.18616791742021477,-0.6868679324713282,-0.2710388833416473,0,5.0,1.0,0,13,False,0.4775,EVIDENCE_RATE_FAIL
M03,weak_bottom_fractal_reversal,cxt_fx_power_V221107,弱底,15:00,240,-0.005246830310462666,-0.006169331369320963,0.375,0.5199842238107403,-0.2077790867834901,-0.7324038563202229,-0.2836946924712048,0,5.0,1.0,0,13,False,0.2605,EVIDENCE_RATE_FAIL
M04,rbreaker_long,bar_r_breaker_V230326,做多,15:00,253,-0.0032450974493122104,-0.004635521439429913,0.3952569169960474,0.65546554493594,-0.14400516669055308,-0.644279543671078,-0.22351348588536218,0,5.0,1.0,0,13,False,0.819,EVIDENCE_RATE_FAIL
M05,cci_oversold_reversal,cci_decision_V240620,开多,15:00,253,-0.004947780915166082,-0.0041421228582826375,0.3715415019762846,0.5276383708309214,-0.20786082454904276,-0.7378606086132897,-0.2817074419241452,0,5.0,1.0,0,14,False,0.3305,EVIDENCE_RATE_FAIL
M06,10bar_price_momentum_continuation,ntmdk_V230824,看多,15:00,259,-0.0039872688060690305,-0.003943238452532749,0.41312741312741313,0.5999249852911284,-0.17639854635042718,-0.6717743279782589,-0.2625860188514618,1,6.0,1.0,0,14,False,0.6315,EVIDENCE_RATE_FAIL
M07,macd_direction_continuation,tas_macd_direct_V221106,向上,15:00,292,-0.004306350538957694,-0.005287621045941215,0.3938356164383562,0.5771979987549808,-0.21040371430963134,-0.7460493694561305,-0.2820238484525702,0,6.0,1.0,0,15,False,0.549,EVIDENCE_RATE_FAIL
