candidate_id,structure_share,trend_share,volume_share,is_control,range_to_range_count,range_to_range_loss_count,range_to_range_loss_rate,range_to_range_short_loss_count,range_to_range_compound_return,range_to_range_median_holding_sessions,range_to_range_fees,range_to_trend_count,range_to_trend_loss_count,range_to_trend_loss_rate,range_to_trend_short_loss_count,range_to_trend_compound_return,range_to_trend_median_holding_sessions,range_to_trend_fees,trend_to_range_count,trend_to_range_loss_count,trend_to_range_loss_rate,trend_to_range_short_loss_count,trend_to_range_compound_return,trend_to_range_median_holding_sessions,trend_to_range_fees,trend_to_trend_count,trend_to_trend_loss_count,trend_to_trend_loss_rate,trend_to_trend_short_loss_count,trend_to_trend_compound_return,trend_to_trend_median_holding_sessions,trend_to_trend_fees,range_days,range_transition_count,range_signal_density_per_100,first_front_count,mean_pareto_layer,worst_pareto_layer,max_drawdown,calmar,win_loss_ratio,strategy_return,sharpe,exposure,trade_count
29,0.275,0.375,0.35,False,29,24,0.8275862068965517,24,-0.23006097125019798,4.0,35084.029752062255,4,1,0.25,1,0.20113103601292703,17.0,4395.296913236182,12,6,0.5,6,0.14633222567305726,8.5,13249.16851495749,19,13,0.6842105263157895,12,0.6720442554051134,7.0,23359.461237459574,592,75,12.66891891891892,0,4.25,6,-0.22794987700891334,0.575464215529698,3.962350091622428,0.8090748123969811,0.6334179807898704,0.4975247524752475,131
30,0.275,0.4,0.325,False,29,24,0.8275862068965517,24,-0.21751288757728693,4.0,35004.14243963486,3,0,0.0,0,0.21055183957055923,22.0,3235.688929128087,12,6,0.5,6,0.14633222567305748,8.5,13277.536446820553,19,13,0.6842105263157895,12,0.6720442554051138,7.0,23513.205236950416,592,74,12.5,1,3.0,5,-0.20527915066069014,0.6665595543072822,4.0237854310135965,0.8529785362336662,0.6555488401151097,0.49257425742574257,129
31,0.275,0.425,0.3,False,29,24,0.8275862068965517,24,-0.2271094276353015,4.0,34737.8416233025,3,0,0.0,0,0.210551839570559,22.0,3222.4386214914475,12,6,0.5,6,0.14633222567305704,8.5,13165.043301724552,19,13,0.6842105263157895,12,0.6720442554051136,7.0,23339.399046863175,592,74,12.5,0,5.5,7,-0.2150257271148518,0.6227985373796239,3.9611033897724766,0.8302533277704214,0.6447443541960397,0.4909240924092409,129
32,0.275,0.45,0.275,False,29,24,0.8275862068965517,24,-0.22636267345910344,4.0,34756.369204686016,3,0,0.0,0,0.210551839570559,22.0,3223.4696933677956,12,6,0.5,6,0.14633222567305726,8.5,13173.796948912648,19,13,0.6842105263157895,12,0.6720442554051149,7.0,23352.92376488763,592,74,12.5,0,4.5,6,-0.21426729786568754,0.6260657361383182,3.9659288273622377,0.832021688473582,0.6455995227519347,0.4900990099009901,129
33,0.275,0.475,0.25,False,30,24,0.8,24,-0.19737090663127388,4.0,36115.70477741282,2,0,0.0,0,0.1880957509539003,23.0,2155.279229522508,12,6,0.5,6,0.14633222567305681,8.5,13261.052453335233,19,13,0.6842105263157895,12,0.6720442554051134,7.0,23569.64867810227,592,75,12.66891891891892,1,3.25,6,-0.19994404548303057,0.692260560325555,4.014763818847368,0.8654179171697147,0.6616759033849929,0.4876237623762376,129
34,0.275,0.5,0.225,False,30,24,0.8,24,-0.19737090663127388,4.0,36115.70477741282,2,0,0.0,0,0.1880957509539003,23.0,2155.279229522508,12,6,0.5,6,0.14633222567305681,8.5,13261.052453335233,19,13,0.6842105263157895,12,0.6720442554051134,7.0,23569.64867810227,592,75,12.66891891891892,1,3.25,6,-0.19994404548303057,0.692260560325555,4.014763818847368,0.8654179171697147,0.6616759033849929,0.4876237623762376,129
35,0.275,0.525,0.2,False,26,20,0.7692307692307693,20,-0.14561164303314011,4.0,32166.30823774374,2,0,0.0,0,0.1880957509539003,23.0,2155.311110212757,12,6,0.5,6,0.1463322256730566,8.5,13573.951593052228,19,13,0.6842105263157895,12,0.6720442554051125,7.0,24207.51214098487,592,67,11.317567567567567,3,2.0,5,-0.20271322444035178,0.7562506578421714,3.9674404016268845,0.985713404204984,0.7175760194409454,0.4760726072607261,121
36,0.275,0.55,0.175,False,28,19,0.6785714285714286,19,-0.11357576029140026,4.0,35464.7099326752,2,0,0.0,0,0.1880957509539003,23.0,2168.0819446333026,13,6,0.46153846153846156,6,0.1324504587810349,10.0,14744.039855992356,18,13,0.7222222222222222,12,0.6678289491664755,7.0,23565.54254294282,592,72,12.162162162162163,0,3.75,5,-0.2168013734655332,0.7316104567514573,3.406151994126384,1.0300901304496302,0.7387502486788471,0.46534653465346537,125
37,0.275,0.575,0.15,False,29,20,0.6896551724137931,20,-0.1411298556127809,4.0,35573.64994145007,2,0,0.0,0,0.1880957509539003,23.0,2135.880787755823,13,6,0.46153846153846156,6,0.13555306277769508,10.0,14442.039815820675,18,13,0.7222222222222222,12,0.6678289491664748,7.0,23099.280197185413,592,74,12.5,0,5.25,7,-0.2168013734655332,0.6996584840945348,3.358501432841036,0.9723747017121005,0.7135347163892284,0.4636963696369637,127
38,0.275,0.6,0.125,False,28,20,0.7142857142857143,20,-0.14280165329891392,4.0,34523.42024463597,2,0,0.0,0,0.1903915881538112,24.5,2134.848269089942,13,6,0.46153846153846156,6,0.13555306277769552,10.0,14441.871913830422,18,13,0.7222222222222222,12,0.6678289491664757,7.0,23099.013554703466,592,72,12.162162162162163,1,4.0,7,-0.2168013734655332,0.6996387106425032,3.5048928227640967,0.9723393916474565,0.7132155288592238,0.46204620462046203,125
39,0.3,0.1,0.6,False,12,7,0.5833333333333334,5,-0.0401234196717839,7.5,10647.32054449614,12,9,0.75,5,-0.24447055911531623,11.0,9871.15353191374,6,1,0.16666666666666666,1,0.2818349042471855,21.5,4958.626708828788,23,17,0.7391304347826086,14,0.3876716389736632,8.0,20504.463127939172,592,43,7.263513513513513,0,21.0,27,-0.42388316600441256,0.13503047506725574,2.3805282358335287,0.3069464624491107,0.34198930834501196,0.6551155115511551,109
