kind,id,name,information_family,status,provider,version
signal,SIG-CZSC-bar_vol_bs1_V230224,bar_vol_bs1_V230224,VOLUME_LIQUIDITY,DISCOVERED,czsc,1
signal,SIG-CZSC-bar_vol_grow_V221112,bar_vol_grow_V221112,VOLUME_LIQUIDITY,DISCOVERED,czsc,1
signal,SIG-CZSC-bar_volatility_V241013,bar_volatility_V241013,VOLUME_LIQUIDITY,DISCOVERED,czsc,1
signal,SIG-CZSC-bar_weekday_V230328,bar_weekday_V230328,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-bar_window_ps_V230731,bar_window_ps_V230731,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-bar_window_ps_V230801,bar_window_ps_V230801,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-bar_window_std_V230731,bar_window_std_V230731,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-bar_zdf_V221203,bar_zdf_V221203,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-bar_zdt_V230331,bar_zdt_V230331,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-bar_zfzd_V241013,bar_zfzd_V241013,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-bar_zfzd_V241014,bar_zfzd_V241014,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-bar_zt_count_V230504,bar_zt_count_V230504,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-bias_up_dw_line_V230618,bias_up_dw_line_V230618,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-byi_bi_end_V230106,byi_bi_end_V230106,MARKET_STRUCTURE,DISCOVERED,czsc,1
signal,SIG-CZSC-byi_bi_end_V230107,byi_bi_end_V230107,MARKET_STRUCTURE,DISCOVERED,czsc,1
signal,SIG-CZSC-byi_fx_num_V230628,byi_fx_num_V230628,MARKET_STRUCTURE,DISCOVERED,czsc,1
signal,SIG-CZSC-byi_second_bs_V230324,byi_second_bs_V230324,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-byi_symmetry_zs_V221107,byi_symmetry_zs_V221107,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-cat_macd_V230518,cat_macd_V230518,TREND_MOMENTUM,DISCOVERED,czsc,1
