window,start,end,trading_days,ex04_overlap_days,ex04_segment_count,episode_class,baseline_episode_id,episode_log_wealth_delta,episode_negative_log_loss
2023H2,2023-08-01,2023-08-14,10,6,1,early_exit,2023H2:E002,0.034518901257898874,0.001018848789102848
2023H2,2023-08-30,2023-09-12,10,6,1,late_entry+early_exit,2023H2:E003,-0.019613868985429567,0.029755835169452592
2023H2,2023-09-28,2023-10-16,7,7,1,fully_covered,2023H2:E004,-1.1188966420050406e-16,3.3480163086352377e-16
2023H2,2023-10-30,2023-11-22,18,18,1,fully_covered,2023H2:E005,-1.0668549377257364e-16,9.968154773831728e-16
2023H2,2023-12-11,2023-12-15,5,5,1,fully_covered,2023H2:E006,1.0495077029659683e-16,2.255140518769849e-16
2023H2,2023-12-25,2023-12-27,3,0,0,fully_missed_entry,2023H2:E007,0.0168553798137318,0.00590669171539018
2023H2,2023-12-29,2023-12-29,1,1,1,fully_covered,2023H2:E008,0.0,0.0
2024H1,2024-01-02,2024-01-04,3,2,1,early_exit,2024H1:E001,0.005406566673707806,0.0
2024H1,2024-01-26,2024-01-30,3,0,0,fully_missed_entry,2024H1:E002,0.09147165324737778,0.0
2024H1,2024-02-07,2024-03-14,21,20,1,late_entry,2024H1:E003,-0.03713954694945665,0.03713954694945709
2024H1,2024-03-19,2024-03-21,3,3,1,fully_covered,2024H1:E004,1.1102230246251565e-16,0.0
2024H1,2024-03-29,2024-04-03,4,0,0,fully_missed_entry,2024H1:E005,0.005647891559052235,0.018572540334736515
2024H1,2024-04-19,2024-04-23,3,3,1,fully_covered,2024H1:E006,3.365363543395006e-16,0.0
2024H1,2024-04-25,2024-05-15,12,12,1,fully_covered,2024H1:E007,-2.198762005800603e-16,5.546778314435841e-16
2024H1,2024-06-03,2024-06-25,16,15,1,late_entry,2024H1:E008,-0.007853443505570396,0.008656500244335863
2024H2,2024-07-11,2024-07-29,13,9,1,late_entry+early_exit,2024H2:E001,0.01315236709301076,0.015517472108636087
2024H2,2024-08-01,2024-08-05,3,3,1,fully_covered,2024H2:E002,0.0,0.0
2024H2,2024-09-02,2024-09-04,3,0,0,fully_missed_entry,2024H2:E003,0.027663803982473603,0.007241161256559474
2024H2,2024-09-25,2024-11-01,23,21,1,early_exit,2024H2:E004,0.01698103991313516,0.012658329521492664
2024H2,2024-11-06,2024-11-15,8,8,1,fully_covered,2024H2:E005,-1.251169307048272e-16,4.512449441884669e-16
2024H2,2024-12-02,2024-12-04,3,2,1,late_entry,2024H2:E006,-0.00868312257346079,0.008683122573461013
2024H2,2024-12-11,2024-12-13,3,3,1,fully_covered,2024H2:E007,1.0972125985553305e-16,1.1145598333150986e-16
2024H2,2024-12-23,2024-12-31,7,7,1,fully_covered,2024H2:E008,-1.1752751549742868e-16,3.391384395534658e-16
2025H1,2025-01-08,2025-01-10,3,3,1,fully_covered,2025H1:E001,0.0,0.0
2025H1,2025-01-15,2025-03-13,36,34,1,early_exit,2025H1:E002,0.03361449373572286,0.0
2025H1,2025-03-28,2025-04-01,3,3,1,fully_covered,2025H1:E003,-2.237793284010081e-16,2.237793284010081e-16
2025H1,2025-04-14,2025-04-23,8,7,2,interrupted_holding,2025H1:E004,-0.006785937150377199,0.008207292286620201
2025H1,2025-05-08,2025-05-12,3,3,1,fully_covered,2025H1:E005,-1.0744443529331349e-16,2.2193618470778276e-16
2025H1,2025-05-15,2025-05-19,3,3,1,fully_covered,2025H1:E006,0.0,0.0
2025H1,2025-05-30,2025-06-30,21,14,2,interrupted_holding,2025H1:E007,-0.011000083417916378,0.028191921759048645
2025H2,2025-07-01,2025-10-16,72,70,1,early_exit,2025H2:E001,-0.009474986802380916,0.01768858533976966
2025H2,2025-10-22,2025-10-30,7,4,1,late_entry,2025H2:E002,-0.06625843953469093,0.06976352549263728
2025H2,2025-12-02,2025-12-04,3,0,0,fully_missed_entry,2025H2:E003,0.004937752147696279,0.011931536029047339
2025H2,2025-12-08,2025-12-11,4,4,1,fully_covered,2025H2:E004,1.0711917464156784e-16,1.1145598333150986e-16
2025H2,2025-12-15,2025-12-24,8,8,1,fully_covered,2025H2:E005,0.0,0.0
2025H2,2025-12-26,2025-12-31,4,4,1,fully_covered,2025H2:E006,3.3501847129802087e-16,0.0
