event_date,control_date,calendar_year,prior_return_distance_sd,standardized_distance,event_return_1130,control_return_1130,paired_effect
2021-11-09,2021-10-15,2021,0.04749413252907381,0.9075561745044908,0.001136363636363713,0.003052658356652138,-0.001916294720288425
2021-11-12,2021-04-29,2021,0.07620481919154498,0.6186528951314869,0.002375000000000016,-0.002362095317493318,0.004737095317493334
2021-11-18,2021-11-15,2021,0.03098023114605236,0.5980076634474032,0.004519206628169625,-0.007469189592929082,0.011988396221098707
2021-12-02,2021-04-26,2021,0.018732213018704924,0.4816186452230614,-0.004650593562599448,0.0057158789906595064,-0.010366472553258954
2021-12-17,2021-12-06,2021,0.014881469946993464,0.5707482571314696,-0.007363592467406921,0.003290275408238008,-0.010653867875644929
2021-12-22,2021-11-10,2021,0.08731475022207436,1.474596201658093,0.003671970624234966,-0.00931989924433263,0.012991869868567596
2021-12-31,2021-06-18,2021,0.07933133295972916,0.6710336903323166,0.003407984420642496,0.002034450020344414,0.001373534400298082
2022-01-04,2022-12-02,2022,0.017996749342966356,0.8206240644778388,-0.005431502715751435,-0.0030674846625767804,-0.0023640180531746546
2022-01-18,2022-08-02,2022,0.09551714493297159,1.7502562152571475,0.003609209707529759,-0.026936961955012495,0.030546171662542254
2022-01-25,2022-09-23,2022,0.016841393905765376,0.6567280401259823,-0.01635155850792014,-0.019133937562940573,0.002782379055020434
2022-01-27,2022-09-30,2022,0.07946462711916377,0.8339251861645421,-0.014721345951629772,-0.0048417776240705646,-0.009879568327559207
2022-02-09,2022-05-16,2022,0.03100272124082981,2.5622569686082537,0.008565028330478341,-0.011406844106463865,0.019971872436942206
2022-02-21,2022-02-16,2022,0.012060572309263606,0.8044051490172137,0.0013029315960912946,-0.0002625016406352376,0.0015654332367265322
2022-03-14,2022-02-08,2022,0.012984800757513737,1.8243035176586315,-0.0017993079584773808,-0.00707232452628781,0.005273016567810429
2022-03-21,2022-06-20,2022,0.0490209881414585,3.2272214285914593,-0.0002808988764044784,-0.0013931457230427213,0.001112246846638243
2022-03-29,2022-04-11,2022,0.008521943196053178,1.2419624473841069,-0.0067988668555239995,-0.014942528735632177,0.008143661880108177
2022-04-06,2022-03-24,2022,0.011726325094156442,1.0444425450272272,-0.004895104895104918,-0.001960235228227414,-0.0029348696668775043
2022-04-13,2022-03-18,2022,0.0025431408216989304,0.5698271458002335,-0.002915451895043719,0.002999571489787245,-0.005915023384830964
2022-05-20,2022-05-10,2022,0.039750228023107126,2.5200527259715413,0.007125530624620957,0.017656500802568198,-0.010530970177947241
2022-05-27,2022-06-15,2022,0.09660112338190607,1.8414098718896033,0.0,0.009543859649122632,-0.009543859649122632
2022-06-06,2022-07-21,2022,0.04824099670511539,0.9616303897453953,0.021853146853146876,-0.002186987424822151,0.024040134277969027
