signal_id,name,namespace,status,config_json,output_key,observed_bars,primary_state_count,error_type,error
SIG-15M-9AC89B7EADF8E7CC,bar_classify_V240606,bar,GENERATED,"{""di"":1,""freq"":""15分钟"",""name"":""bar_classify_V240606""}",15分钟_D1收盘位置_分类V240606,21984,3,,
SIG-15M-7D3B48E8F3F1B814,bar_classify_V240607,bar,GENERATED,"{""di"":1,""freq"":""15分钟"",""name"":""bar_classify_V240607""}",15分钟_D1K2收盘位置_分类V240607,21984,3,,
SIG-15M-01A122B81BD6AD26,bar_decision_V240608,bar,GENERATED,"{""freq"":""15分钟"",""n"":10,""name"":""bar_decision_V240608"",""q"":80,""w"":300}",15分钟_W300N10Q80放量_决策区域V240608,21984,3,,
SIG-15M-D6DDA18671D12C34,bar_decision_V240616,bar,GENERATED,"{""freq"":""15分钟"",""n"":5,""name"":""bar_decision_V240616"",""w"":100}",15分钟_W100N5强弱_决策区域V240616,21984,3,,
SIG-15M-EED38B27A2858EF5,bar_dual_thrust_V230403,bar,GENERATED,"{""K1"":20,""K2"":20,""N"":5,""di"":1,""freq"":""15分钟"",""name"":""bar_dual_thrust_V230403""}",15分钟_D1通道突破#5#20#20_BS辅助V230403,21984,3,,
SIG-15M-B13D9E09CB73C316,bar_eight_V230702,bar,GENERATED,"{""di"":1,""freq"":""15分钟"",""name"":""bar_eight_V230702""}",15分钟_D1#8K_走势分类V230702,21984,6,,
SIG-15M-8F454438C8D1C3C5,bar_end_V221211,bar,GENERATED,"{""freq"":""15分钟"",""freq1"":""60分钟"",""name"":""bar_end_V221211""}",15分钟_60分钟结束_BS辅助221211,21984,4,,
SIG-15M-5902749751290394,bar_fake_break_V230204,bar,GENERATED,"{""freq"":""15分钟"",""name"":""bar_fake_break_V230204"",""parameter_policy"":""native_defaults""}",15分钟_D1N20M5_假突破,21984,3,,
SIG-15M-037D620FE91F3F23,bar_fang_liang_break_V221216,bar,GENERATED,"{""di"":1,""freq"":""15分钟"",""ma_type"":""SMA"",""name"":""bar_fang_liang_break_V221216"",""th"":300,""timeperiod"":233}",15分钟_D1TH300#SMA#233_突破V221216,21984,2,,
,bar_limit_down_V230525,bar,FAILED,,,0,0,MissingSignalOutput,CZSC returned no identifiable signal column
SIG-15M-7F06B2B1763EECE0,bar_mean_amount_V221112,bar,GENERATED,"{""freq"":""15分钟"",""name"":""bar_mean_amount_V221112"",""parameter_policy"":""native_defaults""}",15分钟_D1K10B均额_1至4千万,21984,2,,
SIG-15M-7E65F007E78C84BC,bar_operate_span_V221111,bar,GENERATED,"{""freq"":""15分钟"",""name"":""bar_operate_span_V221111"",""parameter_policy"":""native_defaults""}",15分钟_T0935#1450_时间区间,21984,2,,
SIG-15M-21E0E55B9F867C30,bar_plr_V240427,bar,GENERATED,"{""di"":1,""freq"":""15分钟"",""m"":""多头"",""name"":""bar_plr_V240427"",""t"":20,""w"":60}",15分钟_D1W60T20M多头_盈亏比V240427,21984,3,,
SIG-15M-7DD2322BECD744FC,bar_polyfit_V240428,bar,GENERATED,"{""di"":1,""freq"":""15分钟"",""name"":""bar_polyfit_V240428"",""w"":20}",15分钟_D1W20_分类V240428,21984,5,,
SIG-15M-9D37D2A3A0B34B6F,bar_r_breaker_V230326,bar,GENERATED,"{""freq"":""15分钟"",""name"":""bar_r_breaker_V230326""}",15分钟_RBreaker_BS辅助V230326,21984,3,,
SIG-15M-273963B01B893C36,bar_reversal_V230227,bar,GENERATED,"{""avg_bp"":300,""di"":1,""freq"":""15分钟"",""name"":""bar_reversal_V230227""}",15分钟_D1A300_反转V230227,21984,2,,
SIG-15M-8764005B6FC9D2DD,bar_section_momentum_V221112,bar,GENERATED,"{""freq"":""15分钟"",""name"":""bar_section_momentum_V221112"",""parameter_policy"":""native_defaults""}",15分钟_D1K10B_阈值100BP,21984,2,,
SIG-15M-639C28D02B042809,bar_shuang_fei_V230507,bar,GENERATED,"{""di"":1,""freq"":""15分钟"",""name"":""bar_shuang_fei_V230507""}",15分钟_D1双飞_短线V230507,21984,1,,
SIG-15M-DD53C84A418163CB,bar_single_V230214,bar,GENERATED,"{""freq"":""15分钟"",""name"":""bar_single_V230214"",""parameter_policy"":""native_defaults""}",15分钟_D1T10_状态,21984,2,,
SIG-15M-FE6E8A96169C59B9,bar_single_V230506,bar,GENERATED,"{""di"":1,""freq"":""15分钟"",""n"":5,""name"":""bar_single_V230506""}",15分钟_D1单K趋势N5_BS辅助V230506,21984,6,,
SIG-15M-B8423DE4F171F51A,bar_td9_V240616,bar,GENERATED,"{""freq"":""15分钟"",""n"":9,""name"":""bar_td9_V240616""}",15分钟_神奇九转N9_BS辅助V240616,21984,3,,
SIG-15M-1BDEB308519F840E,bar_time_V230327,bar,GENERATED,"{""freq"":""15分钟"",""name"":""bar_time_V230327""}",15分钟_日内时间_分段V230327,21984,1,,
SIG-15M-C82693BA52FE9EB4,bar_tnr_V230629,bar,GENERATED,"{""di"":1,""freq"":""15分钟"",""name"":""bar_tnr_V230629"",""timeperiod"":14}",15分钟_D1TNR14_趋势V230629,21984,10,,
SIG-15M-0160B290455DD523,bar_tnr_V230630,bar,GENERATED,"{""di"":1,""freq"":""15分钟"",""k"":3,""name"":""bar_tnr_V230630"",""timeperiod"":14}",15分钟_D1TNR14K3_趋势V230630,21984,2,,
SIG-15M-7D751F1F52FC7BED,bar_trend_V240209,bar,GENERATED,"{""N"":60,""di"":1,""freq"":""15分钟"",""name"":""bar_trend_V240209""}",15分钟_D1N60趋势跟踪_BS辅助V240209,21984,3,,
SIG-15M-C7AEE26AAC44983F,bar_triple_V230506,bar,GENERATED,"{""di"":1,""freq"":""15分钟"",""name"":""bar_triple_V230506""}",15分钟_D1三K加速_裸K形态V230506,21984,5,,
SIG-15M-BA4836DDE42B5C04,bar_vol_bs1_V230224,bar,GENERATED,"{""freq"":""15分钟"",""name"":""bar_vol_bs1_V230224"",""parameter_policy"":""native_defaults""}",15分钟_D1N20量价_BS1辅助,21984,3,,
SIG-15M-B48485C6367E44BF,bar_vol_grow_V221112,bar,GENERATED,"{""di"":2,""freq"":""15分钟"",""n"":5,""name"":""bar_vol_grow_V221112""}",15分钟_D2K5B_放量V221112,21984,2,,
SIG-15M-8C26926A2987A907,bar_volatility_V241013,bar,GENERATED,"{""freq"":""15分钟"",""n"":10,""name"":""bar_volatility_V241013"",""w"":200}",15分钟_波动率分层W200N10_完全分类V241013,21984,4,,
SIG-15M-585052530B21F9CB,bar_weekday_V230328,bar,GENERATED,"{""freq"":""15分钟"",""name"":""bar_weekday_V230328""}",15分钟_周内时间_分段V230328,21984,5,,
SIG-15M-1FF73A0E54E84577,bar_window_ps_V230731,bar,GENERATED,"{""freq"":""15分钟"",""l"":5,""m"":40,""n"":8,""name"":""bar_window_ps_V230731"",""w"":5}",15分钟_W5M40N8L5_支撑压力位V230731,21984,5,,
SIG-15M-B404AD2458CAD368,bar_window_ps_V230801,bar,GENERATED,"{""freq"":""15分钟"",""n"":8,""name"":""bar_window_ps_V230801"",""w"":5}",15分钟_N8W5_支撑压力位V230801,21984,11,,
SIG-15M-FF62380CE9101213,bar_window_std_V230731,bar,GENERATED,"{""di"":1,""freq"":""15分钟"",""m"":100,""n"":10,""name"":""bar_window_std_V230731"",""w"":5}",15分钟_D1W5M100N10_窗口波动V230731,21984,10,,
SIG-15M-1E6DDE51188BC9F4,bar_zdf_V221203,bar,GENERATED,"{""freq"":""15分钟"",""name"":""bar_zdf_V221203"",""parameter_policy"":""native_defaults""}",15分钟_D1ZF_300至600,21984,2,,
SIG-15M-9C72FB97E7E98844,bar_zdt_V230331,bar,GENERATED,"{""di"":1,""freq"":""15分钟"",""name"":""bar_zdt_V230331""}",15分钟_D1_涨跌停V230331,21984,3,,
SIG-15M-DFDE43C57F397F10,bar_zfzd_V241013,bar,GENERATED,"{""freq"":""15分钟"",""n"":5,""name"":""bar_zfzd_V241013""}",15分钟_窄幅震荡N5_形态V241013,21984,2,,
SIG-15M-3C5A99184741CFBF,bar_zfzd_V241014,bar,GENERATED,"{""freq"":""15分钟"",""n"":5,""name"":""bar_zfzd_V241014""}",15分钟_窄幅震荡N5_形态V241014,21984,2,,
,bar_zt_count_V230504,bar,FAILED,,,0,0,MissingSignalOutput,CZSC returned no identifiable signal column
SIG-15M-E5F133675FFDC051,bias_up_dw_line_V230618,bias,GENERATED,"{""di"":1,""freq"":""15分钟"",""m"":12,""n"":6,""name"":""bias_up_dw_line_V230618"",""p"":24,""th1"":1,""th2"":3,""th3"":5}",15分钟_D1N6M12P24TH11TH23TH35_BIAS乖离率V230618,21984,3,,
SIG-15M-C5DBE813CBA7B031,byi_bi_end_V230106,byi,GENERATED,"{""freq"":""15分钟"",""name"":""byi_bi_end_V230106""}",15分钟_D0停顿分型_BE辅助V230106,21984,3,,
SIG-15M-DEC5C6099A84F539,byi_bi_end_V230107,byi,GENERATED,"{""freq"":""15分钟"",""name"":""byi_bi_end_V230107""}",15分钟_D0验证分型_BE辅助V230107,21984,3,,
SIG-15M-F3DAE9D00CB7D26D,byi_fx_num_V230628,byi,GENERATED,"{""di"":1,""freq"":""15分钟"",""name"":""byi_fx_num_V230628"",""num"":4}",15分钟_D1笔分型数大于4_BE辅助V230628,21984,3,,
SIG-15M-A32F4ABE15D5ECBB,byi_second_bs_V230324,byi,GENERATED,"{""di"":1,""fastperiod"":12,""freq"":""15分钟"",""name"":""byi_second_bs_V230324"",""signalperiod"":9,""slowperiod"":26}",15分钟_D1MACD12#26#9回抽零轴_BS2辅助V230324,21984,3,,
SIG-15M-07F5598471C763C9,byi_symmetry_zs_V221107,byi,GENERATED,"{""freq"":""15分钟"",""name"":""byi_symmetry_zs_V221107"",""parameter_policy"":""native_defaults""}",15分钟_D1B_对称中枢,21984,2,,
SIG-15M-B65079FFAD4400AC,cci_decision_V240620,cci,GENERATED,"{""freq"":""15分钟"",""n"":2,""name"":""cci_decision_V240620""}",15分钟_N2CCI_决策区域V240620,21984,3,,
SIG-15M-B3A6F5905413023F,clv_up_dw_line_V230605,clv,GENERATED,"{""di"":1,""freq"":""15分钟"",""n"":70,""name"":""clv_up_dw_line_V230605""}",15分钟_D1N70_CLV多空V230605,21984,2,,
SIG-15M-232FEBB3F9DA46A0,cmo_up_dw_line_V230605,cmo,GENERATED,"{""di"":1,""freq"":""15分钟"",""m"":30,""n"":70,""name"":""cmo_up_dw_line_V230605""}",15分钟_D1N70M30_CMO能量V230605,21984,3,,
SIG-15M-1900BA490F883F66,coo_cci_V230323,coo,GENERATED,"{""di"":1,""freq"":""15分钟"",""m"":5,""ma_type"":""SMA"",""n"":20,""name"":""coo_cci_V230323""}",15分钟_D1CCI20#SMA#5_BS辅助V230323,21984,3,,
SIG-15M-66B797CBC88F0872,coo_kdj_V230322,coo,GENERATED,"{""di"":1,""fastk_period"":9,""freq"":""15分钟"",""ma_type"":""EMA"",""n"":3,""name"":""coo_kdj_V230322"",""slowd_period"":3,""slowk_period"":3}",15分钟_D1KDJ9#3#3#EMA#3_BS辅助V230322,21984,3,,
SIG-15M-9415C509DFE4A308,coo_sar_V230325,coo,GENERATED,"{""di"":1,""freq"":""15分钟"",""n"":60,""name"":""coo_sar_V230325""}",15分钟_D1N60SAR_BS辅助V230325,21984,3,,
SIG-15M-F4CB34F0C61F68E4,coo_td_V221110,coo,GENERATED,"{""freq"":""15分钟"",""name"":""coo_td_V221110"",""parameter_policy"":""native_defaults""}",15分钟_D1K_TD,21984,2,,
SIG-15M-DEB51C04DBA84583,coo_td_V221111,coo,GENERATED,"{""di"":1,""freq"":""15分钟"",""name"":""coo_td_V221111""}",15分钟_D1TD_BS辅助V221111,21984,2,,
SIG-15M-8CF7AF47BA69C689,cvolp_up_dw_line_V230612,cvolp,GENERATED,"{""di"":1,""dw"":5,""freq"":""15分钟"",""m"":55,""n"":34,""name"":""cvolp_up_dw_line_V230612"",""up"":5}",15分钟_D1N34M55UP5DW5_CVOLP动量变化率V230612,21984,3,,
SIG-15M-36599A6AB7AD928D,cxt_bi_base_V230228,cxt,GENERATED,"{""bi_init_length"":9,""freq"":""15分钟"",""name"":""cxt_bi_base_V230228""}",15分钟_D0BL9_V230228,21984,2,,
SIG-15M-22A413C3B0C64599,cxt_bi_end_V230104,cxt,GENERATED,"{""freq"":""15分钟"",""ma_type"":""SMA"",""name"":""cxt_bi_end_V230104"",""th"":50,""timeperiod"":5}",15分钟_D0SMA#5T50_BE辅助V230104,21984,3,,
SIG-15M-3B3B1EC5690752AE,cxt_bi_end_V230105,cxt,GENERATED,"{""freq"":""15分钟"",""ma_type"":""SMA"",""name"":""cxt_bi_end_V230105"",""th"":50,""timeperiod"":5}",15分钟_D0SMA#5T50_BE辅助V230105,21984,3,,
SIG-15M-EDD4A33B597E96F9,cxt_bi_end_V230222,cxt,GENERATED,"{""freq"":""15分钟"",""max_overlap"":3,""name"":""cxt_bi_end_V230222""}",15分钟_D1MO3_BE辅助V230222,21984,3,,
SIG-15M-6251731CCE263EEE,cxt_bi_end_V230224,cxt,GENERATED,"{""freq"":""15分钟"",""name"":""cxt_bi_end_V230224""}",15分钟_D1_BE辅助V230224,21984,3,,
SIG-15M-ABE6259A5F2197B1,cxt_bi_end_V230312,cxt,GENERATED,"{""fastperiod"":12,""freq"":""15分钟"",""name"":""cxt_bi_end_V230312"",""signalperiod"":9,""slowperiod"":26}",15分钟_D0MACD12#26#9_BE辅助V230312,21984,3,,
SIG-15M-221F3C846183182B,cxt_bi_end_V230320,cxt,GENERATED,"{""freq"":""15分钟"",""max_overlap"":3,""name"":""cxt_bi_end_V230320""}",15分钟_D0质数窗口MO3_BE辅助V230320,21984,3,,
SIG-15M-1DF7162628444265,cxt_bi_end_V230322,cxt,GENERATED,"{""freq"":""15分钟"",""ma_type"":""SMA"",""name"":""cxt_bi_end_V230322"",""timeperiod"":5}",15分钟_D0分型配合SMA#5_BE辅助V230322,21984,3,,
SIG-15M-0038BE659B791F14,cxt_bi_end_V230324,cxt,GENERATED,"{""freq"":""15分钟"",""ma_type"":""SMA"",""name"":""cxt_bi_end_V230324"",""timeperiod"":5}",15分钟_D0SMA#5均线突破_BE辅助V230324,21984,3,,
SIG-15M-3C6E38CA4992EFCF,cxt_bi_end_V230618,cxt,GENERATED,"{""di"":1,""freq"":""15分钟"",""max_overlap"":3,""name"":""cxt_bi_end_V230618""}",15分钟_D1MO3_BE辅助V230618,21984,3,,
SIG-15M-3125A38C3C4311C2,cxt_bi_end_V230815,cxt,GENERATED,"{""freq"":""15分钟"",""name"":""cxt_bi_end_V230815""}",15分钟_快速突破_BE辅助V230815,21984,3,,
SIG-15M-0BCF22291B0DFA1F,cxt_bi_status_V230101,cxt,GENERATED,"{""freq"":""15分钟"",""name"":""cxt_bi_status_V230101""}",15分钟_D1_表里关系V230101,21984,2,,
SIG-15M-A7EE684CA89D561F,cxt_bi_status_V230102,cxt,GENERATED,"{""freq"":""15分钟"",""name"":""cxt_bi_status_V230102""}",15分钟_D1_表里关系V230102,21984,3,,
SIG-15M-472EB8B25DB11A11,cxt_bi_stop_V230815,cxt,GENERATED,"{""freq"":""15分钟"",""name"":""cxt_bi_stop_V230815"",""th"":50}",15分钟_距离50BP_止损V230815,21984,2,,
SIG-15M-ED407E218017FD9A,cxt_bi_trend_V230824,cxt,GENERATED,"{""di"":1,""freq"":""15分钟"",""n"":4,""name"":""cxt_bi_trend_V230824"",""th"":2}",15分钟_D1N4TH2_形态V230824,21984,3,,
SIG-15M-34866D3146D3CD25,cxt_bi_trend_V230913,cxt,GENERATED,"{""di"":4,""freq"":""15分钟"",""n"":1,""name"":""cxt_bi_trend_V230913""}",15分钟_D4N1笔趋势_高低点辅助判断V230913,21984,3,,
SIG-15M-07F42D175281AD79,cxt_bi_zdf_V230601,cxt,GENERATED,"{""di"":1,""freq"":""15分钟"",""n"":5,""name"":""cxt_bi_zdf_V230601""}",15分钟_D1N5_分层V230601,21984,3,,
SIG-15M-141AA38ECBCF44BE,cxt_bs_V240526,cxt,GENERATED,"{""freq"":""15分钟"",""name"":""cxt_bs_V240526""}",15分钟_趋势跟随_BS辅助V240526,21984,3,,
SIG-15M-E3A47F81FD6E2253,cxt_bs_V240527,cxt,GENERATED,"{""freq"":""15分钟"",""name"":""cxt_bs_V240527""}",15分钟_趋势跟随_BS辅助V240527,21984,3,,
SIG-15M-DB146C3B124581F2,cxt_decision_V240526,cxt,GENERATED,"{""freq"":""15分钟"",""n"":9,""name"":""cxt_decision_V240526""}",15分钟_分型区域N9_决策区域V240526,21984,3,,
SIG-15M-4C8816B4C10B6B82,cxt_decision_V240612,cxt,GENERATED,"{""freq"":""15分钟"",""n"":9,""name"":""cxt_decision_V240612"",""w"":10}",15分钟_W10N9高低点_决策区域V240612,21984,3,,
SIG-15M-7795EB3A7B1EE01F,cxt_decision_V240613,cxt,GENERATED,"{""freq"":""15分钟"",""n"":4,""name"":""cxt_decision_V240613""}",15分钟_放量笔N4BS2_决策区域V240613,21984,3,,
SIG-15M-659B895C5778EE9C,cxt_decision_V240614,cxt,GENERATED,"{""freq"":""15分钟"",""n"":4,""name"":""cxt_decision_V240614""}",15分钟_放量笔N4_决策区域V240614,21984,3,,
SIG-15M-AC362BBBD2395BAB,cxt_double_zs_V230311,cxt,GENERATED,"{""di"":1,""freq"":""15分钟"",""name"":""cxt_double_zs_V230311""}",15分钟_D1双中枢_BS1辅助V230311,21984,3,,
SIG-15M-8E4042E2C2422A6C,cxt_eleven_bi_V230622,cxt,GENERATED,"{""di"":1,""freq"":""15分钟"",""name"":""cxt_eleven_bi_V230622""}",15分钟_D1十一笔_形态V230622,21984,10,,
SIG-15M-7C22B7173FBEBAF8,cxt_first_buy_V221126,cxt,GENERATED,"{""freq"":""15分钟"",""name"":""cxt_first_buy_V221126"",""parameter_policy"":""native_defaults""}",15分钟_D1B_BUY1,21984,2,,
SIG-15M-5BAF387E0E592940,cxt_first_sell_V221126,cxt,GENERATED,"{""freq"":""15分钟"",""name"":""cxt_first_sell_V221126"",""parameter_policy"":""native_defaults""}",15分钟_D1B_SELL1,21984,2,,
SIG-15M-BF06D9DE629E53ED,cxt_five_bi_V230619,cxt,GENERATED,"{""di"":1,""freq"":""15分钟"",""name"":""cxt_five_bi_V230619""}",15分钟_D1五笔_形态V230619,21984,9,,
SIG-15M-9002E86C65FC1156,cxt_fx_power_V221107,cxt,GENERATED,"{""freq"":""15分钟"",""name"":""cxt_fx_power_V221107"",""parameter_policy"":""native_defaults""}",15分钟_D1F_分型强弱,21984,6,,
SIG-15M-A82250A9A9AD3647,cxt_nine_bi_V230621,cxt,GENERATED,"{""di"":1,""freq"":""15分钟"",""name"":""cxt_nine_bi_V230621""}",15分钟_D1九笔_形态V230621,21984,15,,
SIG-15M-9D822716C4D60824,cxt_overlap_V240526,cxt,GENERATED,"{""freq"":""15分钟"",""name"":""cxt_overlap_V240526""}",15分钟_顶底重合_支撑压力V240526,21984,6,,
SIG-15M-E64AB2C56DBC2854,cxt_overlap_V240612,cxt,GENERATED,"{""freq"":""15分钟"",""n"":7,""name"":""cxt_overlap_V240612""}",15分钟_SNR顺畅N7_支撑压力V240612,21984,3,,
SIG-15M-2915B0214762B026,cxt_range_oscillation_V230620,cxt,GENERATED,"{""di"":1,""freq"":""15分钟"",""name"":""cxt_range_oscillation_V230620"",""th"":2}",15分钟_D1TH2_区间震荡V230620,21984,12,,
SIG-15M-D468F5955DDCF3B3,cxt_second_bs_V230320,cxt,GENERATED,"{""di"":1,""freq"":""15分钟"",""ma_type"":""SMA"",""name"":""cxt_second_bs_V230320"",""timeperiod"":21}",15分钟_D1#SMA#21_BS2辅助V230320,21984,3,,
SIG-15M-82533BF0B5147D72,cxt_second_bs_V240524,cxt,GENERATED,"{""di"":1,""freq"":""15分钟"",""name"":""cxt_second_bs_V240524"",""t"":2,""w"":9}",15分钟_D1W9T2_第二买卖点V240524,21984,3,,
SIG-15M-A96277ADA6021BA0,cxt_seven_bi_V230620,cxt,GENERATED,"{""di"":1,""freq"":""15分钟"",""name"":""cxt_seven_bi_V230620""}",15分钟_D1七笔_形态V230620,21984,13,,
SIG-15M-044FE110D68BC3C9,cxt_third_bs_V230318,cxt,GENERATED,"{""di"":1,""freq"":""15分钟"",""ma_type"":""SMA"",""name"":""cxt_third_bs_V230318"",""timeperiod"":34}",15分钟_D1#SMA#34_BS3辅助V230318,21984,3,,
SIG-15M-C7AA844D6DFB48D4,cxt_third_bs_V230319,cxt,GENERATED,"{""di"":1,""freq"":""15分钟"",""ma_type"":""SMA"",""name"":""cxt_third_bs_V230319"",""timeperiod"":34}",15分钟_D1#SMA#34_BS3辅助V230319,21984,3,,
SIG-15M-AD7629CA093EECBE,cxt_third_buy_V230228,cxt,GENERATED,"{""di"":1,""freq"":""15分钟"",""name"":""cxt_third_buy_V230228""}",15分钟_D1_三买辅助V230228,21984,2,,
SIG-15M-7413D069FB7FDF97,cxt_three_bi_V230618,cxt,GENERATED,"{""di"":1,""freq"":""15分钟"",""name"":""cxt_three_bi_V230618""}",15分钟_D1三笔_形态V230618,21984,13,,
SIG-15M-3CAE8A92B11B138D,cxt_ubi_end_V230816,cxt,GENERATED,"{""freq"":""15分钟"",""name"":""cxt_ubi_end_V230816""}",15分钟_UBI_BE辅助V230816,21984,3,,
SIG-15M-D659C896E07FEAD8,dema_up_dw_line_V230605,dema,GENERATED,"{""di"":1,""freq"":""15分钟"",""n"":5,""name"":""dema_up_dw_line_V230605""}",15分钟_D1N5_DEMA短线趋势V230605,21984,2,,
SIG-15M-CB3E73C1219F70FA,demakder_up_dw_line_V230605,demakder,GENERATED,"{""di"":1,""freq"":""15分钟"",""n"":105,""name"":""demakder_up_dw_line_V230605"",""th"":5,""tl"":5}",15分钟_D1N105TH5TL5_DEMAKER价格趋势V230605,21984,3,,
SIG-15M-E795B01F2A552066,emv_up_dw_line_V230605,emv,GENERATED,"{""di"":1,""freq"":""15分钟"",""name"":""emv_up_dw_line_V230605""}",15分钟_D1_EMV简易波动V230605,21984,2,,
SIG-15M-3919171E4B91FC89,er_up_dw_line_V230604,er,GENERATED,"{""di"":1,""freq"":""15分钟"",""n"":10,""name"":""er_up_dw_line_V230604"",""w"":60}",15分钟_D1W60N10_ER价格动量V230604,21984,2,,
SIG-15M-4016374D68C4E8E6,jcc_ci_tou_V221101,jcc,GENERATED,"{""freq"":""15分钟"",""name"":""jcc_ci_tou_V221101"",""parameter_policy"":""native_defaults""}",15分钟_D1Z100TH50_刺透形态,21984,2,,
SIG-15M-E12A590C1832898A,jcc_fan_ji_xian_V221121,jcc,GENERATED,"{""freq"":""15分钟"",""name"":""jcc_fan_ji_xian_V221121"",""parameter_policy"":""native_defaults""}",15分钟_D1_反击线,21984,2,,
SIG-15M-3973D8C11AC2F7E2,jcc_fen_shou_xian_V20221113,jcc,GENERATED,"{""freq"":""15分钟"",""name"":""jcc_fen_shou_xian_V20221113"",""parameter_policy"":""native_defaults""}",15分钟_D1K_分手线,21984,2,,
SIG-15M-489D74923F5117A9,jcc_gap_yin_yang_V221121,jcc,GENERATED,"{""freq"":""15分钟"",""name"":""jcc_gap_yin_yang_V221121"",""parameter_policy"":""native_defaults""}",15分钟_D1K_并列阴阳,21984,3,,
SIG-15M-848FC1C86EFD39F4,jcc_ping_tou_V221113,jcc,GENERATED,"{""freq"":""15分钟"",""name"":""jcc_ping_tou_V221113"",""parameter_policy"":""native_defaults""}",15分钟_D2TH100_平头形态,21984,3,,
SIG-15M-5CA3544084DBD3E7,jcc_san_fa_V20221115,jcc,GENERATED,"{""freq"":""15分钟"",""name"":""jcc_san_fa_V20221115"",""parameter_policy"":""native_defaults""}",15分钟_D1K_三法,21984,1,,
SIG-15M-6B97CE878EDA3CD1,jcc_san_fa_V20221118,jcc,GENERATED,"{""freq"":""15分钟"",""name"":""jcc_san_fa_V20221118"",""parameter_policy"":""native_defaults""}",15分钟_D1K_三法A,21984,3,,
SIG-15M-37A41558BC46E875,jcc_san_szx_V221122,jcc,GENERATED,"{""freq"":""15分钟"",""name"":""jcc_san_szx_V221122"",""parameter_policy"":""native_defaults""}",15分钟_D1T10_三星,21984,2,,
SIG-15M-6A783EC4EF1E2987,jcc_san_xing_xian_V221023,jcc,GENERATED,"{""freq"":""15分钟"",""name"":""jcc_san_xing_xian_V221023"",""parameter_policy"":""native_defaults""}",15分钟_D1TH200_伞形线,21984,2,,
SIG-15M-DE48DC3ED39053B8,jcc_shan_chun_V221121,jcc,GENERATED,"{""freq"":""15分钟"",""name"":""jcc_shan_chun_V221121"",""parameter_policy"":""native_defaults""}",15分钟_D1B_山川形态,21984,2,,
SIG-15M-5E4F8AC6A3D5FFB1,jcc_szx_V221111,jcc,GENERATED,"{""freq"":""15分钟"",""name"":""jcc_szx_V221111"",""parameter_policy"":""native_defaults""}",15分钟_D1TH10_十字线,21984,5,,
SIG-15M-45AFFBD92A4D2355,jcc_ta_xing_V221124,jcc,GENERATED,"{""freq"":""15分钟"",""name"":""jcc_ta_xing_V221124"",""parameter_policy"":""native_defaults""}",15分钟_D1K_塔形,21984,3,,
