candidate_id,family,family_rank,parameter,worst_calmar,worst_drawdown,max_drawdown,calmar,win_loss_ratio,return,sharpe,cycle_count,t1_fill_rate,two_day_fill_rate,final_fill_rate,average_wait_sessions,longest_wait_sessions,missed_cycles,cap_p95,cap_mean,average_open_improvement,worst_open_improvement,average_diagnostic_participation,maximum_diagnostic_participation,trade_count
fixed_10,fixed,0,0.005000000000000001,-0.07887314889529265,-0.18231540565177773,-0.23072279847131993,0.5604154785990597,4.83711252754441,0.824374454079011,0.6284700346713228,64,1.0,1.0,1.0,1.0,1,0,0.004955648430562276,0.00458945302107272,0.0006303617778484136,0.0,0.0006172398836320468,0.002430116649487362,127
fixed_11,fixed,0,0.0075,-0.07887314889529265,-0.18231540565177717,-0.23072279847131993,0.5457493806259069,4.765291650415285,0.7975048969612974,0.6157524985221139,64,1.0,1.0,1.0,1.0,1,0,0.0073999137089264975,0.006940150741407896,0.0003971980826188194,0.0,0.0006051481519395926,0.002430116649487362,127
fixed_12,fixed,0,0.009999999999999998,-0.07887314889529265,-0.18231540565177762,-0.23072279847131993,0.5350496527009542,4.708872542418262,0.7781020036330131,0.6064602858811171,64,1.0,1.0,1.0,1.0,1,0,0.009966777408638017,0.009546903348915732,0.00022677971921214457,0.0,0.0006046926625389967,0.002430116649487362,127
fixed_13,fixed,0,0.0125,-0.07887314889529265,-0.18231540565177762,-0.23072279847131993,0.5297778207993153,4.678470328119569,0.7686037041713851,0.6018786619866583,64,1.0,1.0,1.0,1.0,1,0,0.012486194619451007,0.012074362202022706,0.00014259613665617774,0.0,0.0006046926625389967,0.002430116649487362,127
fixed_14,fixed,0,0.015000000000000003,-0.07887314889529265,-0.1823154056517774,-0.23072279847131993,0.5265035921575972,4.6598208356650614,0.7627249081969836,0.5990218628755207,64,1.0,1.0,1.0,1.0,1,0,0.014949351646066889,0.014525929220026768,9.037540530722546e-05,0.0,0.0006046926625389967,0.002430116649487362,127
fixed_15,fixed,0,0.017499999999999998,-0.07887314889529265,-0.1823154056517775,-0.23072279847131993,0.5212637527941423,4.630301928946539,0.7533493516616199,0.5944297895833751,64,1.0,1.0,1.0,1.0,1,0,0.017444939505904443,0.017070772564240107,6.9181810740046035e-06,0.0,0.0006046926625389967,0.002430116649487362,127
fixed_16,fixed,0,0.02,-0.07887314889529265,-0.1823154056517775,-0.23072279847131993,0.5208290724228778,4.627880416992466,0.7525733759841462,0.5940483011476363,64,1.0,1.0,1.0,1.0,1,0,0.019937073721033795,0.01950913238270363,0.0,0.0,0.0006046926625389967,0.002430116649487362,127
fixed_17,fixed,0,0.022500000000000003,-0.07887314889529265,-0.1823154056517775,-0.23072279847131993,0.5208290724228778,4.627880416992466,0.7525733759841462,0.5940483011476363,64,1.0,1.0,1.0,1.0,1,0,0.02248180525347161,0.022111071829879127,0.0,0.0,0.0006046926625389967,0.002430116649487362,127
fixed_18,fixed,0,0.024999999999999998,-0.07887314889529265,-0.1823154056517775,-0.23072279847131993,0.5208290724228778,4.627880416992466,0.7525733759841462,0.5940483011476363,64,1.0,1.0,1.0,1.0,1,0,0.024967148488830526,0.024589519447941632,0.0,0.0,0.0006046926625389967,0.002430116649487362,127
fixed_19,fixed,0,0.0275,-0.07887314889529265,-0.1823154056517775,-0.23072279847131993,0.5208290724228778,4.627880416992466,0.7525733759841462,0.5940483011476363,64,1.0,1.0,1.0,1.0,1,0,0.027461941501093757,0.027003389592913343,0.0,0.0,0.0006046926625389967,0.002430116649487362,127
fixed_20,fixed,0,0.030000000000000002,-0.07887314889529265,-0.1823154056517775,-0.23072279847131993,0.5208290724228778,4.627880416992466,0.7525733759841462,0.5940483011476363,64,1.0,1.0,1.0,1.0,1,0,0.02995169082125626,0.029532289209658093,0.0,0.0,0.0006046926625389967,0.002430116649487362,127
fixed_21,fixed,0,0.0325,-0.07887314889529265,-0.1823154056517775,-0.23072279847131993,0.5208290724228778,4.627880416992466,0.7525733759841462,0.5940483011476363,64,1.0,1.0,1.0,1.0,1,0,0.032420732787534476,0.032009219137941,0.0,0.0,0.0006046926625389967,0.002430116649487362,127
fixed_22,fixed,0,0.035,-0.07887314889529265,-0.1823154056517775,-0.23072279847131993,0.5208290724228778,4.627880416992466,0.7525733759841462,0.5940483011476363,64,1.0,1.0,1.0,1.0,1,0,0.03493714419725073,0.03450560726238517,0.0,0.0,0.0006046926625389967,0.002430116649487362,127
fixed_23,fixed,0,0.037500000000000006,-0.07887314889529265,-0.1823154056517775,-0.23072279847131993,0.5208290724228778,4.627880416992466,0.7525733759841462,0.5940483011476363,64,1.0,1.0,1.0,1.0,1,0,0.037469713637805546,0.037057903997047545,0.0,0.0,0.0006046926625389967,0.002430116649487362,127
fixed_24,fixed,0,0.039999999999999994,-0.07887314889529265,-0.1823154056517775,-0.23072279847131993,0.5208290724228778,4.627880416992466,0.7525733759841462,0.5940483011476363,64,1.0,1.0,1.0,1.0,1,0,0.039888518762831136,0.03955162540082196,0.0,0.0,0.0006046926625389967,0.002430116649487362,127
fixed_25,fixed,0,0.042499999999999996,-0.07887314889529265,-0.1823154056517775,-0.23072279847131993,0.5208290724228778,4.627880416992466,0.7525733759841462,0.5940483011476363,64,1.0,1.0,1.0,1.0,1,0,0.04245120217705974,0.0420845373700851,0.0,0.0,0.0006046926625389967,0.002430116649487362,127
fixed_26,fixed,0,0.045,-0.07887314889529265,-0.1823154056517775,-0.23072279847131993,0.5208290724228778,4.627880416992466,0.7525733759841462,0.5940483011476363,64,1.0,1.0,1.0,1.0,1,0,0.04496552318262688,0.04452077724555289,0.0,0.0,0.0006046926625389967,0.002430116649487362,127
fixed_27,fixed,0,0.0475,-0.07887314889529265,-0.1823154056517775,-0.23072279847131993,0.5208290724228778,4.627880416992466,0.7525733759841462,0.5940483011476363,64,1.0,1.0,1.0,1.0,1,0,0.047473788518092294,0.04707152214183357,0.0,0.0,0.0006046926625389967,0.002430116649487362,127
fixed_28,fixed,0,0.05,-0.07887314889529265,-0.1823154056517775,-0.23072279847131993,0.5208290724228778,4.627880416992466,0.7525733759841462,0.5940483011476363,64,1.0,1.0,1.0,1.0,1,0,0.04995961818374071,0.04961669192900184,0.0,0.0,0.0006046926625389967,0.002430116649487362,127
atr_00,atr,1,-0.5,-0.7313035527408595,-0.2553018228561613,-0.306890021864605,0.15948843285185643,2.1882867590920494,0.26651837076592777,0.35067704252744697,64,0.40625,0.671875,0.96875,2.274193548387097,9,2,-0.007620522411456965,-0.012461431151156357,0.009271526429796693,0.0,0.0009325785854131658,0.006181569255643865,123
atr_01,atr,1,-0.375,-0.8371167440557151,-0.2612457827422633,-0.3456163835269631,0.07908619243868904,2.4977245351171375,0.14263252124964088,0.2369881760627751,64,0.5,0.78125,1.0,1.953125,6,0,-0.005700174301506378,-0.009468564177818198,0.006868571422481536,0.0,0.000886887515596858,0.005375923261060855,127
atr_02,atr,1,-0.25,-0.27536102791378647,-0.1823154056517774,-0.2278758666882288,0.6703345995003783,5.091875582887084,1.0195362747894507,0.7178092661951648,64,0.65625,0.9375,1.0,1.453125,5,0,-0.003958379265335022,-0.006293443596167589,0.004186461260562317,0.0,0.0007153498471863918,0.003007072574553899,127
atr_03,atr,1,-0.125,-0.28262445895106514,-0.1823154056517774,-0.23996029700100618,0.580694708183279,4.738281991465192,0.9060146835252494,0.6678471765077982,64,0.828125,1.0,1.0,1.171875,2,0,-0.001982322826242666,-0.0033479029797374013,0.0025954697858218967,0.0,0.0006513275456893616,0.002430116649487362,127
atr_04,atr,1,0.0,-0.12244048958960674,-0.18231540565177762,-0.2393105946168207,0.5521362423656925,4.894659253019664,0.847103146568454,0.6395899234250273,64,0.9375,1.0,1.0,1.0625,2,0,0.0,-1.4285724859761586e-05,0.0012784528939400672,0.0,0.000615272960930032,0.002430116649487362,127
atr_05,atr,1,0.125,-0.07404404363999066,-0.1823154056517774,-0.23072279847132005,0.5681032360575541,4.8745814978107544,0.8385865258879586,0.6352038776059348,64,0.984375,1.0,1.0,1.015625,2,0,0.0040437770615576515,0.0023886655847879974,0.0006022129163755705,0.0,0.0006123579064732782,0.002430116649487362,127
atr_06,atr,1,0.25,-0.07887314889529265,-0.1823154056517774,-0.23072279847131993,0.5480753694379541,4.778380272028505,0.801745109848667,0.6178055219124653,64,1.0,1.0,1.0,1.0,1,0,0.008569455967587434,0.0053189748415468745,0.0004342171506337006,0.0,0.0006167843942314509,0.002430116649487362,127
atr_07,atr,1,0.375,-0.07887314889529265,-0.18231540565177773,-0.23072279847131993,0.5338469182132783,4.702078406949525,0.7759314533747401,0.605412526202819,64,1.0,1.0,1.0,1.0,1,0,0.013402406712437951,0.008172533144195904,0.00020769079345375405,0.0,0.0006046926625389967,0.002430116649487362,127
atr_08,atr,1,0.5,-0.07887314889529265,-0.18231540565177762,-0.23072279847131993,0.5274997803023258,4.665685419542704,0.7645118867197351,0.5998838261205234,64,1.0,1.0,1.0,1.0,1,0,0.017259824211279792,0.011038733917770303,0.00010643732970027145,0.0,0.0006046926625389967,0.002430116649487362,127
atr_09,atr,1,0.625,-0.07887314889529265,-0.18231540565177762,-0.23072279847131993,0.5248249604073447,4.65042780407887,0.759717017462344,0.5975520174799684,64,1.0,1.0,1.0,1.0,1,0,0.021933764284569196,0.01389625332840843,6.368885869565202e-05,0.0,0.0006046926625389967,0.002430116649487362,127
