signal_date,execution_date,side,size,price,fees,trigger,entry_limit,cap_premium,open_improvement,touch_volume,diagnostic_participation
2025-04-01,2025-04-02 00:00:00,Sell,1332450.6678776063,1.048,698.2041499678658,priority_open_exit,,,,,
2025-04-11,2025-04-14 10:00:00,Buy,1347838.2507159598,1.035,697.5062947455092,intraday_limit,1.035,0.0,0.009661835748792313,226536810.0,0.00022071468208632408
2025-04-18,2025-04-21 00:00:00,Sell,1347838.2507159598,1.034,696.8323756201513,priority_open_exit,,,,,
2025-04-21,2025-04-22 00:00:00,Buy,1338722.8682434575,1.04,696.135891486598,open,1.042,0.0,0.0,119962702.0,0.00041679621387654303
2025-04-24,2025-04-25 00:00:00,Sell,1338722.8682434575,1.027,687.4341928430155,priority_open_exit,,,,,
2025-05-07,2025-05-08 00:00:00,Buy,1308089.7184676118,1.05,686.7471021954963,open,1.055,0.0,0.0,109918520.0,0.00045488239834379137
2025-05-12,2025-05-13 00:00:00,Sell,1308089.7184676118,1.041,680.8606984623918,priority_open_exit,,,,,
2025-05-14,2025-05-15 00:00:00,Buy,1313089.1467647655,1.036,680.1801780241486,open,1.038,0.0,0.0,134389129.0,0.0003720539032587971
2025-05-19,2025-05-20 00:00:00,Sell,1313089.1467647655,1.019,669.0189202766479,priority_open_exit,,,,,
2025-06-05,2025-06-06 00:00:00,Buy,1306647.5771234806,1.023,668.3502356986603,open,1.025,0.0,0.0,91460876.0,0.000546681840222042
2025-06-10,2025-06-11 00:00:00,Sell,1306647.5771234806,1.007,657.8970550816724,priority_open_exit,,,,,
2025-06-24,2025-06-25 10:00:00,Buy,1310547.331626573,1.003,657.2394868107264,intraday_limit,1.003,0.0,0.001994017946161497,145114340.0,0.0003445558860688751
2025-09-08,2025-09-09 00:00:00,Sell,1310547.331626573,1.28,838.7502922410068,priority_open_exit,,,,,
2025-09-10,2025-09-11 00:00:00,Buy,1304143.1301390338,1.285,837.9119611143292,open,1.29,0.0,0.0,166723520.0,0.0002998976988969523
2025-10-14,2025-10-15 00:00:00,Sell,1304143.1301390338,1.442,940.2871968302434,priority_open_exit,,,,,
2025-10-24,2025-10-27 10:30:00,Buy,1251628.7535537074,1.501,939.3473795420573,intraday_limit,1.501,-0.00028233199165172973,0.017772218520986094,238274229.9692978,0.0002098422477598296
2025-10-30,2025-10-31 00:00:00,Sell,1251628.7535537074,1.4923366,933.9256992702889,priority_open_exit,,,,,
2025-12-01,2025-12-02 00:00:00,Buy,1363880.675236923,1.3681435,932.9922403005035,open,1.373,-0.0001398202145076466,0.0,119437104.09032384,0.00041863037772740786
2025-12-04,2025-12-05 00:00:00,Sell,1363880.675236923,1.3620853,928.8609093471434,priority_open_exit,,,,,
2025-12-08,2025-12-09 00:00:00,Buy,1345560.8165018235,1.3792502000000002,927.9325126361518,open,1.389,-0.0002499015364914037,0.0,202141131.0290185,0.0002473519354792876
2025-12-11,2025-12-12 00:00:00,Sell,1345560.8165018235,1.3630950000000002,917.0636105847766,priority_open_exit,,,,,
2025-12-12,2025-12-15 00:00:00,Buy,1333351.5819065657,1.3742017,916.1470052768459,open,1.385,-0.0002226219085946779,0.0,134908497.5735367,0.0003706215761000949
