mechanism_id,variant,year,episodes,mean_return,median_return,win_rate,profit_factor,cumulative_return,annualized_return
DIRECTIONAL_EFFICIENCY_CONTINUATION,PRIMARY,2026,45,-0.00013121134605593475,0.0012525559599640967,0.5333333333333333,0.9687561468105381,-0.008510208558191956,-0.008510208558191956
DIRECTIONAL_EFFICIENCY_CONTINUATION,OPPOSITE,2021,64,-0.001520809895350736,-0.0019658503749343526,0.359375,0.5759534772569292,-0.0942853323791385,-0.0942853323791385
DIRECTIONAL_EFFICIENCY_CONTINUATION,OPPOSITE,2022,58,-0.001778428468783235,-0.00232422085470696,0.3448275862068966,0.6734130811002685,-0.10242113590813662,-0.10242113590813662
DIRECTIONAL_EFFICIENCY_CONTINUATION,OPPOSITE,2023,64,-0.0027375716598883656,-0.0020911504763406197,0.359375,0.31042943415976726,-0.16200665905615308,-0.16200665905615308
DIRECTIONAL_EFFICIENCY_CONTINUATION,OPPOSITE,2024,66,-0.002972950982073548,-0.002331511059126379,0.3181818181818182,0.5815181135977934,-0.18609683174071068,-0.18609683174071068
DIRECTIONAL_EFFICIENCY_CONTINUATION,OPPOSITE,2025,69,-0.0025595097444577604,-0.0015448862170587274,0.4057971014492754,0.4731907249695083,-0.16459255102456927,-0.16459255102456927
DIRECTIONAL_EFFICIENCY_CONTINUATION,OPPOSITE,2026,45,-0.0021489604201858784,-0.003645112842076914,0.35555555555555557,0.6018287990047545,-0.09466784979009812,-0.09466784979009812
ABNORMAL_ACTIVITY_CONTINUATION,PRIMARY,2021,67,0.0006024416052361265,0.0003068277153839283,0.5223880597014925,1.2379414559611015,0.03929553494249083,0.03929553494249083
ABNORMAL_ACTIVITY_CONTINUATION,PRIMARY,2022,55,-0.0012096086072697582,-0.0020017878393965294,0.4,0.7782800117860906,-0.07005458017032862,-0.07005458017032862
ABNORMAL_ACTIVITY_CONTINUATION,PRIMARY,2023,60,-0.0011387713450683587,-0.0015361541423447589,0.35,0.6259697979283476,-0.06716150678445443,-0.06716150678445443
ABNORMAL_ACTIVITY_CONTINUATION,PRIMARY,2024,64,-0.0020023763274341043,-0.002456657661052908,0.359375,0.7150539552085104,-0.12906572095926205,-0.12906572095926205
ABNORMAL_ACTIVITY_CONTINUATION,PRIMARY,2025,66,-0.0010118783541970165,-0.001513121977559706,0.3787878787878788,0.7152404399840439,-0.06688693184795302,-0.06688693184795302
ABNORMAL_ACTIVITY_CONTINUATION,PRIMARY,2026,48,1.0569650938316763e-05,0.00042355109861713647,0.5208333333333334,1.0020162483528319,-0.004265537745827386,-0.004265537745827386
ABNORMAL_ACTIVITY_CONTINUATION,OPPOSITE,2021,67,-0.0029439029526215892,-0.002703120912897705,0.29850746268656714,0.35152839420918064,-0.18073127277926182,-0.18073127277926182
ABNORMAL_ACTIVITY_CONTINUATION,OPPOSITE,2022,55,-0.0009685858900995967,-0.00039612771417241177,0.4727272727272727,0.8146515582422528,-0.057642564271523145,-0.057642564271523145
ABNORMAL_ACTIVITY_CONTINUATION,OPPOSITE,2023,60,-0.0012212308784424234,-0.0008622926579074375,0.43333333333333335,0.5977078549842418,-0.07177100924308655,-0.07177100924308655
ABNORMAL_ACTIVITY_CONTINUATION,OPPOSITE,2024,64,-8.663094294589571e-05,5.970594382193051e-05,0.5,0.9852628020015823,-0.015293113106305323,-0.015293113106305323
ABNORMAL_ACTIVITY_CONTINUATION,OPPOSITE,2025,66,-0.0013138281369017744,-0.0008852415323326035,0.4393939393939394,0.635795237444413,-0.08531096255956983,-0.08531096255956983
ABNORMAL_ACTIVITY_CONTINUATION,OPPOSITE,2026,48,-0.002209493981332073,-0.0028194472761919886,0.3958333333333333,0.657305761239761,-0.10499444383304313,-0.10499444383304313
