step,rounds,enter,exit,spec_id,win_count,min_return_delta,median_return_delta,mean_return_delta,mean_active_factors,weight_shift,2022H1_return,2022H1_return_delta,2022H1_sharpe,2022H1_win,2022H2_return,2022H2_return_delta,2022H2_sharpe,2022H2_win,2023H1_return,2023H1_return_delta,2023H1_sharpe,2023H1_win,2023H2_return,2023H2_return_delta,2023H2_sharpe,2023H2_win,2024H1_return,2024H1_return_delta,2024H1_sharpe,2024H1_win,2024H2_return,2024H2_return_delta,2024H2_sharpe,2024H2_win,2025H1_return,2025H1_return_delta,2025H1_sharpe,2025H1_win,2025H2_return,2025H2_return_delta,2025H2_sharpe,2025H2_win
0.025,2,0.175,0.025,step0.025_r2_en+0.175_ex+0.025,4,-0.043008766665737164,0.004771470266934585,0.010292571120712649,16.125,0.25506596294616346,0.05738088382220585,0.011072940158797895,0.8463431931500763,True,-0.011840506691653707,-0.043008766665737164,-0.0968403945432924,False,0.08958070027155984,0.06998816097866722,1.2497818847469888,True,-0.059077894992471514,0.00954294053386917,-1.3471255733847263,True,-0.04020162383281167,-0.007979321417066698,-0.5406359233230692,False,0.2623819089795447,0.0,1.3922634383082284,False,0.09300893869497417,0.0502761053905032,1.3363122746902345,True,0.3655620313711949,-0.00755149001333244,2.750268102978993,False
0.025,1,0.2,0.025,step0.025_r1_en+0.200_ex+0.025,4,-0.043008766665737164,0.004190059785907363,0.007193138723588288,15.875,0.22533180470850725,0.054688063235222684,0.008380119571814726,0.8157972248151985,True,-0.011840506691653707,-0.043008766665737164,-0.0968403945432924,False,0.08127121923993719,0.06167867994704457,1.16843705898064,True,-0.05294810929209692,0.01567272623424376,-1.2011531876119157,True,-0.06149081224552333,-0.029268509829778355,-0.8747152073695433,False,0.2623819089795447,0.0,1.3922634383082284,False,0.09300893869497417,0.0502761053905032,1.3363122746902345,True,0.3669282765251429,-0.006185244859384431,2.758926918088799,False
0.025,1,0.125,0.05,step0.025_r1_en+0.125_ex+0.050,4,-0.062247638032184915,-0.0028063542920304108,0.005476490190921918,15.875,0.22533180470850725,0.0489793682004207,0.0026714245370127454,0.7572727431792993,True,-0.016203123688824705,-0.04737138366290816,-0.15740903399255177,False,0.09719508821894429,0.07760254892605167,1.3270687500018783,True,-0.06761644469638173,0.0010043908299589566,-1.4857061211381033,True,-0.09446994044792989,-0.062247638032184915,-1.226475076356732,False,0.25576480956552494,-0.006617099414019778,1.356264785516783,False,0.035397024426951695,-0.007335808877519279,0.5895834182640112,False,0.45921900860551146,0.0861054872209841,3.223191672515295,True
0.025,2,0.125,0.025,step0.025_r2_en+0.125_ex+0.025,4,-0.0626330659939317,-0.0019728374385035163,0.01433262725163345,16.125,0.25506596294616346,0.0489793682004207,0.0026714245370127454,0.7572727431792993,True,0.014646242613518545,-0.01652201736056491,0.3187889314805502,False,0.09488436508471443,0.07529182579182181,1.2973809636991152,True,-0.07526718017837453,-0.006646344652033842,-1.6956732111783033,False,-0.09485536840967668,-0.0626330659939317,-1.2263976900051408,False,0.25576480956552494,-0.006617099414019778,1.356264785516783,False,0.07074666675930064,0.028013833454829662,1.0407932725495332,True,0.474215983034481,0.10110246164995362,3.3120337982772705,True
0.05,1,0.175,0.025,step0.050_r1_en+0.175_ex+0.025,4,-0.0632790754116157,0.0017535262759036385,0.0004624252214466551,15.0,0.46049964282979455,0.054688063235222684,0.008380119571814726,0.8157972248151985,True,0.03868752225885719,0.007519262284773731,0.7057668451202435,True,0.0899075906761202,0.07031505138322758,1.2556960114086222,True,-0.11936083035672418,-0.050739994830383495,-2.9525937805814464,False,-0.03623451214871143,-0.004012209732966454,-0.4744047243409134,False,0.24421899753192933,-0.018162911447615393,1.319394030642189,False,0.09641199325880923,0.05367915995433825,1.4293545348420416,True,0.30983444597291165,-0.0632790754116157,2.384012520430005,False
0.05,1,0.2,0.025,step0.050_r1_en+0.200_ex+0.025,4,-0.06801399316513213,-0.004081579656079637,0.006012105104927751,15.0,0.46049964282979455,0.054688063235222684,0.008380119571814726,0.8157972248151985,True,0.03868752225885719,0.007519262284773731,0.7057668451202435,True,0.1066328746481906,0.08704033535529798,1.4771912796683642,True,-0.1366348286914728,-0.06801399316513213,-3.5780225069737988,False,-0.04790472401267798,-0.015682421596933005,-0.6624533371282091,False,0.24421899753192933,-0.018162911447615393,1.319394030642189,False,0.106995120606868,0.06426228730239703,1.5827151266209945,True,0.3558676839193464,-0.017245837465180935,2.7251870653854446,False
0.05,2,0.2,0.025,step0.050_r2_en+0.200_ex+0.025,3,-0.0524827046475248,-0.012790786594701953,0.009116449377966018,15.375,0.5239594941869313,0.08550075077844599,0.03919280711503803,1.2184611680372641,True,0.021269108381612556,-0.0098991515924709,0.4275446253234205,False,0.12027095584984093,0.10067841655694831,1.748623286079254,True,-0.12110354017386549,-0.0524827046475248,-3.1447582092069535,False,-0.04790472401267798,-0.015682421596933005,-0.6624533371282091,False,0.22649010833099914,-0.03589180064854558,1.2506791595903153,False,0.106995120606868,0.06426228730239703,1.5827151266209945,True,0.3558676839193464,-0.017245837465180935,2.7251870653854446,False
0.05,2,0.2,0.0,step0.050_r2_en+0.200_ex+0.000,3,-0.0524827046475248,-0.012790786594701953,0.004814443403372726,15.375,0.5239594941869313,0.05108470298169965,0.00477675931829169,0.7743673759207247,True,0.021269108381612556,-0.0098991515924709,0.4275446253234205,False,0.12027095584984093,0.10067841655694831,1.748623286079254,True,-0.12110354017386549,-0.0524827046475248,-3.1447582092069535,False,-0.04790472401267798,-0.015682421596933005,-0.6624533371282091,False,0.22649010833099914,-0.03589180064854558,1.2506791595903153,False,0.106995120606868,0.06426228730239703,1.5827151266209945,True,0.3558676839193464,-0.017245837465180935,2.7251870653854446,False
0.05,2,0.2,0.05,step0.050_r2_en+0.200_ex+0.050,3,-0.0524827046475248,-0.018084830040600852,0.006236948827197247,15.375,0.5239594941869313,0.08550075077844599,0.03919280711503803,1.2184611680372641,True,0.010681021489814757,-0.0204872384842687,0.25972248287327043,False,0.11444870505405391,0.09485616576116129,1.7924991689877199,True,-0.12110354017386549,-0.0524827046475248,-3.1447582092069535,False,-0.04790472401267798,-0.015682421596933005,-0.6624533371282091,False,0.22649010833099914,-0.03589180064854558,1.2506791595903153,False,0.106995120606868,0.06426228730239703,1.5827151266209945,True,0.3492420172007811,-0.023871504183746284,2.676078825018907,False
0.05,1,0.2,0.05,step0.050_r1_en+0.200_ex+0.050,3,-0.05506849463340102,-0.009465916482115089,0.005455999875064607,15.0,0.46049964282979455,0.054688063235222684,0.008380119571814726,0.8157972248151985,True,0.027918848606786284,-0.0032494113672971725,0.5339518596992558,False,0.1066328746481906,0.08704033535529798,1.4771912796683642,True,-0.1236893301597417,-0.05506849463340102,-3.2230812946246865,False,-0.04790472401267798,-0.015682421596933005,-0.6624533371282091,False,0.24421899753192933,-0.018162911447615393,1.319394030642189,False,0.106995120606868,0.06426228730239703,1.5827151266209945,True,0.3492420172007811,-0.023871504183746284,2.676078825018907,False
