factor,endpoint,pass
state__raw__daily__cxt_ubi_end_V230816__di_1__v2::第3次,return_20,True
state__raw__daily__cxt_ubi_end_V230816__di_1__v2::第3次,max_drawdown_20,True
state__raw__weekly__cxt_bi_base_V230228__di_1__v1::向下,max_drawdown_20,True
state__raw__weekly__cxt_bi_base_V230228__di_1__v2::转折,max_drawdown_20,False
state__raw__weekly__cxt_bi_end_V230222__di_1__v1::新低,max_drawdown_20,True
state__raw__weekly__cxt_bi_end_V230222__di_1__v1::新高,return_20,True
state__raw__weekly__cxt_bi_end_V230222__di_1__v2::第1次,return_20,True
state__raw__weekly__cxt_bi_end_V230222__di_1__v2::第1次,max_drawdown_20,True
state__raw__weekly__cxt_bi_end_V230222__di_1__v2::第2次,return_20,True
state__raw__weekly__cxt_bi_end_V230222__di_1__v2::第2次,max_drawdown_20,True
state__raw__weekly__cxt_bi_end_V230222__di_1__v2::第其他次,return_20,True
state__raw__weekly__cxt_bi_end_V230222__di_1__joint::新高|第1次|任意,return_20,True
state__raw__weekly__cxt_bi_end_V230324__di_1__v1::看空,return_20,True
state__raw__weekly__cxt_bi_end_V230324__di_1__v1::看空,max_drawdown_20,True
state__raw__weekly__cxt_bi_status_V230101__di_1__v2::延伸,max_drawdown_20,True
state__raw__weekly__cxt_bi_status_V230102__di_1__v1::向上,return_20,True
state__raw__weekly__cxt_bi_status_V230102__di_1__v1::向上,max_drawdown_20,True
state__raw__weekly__cxt_bi_status_V230102__di_1__v1::向下,max_drawdown_20,True
state__raw__weekly__cxt_bi_status_V230102__di_1__v2::延伸,return_20,True
state__raw__weekly__cxt_bi_status_V230102__di_1__v2::顶分,return_20,True
state__raw__weekly__cxt_bi_status_V230102__di_1__v2::顶分,max_drawdown_20,True
state__raw__weekly__cxt_bi_stop_V230815__di_1__v1::向下,max_drawdown_20,True
state__raw__weekly__cxt_bi_stop_V230815__di_1__joint::向下|阈值外|任意,max_drawdown_20,True
state__raw__weekly__cxt_bi_trend_V230913__di_1__v1::下降趋势,max_drawdown_20,True
state__raw__weekly__cxt_bi_trend_V230913__di_1__joint::上升趋势|强|任意,return_20,True
state__raw__weekly__cxt_bi_trend_V230913__di_1__joint::下降趋势|强|任意,max_drawdown_20,True
state__raw__weekly__cxt_fx_power_V221107__di_1__v1::中底,max_drawdown_20,True
state__raw__weekly__cxt_fx_power_V221107__di_1__v1::中顶,max_drawdown_20,True
state__raw__weekly__cxt_fx_power_V221107__di_1__v1::强顶,return_20,False
state__raw__weekly__cxt_fx_power_V221107__di_1__v1::强顶,max_drawdown_20,False
state__raw__weekly__cxt_fx_power_V221107__di_1__joint::中底|有中枢|任意,return_20,True
state__raw__weekly__cxt_fx_power_V221107__di_1__joint::中底|有中枢|任意,max_drawdown_20,False
state__raw__weekly__cxt_fx_power_V221107__di_1__joint::中顶|有中枢|任意,max_drawdown_20,True
state__raw__weekly__cxt_fx_power_V221107__di_1__joint::强顶|有中枢|任意,return_20,False
state__raw__weekly__cxt_fx_power_V221107__di_1__joint::强顶|有中枢|任意,max_drawdown_20,True
state__raw__weekly__cxt_ubi_end_V230816__di_1__v2::第2次,max_drawdown_20,True
state__raw__weekly__cxt_ubi_end_V230816__di_1__v2::第3次,max_drawdown_20,True
