family,configuration,qualifies,full_calmar_10bp,buyhold_calmar_10bp,full_max_drawdown_10bp,buyhold_max_drawdown_10bp,positive_all_internal_periods_10bp,full_annualized_return_30bp,entries,top2_positive_year_concentration
DONCHIAN,entry=210;exit=120,False,0.2969080240132916,0.3211527369286858,0.22470966658878733,0.22846975088967936,True,0.06578968074985347,3,0.5826711854780867
DONCHIAN,entry=240;exit=20,False,0.14830231641545902,0.3211527369286858,0.14605951173178322,0.22846975088967936,False,0.017377481728912292,12,0.7077232384997165
DONCHIAN,entry=240;exit=40,False,0.266133951754276,0.3211527369286858,0.16208882343949071,0.22846975088967936,True,0.040403619079907305,8,0.6677859889768303
DONCHIAN,entry=240;exit=60,False,0.21563842331630334,0.3211527369286858,0.16718118075316568,0.22846975088967936,True,0.03333553797603539,8,0.6902287562166803
DONCHIAN,entry=240;exit=80,False,0.36034194620710697,0.3211527369286858,0.17941293485060594,0.22846975088967936,True,0.06334848997016884,4,0.5714261418951299
DONCHIAN,entry=240;exit=120,False,0.2897453312824026,0.3211527369286858,0.224709666588787,0.22846975088967936,True,0.0641800753826769,3,0.5955911098749346
DUAL_MA,fast=20;slow=120,False,0.18057541469507407,0.3211527369286858,0.23431755371999796,0.22846975088967936,False,0.036289956091051456,17,0.5023235407795789
DUAL_MA,fast=20;slow=180,False,0.1623392537517521,0.3211527369286858,0.24276059513892356,0.22846975088967936,False,0.03486270828533056,13,0.5603977223456272
DUAL_MA,fast=20;slow=240,False,0.25357263426877047,0.3211527369286858,0.21152435261527558,0.22846975088967936,False,0.049385730035790054,12,0.5400897133595439
DUAL_MA,fast=40;slow=120,False,0.1820793284056428,0.3211527369286858,0.20324724445879072,0.22846975088967936,False,0.032109638688561315,14,0.5703432990168443
DUAL_MA,fast=40;slow=180,False,0.26979222610021114,0.3211527369286858,0.1949658642007257,0.22846975088967936,False,0.04946749560716124,9,0.5707738072585401
DUAL_MA,fast=40;slow=240,False,0.35722215739801255,0.3211527369286858,0.1731031349386648,0.22846975088967936,False,0.05941579985202394,7,0.5365118493666348
DUAL_MA,fast=60;slow=120,False,0.30084452680951657,0.3211527369286858,0.15642425437223662,0.22846975088967936,False,0.04210074324186297,14,0.6049242093160089
DUAL_MA,fast=60;slow=180,False,0.24288892169191115,0.3211527369286858,0.22263356458327466,0.22846975088967936,False,0.05131049836455093,8,0.589215254770787
DUAL_MA,fast=60;slow=240,False,0.2821041503659575,0.3211527369286858,0.19541062294597622,0.22846975088967936,False,0.052725471630088894,7,0.5470264433333891
DUAL_MA,fast=90;slow=120,False,0.2789219436650111,0.3211527369286858,0.214765778811435,0.22846975088967936,True,0.05563225722002052,12,0.5931764599888222
DUAL_MA,fast=90;slow=180,False,0.24195074329674804,0.3211527369286858,0.2209148503263707,0.22846975088967936,False,0.05067901257325813,8,0.5564027180644957
DUAL_MA,fast=90;slow=240,False,0.16196723532512994,0.3211527369286858,0.25665450576739246,0.22846975088967936,False,0.039550339504742515,6,0.5926528955541714
TIME_SERIES_MOMENTUM,lookback=60,False,0.21042608388877784,0.3211527369286858,0.1989250694952467,0.22846975088967936,False,0.017132882977497266,69,0.43794639348808606
TIME_SERIES_MOMENTUM,lookback=120,False,0.20146944565356,0.3211527369286858,0.2307038378884636,0.22846975088967936,True,0.029899851391652854,46,0.5689011642862856
TIME_SERIES_MOMENTUM,lookback=180,False,0.15230569595086185,0.3211527369286858,0.26786290974794935,0.22846975088967936,False,0.02358915639772108,48,0.5678333570864454
TIME_SERIES_MOMENTUM,lookback=240,False,0.2389182278476232,0.3211527369286858,0.24796900564416113,0.22846975088967936,True,0.049060586993081357,28,0.5003534187302863
TIME_SERIES_MOMENTUM,lookback=360,False,0.1818561318850698,0.3211527369286858,0.26822576648991503,0.22846975088967936,False,0.03978595821616282,25,0.5446466230407156
