prototype_id,window,entry_signal_date,entry_date,exit_signal_date,exit_date,size,entry_price,exit_price,entry_fees,exit_fees,net_return
P-A10-TOP-DIVERGENCE,2021_2026YTD,2023-02-17,2023-02-20,2023-02-24,2023-02-27,175614.62338971597,6.282,6.341,551.6055320671294,556.7861634570945,0.0083830259337061
P-A10-TOP-DIVERGENCE,2021_2026YTD,2023-03-06,2023-03-07,2023-03-13,2023-03-14,173821.7673586225,6.4,6.242,556.2296555475332,542.4977359262608,-0.02566232508745636
P-A10-TOP-DIVERGENCE,2021_2026YTD,2023-03-20,2023-03-21,2023-03-27,2023-03-28,174852.55986567057,6.199,6.321,541.9555093036033,552.6215154554518,0.018661422635996017
P-A10-TOP-DIVERGENCE,2021_2026YTD,2023-03-29,2023-03-30,2023-04-06,2023-04-07,175846.20803079082,6.279,6.426,552.0691701127216,564.993866402931,0.02238847131618149
P-A10-TOP-DIVERGENCE,2021_2026YTD,2023-05-11,2023-05-12,2023-05-18,2023-05-19,183018.53271474817,6.168,6.145,564.4291548922192,562.3244417660637,-0.004724696665934336
P-A10-TOP-DIVERGENCE,2021_2026YTD,2023-07-10,2023-07-11,2023-07-17,2023-07-18,184517.128706194,6.089,6.111,561.7623983458616,563.7920867617757,0.0026099612371512926
P-A10-TOP-DIVERGENCE,2021_2026YTD,2023-07-18,2023-07-19,2023-07-25,2023-07-26,184846.92367252376,6.094,6.117,563.2285764301196,565.3543160524139,0.0027709315673636326
P-A10-TOP-DIVERGENCE,2021_2026YTD,2023-09-15,2023-09-18,2023-09-22,2023-09-25,194754.91181801778,5.8,5.8,564.7892442722805,564.7892442722515,-0.0009995002498751626
P-A10-TOP-DIVERGENCE,2021_2026YTD,2023-10-11,2023-10-12,2023-10-18,2023-10-19,196047.51121663468,5.756,5.605,564.2247372814454,549.4231501846187,-0.027206775347558887
P-A10-TOP-DIVERGENCE,2021_2026YTD,2023-11-02,2023-11-03,2023-11-09,2023-11-10,197259.29976953176,5.565,5.68,548.8740016086958,560.2164113454701,0.0196447149291481
P-A10-TOP-DIVERGENCE,2021_2026YTD,2023-12-15,2023-12-18,2023-12-22,2023-12-25,202774.08510954576,5.52,5.408,559.6564749022946,548.3011261362118,-0.021269075607123766
P-A10-TOP-DIVERGENCE,2021_2026YTD,2024-03-14,2024-03-15,2024-03-21,2024-03-22,200531.97840879805,5.463,5.547,547.7530990235973,556.1754421168014,0.014361298208666051
P-A10-TOP-DIVERGENCE,2021_2026YTD,2024-06-03,2024-06-04,2024-06-11,2024-06-12,210103.8172143813,5.289,5.245,555.6195446234196,550.997260644715,-0.009310338213385227
P-A10-TOP-DIVERGENCE,2021_2026YTD,2024-11-26,2024-11-27,2024-12-03,2024-12-04,190400.0479920512,5.782,6.02,550.44653874496,573.1041444560741,0.04012158569625601
P-A10-TOP-DIVERGENCE,2021_2026YTD,2025-01-23,2025-01-24,2025-02-07,2025-02-10,205613.69248356466,5.569,5.843,572.531326720491,600.7004025907341,0.048152257144905786
P-A10-TOP-DIVERGENCE,2021_2026YTD,2025-03-25,2025-03-26,2025-03-31,2025-04-01,202292.26441538674,5.933,5.864,600.100002388237,593.1209192659139,-0.01261774304150809
P-A10-TOP-DIVERGENCE,2021_2026YTD,2025-04-24,2025-04-25,2025-05-06,2025-05-07,211239.9624808918,5.61,5.798,592.5280947587453,612.3846512321054,0.03247859136385478
P-A10-TOP-DIVERGENCE,2021_2026YTD,2025-11-20,2025-11-21,2025-11-27,2025-11-28,172378.85957176087,7.098,7.048,611.7725726200733,607.4631011308853,-0.008036697345888744
P-A10-TOP-DIVERGENCE,2021_2026YTD,2026-04-02,2026-04-03,2026-04-10,2026-04-13,157686.3561412278,7.697,7.985,606.8559416094795,629.562776893852,0.03638027679677114
P-A10-TOP-DIVERGENCE,2021_2026YTD,2026-08-03,2026-08-04,2026-08-10,2026-08-11,168389.16432156213,7.47,7.993,628.9335287408903,672.9672952111231,0.06894390823329988
P-A01-STRUCTURE-PRESSURE,2021,2021-03-10,2021-03-11,2021-03-12,2021-03-15,148912.43293728583,6.712,6.855,499.75012493750546,510.3973638925472,0.020284330421201924
P-A01-STRUCTURE-PRESSURE,2021,2021-05-21,2021-05-24,2021-05-28,2021-05-31,140522.86663905226,7.257,7.43,509.8872215996962,522.0424495640791,0.02281572456158587
P-A01-STRUCTURE-PRESSURE,2022,2022-08-04,2022-08-05,2022-08-11,2022-08-12,141833.4397438715,7.047,7.37,499.75012493750546,522.6562254561666,0.04478979468687694
P-A01-STRUCTURE-PRESSURE,2022,2022-10-25,2022-10-26,2022-11-01,2022-11-02,177596.54096198108,5.88,5.95,522.1338304281235,528.3497093618937,0.01089336284238862
P-A01-STRUCTURE-PRESSURE,2022,2022-12-02,2022-12-05,2022-12-09,2022-12-12,169826.777250761,6.216,6.195,527.8216236953158,526.0384425342322,-0.004374501938219977
P-A01-STRUCTURE-PRESSURE,2023,2023-02-17,2023-02-20,2023-02-24,2023-02-27,159105.42022844037,6.282,6.341,499.75012493750546,504.44373483427023,0.0083830259337061
P-A01-STRUCTURE-PRESSURE,2023,2023-03-20,2023-03-21,2023-03-27,2023-03-28,162587.3667350397,6.199,6.321,503.93954319518525,513.857372566093,0.01866142263599624
P-A01-STRUCTURE-PRESSURE,2023,2023-03-29,2023-03-30,2023-04-06,2023-04-07,163511.31453856124,6.279,6.426,513.3437719937647,525.3618536123973,0.02238847131618149
P-A01-STRUCTURE-PRESSURE,2023,2023-05-11,2023-05-12,2023-05-18,2023-05-19,170180.5299313998,6.168,6.145,524.836754308315,522.8796782142259,-0.004724696665934114
P-A01-STRUCTURE-PRESSURE,2023,2023-07-10,2023-07-11,2023-07-17,2023-07-18,171574.00553299265,6.089,6.111,522.3570598451188,524.2443739060591,0.0026099612371510705
P-A01-STRUCTURE-PRESSURE,2023,2023-09-15,2023-09-18,2023-09-22,2023-09-25,180593.23845632563,5.8,5.8,523.7203915233258,523.7203915233443,-0.0009995002498750516
P-A01-STRUCTURE-PRESSURE,2023,2023-10-11,2023-10-12,2023-10-18,2023-10-19,181791.84602541768,5.756,5.605,523.1969328611158,509.4716484862331,-0.027206775347558998
P-A01-STRUCTURE-PRESSURE,2023,2023-11-02,2023-11-03,2023-11-09,2023-11-10,182915.51893846068,5.565,5.68,508.9624314461835,519.4800737852283,0.0196447149291481
P-A01-STRUCTURE-PRESSURE,2023,2023-12-15,2023-12-18,2023-12-22,2023-12-25,188029.2946817663,5.52,5.408,518.9608533215942,508.4312128194961,-0.021269075607123877
P-A01-STRUCTURE-PRESSURE,2024,2024-03-14,2024-03-15,2024-03-21,2024-03-22,182958.12737965633,5.463,5.547,499.75012493750546,507.4343662874768,0.014361298208666051
P-A01-STRUCTURE-PRESSURE,2024,2024-06-03,2024-06-04,2024-06-11,2024-06-12,191691.12706053216,5.289,5.245,506.92718551156577,502.7099807162456,-0.009310338213385227
P-A01-STRUCTURE-PRESSURE,2024,2024-11-26,2024-11-27,2024-12-03,2024-12-04,173714.1203614338,5.782,6.02,502.2075219647959,522.8795022879157,0.04012158569625579
P-A01-STRUCTURE-PRESSURE,2025,2025-01-23,2025-01-24,2025-02-07,2025-02-10,179475.71375023568,5.569,5.843,499.75012493750546,524.3382977213136,0.048152257144905786
P-A01-STRUCTURE-PRESSURE,2025,2025-03-25,2025-03-26,2025-04-01,2025-04-02,176576.51153268904,5.933,5.879,523.8142214616528,519.0466556503394,-0.010092038086805255
P-A01-STRUCTURE-PRESSURE,2025,2025-04-24,2025-04-25,2025-05-06,2025-05-07,184858.4201027879,5.61,5.798,518.5278683882207,535.9045598779821,0.03247859136385478
P-A01-STRUCTURE-PRESSURE,2025,2025-11-20,2025-11-21,2025-11-27,2025-11-28,150850.64050055647,7.098,7.048,535.3689231364988,531.5976571239611,-0.008036697345888966
P-A01-STRUCTURE-PRESSURE,2026YTD,2026-04-02,2026-04-03,2026-04-10,2026-04-13,129855.82043329382,7.697,7.985,499.75012493750546,518.4493630799255,0.03638027679677114
P-A01-STRUCTURE-PRESSURE,2026YTD,2026-08-03,2026-08-04,2026-08-10,2026-08-11,138669.6580487228,7.47,7.993,517.9311728118919,554.1932883917208,0.06894390823329988
P-A01-STRUCTURE-PRESSURE,2021_2026YTD,2021-03-10,2021-03-11,2021-03-12,2021-03-15,148912.43293728583,6.712,6.855,499.75012493750546,510.3973638925472,0.020284330421201924
P-A01-STRUCTURE-PRESSURE,2021_2026YTD,2021-05-21,2021-05-24,2021-05-28,2021-05-31,140522.86663905226,7.257,7.43,509.8872215996962,522.0424495640791,0.02281572456158587
P-A01-STRUCTURE-PRESSURE,2021_2026YTD,2022-08-04,2022-08-05,2022-08-11,2022-08-12,148012.1095516658,7.047,7.37,521.5206680052215,545.4246236978886,0.04478979468687694
P-A01-STRUCTURE-PRESSURE,2021_2026YTD,2022-10-25,2022-10-26,2022-11-01,2022-11-02,185333.15362252196,5.88,5.95,544.8794716501143,551.3661320270029,0.01089336284238862
P-A01-STRUCTURE-PRESSURE,2021_2026YTD,2022-12-02,2022-12-05,2022-12-09,2022-12-12,177224.9168083234,6.216,6.195,550.8150414403062,548.9541798137818,-0.00437450193822031
P-A01-STRUCTURE-PRESSURE,2021_2026YTD,2023-02-17,2023-02-20,2023-02-24,2023-02-27,174595.8293453957,6.282,6.341,548.4054999738,553.5560769395771,0.0083830259337061
P-A01-STRUCTURE-PRESSURE,2021_2026YTD,2023-03-20,2023-03-21,2023-03-27,2023-03-28,178416.77609367837,6.199,6.321,553.0027975023258,563.8862208440704,0.018661422635996017
P-A01-STRUCTURE-PRESSURE,2021_2026YTD,2023-03-29,2023-03-30,2023-04-06,2023-04-07,179430.67890601553,6.279,6.426,563.3226164253429,576.5107713250279,0.02238847131618149
P-A01-STRUCTURE-PRESSURE,2021_2026YTD,2023-05-11,2023-05-12,2023-05-18,2023-05-19,186749.20514430376,6.168,6.145,575.9345486650709,573.7869328058732,-0.004724696665934336
