step,rounds,allow_sign_flip,enter,exit,spec_id,factor_count,win_count,min_return_delta,median_return_delta,mean_return_delta,weight_shift,2022H1_return,2022H1_return_delta,2022H1_sharpe,2022H1_win,2022H2_return,2022H2_return_delta,2022H2_sharpe,2022H2_win,2023H1_return,2023H1_return_delta,2023H1_sharpe,2023H1_win,2023H2_return,2023H2_return_delta,2023H2_sharpe,2023H2_win,2024H1_return,2024H1_return_delta,2024H1_sharpe,2024H1_win,2024H2_return,2024H2_return_delta,2024H2_sharpe,2024H2_win,2025H1_return,2025H1_return_delta,2025H1_sharpe,2025H1_win,2025H2_return,2025H2_return_delta,2025H2_sharpe,2025H2_win
0.05,1,False,0.175,0.0,step0.0500_r1_keep_en+0.175_ex+0.000,12,6,-0.15082336385405837,0.05365764061611833,0.014819025235478567,0.3324075301888406,-0.00523756317505919,0.05953946197745019,0.050364771387360424,True,0.05825651268064358,0.06276946873590616,1.0219004579211304,True,0.10913268700170242,0.05818428298551992,1.5961096202481422,True,-0.16233107337072739,-0.05601080410743331,-4.285353392174386,False,-0.04065626193886618,0.0541991064708105,-0.5936453519634949,True,0.2332756690963158,0.05311617476142616,1.278027879422716,True,0.07241247341503199,0.03757787491420728,1.0961160321734338,True,0.31539777091653365,-0.15082336385405837,2.41202614401038,False
0.025,2,True,0.175,0.05,step0.0250_r2_flip_en+0.175_ex+0.050,12,6,-0.15441897382770753,0.03053647017861777,0.020025089265368737,0.22286205828983102,0.0016538521355191627,0.06643087728802854,0.13734829734613244,True,0.01946710433913279,0.023980060394395375,0.403640007549437,True,0.04537130348449203,-0.005577100531690471,0.7791460654708978,False,-0.08207299062450601,0.02424727863878806,-2.093557655471178,True,-0.054612242411436696,0.04024312599823998,-0.8136527413010883,True,0.3086292787793381,0.12846978444444845,1.5550881325484753,True,0.07166026021927219,0.03682566171844748,1.0750223362401012,True,0.3118021609428845,-0.15441897382770753,2.417097142234586,False
0.05,2,False,0.175,0.05,step0.0500_r2_keep_en+0.175_ex+0.050,12,6,-0.16068365247455096,0.05534244344275285,0.03063036098090724,0.33804207618630167,0.05520590599194275,0.11998293114445213,0.8330356069387582,True,0.08071006053845942,0.085223016593722,1.4139307475501603,True,0.10418985805875791,0.05324145404257541,1.6007784584359155,True,-0.12811727859112898,-0.021797009327834904,-3.7976509554672306,False,-0.04065626193886618,0.0541991064708105,-0.5936453519634949,True,0.23664527474958486,0.05648578041469521,1.2908743584179478,True,0.09322585948421325,0.05839126098338854,1.3612883722560492,True,0.30553748229604105,-0.16068365247455096,2.380894278474012,False
0.05,1,False,0.175,0.05,step0.0500_r1_keep_en+0.175_ex+0.050,12,6,-0.16068365247455096,0.05005200278265043,0.020871750318018634,0.3324075301888406,0.04050525684367767,0.10528228199618705,0.6438944708224106,True,0.041391943039227774,0.04590489909449036,0.7526099148876501,True,0.08415202873390926,0.033203624717726754,1.3087672157639256,True,-0.16400683236592084,-0.057686563102626764,-4.361098498805489,False,-0.04065626193886618,0.0541991064708105,-0.5936453519634949,True,0.2589421762575297,0.07878268192264004,1.379379176091849,True,0.1028062224202968,0.06797162391947209,1.488289968693323,True,0.30553748229604105,-0.16068365247455096,2.380894278474012,False
0.0125,2,True,0.175,0.05,step0.0125_r2_flip_en+0.175_ex+0.050,12,6,-0.16068365247455096,0.035676361287613645,0.014456646639925103,0.16649816587620644,0.027819561956318184,0.09259658710882757,0.4834228878577988,True,0.028228117980211076,0.03274107403547366,0.548617005417677,True,-0.03755909513862876,-0.08850749915481126,-0.4326573196244495,False,-0.07413816464127432,0.03218210462201976,-1.9042384486713755,True,-0.054612242411436696,0.04024312599823998,-0.8136527413010883,True,0.3086292787793381,0.12846978444444845,1.5550881325484753,True,0.07344624704057834,0.03861164853975363,1.0986628116210189,True,0.30553748229604105,-0.16068365247455096,2.380894278474012,False
0.025,1,True,0.175,0.05,step0.0250_r1_flip_en+0.175_ex+0.050,12,6,-0.16068365247455096,0.03450388317023362,0.007478339861884092,0.20917938568547179,0.0016538521355191627,0.06643087728802854,0.13734829734613244,True,0.01946710433913279,0.023980060394395375,0.403640007549437,True,-0.056672839079773385,-0.10762124309595589,-0.7095159446467108,False,-0.07413816464127432,0.03218210462201976,-1.9042384486713755,True,-0.054612242411436696,0.04024312599823998,-0.8136527413010883,True,0.3086292787793381,0.12846978444444845,1.5550881325484753,True,0.07166026021927219,0.03682566171844748,1.0750223362401012,True,0.30553748229604105,-0.16068365247455096,2.380894278474012,False
0.0125,1,False,0.125,0.05,step0.0125_r1_keep_en+0.125_ex+0.050,12,6,-0.16068365247455096,0.015177932599385435,0.013702648590373637,0.03978640902707858,0.03063302122572198,0.09541004637823136,0.5204841369105536,True,-0.004425508008791157,8.744804647142779e-05,0.02880859594405892,True,0.012172442166937802,-0.0387759618492447,0.2766044162508606,False,-0.045032759965844105,0.06128750929744997,-0.9599462489589611,True,-0.08733041304016054,0.00752495536951614,-1.1172302082004588,True,0.3020994284607508,0.12193993412586113,1.5309841151748593,True,0.05766550833007944,0.02283090982925473,0.8913566196867887,True,0.30553748229604105,-0.16068365247455096,2.380894278474012,False
0.0125,2,False,0.125,0.05,step0.0125_r2_keep_en+0.125_ex+0.050,12,6,-0.16068365247455096,0.015177932599385435,0.013702648590373637,0.04218642210115691,0.03063302122572198,0.09541004637823136,0.5204841369105536,True,-0.004425508008791157,8.744804647142779e-05,0.02880859594405892,True,0.012172442166937802,-0.0387759618492447,0.2766044162508606,False,-0.045032759965844105,0.06128750929744997,-0.9599462489589611,True,-0.08733041304016054,0.00752495536951614,-1.1172302082004588,True,0.3020994284607508,0.12193993412586113,1.5309841151748593,True,0.05766550833007944,0.02283090982925473,0.8913566196867887,True,0.30553748229604105,-0.16068365247455096,2.380894278474012,False
0.0125,1,False,0.15,0.05,step0.0125_r1_keep_en+0.150_ex+0.050,12,6,-0.16068365247455096,0.015177932599385435,0.012035238413182603,0.03978640902707858,0.02800831913431545,0.09278534428682483,0.48747650003045806,True,-0.004425508008791157,8.744804647142779e-05,0.02880859594405892,True,0.002486581476345062,-0.04846182253983744,0.1473945915621037,False,-0.04606147860137311,0.06025879066192097,-1.0397972628359193,True,-0.08733041304016054,0.00752495536951614,-1.1172302082004588,True,0.3020994284607508,0.12193993412586113,1.5309841151748593,True,0.05766550833007944,0.02283090982925473,0.8913566196867887,True,0.30553748229604105,-0.16068365247455096,2.380894278474012,False
0.0125,2,False,0.15,0.05,step0.0125_r2_keep_en+0.150_ex+0.050,12,6,-0.16068365247455096,0.015177932599385435,0.009983583088773854,0.04218642210115691,0.02800831913431545,0.09278534428682483,0.48747650003045806,True,-0.004425508008791157,8.744804647142779e-05,0.02880859594405892,True,0.002486581476345062,-0.04846182253983744,0.1473945915621037,False,-0.0624747211966431,0.043845548066650974,-1.3994988215141921,True,-0.08733041304016054,0.00752495536951614,-1.1172302082004588,True,0.3020994284607508,0.12193993412586113,1.5309841151748593,True,0.05766550833007944,0.02283090982925473,0.8913566196867887,True,0.30553748229604105,-0.16068365247455096,2.380894278474012,False
0.025,2,True,0.175,0.025,step0.0250_r2_flip_en+0.175_ex+0.025,12,6,-0.1631433987722719,0.030734223963432228,0.014842381031261717,0.22286205828983102,0.03132672622139321,0.09610375137390259,0.5172593667416329,True,0.00881245766251637,0.013325413717778956,0.23009151875303746,True,0.0464134025159213,-0.004535001500261204,0.7924038315814563,False,-0.07413816464127432,0.03218210462201976,-1.9042384486713755,True,-0.054612242411436696,0.04024312599823998,-0.8136527413010883,True,0.2554362038407305,0.07527670950584087,1.3645863110290186,True,0.0641209418056694,0.029286343304844697,0.9744626175221014,True,0.3030777359983201,-0.1631433987722719,2.327415459143838,False
0.025,1,True,0.175,0.0,step0.0250_r1_flip_en+0.175_ex+0.000,12,6,-0.16836875028200526,0.01978653334263647,-0.01112290019706827,0.20917938568547179,-0.022935549127406807,0.041841476025102575,-0.1629500123702049,True,0.0026250070604341147,0.007137963115696699,0.13234785802435933,True,-0.06758352039504423,-0.11853192441122673,-0.8384145686552158,False,-0.09603354588286583,0.010286723380428242,-2.5024539988009193,True,-0.06076711062490392,0.03408825778477276,-0.9193270528810674,True,0.2554362038407305,0.07527670950584087,1.3645863110290186,True,0.0641209418056694,0.029286343304844697,0.9744626175221014,True,0.29785238448858675,-0.16836875028200526,2.3034153071987764,False
0.05,1,True,0.125,-0.025,step0.0500_r1_flip_en+0.125_ex-0.025,12,6,-0.1696659540646024,0.025886547623003353,0.007296887162878032,0.4795713702028024,0.014072221766475046,0.07884924691898443,0.2993359577066267,True,0.03868752225885719,0.04320047831411977,0.7057668451202435,True,0.12375842653847635,0.07281002252229385,1.6940987290689606,True,-0.09774765233140714,0.008572616931886934,-2.662374409142292,True,-0.09324626039681871,0.0016091080128579627,-1.1965527504522668,True,0.22864546064310387,0.04848596630821422,1.2613134950167444,True,0.009348210860094186,-0.025486387640730523,0.23918594877375754,False,0.29655518070598963,-0.1696659540646024,2.294964090272068,False
0.05,2,False,0.175,0.0,step0.0500_r2_keep_en+0.175_ex+0.000,12,6,-0.18681363463235234,0.048699792392465135,0.02021757857772427,0.33804207618630167,0.05520590599194275,0.11998293114445213,0.8330356069387582,True,0.03868752225885719,0.04320047831411977,0.7057668451202435,True,0.1161683368228712,0.0652199328066887,1.759392112253639,True,-0.13443211007412115,-0.02811184081082707,-3.5115728340920827,False,-0.04065626193886618,0.0541991064708105,-0.5936453519634949,True,0.23664527474958486,0.05648578041469521,1.2908743584179478,True,0.07241247341503199,0.03757787491420728,1.0961160321734338,True,0.2794075001382397,-0.18681363463235234,2.1920584684511715,False
0.025,1,False,0.175,0.025,step0.0250_r1_keep_en+0.175_ex+0.025,12,5,-0.08513827550036601,0.03476473465154234,0.01331613567844879,0.08273641065534626,0.02800831913431545,0.09278534428682483,0.48747650003045806,True,-0.03041440037000742,-0.025901444314744837,-0.37719392675104324,False,-0.029333104498787677,-0.08028150851497018,-0.30938575731920237,False,-0.04606147860137311,0.06025879066192097,-1.0397972628359193,True,-0.054612242411436696,0.04024312599823998,-0.8136527413010883,True,0.2554362038407305,0.07527670950584087,1.3645863110290186,True,0.0641209418056694,0.029286343304844697,0.9744626175221014,True,0.381082859270226,-0.08513827550036601,2.8371094604762574,False
0.0125,2,True,0.125,0.0,step0.0125_r2_flip_en+0.125_ex+0.000,12,5,-0.08513827550036601,0.033489512003273325,0.011712382573164273,0.16649816587620644,0.02800831913431545,0.09278534428682483,0.48747650003045806,True,0.035761805617083864,0.04027476167234645,0.6431554314186959,True,-0.0005406422873258654,-0.05148904630350837,0.10823738893476165,False,-0.06769403589202705,0.03862623337126703,-1.5692652795895727,True,-0.11424979585207218,-0.0193944274423955,-1.5683744692708437,False,0.22984117420075578,0.049681679865866135,1.2635087605199542,True,0.06318738913610433,0.028352790635279623,0.9482517357548752,True,0.381082859270226,-0.08513827550036601,2.8371094604762574,False
0.0125,2,True,0.15,0.0,step0.0125_r2_flip_en+0.150_ex+0.000,12,5,-0.08513827550036601,0.027656523698113833,0.012153755740180697,0.16649816587620644,0.02800831913431545,0.09278534428682483,0.48747650003045806,True,0.035761805617083864,0.04027476167234645,0.6431554314186959,True,0.008042501051809703,-0.0429059029643728,0.2218070731152656,False,-0.07936001250234603,0.026960256760948043,-1.9111461580771159,True,-0.10763597724475737,-0.012780608835080698,-1.4959677871219466,False,0.22984117420075578,0.049681679865866135,1.2635087605199542,True,0.06318738913610433,0.028352790635279623,0.9482517357548752,True,0.381082859270226,-0.08513827550036601,2.8371094604762574,False
0.0125,2,True,0.15,0.025,step0.0125_r2_flip_en+0.150_ex+0.025,12,5,-0.08513827550036601,0.02700832351604532,0.012052945442827326,0.16649816587620644,0.02800831913431545,0.09278534428682483,0.48747650003045806,True,0.03585279157924326,0.040365747634505844,0.6456029349390889,True,-0.017153596565014362,-0.06810200058119686,-0.12610601761473647,False,-0.07754332295774247,0.02877694630555161,-1.8866479328766097,True,-0.10763597724475737,-0.012780608835080698,-1.4959677871219466,False,0.2554362038407305,0.07527670950584087,1.3645863110290186,True,0.06007429922736374,0.025239700726539027,0.9100254097028482,True,0.381082859270226,-0.08513827550036601,2.8371094604762574,False
0.0125,1,False,0.15,0.025,step0.0125_r1_keep_en+0.150_ex+0.025,12,5,-0.08513827550036601,0.0031769609141144572,0.0228125307491428,0.03978640902707858,0.02800831913431545,0.09278534428682483,0.48747650003045806,True,-0.004425508008791157,8.744804647142779e-05,0.02880859594405892,True,0.050838970147888185,-0.00010943386829431745,0.7694965716570787,False,-0.04606147860137311,0.06025879066192097,-1.0397972628359193,True,-0.10844540395070978,-0.013590035541033108,-1.477625846934073,False,0.3020994284607508,0.12193993412586113,1.5309841151748593,True,0.041101072282582196,0.006266473781757487,0.668733466412392,True,0.381082859270226,-0.08513827550036601,2.8371094604762574,False
0.0125,2,False,0.15,0.025,step0.0125_r2_keep_en+0.150_ex+0.025,12,5,-0.08513827550036601,0.0031769609141144572,0.02076087542473405,0.04218642210115691,0.02800831913431545,0.09278534428682483,0.48747650003045806,True,-0.004425508008791157,8.744804647142779e-05,0.02880859594405892,True,0.050838970147888185,-0.00010943386829431745,0.7694965716570787,False,-0.0624747211966431,0.043845548066650974,-1.3994988215141921,True,-0.10844540395070978,-0.013590035541033108,-1.477625846934073,False,0.3020994284607508,0.12193993412586113,1.5309841151748593,True,0.041101072282582196,0.006266473781757487,0.668733466412392,True,0.381082859270226,-0.08513827550036601,2.8371094604762574,False
0.025,1,False,0.125,0.025,step0.0250_r1_keep_en+0.125_ex+0.025,12,5,-0.08513827550036601,0.0031769609141144572,0.003985397405421143,0.08273641065534626,-0.022357427557553655,0.04241959759495573,-0.15864135177211433,True,-0.004425508008791157,8.744804647142779e-05,0.02880859594405892,True,0.002486581476345062,-0.04846182253983744,0.1473945915621037,False,-0.045032759965844105,0.06128750929744997,-0.9599462489589611,True,-0.10844540395070978,-0.013590035541033108,-1.477625846934073,False,0.24917177843886074,0.06901228410397109,1.3403911460607623,True,0.041101072282582196,0.006266473781757487,0.668733466412392,True,0.381082859270226,-0.08513827550036601,2.8371094604762574,False
0.0125,2,True,0.125,0.025,step0.0125_r2_flip_en+0.125_ex+0.025,12,5,-0.09464323620705173,0.03193296704890303,0.009139724546895545,0.16649816587620644,0.02800831913431545,0.09278534428682483,0.48747650003045806,True,0.03585279157924326,0.040365747634505844,0.6456029349390889,True,-0.043694832190869226,-0.09464323620705173,-0.495846937448837,False,-0.06769403589202705,0.03862623337126703,-1.5692652795895727,True,-0.11424979585207218,-0.0193944274423955,-1.5683744692708437,False,0.2554362038407305,0.07527670950584087,1.3645863110290186,True,0.06007429922736374,0.025239700726539027,0.9100254097028482,True,0.381082859270226,-0.08513827550036601,2.8371094604762574,False
0.05,1,False,0.15,0.025,step0.0500_r1_keep_en+0.150_ex+0.025,12,5,-0.10476601893401072,0.020899862885989995,0.016013397187592218,0.3324075301888406,0.0717516609530977,0.1365286861056071,1.0280829466637744,True,0.05825651268064358,0.06276946873590616,1.0219004579211304,True,0.0002664024889782457,-0.05068200152720426,0.11619853639824171,False,-0.1656532403597042,-0.059332971096410114,-4.3579834269457205,False,-0.08852868443430828,0.006326683975368397,-1.2201937373747662,True,0.28194978277975924,0.10179028844486959,1.4539564620426917,True,0.0703076402974363,0.03547304179661159,1.0683918368604937,True,0.3614551158365813,-0.10476601893401072,2.725911974690872,False
0.0125,1,True,0.15,0.025,step0.0125_r1_flip_en+0.150_ex+0.025,12,5,-0.12292573962064024,0.0362739261282628,0.01049454053172047,0.1575807397871014,0.02800831913431545,0.09278534428682483,0.48747650003045806,True,0.03585279157924326,0.040365747634505844,0.6456029349390889,True,-0.01867791811974351,-0.06962632213592601,-0.13166635773191607,False,-0.07413816464127432,0.03218210462201976,-1.9042384486713755,True,-0.10763597724475737,-0.012780608835080698,-1.4959677871219466,False,0.2554362038407305,0.07527670950584087,1.3645863110290186,True,0.08351368729704411,0.048679088796219405,1.2128720517143976,True,0.3432953951499518,-0.12292573962064024,2.6157776572259688,False
0.0125,1,True,0.175,0.0,step0.0125_r1_flip_en+0.175_ex+0.000,12,5,-0.12292573962064024,0.021297353166536415,0.005019893596774794,0.1575807397871014,0.027819561956318184,0.09259658710882757,0.4834228878577988,True,-0.011840506691653707,-0.0073275506363911225,-0.0968403945432924,False,-0.012191219056573721,-0.06313962307275622,-0.04813293398368796,False,-0.097813820714994,0.008506448548300072,-2.51960879276684,True,-0.06076711062490392,0.03408825778477276,-0.9193270528810674,True,0.22984117420075578,0.049681679865866135,1.2635087605199542,True,0.08351368729704411,0.048679088796219405,1.2128720517143976,True,0.3432953951499518,-0.12292573962064024,2.6157776572259688,False
0.025,1,True,0.15,0.025,step0.0250_r1_flip_en+0.150_ex+0.025,12,5,-0.12292573962064024,0.009795943749768221,-0.005264233538578092,0.20917938568547179,-0.015654564927497727,0.049122460225011655,-0.0753454357357863,True,0.00881245766251637,0.013325413717778956,0.23009151875303746,True,-0.0621257895241939,-0.1130741935403764,-0.7754619384846518,False,-0.043227960187795955,0.06309230907549812,-0.9833380120549253,True,-0.10178824446130208,-0.006932876051625403,-1.4036211962614054,False,0.24917177843886074,0.06901228410397109,1.3403911460607623,True,0.041101072282582196,0.006266473781757487,0.668733466412392,True,0.3432953951499518,-0.12292573962064024,2.6157776572259688,False
0.0125,1,True,0.125,0.025,step0.0125_r1_flip_en+0.125_ex+0.025,12,5,-0.1302105899962953,0.024900386204423364,0.004301242032204278,0.1575807397871014,0.02800831913431545,0.09278534428682483,0.48747650003045806,True,0.03585279157924326,0.040365747634505844,0.6456029349390889,True,-0.009196545347953555,-0.06014494936413606,-0.004234991784738665,False,-0.04511223053301039,0.06120803873028369,-1.0173997137279478,True,-0.11424979585207218,-0.0193944274423955,-1.5683744692708437,False,0.20472056601719735,0.0245610716823077,1.165207547414876,True,0.06007429922736374,0.025239700726539027,0.9100254097028482,True,0.3360105447742967,-0.1302105899962953,2.56241513797517,False
0.0125,2,True,0.175,-0.025,step0.0125_r2_flip_en+0.175_ex-0.025,12,5,-0.1318596171536217,0.02050129770401876,-0.0028201616076792974,0.16649816587620644,-0.024442449668579447,0.040334575483929935,-0.19851331294448,True,0.028137801744743562,0.03265075780000615,0.5461974282850272,True,-0.0015115305331203643,-0.05245993454930287,0.09442516437441383,False,-0.10966911896441023,-0.003348849701116152,-2.6201785739001218,False,-0.06076711062490392,0.03408825778477276,-0.9193270528810674,True,0.22984117420075578,0.049681679865866135,1.2632785700337679,True,0.043186436108856086,0.008351837608031376,0.6843684726719496,True,0.3343615176169703,-0.1318596171536217,2.522507734479344,False
0.025,2,False,0.175,-0.025,step0.0250_r2_keep_en+0.175_ex-0.025,12,5,-0.1318596171536217,0.018427620557584068,0.0029228096634428685,0.10169711798013142,-0.0671587474993195,-0.002381722346810111,-0.7598949838020815,False,-0.020755842677718683,-0.0162428866224561,-0.2250132155028554,False,0.07294118135673888,0.02199277734055638,1.0336967524158178,True,-0.09145780548868232,0.014862463774611756,-2.058413662419242,True,-0.06240695890509951,0.03244840950457717,-0.9446876874115361,True,0.2554362038407305,0.07527670950584087,1.3645863110290186,True,0.0641209418056694,0.029286343304844697,0.9744626175221014,True,0.3343615176169703,-0.1318596171536217,2.522507734479344,False
0.0125,1,False,0.125,0.0,step0.0125_r1_keep_en+0.125_ex+0.000,12,5,-0.1318596171536217,0.017641650193121805,0.010701117543361643,0.03978640902707858,0.03063302122572198,0.09541004637823136,0.5204841369105536,True,-0.004512956055262585,0.0,0.027823439228323324,False,0.060992003675887085,0.010043599659704583,0.8939750883282142,True,-0.06761644469638173,0.03870382456691235,-1.4857061211381033,True,-0.11579626634452023,-0.02094089793484355,-1.5892535210812497,False,0.24917177843886074,0.06901228410397109,1.3403911460607623,True,0.06007429922736374,0.025239700726539027,0.9100254097028482,True,0.3343615176169703,-0.1318596171536217,2.522507734479344,False
