factor,type,origin_weight,raw_signal,primary,factor_kind,coverage,active_days,active_ratio,status,canonical_factor,independent_events,years,half_year_windows
state__raw__daily__cxt_fx_power_V221107__di_1::弱底,state,0.0,raw__daily__cxt_fx_power_V221107__di_1,弱底,state,0.9759229534510433,157.0,0.1260032102728732,candidate,state__raw__daily__cxt_fx_power_V221107__di_1::弱底,,,
state__raw__daily__cxt_fx_power_V221107__di_1::弱顶,state,0.0,raw__daily__cxt_fx_power_V221107__di_1,弱顶,state,0.9759229534510433,194.0,0.15569823434991975,candidate,state__raw__daily__cxt_fx_power_V221107__di_1::弱顶,,,
state__raw__daily__cxt_fx_power_V221107__di_1::强底,state,0.0,raw__daily__cxt_fx_power_V221107__di_1,强底,state,0.9759229534510433,224.0,0.1797752808988764,candidate,state__raw__daily__cxt_fx_power_V221107__di_1::强底,,,
state__raw__daily__cxt_fx_power_V221107__di_1::强顶,state,0.0,raw__daily__cxt_fx_power_V221107__di_1,强顶,state,0.9759229534510433,180.0,0.14446227929373998,candidate,state__raw__daily__cxt_fx_power_V221107__di_1::强顶,,,
state__raw__daily__cxt_seven_bi_V230620__di_1::aAbcd式底背驰,state,0.0,raw__daily__cxt_seven_bi_V230620__di_1,aAbcd式底背驰,event,0.9759229534510433,14.0,0.011235955056179775,candidate,state__raw__daily__cxt_seven_bi_V230620__di_1::aAbcd式底背驰,3.0,"[2022, 2023]","['2022H1', '2023H2']"
state__raw__daily__cxt_seven_bi_V230620__di_1::aAbcd式顶背驰,state,0.0,raw__daily__cxt_seven_bi_V230620__di_1,aAbcd式顶背驰,event,0.9759229534510433,5.0,0.0040128410914927765,candidate,state__raw__daily__cxt_seven_bi_V230620__di_1::aAbcd式顶背驰,1.0,[2021],['2021H2']
state__raw__daily__cxt_seven_bi_V230620__di_1::aAb式底背驰,state,0.0,raw__daily__cxt_seven_bi_V230620__di_1,aAb式底背驰,event,0.9759229534510433,22.0,0.01765650080256822,candidate,state__raw__daily__cxt_seven_bi_V230620__di_1::aAb式底背驰,8.0,"[2023, 2024]","['2023H2', '2024H1', '2024H2']"
state__raw__daily__cxt_seven_bi_V230620__di_1::aAb式顶背驰,state,0.0,raw__daily__cxt_seven_bi_V230620__di_1,aAb式顶背驰,event,0.9759229534510433,3.0,0.002407704654895666,candidate,state__raw__daily__cxt_seven_bi_V230620__di_1::aAb式顶背驰,1.0,[2023],['2023H1']
state__raw__daily__cxt_seven_bi_V230620__di_1::abcAd式底背驰,state,0.0,raw__daily__cxt_seven_bi_V230620__di_1,abcAd式底背驰,event,0.9759229534510433,26.0,0.02086677367576244,candidate,state__raw__daily__cxt_seven_bi_V230620__di_1::abcAd式底背驰,5.0,"[2022, 2023]","['2022H1', '2023H1', '2023H2']"
state__raw__daily__cxt_seven_bi_V230620__di_1::abcAd式顶背驰,state,0.0,raw__daily__cxt_seven_bi_V230620__di_1,abcAd式顶背驰,event,0.9759229534510433,11.0,0.00882825040128411,candidate,state__raw__daily__cxt_seven_bi_V230620__di_1::abcAd式顶背驰,2.0,[2021],['2021H2']
state__raw__daily__cxt_seven_bi_V230620__di_1::其他,state,0.0,raw__daily__cxt_seven_bi_V230620__di_1,其他,state,0.9759229534510433,1038.0,0.8330658105939005,candidate,state__raw__daily__cxt_seven_bi_V230620__di_1::其他,,,
state__raw__daily__cxt_seven_bi_V230620__di_1::向下中枢完成,state,0.0,raw__daily__cxt_seven_bi_V230620__di_1,向下中枢完成,state,0.9759229534510433,38.0,0.030497592295345103,candidate,state__raw__daily__cxt_seven_bi_V230620__di_1::向下中枢完成,,,
state__raw__daily__cxt_seven_bi_V230620__di_1::类三买,state,0.0,raw__daily__cxt_seven_bi_V230620__di_1,类三买,event,0.9759229534510433,12.0,0.009630818619582664,candidate,state__raw__daily__cxt_seven_bi_V230620__di_1::类三买,5.0,"[2021, 2023, 2025]","['2021H2', '2023H1', '2025H2']"
state__raw__daily__cxt_seven_bi_V230620__di_1::类三卖,state,0.0,raw__daily__cxt_seven_bi_V230620__di_1,类三卖,event,0.9759229534510433,20.0,0.016051364365971106,candidate,state__raw__daily__cxt_seven_bi_V230620__di_1::类三卖,5.0,"[2021, 2022, 2023]","['2021H2', '2022H1', '2023H2']"
state__raw__daily__pressure_support_V240406__di_1__w_20::其他,state,0.0,raw__daily__pressure_support_V240406__di_1__w_20,其他,state,0.9759229534510433,1002.0,0.8041733547351525,candidate,state__raw__daily__pressure_support_V240406__di_1__w_20::其他,,,
state__raw__daily__pressure_support_V240406__di_1__w_20::压力位,state,0.0,raw__daily__pressure_support_V240406__di_1__w_20,压力位,state,0.9759229534510433,97.0,0.07784911717495988,candidate,state__raw__daily__pressure_support_V240406__di_1__w_20::压力位,,,
state__raw__daily__pressure_support_V240406__di_1__w_20::支撑位,state,0.0,raw__daily__pressure_support_V240406__di_1__w_20,支撑位,state,0.9759229534510433,117.0,0.09390048154093097,candidate,state__raw__daily__pressure_support_V240406__di_1__w_20::支撑位,,,
state__raw__daily__tas_atr_break_V230424__di_1::看多,state,0.0,raw__daily__tas_atr_break_V230424__di_1,看多,state,0.9759229534510433,40.0,0.03210272873194221,candidate,state__raw__daily__tas_atr_break_V230424__di_1::看多,,,
state__raw__daily__tas_atr_break_V230424__di_1::看空,state,0.0,raw__daily__tas_atr_break_V230424__di_1,看空,state,0.9759229534510433,42.0,0.033707865168539325,candidate,state__raw__daily__tas_atr_break_V230424__di_1::看空,,,
state__raw__daily__tas_boll_power_V221112__di_1::多头,state,0.0,raw__daily__tas_boll_power_V221112__di_1,多头,state,0.9759229534510433,553.0,0.4438202247191011,candidate,state__raw__daily__tas_boll_power_V221112__di_1::多头,,,
state__raw__daily__tas_boll_power_V221112__di_1::空头,state,0.0,raw__daily__tas_boll_power_V221112__di_1,空头,state,0.9759229534510433,656.0,0.5264847512038523,candidate,state__raw__daily__tas_boll_power_V221112__di_1::空头,,,
state__raw__daily__tas_kdj_base_V221101__di_1::多头,state,0.0,raw__daily__tas_kdj_base_V221101__di_1,多头,state,0.9759229534510433,619.0,0.4967897271268058,candidate,state__raw__daily__tas_kdj_base_V221101__di_1::多头,,,
state__raw__daily__tas_kdj_base_V221101__di_1::空头,state,0.0,raw__daily__tas_kdj_base_V221101__di_1,空头,state,0.9759229534510433,597.0,0.47913322632423755,candidate,state__raw__daily__tas_kdj_base_V221101__di_1::空头,,,
state__raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10::多头,state,0.0,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,多头,state,0.9759229534510433,569.0,0.456661316211878,candidate,state__raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10::多头,,,
state__raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10::空头,state,0.0,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,空头,state,0.9759229534510433,647.0,0.5192616372391653,candidate,state__raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10::空头,,,
