eligible_rank,candidate_id,lookback,stress_quantile,pressure_position,full_champion_return,full_challenger_return,full_return_delta,full_champion_max_drawdown,full_challenger_max_drawdown,max_drawdown_improvement,worst_annual_return_delta,median_annual_return_delta,full_champion_sharpe,full_challenger_sharpe,full_champion_exposure,full_challenger_exposure,full_trade_count,2021_champion_return,2021_challenger_return,2021_return_delta,2021_challenger_max_drawdown,2021_challenger_sharpe,2022_champion_return,2022_challenger_return,2022_return_delta,2022_challenger_max_drawdown,2022_challenger_sharpe,2023_champion_return,2023_challenger_return,2023_return_delta,2023_challenger_max_drawdown,2023_challenger_sharpe,2024_champion_return,2024_challenger_return,2024_return_delta,2024_challenger_max_drawdown,2024_challenger_sharpe,2025_champion_return,2025_challenger_return,2025_return_delta,2025_challenger_max_drawdown,2025_challenger_sharpe,eligible
,dv_L20_Q70_P0.50,20,0.7,0.5,0.7699865045469618,0.5708952254895714,-0.19909127905739044,-0.2551487317445502,-0.2805350343126113,-0.02538630256806107,-0.11254590824630406,-0.016108984135847493,0.7342490225522434,0.6448149705703352,0.5363036303630363,0.4715346534653465,152,-0.00619914062358029,-0.00619914062358029,0.0,-0.1812898546014765,0.05300635265283405,0.07661831985256495,0.010672850757832641,-0.06594546909473231,-0.07994142038934038,0.1780044425717257,-0.050372752649808894,-0.012543882013083207,0.03782887063672569,-0.11707312194825348,-0.026306199355188953,0.22170505734424073,0.20559607320839324,-0.016108984135847493,-0.1494675817187905,0.8763661273895652,0.4311143133322253,0.3185684050859212,-0.11254590824630406,-0.12293222338378562,1.660742208920724,False
,dv_L20_Q70_P0.75,20,0.7,0.75,0.7699865045469618,0.6714118057867373,-0.09857469876022451,-0.2551487317445502,-0.25312486562957015,0.0020238661149800663,-0.05560312379623822,-0.007369893844297204,0.7342490225522434,0.6971200713745922,0.5363036303630363,0.5039191419141914,152,-0.00619914062358029,-0.00619914062358029,0.0,-0.1812898546014765,0.05300635265283405,0.07661831985256495,0.043524676316147204,-0.03309364353641775,-0.08267409821871619,0.4293017536977361,-0.050372752649808894,-0.031580071105827834,0.01879268154398106,-0.1340941952896445,-0.19029895928958535,0.22170505734424073,0.21433516349994353,-0.007369893844297204,-0.1525783956244302,0.8778001525310817,0.4311143133322253,0.37551118953598706,-0.05560312379623822,-0.1322115393956419,1.8294134551226653,False
,dv_L20_Q80_P0.25,20,0.8,0.25,0.7699865045469618,0.5743476532201846,-0.19563885132677727,-0.2551487317445502,-0.29436488751871237,-0.039216155774162154,-0.06952077032077608,-0.036281700531121786,0.7342490225522434,0.641481396701881,0.5363036303630363,0.477516501650165,147,-0.00619914062358029,-0.00619914062358029,0.0,-0.1812898546014765,0.05300635265283405,0.07661831985256495,0.012885801198993185,-0.06373251865357177,-0.08290014042209037,0.19574854583059562,-0.050372752649808894,-0.027465829562116295,0.0229069230876926,-0.1304154754199004,-0.15128508462986212,0.22170505734424073,0.18542335681311894,-0.036281700531121786,-0.1421667648613384,0.8124372484773038,0.4311143133322253,0.3615935430114492,-0.06952077032077608,-0.12511232181955256,1.7863217612419768,False
,dv_L20_Q80_P0.50,20,0.8,0.5,0.7699865045469618,0.6401508142670147,-0.12983569027994712,-0.2551487317445502,-0.27189625723081146,-0.01674752548626124,-0.04567100584727579,-0.0235737542914789,0.7342490225522434,0.6809134791744387,0.5363036303630363,0.4971122112211221,147,-0.00619914062358029,-0.00619914062358029,0.0,-0.1812898546014765,0.05300635265283405,0.07661831985256495,0.03421081586290464,-0.04240750398966031,-0.08290014042209026,0.3601034982876007,-0.050372752649808894,-0.03513354176429628,0.01523921088551261,-0.1372715058532017,-0.21751158641807908,0.22170505734424073,0.19813130305276183,-0.0235737542914789,-0.14879992200407588,0.8413417140262726,0.4311143133322253,0.3854433074849495,-0.04567100584727579,-0.13042018307358894,1.8618826035968195,False
,dv_L20_Q80_P0.75,20,0.8,0.75,0.7699865045469618,0.7054395505052795,-0.06454695404168231,-0.2551487317445502,-0.25034534598657854,0.004803385757971679,-0.022512782306036927,-0.01145940296479342,0.7342490225522434,0.711862976462809,0.5363036303630363,0.5167079207920792,147,-0.00619914062358029,-0.00619914062358029,0.0,-0.1812898546014765,0.05300635265283405,0.07661831985256495,0.055470119527908146,-0.021148200324656807,-0.08290014042208982,0.5081097048345582,-0.050372752649808894,-0.042774247076031946,0.007598505573776948,-0.1441033882671352,-0.28216892238726976,0.22170505734424073,0.2102456543794473,-0.01145940296479342,-0.15554293753046367,0.8597050174731072,0.4311143133322253,0.40860153102618835,-0.022512782306036927,-0.13572804432762609,1.9180098478390737,False
,dv_L20_Q90_P0.25,20,0.9,0.25,0.7699865045469618,0.576810373693283,-0.1931761308536788,-0.2551487317445502,-0.3142593178887504,-0.05911058614420017,-0.07592421270318472,0.0,0.7342490225522434,0.6363673700226653,0.5363036303630363,0.5047442244224423,139,-0.00619914062358029,-0.00619914062358029,0.0,-0.1812898546014765,0.05300635265283405,0.07661831985256495,0.015315228571974648,-0.061303091280590305,-0.0854180176971977,0.21455239218208716,-0.050372752649808894,-0.050372752649808894,0.0,-0.1508975380849421,-0.34463972717980246,0.22170505734424073,0.145780844641056,-0.07592421270318472,-0.1648972220288749,0.6865643056929295,0.4311143133322253,0.4414829785081673,0.010368665175942038,-0.14102529516436346,1.9958199936259777,False
,dv_L20_Q90_P0.50,20,0.9,0.5,0.7699865045469618,0.6406885308190369,-0.12929797372792495,-0.2551487317445502,-0.2856959864460561,-0.030547254701505877,-0.050286093378867136,0.0,0.7342490225522434,0.6754333893128158,0.5363036303630363,0.5152640264026402,139,-0.00619914062358029,-0.00619914062358029,0.0,-0.1812898546014765,0.05300635265283405,0.07661831985256495,0.035810068767456515,-0.04080825108510844,-0.0854180176971977,0.36929890811963206,-0.050372752649808894,-0.050372752649808894,0.0,-0.1508975380849421,-0.34463972717980246,0.22170505734424073,0.1714189639653736,-0.050286093378867136,-0.16380671739040176,0.7597021370130604,0.4311143133322253,0.438024452250948,0.006910138918722719,-0.14102529516436357,1.9828993473007621,False
,dv_L20_Q90_P0.75,20,0.9,0.75,0.7699865045469618,0.7051619037818033,-0.0648246007651585,-0.2551487317445502,-0.25658256600051355,-0.0014338342559633288,-0.02494445043789062,0.0,0.7342490225522434,0.70824789893314,0.5363036303630363,0.5257838283828383,139,-0.00619914062358029,-0.00619914062358029,0.0,-0.1812898546014765,0.05300635265283405,0.07661831985256495,0.056258780523887664,-0.02035953932867729,-0.0854180176971977,0.5109193538894918,-0.050372752649808894,-0.050372752649808894,0.0,-0.1508975380849421,-0.34463972717980246,0.22170505734424073,0.1967606069063501,-0.02494445043789062,-0.1629676138455598,0.8206533935317927,0.4311143133322253,0.4345659259937287,0.0034516126615034004,-0.1410252951643629,1.9695845157907184,False
,dv_L40_Q70_P0.25,40,0.7,0.25,0.7699865045469618,0.696128857655244,-0.07385764689171781,-0.2551487317445502,-0.34285907550916916,-0.08771034376461895,-0.1401068292710308,0.0,0.7342490225522434,0.7413039597140104,0.5363036303630363,0.44533828382838286,141,-0.00619914062358029,-0.00619914062358029,0.0,-0.1812898546014765,0.05300635265283405,0.07661831985256495,-0.06348850941846584,-0.1401068292710308,-0.07853962266736647,-0.6037125967867368,-0.050372752649808894,-0.05291298901061292,-0.002540236360804027,-0.1531688723940865,-0.395176129590548,0.22170505734424073,0.25963091958029905,0.037925862236058316,-0.11756066748990146,1.0606363420065272,0.4311143133322253,0.5331978961531776,0.10208358282095231,-0.12556736048712158,2.3620397746852952,False
,dv_L40_Q70_P0.50,40,0.7,0.5,0.7699865045469618,0.7241305931853388,-0.045855911361623036,-0.2551487317445502,-0.3046754075086674,-0.04952667576411718,-0.09418473525095605,0.0,0.7342490225522434,0.7484454335255155,0.5363036303630363,0.47566006600660066,141,-0.00619914062358029,-0.00619914062358029,0.0,-0.1812898546014765,0.05300635265283405,0.07661831985256495,-0.0175664153983911,-0.09418473525095605,-0.07853962266736614,-0.08454007655598995,-0.050372752649808894,-0.052053589579440285,-0.0016808369296313908,-0.15240044649348794,-0.38125281179293385,0.22170505734424073,0.24768216997619774,0.02597711263195701,-0.1326379142779367,1.0036541940416779,0.4311143133322253,0.49852805176321113,0.06741373843098586,-0.1307217017341039,2.2373288287258717,False
