candidate_id,year,cycle_count,return,max_drawdown,calmar
fixed_13,2022,11,0.02690296981291107,-0.11414143881329664,0.2455734112602357
fixed_13,2023,14,-0.008037980828573987,-0.13939122511269275,-0.06003774731622509
fixed_13,2024,12,0.21515545210267217,-0.18231540565177762,1.234015689046573
fixed_13,2025,13,0.4469800829054904,-0.14136926300864716,3.302820031455296
fixed_14,2021,14,-0.012557800417945297,-0.1650734570070681,-0.07887314889529265
fixed_14,2022,11,0.02690296981291107,-0.11414143881329664,0.2455734112602357
fixed_14,2023,14,-0.008037980828573987,-0.13939122511269275,-0.06003774731622509
fixed_14,2024,12,0.21350666587186873,-0.1823154056517774,1.2245225211564617
fixed_14,2025,13,0.44412982666864353,-0.14306059078998323,3.242827340337097
fixed_15,2021,14,-0.012557800417945297,-0.1650734570070681,-0.07887314889529265
fixed_15,2022,11,0.02690296981291107,-0.11414143881329664,0.2455734112602357
fixed_15,2023,14,-0.008037980828573987,-0.13939122511269275,-0.06003774731622509
fixed_15,2024,12,0.2102224800373027,-0.1823154056517775,1.2056148499701267
fixed_15,2025,13,0.4403469063630281,-0.145305356760409,3.165362978726175
fixed_16,2021,14,-0.012557800417945297,-0.1650734570070681,-0.07887314889529265
fixed_16,2022,11,0.02690296981291107,-0.11414143881329664,0.2455734112602357
fixed_16,2023,14,-0.008037980828573987,-0.13939122511269275,-0.06003774731622509
fixed_16,2024,12,0.2102224800373027,-0.1823154056517775,1.2056148499701267
fixed_16,2025,13,0.43970945543780116,-0.14568361694808507,3.152544928808299
fixed_17,2021,14,-0.012557800417945297,-0.1650734570070681,-0.07887314889529265
fixed_17,2022,11,0.02690296981291107,-0.11414143881329664,0.2455734112602357
fixed_17,2023,14,-0.008037980828573987,-0.13939122511269275,-0.06003774731622509
fixed_17,2024,12,0.2102224800373027,-0.1823154056517775,1.2056148499701267
fixed_17,2025,13,0.43970945543780116,-0.14568361694808507,3.152544928808299
fixed_18,2021,14,-0.012557800417945297,-0.1650734570070681,-0.07887314889529265
fixed_18,2022,11,0.02690296981291107,-0.11414143881329664,0.2455734112602357
fixed_18,2023,14,-0.008037980828573987,-0.13939122511269275,-0.06003774731622509
fixed_18,2024,12,0.2102224800373027,-0.1823154056517775,1.2056148499701267
fixed_18,2025,13,0.43970945543780116,-0.14568361694808507,3.152544928808299
fixed_19,2021,14,-0.012557800417945297,-0.1650734570070681,-0.07887314889529265
fixed_19,2022,11,0.02690296981291107,-0.11414143881329664,0.2455734112602357
fixed_19,2023,14,-0.008037980828573987,-0.13939122511269275,-0.06003774731622509
fixed_19,2024,12,0.2102224800373027,-0.1823154056517775,1.2056148499701267
fixed_19,2025,13,0.43970945543780116,-0.14568361694808507,3.152544928808299
fixed_20,2021,14,-0.012557800417945297,-0.1650734570070681,-0.07887314889529265
fixed_20,2022,11,0.02690296981291107,-0.11414143881329664,0.2455734112602357
fixed_20,2023,14,-0.008037980828573987,-0.13939122511269275,-0.06003774731622509
fixed_20,2024,12,0.2102224800373027,-0.1823154056517775,1.2056148499701267
fixed_20,2025,13,0.43970945543780116,-0.14568361694808507,3.152544928808299
fixed_21,2021,14,-0.012557800417945297,-0.1650734570070681,-0.07887314889529265
fixed_21,2022,11,0.02690296981291107,-0.11414143881329664,0.2455734112602357
fixed_21,2023,14,-0.008037980828573987,-0.13939122511269275,-0.06003774731622509
fixed_21,2024,12,0.2102224800373027,-0.1823154056517775,1.2056148499701267
fixed_21,2025,13,0.43970945543780116,-0.14568361694808507,3.152544928808299
fixed_22,2021,14,-0.012557800417945297,-0.1650734570070681,-0.07887314889529265
fixed_22,2022,11,0.02690296981291107,-0.11414143881329664,0.2455734112602357
fixed_22,2023,14,-0.008037980828573987,-0.13939122511269275,-0.06003774731622509
fixed_22,2024,12,0.2102224800373027,-0.1823154056517775,1.2056148499701267
fixed_22,2025,13,0.43970945543780116,-0.14568361694808507,3.152544928808299
fixed_23,2021,14,-0.012557800417945297,-0.1650734570070681,-0.07887314889529265
fixed_23,2022,11,0.02690296981291107,-0.11414143881329664,0.2455734112602357
fixed_23,2023,14,-0.008037980828573987,-0.13939122511269275,-0.06003774731622509
fixed_23,2024,12,0.2102224800373027,-0.1823154056517775,1.2056148499701267
fixed_23,2025,13,0.43970945543780116,-0.14568361694808507,3.152544928808299
fixed_24,2021,14,-0.012557800417945297,-0.1650734570070681,-0.07887314889529265
fixed_24,2022,11,0.02690296981291107,-0.11414143881329664,0.2455734112602357
fixed_24,2023,14,-0.008037980828573987,-0.13939122511269275,-0.06003774731622509
fixed_24,2024,12,0.2102224800373027,-0.1823154056517775,1.2056148499701267
fixed_24,2025,13,0.43970945543780116,-0.14568361694808507,3.152544928808299
fixed_25,2021,14,-0.012557800417945297,-0.1650734570070681,-0.07887314889529265
fixed_25,2022,11,0.02690296981291107,-0.11414143881329664,0.2455734112602357
fixed_25,2023,14,-0.008037980828573987,-0.13939122511269275,-0.06003774731622509
fixed_25,2024,12,0.2102224800373027,-0.1823154056517775,1.2056148499701267
fixed_25,2025,13,0.43970945543780116,-0.14568361694808507,3.152544928808299
fixed_26,2021,14,-0.012557800417945297,-0.1650734570070681,-0.07887314889529265
fixed_26,2022,11,0.02690296981291107,-0.11414143881329664,0.2455734112602357
fixed_26,2023,14,-0.008037980828573987,-0.13939122511269275,-0.06003774731622509
fixed_26,2024,12,0.2102224800373027,-0.1823154056517775,1.2056148499701267
fixed_26,2025,13,0.43970945543780116,-0.14568361694808507,3.152544928808299
fixed_27,2021,14,-0.012557800417945297,-0.1650734570070681,-0.07887314889529265
fixed_27,2022,11,0.02690296981291107,-0.11414143881329664,0.2455734112602357
fixed_27,2023,14,-0.008037980828573987,-0.13939122511269275,-0.06003774731622509
fixed_27,2024,12,0.2102224800373027,-0.1823154056517775,1.2056148499701267
fixed_27,2025,13,0.43970945543780116,-0.14568361694808507,3.152544928808299
fixed_28,2021,14,-0.012557800417945297,-0.1650734570070681,-0.07887314889529265
fixed_28,2022,11,0.02690296981291107,-0.11414143881329664,0.2455734112602357
fixed_28,2023,14,-0.008037980828573987,-0.13939122511269275,-0.06003774731622509
fixed_28,2024,12,0.2102224800373027,-0.1823154056517775,1.2056148499701267
fixed_28,2025,13,0.43970945543780116,-0.14568361694808507,3.152544928808299
atr_00,2021,14,-0.030961995014008203,-0.12800422191531502,-0.25069594654704236
atr_00,2022,11,0.1668683299486602,-0.06902636424547104,2.525603564644936
atr_00,2023,14,-0.05824004026997209,-0.13744470065188996,-0.44070290378455895
atr_00,2024,12,-0.1800060568793299,-0.2553018228561613,-0.7313035527408595
atr_00,2025,13,0.4504339757637228,-0.12117495209570062,3.8832163961046597
atr_01,2021,14,-0.025486348649656265,-0.14283929232638348,-0.18494707881269504
atr_01,2022,11,0.13169369973313616,-0.07812847351636731,1.7598444858716749
atr_01,2023,14,-0.076218537103246,-0.15373653198343995,-0.5154267062893917
atr_01,2024,12,-0.21100417536559346,-0.2612457827422633,-0.8371167440557151
atr_01,2025,13,0.4214965406640274,-0.13605115991010108,3.2350662501026113
atr_02,2021,14,-0.022785817387836027,-0.15913762258412834,-0.14842305433739675
atr_02,2022,11,0.10102122780945066,-0.08792111926725799,1.1988981541190744
atr_02,2023,14,-0.04137011031494986,-0.15631224189507298,-0.27536102791378647
atr_02,2024,12,0.30573016308594214,-0.1823154056517774,1.7563143464852393
atr_02,2025,13,0.49955293777788357,-0.14137396530144575,3.693927616553013
atr_03,2021,14,-0.04588389136282012,-0.16821705399877507,-0.28262445895106514
atr_03,2022,11,0.06968277207569296,-0.09757555706099919,0.7446992604239863
atr_03,2023,14,-0.010042767098920935,-0.1469890171692405,-0.07113171271963753
atr_03,2024,12,0.2802513427234361,-0.1823154056517774,1.6092348189418682
atr_03,2025,13,0.47352781923594023,-0.14702176403737455,3.365739655385151
atr_04,2021,14,-0.019359038449594523,-0.1639065435996706,-0.12244048958960674
atr_04,2022,11,0.04471684372905238,-0.10866485118438196,0.42890655253737076
atr_04,2023,14,-0.005137114096810169,-0.13856688720571297,-0.038601017419753116
atr_04,2024,12,0.23517013218114924,-0.18231540565177762,1.3492958674322757
atr_04,2025,13,0.46721078475036903,-0.13941193438307642,3.5017932795788793
atr_05,2021,14,-0.011788764436964305,-0.1650734570070692,-0.07404404363999066
atr_05,2022,11,0.03297086229390134,-0.11414143881329641,0.30099883838445546
atr_05,2023,14,-0.008037980828574653,-0.1393912251126933,-0.06003774731622963
atr_05,2024,12,0.23536440857232654,-0.1823154056517774,1.3504152372907805
atr_05,2025,13,0.4697926983804619,-0.1345366576744993,3.648876822953255
atr_06,2021,14,-0.012557800417945297,-0.1650734570070681,-0.07887314889529265
