period,signal_date,execution_date,side,size,price,fees,factor_event_id,event_type
2021-2023FULL,2021-10-29,2021-11-01,Buy,720368.4990451274,1.433,516.1440295657376,PositionRisk:intraday_C0.35_V0.60_P0.50:20211029:Entry,Entry
2021-2023FULL,2021-12-02,2021-12-03,Sell,720368.4990451274,1.469,529.1106625486461,PositionRisk:intraday_C0.35_V0.60_P0.50:20211202:Exit,Exit
2021-2023FULL,2021-12-03,2021-12-06,Buy,713335.7844928708,1.482,528.5818163091317,PositionRisk:intraday_C0.35_V0.60_P0.50:20211203:Entry,Entry
2021-2023FULL,2021-12-06,2021-12-07,Sell,356667.8922464354,1.449,258.40588793254244,PositionRisk:intraday_C0.35_V0.60_P0.50:20211206:Reduce,Reduce
2021-2023FULL,2021-12-08,2021-12-09,Sell,356667.8922464354,1.45,258.58422187866563,PositionRisk:intraday_C0.35_V0.60_P0.50:20211208:Exit,Exit
2021-2023FULL,2021-12-10,2021-12-13,Buy,696055.7655893111,1.484,516.4733780672541,PositionRisk:intraday_C0.35_V0.60_P0.50:20211210:Entry,Entry
2021-2023FULL,2021-12-15,2021-12-16,Sell,696055.7655893111,1.463,509.16479252858113,PositionRisk:intraday_C0.35_V0.60_P0.50:20211215:Exit,Exit
2021-2023FULL,2021-12-17,2021-12-20,Buy,353901.39786670153,1.438,254.4551050661584,PositionRisk:intraday_C0.35_V0.60_P0.50:20211217:Entry,Entry
2021-2023FULL,2021-12-23,2021-12-24,Sell,353901.39786670153,1.415,250.38523899069136,PositionRisk:intraday_C0.35_V0.60_P0.50:20211223:Exit,Exit
2021-2023FULL,2021-12-30,2021-12-31,Buy,711835.9294379929,1.417,504.33575600676704,PositionRisk:intraday_C0.35_V0.60_P0.50:20211230:Entry,Entry
2021-2023FULL,2022-01-04,2022-01-05,Sell,355917.96471899643,1.401,249.320534285657,PositionRisk:intraday_C0.35_V0.60_P0.50:20220104:Reduce,Reduce
2021-2023FULL,2022-01-05,2022-01-06,Sell,355917.96471899643,1.371,243.98176481487207,PositionRisk:intraday_C0.35_V0.60_P0.50:20220105:Exit,Exit
2021-2023FULL,2022-01-17,2022-01-18,Buy,718380.8211797582,1.372,492.8092433292186,PositionRisk:intraday_C0.35_V0.60_P0.50:20220117:Entry,Entry
2021-2023FULL,2022-01-19,2022-01-20,Sell,359190.4105898791,1.36,244.2494792011178,PositionRisk:intraday_C0.35_V0.60_P0.50:20220119:Reduce,Reduce
2021-2023FULL,2022-01-20,2022-01-21,Sell,359190.4105898791,1.343,241.1963607111038,PositionRisk:intraday_C0.35_V0.60_P0.50:20220120:Exit,Exit
2021-2023FULL,2022-02-17,2022-02-18,Buy,784725.949310564,1.236,484.9606366738444,PositionRisk:intraday_C0.35_V0.60_P0.50:20220217:Entry,Entry
2021-2023FULL,2022-02-21,2022-02-22,Sell,392362.974655282,1.224,240.1261404890326,PositionRisk:intraday_C0.35_V0.60_P0.50:20220221:Reduce,Reduce
2021-2023FULL,2022-02-22,2022-02-23,Sell,392362.974655282,1.22,239.341414539722,PositionRisk:intraday_C0.35_V0.60_P0.50:20220222:Exit,Exit
2021-2023FULL,2022-02-23,2022-02-24,Buy,760902.8230146092,1.259,478.98832708760165,PositionRisk:intraday_C0.35_V0.60_P0.50:20220223:Entry,Entry
2021-2023FULL,2022-03-03,2022-03-04,Sell,760902.8230146092,1.239,471.37929885755045,PositionRisk:intraday_C0.35_V0.60_P0.50:20220303:Exit,Exit
2021-2023FULL,2022-03-21,2022-03-22,Buy,799504.5078617258,1.178,470.90815513045527,PositionRisk:intraday_C0.35_V0.60_P0.50:20220321:Entry,Entry
2021-2023FULL,2022-03-22,2022-03-23,Sell,399752.2539308629,1.172,234.25482080348564,PositionRisk:intraday_C0.35_V0.60_P0.50:20220322:Reduce,Reduce
2021-2023FULL,2022-03-24,2022-03-25,Sell,399752.2539308629,1.167,233.2554401686585,PositionRisk:intraday_C0.35_V0.60_P0.50:20220324:Exit,Exit
2021-2023FULL,2022-05-05,2022-05-06,Buy,978100.4907842585,0.955,467.0429843494203,PositionRisk:intraday_C0.35_V0.60_P0.50:20220505:Entry,Entry
2021-2023FULL,2022-06-22,2022-06-23,Sell,978100.4907842585,1.095,535.5100187043815,PositionRisk:intraday_C0.35_V0.60_P0.50:20220622:Exit,Exit
2021-2023FULL,2022-06-23,2022-06-24,Buy,957877.8447750687,1.117,534.9747763068881,PositionRisk:intraday_C0.35_V0.60_P0.50:20220623:Entry,Entry
2021-2023FULL,2022-07-11,2022-07-12,Sell,957877.8447750687,1.11,531.6222038501631,PositionRisk:intraday_C0.35_V0.60_P0.50:20220711:Exit,Exit
2021-2023FULL,2022-07-21,2022-07-22,Buy,937494.8761245821,1.133,531.09084732458,PositionRisk:intraday_C0.35_V0.60_P0.50:20220721:Entry,Entry
2021-2023FULL,2022-07-22,2022-07-25,Sell,468747.43806229107,1.12,262.498565314883,PositionRisk:intraday_C0.35_V0.60_P0.50:20220722:Reduce,Reduce
2021-2023FULL,2022-07-26,2022-07-27,Buy,470801.0734887952,1.114,262.2361979332054,PositionRisk:intraday_C0.35_V0.60_P0.50:20220726:Increase,Increase
2021-2023FULL,2022-08-19,2022-08-22,Sell,939548.5115510863,1.137,534.1333288167926,PositionRisk:intraday_C0.35_V0.60_P0.50:20220819:Exit,Exit
2021-2023FULL,2022-10-14,2022-10-17,Buy,1100205.077157059,0.97,533.5994624211453,PositionRisk:intraday_C0.35_V0.60_P0.50:20221014:Entry,Entry
2021-2023FULL,2022-10-19,2022-10-20,Sell,550102.5385785295,0.971,267.0747824798761,PositionRisk:intraday_C0.35_V0.60_P0.50:20221019:Reduce,Reduce
2021-2023FULL,2022-10-21,2022-10-24,Buy,535221.3463752299,0.997,266.80784116801806,PositionRisk:intraday_C0.35_V0.60_P0.50:20221021:Increase,Increase
2021-2023FULL,2022-11-21,2022-11-22,Sell,1085323.8849537594,1.061,575.7643209679694,PositionRisk:intraday_C0.35_V0.60_P0.50:20221121:Exit,Exit
2021-2023FULL,2022-12-02,2022-12-05,Buy,1100839.893560369,1.045,575.188844385324,PositionRisk:intraday_C0.35_V0.60_P0.50:20221202:Entry,Entry
2021-2023FULL,2022-12-07,2022-12-08,Sell,1100839.893560369,1.026,564.7308653964694,PositionRisk:intraday_C0.35_V0.60_P0.50:20221207:Exit,Exit
2021-2023FULL,2022-12-12,2022-12-13,Buy,1097600.0325980415,1.028,564.1664167554118,PositionRisk:intraday_C0.35_V0.60_P0.50:20221212:Entry,Entry
2021-2023FULL,2022-12-13,2022-12-14,Sell,548800.0162990207,1.024,280.9856083450986,PositionRisk:intraday_C0.35_V0.60_P0.50:20221213:Reduce,Reduce
2021-2023FULL,2022-12-15,2022-12-16,Sell,548800.0162990207,1.01,277.14400823100544,PositionRisk:intraday_C0.35_V0.60_P0.50:20221215:Exit,Exit
2021-2023FULL,2022-12-27,2022-12-28,Buy,1133275.946920475,0.984,557.571765884757,PositionRisk:intraday_C0.35_V0.60_P0.50:20221227:Entry,Entry
2021-2023FULL,2023-01-13,2023-01-16,Sell,1133275.946920475,0.999,566.0713354867772,PositionRisk:intraday_C0.35_V0.60_P0.50:20230113:Exit,Exit
2021-2023FULL,2023-01-18,2023-01-19,Buy,1100205.3444465196,1.028,565.5055470454972,PositionRisk:intraday_C0.35_V0.60_P0.50:20230118:Entry,Entry
2021-2023FULL,2023-02-08,2023-02-09,Sell,1100205.3444465196,1.032,567.7059577344041,PositionRisk:intraday_C0.35_V0.60_P0.50:20230208:Exit,Exit
2021-2023FULL,2023-02-09,2023-02-10,Buy,1068057.5056267288,1.062,567.1385354876984,PositionRisk:intraday_C0.35_V0.60_P0.50:20230209:Entry,Entry
2021-2023FULL,2023-02-16,2023-02-17,Sell,1068057.5056267288,1.028,548.9815578921387,PositionRisk:intraday_C0.35_V0.60_P0.50:20230216:Exit,Exit
2021-2023FULL,2023-03-01,2023-03-02,Buy,1075358.5307604875,1.02,548.4328506877646,PositionRisk:intraday_C0.35_V0.60_P0.50:20230301:Entry,Entry
2021-2023FULL,2023-03-02,2023-03-03,Sell,537679.2653802438,1.018,273.67874607854407,PositionRisk:intraday_C0.35_V0.60_P0.50:20230302:Reduce,Reduce
2021-2023FULL,2023-03-06,2023-03-07,Buy,530883.8914630157,1.03,273.4052041034447,PositionRisk:intraday_C0.35_V0.60_P0.50:20230306:Increase,Increase
2021-2023FULL,2023-03-07,2023-03-08,Sell,1068563.1568432595,1.012,540.6929573626893,PositionRisk:intraday_C0.35_V0.60_P0.50:20230307:Exit,Exit
2021-2023FULL,2023-03-09,2023-03-10,Buy,1063292.3909777552,1.016,540.1525346166454,PositionRisk:intraday_C0.35_V0.60_P0.50:20230309:Entry,Entry
2021-2023FULL,2023-03-16,2023-03-17,Sell,1063292.3909777552,1.019,541.7474732031662,PositionRisk:intraday_C0.35_V0.60_P0.50:20230316:Exit,Exit
2021-2023FULL,2023-03-17,2023-03-20,Buy,1043791.7000353532,1.037,541.2059964681976,PositionRisk:intraday_C0.35_V0.60_P0.50:20230317:Entry,Entry
2021-2023FULL,2023-04-21,2023-04-24,Sell,1043791.7000353532,1.136,592.8736856200806,PositionRisk:intraday_C0.35_V0.60_P0.50:20230421:Exit,Exit
2021-2023FULL,2023-04-28,2023-05-04,Buy,1072973.0221434038,1.104,592.2811082231347,PositionRisk:intraday_C0.35_V0.60_P0.50:20230428:Entry,Entry
2021-2023FULL,2023-05-04,2023-05-05,Sell,536486.5110717019,1.087,291.58041876747,PositionRisk:intraday_C0.35_V0.60_P0.50:20230504:Reduce,Reduce
2021-2023FULL,2023-05-08,2023-05-09,Sell,536486.5110717019,1.082,290.2392024897907,PositionRisk:intraday_C0.35_V0.60_P0.50:20230508:Exit,Exit
2021-2023FULL,2023-05-15,2023-05-16,Buy,1109233.000764183,1.048,581.2380924003664,PositionRisk:intraday_C0.35_V0.60_P0.50:20230515:Entry,Entry
2021-2023FULL,2023-05-22,2023-05-23,Sell,554616.5003820915,1.052,291.7282792009802,PositionRisk:intraday_C0.35_V0.60_P0.50:20230522:Reduce,Reduce
2021-2023FULL,2023-05-23,2023-05-24,Sell,554616.5003820915,1.038,287.84596369830547,PositionRisk:intraday_C0.35_V0.60_P0.50:20230523:Exit,Exit
2021-2023FULL,2023-05-25,2023-05-26,Buy,1108124.32210275,1.045,578.9949582985137,PositionRisk:intraday_C0.35_V0.60_P0.50:20230525:Entry,Entry
2021-2023FULL,2023-05-29,2023-05-30,Sell,554062.161051375,1.052,291.43669671302325,PositionRisk:intraday_C0.35_V0.60_P0.50:20230529:Reduce,Reduce
2021-2023FULL,2023-05-31,2023-06-01,Buy,543181.7269810371,1.072,291.1454056617804,PositionRisk:intraday_C0.35_V0.60_P0.50:20230531:Increase,Increase
2021-2023FULL,2023-06-06,2023-06-07,Sell,1097243.8880324122,1.052,577.1502851050489,PositionRisk:intraday_C0.35_V0.60_P0.50:20230606:Exit,Exit
2021-2023FULL,2023-06-09,2023-06-12,Buy,1095106.2170007045,1.053,576.5734232508112,PositionRisk:intraday_C0.35_V0.60_P0.50:20230609:Entry,Entry
2021-2023FULL,2023-06-21,2023-06-26,Sell,547553.1085003522,1.036,283.63251020318245,PositionRisk:intraday_C0.35_V0.60_P0.50:20230621:Reduce,Reduce
2021-2023FULL,2023-06-26,2023-06-27,Sell,547553.1085003522,1.035,283.35873364893223,PositionRisk:intraday_C0.35_V0.60_P0.50:20230626:Exit,Exit
2021-2023FULL,2023-07-03,2023-07-04,Buy,1098786.684698754,1.031,566.4245359620545,PositionRisk:intraday_C0.35_V0.60_P0.50:20230703:Entry,Entry
2021-2023FULL,2023-07-05,2023-07-06,Sell,549393.342349377,1.029,282.6628746387545,PositionRisk:intraday_C0.35_V0.60_P0.50:20230705:Reduce,Reduce
2021-2023FULL,2023-07-06,2023-07-07,Sell,549393.342349377,1.024,281.289391282881,PositionRisk:intraday_C0.35_V0.60_P0.50:20230706:Exit,Exit
2021-2023FULL,2023-07-31,2023-08-01,Buy,1134720.2326101293,0.993,563.3885954909492,PositionRisk:intraday_C0.35_V0.60_P0.50:20230731:Entry,Entry
2021-2023FULL,2023-08-08,2023-08-09,Sell,1134720.2326101293,0.988,560.551794909404,PositionRisk:intraday_C0.35_V0.60_P0.50:20230808:Exit,Exit
2021-2023FULL,2023-08-30,2023-08-31,Buy,1167865.5333687677,0.959,559.991523250239,PositionRisk:intraday_C0.35_V0.60_P0.50:20230830:Entry,Entry
2021-2023FULL,2023-09-07,2023-09-08,Sell,1167865.5333687677,0.917,535.4663470495801,PositionRisk:intraday_C0.35_V0.60_P0.50:20230907:Exit,Exit
2021-2023FULL,2023-09-27,2023-09-28,Buy,1184786.5964604747,0.903,534.93114830181,PositionRisk:intraday_C0.35_V0.60_P0.50:20230927:Entry,Entry
2021-2023FULL,2023-10-10,2023-10-11,Sell,592393.2982302373,0.905,268.0579674491824,PositionRisk:intraday_C0.35_V0.60_P0.50:20231010:Reduce,Reduce
2021-2023FULL,2023-10-12,2023-10-13,Buy,585333.4282923191,0.915,267.7900434436742,PositionRisk:intraday_C0.35_V0.60_P0.50:20231012:Increase,Increase
2021-2023FULL,2023-10-16,2023-10-17,Sell,1177726.7265225565,0.896,527.6215734821053,PositionRisk:intraday_C0.35_V0.60_P0.50:20231016:Exit,Exit
2021-2023FULL,2023-10-27,2023-10-30,Buy,1197941.39906266,0.88,527.09421558748,PositionRisk:intraday_C0.35_V0.60_P0.50:20231027:Entry,Entry
2021-2023FULL,2023-11-01,2023-11-02,Sell,598970.69953133,0.892,267.1409319909732,PositionRisk:intraday_C0.35_V0.60_P0.50:20231101:Reduce,Reduce
2021-2023FULL,2023-11-06,2023-11-07,Buy,587828.0276711374,0.908,266.87392456270754,PositionRisk:intraday_C0.35_V0.60_P0.50:20231106:Increase,Increase
2021-2023FULL,2023-11-22,2023-11-23,Sell,1186798.7272024674,0.892,529.3122323323005,PositionRisk:intraday_C0.35_V0.60_P0.50:20231122:Exit,Exit
2021-2023FULL,2023-12-08,2023-12-11,Buy,1199054.840416831,0.882,528.7831846238114,PositionRisk:intraday_C0.35_V0.60_P0.50:20231208:Entry,Entry
2021-2023FULL,2023-12-12,2023-12-13,Sell,599527.4202084155,0.889,266.4899382826407,PositionRisk:intraday_C0.35_V0.60_P0.50:20231212:Reduce,Reduce
2021-2023FULL,2023-12-15,2023-12-18,Sell,599527.4202084155,0.867,259.8951366603481,PositionRisk:intraday_C0.35_V0.60_P0.50:20231215:Exit,Exit
2021-2023FULL,2023-12-28,2023-12-29,Buy,1210262.2622072562,0.869,525.858952929033,PositionRisk:intraday_C0.35_V0.60_P0.50:20231228:Entry,Entry
