event_id,signal_date,event_type,factor_score,family,candidate_id,pressure_position,pressure,baseline_position,before_position,after_position,close,sma_5,sma_20,close_location,down_volume_share,reason
PositionRisk:intraday_C0.35_V0.60_P0.50:20211027:Exit,2021-10-27,Exit,-0.21454458749599065,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,0.0,1.0,0.0,1.394,1.4042,1.39615,0.26086956521739,0.7957257568670608,champion exit
PositionRisk:intraday_C0.35_V0.60_P0.50:20211029:Entry,2021-10-29,Entry,0.5475780838219942,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,1.0,0.0,1.0,1.431,1.4094,1.3968500000000001,0.9285714285714313,0.0,champion entry
PositionRisk:intraday_C0.35_V0.60_P0.50:20211202:Exit,2021-12-02,Exit,-0.16696837373513299,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,0.0,1.0,0.0,1.466,1.4956,1.48,0.0625,0.8476459873507945,champion exit
PositionRisk:intraday_C0.35_V0.60_P0.50:20211203:Entry,2021-12-03,Entry,0.24947217234037405,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,1.0,0.0,1.0,1.484,1.4932,1.48245,1.0,0.1976217828418384,champion entry
PositionRisk:intraday_C0.35_V0.60_P0.50:20211206:Reduce,2021-12-06,Reduce,0.02333648130829763,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,True,1.0,1.0,0.5,1.445,1.4798,1.4829,0.09756097560975636,0.959739887432497,risk pressure activated
PositionRisk:intraday_C0.35_V0.60_P0.50:20211208:Exit,2021-12-08,Exit,-0.04802783933298885,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,0.0,0.5,0.0,1.451,1.4566000000000001,1.48165,0.9411764705882414,0.06588024403633519,champion exit
PositionRisk:intraday_C0.35_V0.60_P0.50:20211210:Entry,2021-12-10,Entry,0.40484944253942123,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,1.0,0.0,1.0,1.485,1.4572,1.48175,0.9615384615384658,0.3896544037899503,champion entry
PositionRisk:intraday_C0.35_V0.60_P0.50:20211215:Exit,2021-12-15,Exit,-0.07181594621341772,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,0.0,1.0,0.0,1.463,1.476,1.4832500000000002,0.0,0.8835149480858332,champion exit
PositionRisk:intraday_C0.35_V0.60_P0.50:20211217:Entry,2021-12-17,Entry,0.23742944323215703,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,True,1.0,0.0,0.5,1.441,1.4666000000000001,1.4815,0.17647058823529413,0.7234305470773721,champion entry
PositionRisk:intraday_C0.35_V0.60_P0.50:20211223:Exit,2021-12-23,Exit,0.02333648130829763,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,0.0,0.5,0.0,1.415,1.4178,1.46145,0.7857142857142937,0.43254236743721025,champion exit
PositionRisk:intraday_C0.35_V0.60_P0.50:20211230:Entry,2021-12-30,Entry,0.26212080125684833,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,1.0,0.0,1.0,1.416,1.402,1.43805,0.8928571428571389,0.26190279525022303,champion entry
PositionRisk:intraday_C0.35_V0.60_P0.50:20220104:Reduce,2022-01-04,Reduce,0.14227701571044177,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,True,1.0,1.0,0.5,1.404,1.4114,1.4335999999999998,0.06976744186046271,0.8522236276827706,risk pressure activated
PositionRisk:intraday_C0.35_V0.60_P0.50:20220105:Exit,2022-01-05,Exit,-0.16696837373513299,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,0.0,0.5,0.0,1.372,1.4043999999999999,1.4303500000000002,0.10256410256410285,0.7556896525197259,champion exit
PositionRisk:intraday_C0.35_V0.60_P0.50:20220117:Entry,2022-01-17,Entry,0.27431406447891815,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,1.0,0.0,1.0,1.372,1.3484,1.384,0.793103448275869,0.23944292232081726,champion entry
PositionRisk:intraday_C0.35_V0.60_P0.50:20220119:Reduce,2022-01-19,Reduce,0.29810217135934697,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,True,1.0,1.0,0.5,1.362,1.3596,1.37995,0.24000000000000107,0.6185729207416589,risk pressure activated
PositionRisk:intraday_C0.35_V0.60_P0.50:20220120:Exit,2022-01-20,Exit,-0.012046469230490242,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,0.0,0.5,0.0,1.345,1.3614000000000002,1.37665,0.1199999999999961,0.7080408075845099,champion exit
PositionRisk:intraday_C0.35_V0.60_P0.50:20220217:Entry,2022-02-17,Entry,0.2145445874959907,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,1.0,0.0,1.0,1.24,1.2236,1.28755,0.5769230769230775,0.23348771272826846,champion entry
PositionRisk:intraday_C0.35_V0.60_P0.50:20220221:Reduce,2022-02-21,Reduce,-0.07181594621341772,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,True,1.0,1.0,0.5,1.228,1.2349999999999999,1.2749000000000001,0.1,0.769001840353947,risk pressure activated
PositionRisk:intraday_C0.35_V0.60_P0.50:20220222:Exit,2022-02-22,Exit,-0.07181594621341772,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,0.0,0.5,0.0,1.221,1.2318,1.267,0.82608695652174,0.665447854629544,champion exit
PositionRisk:intraday_C0.35_V0.60_P0.50:20220223:Entry,2022-02-23,Entry,0.5000018700611366,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,1.0,0.0,1.0,1.264,1.2386000000000001,1.2621,0.9183673469387753,0.11348016335424596,champion entry
PositionRisk:intraday_C0.35_V0.60_P0.50:20220303:Exit,2022-03-03,Exit,-0.02423973245256003,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,0.0,1.0,0.0,1.244,1.2686,1.24565,0.035714285714282035,0.77157468590978,champion exit
PositionRisk:intraday_C0.35_V0.60_P0.50:20220321:Entry,2022-03-21,Entry,0.41704270576149105,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,1.0,0.0,1.0,1.184,1.1644,1.21115,0.5833333333333334,0.21052918482953134,champion entry
PositionRisk:intraday_C0.35_V0.60_P0.50:20220322:Reduce,2022-03-22,Reduce,-0.012046469230490242,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,True,1.0,1.0,0.5,1.165,1.1714,1.2083499999999998,0.052631578947373955,0.8412976198773302,risk pressure activated
PositionRisk:intraday_C0.35_V0.60_P0.50:20220324:Exit,2022-03-24,Exit,-0.012046469230490242,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,0.0,0.5,0.0,1.167,1.1736,1.1999,0.6500000000000056,0.6113439398752438,champion exit
PositionRisk:intraday_C0.35_V0.60_P0.50:20220505:Entry,2022-05-05,Entry,0.30969701501770597,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,1.0,0.0,1.0,0.983,0.9432,1.0014500000000002,0.6571428571428571,0.4765520787410609,champion entry
PositionRisk:intraday_C0.35_V0.60_P0.50:20220622:Exit,2022-06-22,Exit,-0.1315854231963451,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,0.0,1.0,0.0,1.096,1.1161999999999999,1.09855,0.07407407407407438,0.5736455678518751,champion exit
PositionRisk:intraday_C0.35_V0.60_P0.50:20220623:Entry,2022-06-23,Entry,0.18970269535744663,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,1.0,0.0,1.0,1.115,1.117,1.10255,0.9333333333333333,0.13740608179095712,champion entry
PositionRisk:intraday_C0.35_V0.60_P0.50:20220711:Exit,2022-07-11,Exit,-0.16696837373513299,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,0.0,1.0,0.0,1.114,1.1312,1.1252,0.35714285714286,0.68022851945081,champion exit
PositionRisk:intraday_C0.35_V0.60_P0.50:20220721:Entry,2022-07-21,Entry,0.21454458749599065,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,1.0,0.0,1.0,1.13,1.1092,1.1214,0.6388888888888858,0.3508200464132704,champion entry
PositionRisk:intraday_C0.35_V0.60_P0.50:20220722:Reduce,2022-07-22,Reduce,0.14318026685470425,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,True,1.0,1.0,0.5,1.118,1.112,1.12045,0.2758620689655183,0.6626760455504476,risk pressure activated
PositionRisk:intraday_C0.35_V0.60_P0.50:20220726:Increase,2022-07-26,Increase,0.40484944253942123,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,1.0,0.5,1.0,1.118,1.1174,1.1173,0.82608695652174,0.061432172774282534,risk pressure cleared
PositionRisk:intraday_C0.35_V0.60_P0.50:20220819:Exit,2022-08-19,Exit,-0.10719889675220554,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,0.0,1.0,0.0,1.146,1.1704,1.1605500000000002,0.07843137254901944,0.741353434348629,champion exit
PositionRisk:intraday_C0.35_V0.60_P0.50:20221014:Entry,2022-10-14,Entry,0.19075648061556189,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,1.0,0.0,1.0,0.985,0.9468,0.99645,0.8888888888888888,0.5177708288658083,champion entry
PositionRisk:intraday_C0.35_V0.60_P0.50:20221019:Reduce,2022-10-19,Reduce,0.11848890883001288,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,True,1.0,1.0,0.5,0.977,0.9789999999999999,0.9845999999999998,0.0,0.6619690846253068,risk pressure activated
PositionRisk:intraday_C0.35_V0.60_P0.50:20221021:Increase,2022-10-21,Increase,0.5475780838219942,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,1.0,0.5,1.0,0.997,0.9888,0.9814,0.8636363636363636,0.4285596515310581,risk pressure cleared
PositionRisk:intraday_C0.35_V0.60_P0.50:20221121:Exit,2022-11-21,Exit,-0.02423973245256003,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,0.0,1.0,0.0,1.062,1.0694,1.05975,0.9333333333333402,0.24813697384991576,champion exit
