lag,is_observed,strategy_return,annualized_return,max_drawdown,calmar,win_loss_ratio,closed_trade_count,winning_trade_count,losing_trade_count,has_wins_and_losses,sharpe,exposure,trade_count
19,False,-0.09919126800667877,-0.1508388104741869,-0.24311414463602343,-0.6204444035949209,1.099871567790984,7,3,4,True,-0.3378441486906446,0.577639751552795,15
20,False,-0.11220582869102713,-0.16996291516301099,-0.2938471605821775,-0.5784058448149579,0.6105488636311854,8,4,4,True,-0.4279337516484027,0.577639751552795,16
21,False,-0.0426064186075823,-0.0658802814579248,-0.22723822819750938,-0.2899172466732288,0.4904828629966867,8,5,3,True,-0.021536773552661172,0.577639751552795,16
22,False,-0.0366106236205026,-0.05670750649637224,-0.2561178691560413,-0.22141175343694142,0.863547824637342,8,4,4,True,0.007537990639952071,0.577639751552795,16
23,False,-0.027598249874140834,-0.04285898229870999,-0.19745234378040877,-0.21705988127633694,0.778721638387751,8,4,4,True,0.05473137813179678,0.577639751552795,16
24,False,-0.23049498783166,-0.33641557027835567,-0.3085667082694018,-1.0902523223102853,0.45803891558869536,8,2,6,True,-1.234369086335609,0.577639751552795,16
25,False,-0.1414688084145771,-0.21238521210085537,-0.29775754668886156,-0.7132823817989907,0.5794839192197445,8,3,5,True,-0.593294690181948,0.577639751552795,16
26,False,-0.06706348547333119,-0.10295966947484791,-0.19077208232424436,-0.5396998775735606,1.6068774582165426,8,2,6,True,-0.1817463342180202,0.577639751552795,16
27,False,-0.045049338160523145,-0.06960833768318164,-0.2416520022815487,-0.2880519798138522,0.7136382347107021,8,4,4,True,-0.06115617474626029,0.577639751552795,16
28,False,0.009673507300528739,0.015182477145991413,-0.21768816371280042,0.06974415552524897,0.688935954174022,8,5,3,True,0.2678018873406471,0.577639751552795,16
29,False,0.13671377983592037,0.2220982109709666,-0.18796484749311848,1.1815943988095847,1.3961935161899746,8,6,2,True,0.8831244828952026,0.577639751552795,16
30,False,0.1250147222571969,0.20246851393412935,-0.22852988681677766,0.8859607675579744,1.3400892913841145,8,5,3,True,0.8241433859986274,0.577639751552795,16
31,False,0.1252741470590446,0.2029025541457714,-0.30906640738788116,0.6565014808973622,1.3825424662488752,7,4,3,True,0.8577962376769732,0.577639751552795,14
