object_type,object_id,counterfactual,window,champion_return,counterfactual_return,return_delta,champion_sharpe,counterfactual_sharpe,sharpe_delta,dominant_share,trade_count,exposure,max_drawdown
signal,raw__daily__cxt_bi_status_V230101,zero_contribution,2021,0.0029406556554447683,-0.025304935298336106,-0.028245590953780875,0.13294054781997158,-0.05124680915172085,-0.18418735697169242,0.3370501217593131,33,0.6666666666666666,-0.23284121232952226
signal,raw__daily__cxt_bi_status_V230101,zero_contribution,2022,-0.07098337536211052,0.002105109683407269,0.07308848504551779,-0.3925555936985177,0.1243377681811154,0.5168933618796331,0.6154830936922552,29,0.5413223140495868,-0.11688086336003956
signal,raw__daily__cxt_bi_status_V230101,zero_contribution,2023,-0.06031910763728798,-0.02247971406926097,0.03783939356802701,-0.3898777490492146,-0.08647421643691273,0.30340353261230185,0.6296839266550044,33,0.6322314049586777,-0.15691304496187275
signal,raw__daily__cxt_bi_status_V230101,zero_contribution,2024,0.06821503071757551,0.04413731656253983,-0.02407771415503568,0.429718323504386,0.3571166261119382,-0.07260169739244782,0.5098541403774586,33,0.5247933884297521,-0.20636479951227826
signal,raw__daily__cxt_bi_status_V230101,zero_contribution,2025,0.5165797353772803,0.4961455509852599,-0.020434184392020383,2.1935321360904703,2.099033609506272,-0.09449852658419822,0.639836127729631,23,0.7448559670781894,-0.13813795071975776
signal,raw__daily__cxt_bi_status_V230101,zero_contribution,2021H1,0.24893799167194453,0.23378784298663602,-0.015150148685308507,3.071835242807882,2.9126156085346873,-0.15921963427319463,0.0,7,0.635593220338983,-0.07044585434631867
signal,raw__daily__cxt_bi_status_V230101,zero_contribution,2021H2,-0.19785984963082448,-0.21087795554225963,-0.013018105911435152,-2.7932256547119008,-2.9355953584837904,-0.14236970377188962,0.33705012175931043,27,0.696,-0.23284121232952226
signal,raw__daily__cxt_bi_status_V230101,zero_contribution,2022H1,-0.06477702515250938,0.03896630633128817,0.10374333148379755,-0.7230789850675907,0.6017252235709821,1.324804208638573,0.9369344223014545,11,0.5470085470085471,-0.07500771192930944
signal,raw__daily__cxt_bi_status_V230101,zero_contribution,2022H2,-0.004512956055262585,-0.03341710232683581,-0.028904146271573228,0.027823439228323324,-0.41579640990094896,-0.44361984912927227,1.0,19,0.536,-0.09410443425020676
signal,raw__daily__cxt_bi_status_V230101,zero_contribution,2023H1,0.0509484040161825,0.0498251253390436,-0.0011232786771389058,0.7678236149964333,0.7586431483733944,-0.009180466623038841,0.3333333333333333,19,0.8305084745762712,-0.0905028408291767
signal,raw__daily__cxt_bi_status_V230101,zero_contribution,2023H2,-0.10632026926329408,-0.06933855318981652,0.036981716073477555,-2.295242649962902,-1.5070088450213934,0.7882338049415087,0.6296839266550118,15,0.4435483870967742,-0.08461701425257928
signal,raw__daily__cxt_bi_status_V230101,zero_contribution,2024H1,-0.09485536840967668,-0.09485536840967668,0.0,-1.2263976900051408,-1.2263976900051408,0.0,0.0,16,0.5555555555555556,-0.11218947015927683
signal,raw__daily__cxt_bi_status_V230101,zero_contribution,2024H2,0.18015949433488965,0.1535585365269294,-0.026600957807960235,1.0655359885390128,0.9572218210170499,-0.10831416752196288,0.5098541403774557,17,0.496,-0.2063647995122777
signal,raw__daily__cxt_bi_status_V230101,zero_contribution,2025H1,0.03483459850082471,0.039452193024998694,0.004617594524173985,0.5727132492529325,0.6291560561885687,0.05644280693563619,0.9999999999999395,15,0.6837606837606838,-0.13813795071975776
signal,raw__daily__cxt_bi_status_V230101,zero_contribution,2025H2,0.466221134770592,0.44003979141587535,-0.02618134335471667,3.257468496072225,3.059715977391668,-0.1977525186805571,0.7384040627553349,9,0.8015873015873016,-0.11355876027830503
signal,raw__daily__cxt_bi_status_V230101,drop_and_reaggregate,2021,0.0029406556554447683,-0.07144817389382296,-0.07438882954926773,0.13294054781997158,-0.41202221015171003,-0.5449627579716816,0.2225335390659979,35,0.6460905349794238,-0.22559860741115256
signal,raw__daily__cxt_bi_status_V230101,drop_and_reaggregate,2022,-0.07098337536211052,-0.006939214427330032,0.06404416093478049,-0.3925555936985177,0.060020169565478565,0.4525757632639963,0.6154830936922567,29,0.5454545454545454,-0.10455705733271548
signal,raw__daily__cxt_bi_status_V230101,drop_and_reaggregate,2023,-0.06031910763728798,-0.028954750838357857,0.031364356798930126,-0.3898777490492146,-0.1407772382939708,0.24910051075524378,0.29003384360037987,33,0.6157024793388429,-0.16494459227019886
signal,raw__daily__cxt_bi_status_V230101,drop_and_reaggregate,2024,0.06821503071757551,0.12532515909053288,0.05711012837295737,0.429718323504386,0.5938360066115118,0.16411768310712582,0.36047000900224135,33,0.5330578512396694,-0.18231540565177762
signal,raw__daily__cxt_bi_status_V230101,drop_and_reaggregate,2025,0.5165797353772803,0.5009520532547771,-0.015627682122503206,2.1935321360904703,2.1465132685232335,-0.04701886756723672,0.46986826020280015,25,0.7037037037037037,-0.12846926536733505
signal,raw__daily__cxt_bi_status_V230101,drop_and_reaggregate,2021H1,0.24893799167194453,0.18014038668564147,-0.06879760498630305,3.071835242807882,2.450778793456634,-0.621056449351248,1.0,9,0.6271186440677966,-0.07044585434631867
signal,raw__daily__cxt_bi_status_V230101,drop_and_reaggregate,2021H2,-0.19785984963082448,-0.21406184907936399,-0.016201999448539506,-2.7932256547119008,-3.2966676066635405,-0.5034419519516398,0.2225335390659982,27,0.664,-0.21935730666493214
signal,raw__daily__cxt_bi_status_V230101,drop_and_reaggregate,2022H1,-0.06477702515250938,0.0057760034020402085,0.07055302855454959,-0.7230789850675907,0.1935938388297371,0.9166728238973278,0.936934422301458,13,0.5384615384615384,-0.10455705733271548
signal,raw__daily__cxt_bi_status_V230101,drop_and_reaggregate,2022H2,-0.004512956055262585,-0.010531764868625948,-0.006018808813363363,0.027823439228323324,-0.062012489224177736,-0.08983592845250106,0.9999999999999928,17,0.552,-0.08909674359813768
signal,raw__daily__cxt_bi_status_V230101,drop_and_reaggregate,2023H1,0.0509484040161825,0.04543253112991108,-0.005515872886271422,0.7678236149964333,0.7062107246555276,-0.06161289034090567,0.40597938920753146,18,0.8135593220338984,-0.09343386328176762
signal,raw__daily__cxt_bi_status_V230101,drop_and_reaggregate,2023H2,-0.10632026926329408,-0.07115455063166143,0.03516571863163265,-2.295242649962902,-1.5484073097785749,0.7468353401843273,0.6296839266550092,15,0.4274193548387097,-0.08551621168455148
signal,raw__daily__cxt_bi_status_V230101,drop_and_reaggregate,2024H1,-0.09485536840967668,-0.09485536840967668,0.0,-1.2263976900051408,-1.2263976900051408,0.0,0.0,16,0.5555555555555556,-0.11218947015927683
signal,raw__daily__cxt_bi_status_V230101,drop_and_reaggregate,2024H2,0.18015949433488965,0.24325452509546075,0.0630950307605711,1.0655359885390128,1.29942315251627,0.23388716397725728,0.3604700090022385,17,0.512,-0.18231540565177784
