object_type,object_id,counterfactual,window,champion_return,counterfactual_return,return_delta,champion_sharpe,counterfactual_sharpe,sharpe_delta,dominant_share,trade_count,exposure,max_drawdown,metric,value
group_coalition,structure+trend,coalition,2024,0.06821503071757551,0.09962152357943466,0.03140649286185915,0.429718323504386,0.5318623402209735,0.10214401671658746,0.3168423529209688,29.0,0.3884297520661157,-0.23094634262321057,,
group_coalition,structure+trend,coalition,2025,0.5165797353772803,0.37405160618548483,-0.14252812919179547,2.1935321360904703,1.819644837870976,-0.3738872982194943,0.14045757162263137,27.0,0.5308641975308642,-0.1410252951643629,,
group_coalition,structure+trend,coalition,2021H1,0.24893799167194453,0.2262514880912243,-0.02268650358072022,3.071835242807882,3.1923328055688236,0.1204975627609417,0.9999999999999905,9.0,0.576271186440678,-0.057086123676176825,,
group_coalition,structure+trend,coalition,2021H2,-0.19785984963082448,-0.11194001338373982,0.08591983624708466,-2.7932256547119008,-2.1065602270348194,0.6866654276770814,0.19102193252011768,18.0,0.416,-0.12672858448401048,,
group_coalition,structure+trend,coalition,2022H1,-0.06477702515250938,-0.02101019179918151,0.04376683335332787,-0.7230789850675907,-0.17852928004775445,0.5445497050198362,0.6685038542171325,15.0,0.36752136752136755,-0.09220836390385367,,
group_coalition,structure+trend,coalition,2022H2,-0.004512956055262585,0.0541836698527578,0.05869662590802038,0.027823439228323324,1.0137276185786825,0.9859041793503592,0.25843558519989923,10.0,0.336,-0.05310827254929551,,
group_coalition,structure+trend,coalition,2023H1,0.0509484040161825,0.03544958855390745,-0.01549881546227505,0.7678236149964333,0.6288802967886861,-0.1389433182077472,0.401237180219251,16.0,0.5423728813559322,-0.10343328305761068,,
group_coalition,structure+trend,coalition,2023H2,-0.10632026926329408,-0.0891160090177252,0.01720426024556887,-2.295242649962902,-2.6394231522631513,-0.3441805023002491,0.39395282063402987,12.0,0.2661290322580645,-0.09767387109185222,,
group_coalition,structure+trend,coalition,2024H1,-0.09485536840967668,-0.04629837116657254,0.04855699724310414,-1.2263976900051408,-0.754242820603615,0.47215486940152573,0.563406373116339,14.0,0.38461538461538464,-0.09346305778102948,,
group_coalition,structure+trend,coalition,2024H2,0.18015949433488965,0.1530037176559058,-0.027155776678983834,1.0655359885390128,0.9888996095870939,-0.07663637895191888,0.31611887431999,15.0,0.392,-0.23094634262321145,,
group_coalition,structure+trend,coalition,2025H1,0.03483459850082471,0.11953333262365251,0.0846987341228278,0.5727132492529325,1.716944798547386,1.1442315492944535,0.2169811971225829,13.0,0.41025641025641024,-0.06178131088620675,,
group_coalition,structure+trend,coalition,2025H2,0.466221134770592,0.22792313704406308,-0.23829799772652893,3.257468496072225,1.94328705684555,-1.3141814392266749,0.34465542335438143,15.0,0.6428571428571429,-0.14102529516436313,,
group_coalition,structure+volume_position,coalition,2021,0.0029406556554447683,-0.12893048481678226,-0.13187114047222703,0.13294054781997158,-0.7245003732599057,-0.8574409210798772,0.39825735358986014,21.0,0.7242798353909465,-0.20955514996530467,,
group_coalition,structure+volume_position,coalition,2022,-0.07098337536211052,-0.3541602420410215,-0.28317686667891095,-0.3925555936985177,-2.125159618571894,-1.7326040248733765,0.42190001781378855,19.0,0.8347107438016529,-0.36091049461429026,,
group_coalition,structure+volume_position,coalition,2023,-0.06031910763728798,-0.09912935750850937,-0.03881024987122139,-0.3898777490492146,-0.6319219319903322,-0.24204418294111762,0.2336451872115531,21.0,0.8099173553719008,-0.22923035752941545,,
group_coalition,structure+volume_position,coalition,2024,0.06821503071757551,-0.06681133045545207,-0.13502636117302758,0.429718323504386,-0.09279785889312342,-0.5225161823975094,0.2521566855108357,25.0,0.7975206611570248,-0.19976771196283394,,
group_coalition,structure+volume_position,coalition,2025,0.5165797353772803,0.5795968443348736,0.06301710895759327,2.1935321360904703,2.2198202739001545,0.026288137809684198,0.24099786976415122,19.0,0.8806584362139918,-0.1135587602783048,,
group_coalition,structure+volume_position,coalition,2021H1,0.24893799167194453,0.016255124179064273,-0.23268286749288025,3.071835242807882,0.32005120867101666,-2.751784034136865,0.5734108929782095,7.0,0.7288135593220338,-0.20955514996530467,,
group_coalition,structure+volume_position,coalition,2021H2,-0.19785984963082448,-0.14381825872654075,0.05404159090428373,-2.7932256547119008,-1.8782178160789902,0.9150078386329106,0.23360524648644304,15.0,0.72,-0.18597982949734482,,
group_coalition,structure+volume_position,coalition,2022H1,-0.06477702515250938,-0.20394767384559487,-0.13917064869308549,-0.7230789850675907,-1.7440529998470091,-1.0209740147794184,0.6742046907294019,3.0,0.9914529914529915,-0.36091049461429026,,
