object_type,object_id,counterfactual,classification,median_return_delta,median_sharpe_delta,max_dominant_share,material_positive_years,material_negative_years
state,raw__daily__cxt_five_bi_V230619__di_1::类趋势底背驰,zero_mapped_state,insufficient_sample,0.0,0.0,0.0,0,0
state,raw__daily__cxt_five_bi_V230619__di_1::类趋势顶背驰,zero_mapped_state,insufficient_sample,0.0,0.0,0.0,0,0
state,raw__daily__cxt_seven_bi_V230620__di_1::aAbcd式底背驰,zero_mapped_state,insufficient_sample,0.0,0.0,0.0,0,0
state,raw__daily__cxt_seven_bi_V230620__di_1::aAbcd式顶背驰,zero_mapped_state,insufficient_sample,0.0,0.0,0.0,0,0
state,raw__daily__cxt_seven_bi_V230620__di_1::aAb式底背驰,zero_mapped_state,insufficient_sample,0.0,0.0,0.0,0,0
state,raw__daily__cxt_seven_bi_V230620__di_1::aAb式顶背驰,zero_mapped_state,insufficient_sample,0.0,0.0,0.0,0,0
state,raw__daily__cxt_seven_bi_V230620__di_1::abcAd式底背驰,zero_mapped_state,insufficient_sample,0.0,0.0,0.0,0,0
state,raw__daily__cxt_seven_bi_V230620__di_1::abcAd式顶背驰,zero_mapped_state,insufficient_sample,0.0,0.0,0.0,0,0
state,raw__daily__cxt_seven_bi_V230620__di_1::类三买,zero_mapped_state,insufficient_sample,0.0,0.0,0.0,0,0
state,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5::其他,zero_mapped_state,insufficient_sample,0.0,0.0,0.0,0,0
state,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5::高量N2,zero_mapped_state,insufficient_sample,0.0,0.0,0.0,0,0
state,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5::高量N3,zero_mapped_state,insufficient_sample,0.0,0.0,0.0,0,0
state,raw__weekly__cxt_bi_status_V230101::其他,zero_mapped_state,insufficient_sample,0.0,0.0,0.0,0,0
signal,raw__30m__cxt_third_buy_V230228__di_1,zero_contribution,redundant,0.0,0.0,0.0,1,0
state,raw__30m__cxt_third_buy_V230228__di_1::三买,zero_mapped_state,redundant,0.0,0.0,0.0,1,0
state,raw__daily__cxt_five_bi_V230619__di_1::类三买,zero_mapped_state,redundant,0.0,0.0,0.6933733199008872,0,1
group,structure,zero_contribution,regime_dependent,0.007255988062863761,0.05962333339618703,0.6465736361001305,3,2
group,volume_position,zero_contribution,regime_dependent,0.03140649286185915,0.10214401671658746,0.3168423529209688,3,1
signal,raw__30m__cxt_bi_status_V230101,drop_and_reaggregate,regime_dependent,0.03252549142023986,0.18432946078528767,0.5428727982197578,3,2
signal,raw__30m__cxt_bi_status_V230101,zero_contribution,regime_dependent,0.015342736994460426,0.1200897998106984,0.9999999999999811,3,2
signal,raw__daily__cxt_bi_status_V230101,drop_and_reaggregate,regime_dependent,0.031364356798930126,0.16411768310712582,0.6154830936922567,3,2
signal,raw__daily__cxt_bi_status_V230101,zero_contribution,regime_dependent,-0.020434184392020383,-0.07260169739244782,0.639836127729631,2,3
signal,raw__daily__cxt_five_bi_V230619__di_1,drop_and_reaggregate,regime_dependent,0.05255606723810202,0.29406051612035267,0.999999999999996,3,2
signal,raw__daily__cxt_five_bi_V230619__di_1,zero_contribution,regime_dependent,0.0,0.0,1.0,2,2
signal,raw__daily__cxt_seven_bi_V230620__di_1,zero_contribution,regime_dependent,-0.006105261895143599,-0.04534369968715474,1.0,2,3
signal,raw__daily__pressure_support_V240406__di_1__w_20,drop_and_reaggregate,regime_dependent,-0.11802678145524581,-0.45510345273844166,0.6537553716463673,2,3
signal,raw__daily__pressure_support_V240406__di_1__w_20,zero_contribution,regime_dependent,0.007976267364871337,0.023716477431027227,1.0,3,1
signal,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,drop_and_reaggregate,regime_dependent,0.0007504459140963426,0.000685047599834232,0.9999999999999405,2,2
signal,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,zero_contribution,regime_dependent,-0.03609454002250512,-0.15379457649505585,0.5000204911454803,2,3
signal,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,drop_and_reaggregate,regime_dependent,0.009018216313114946,0.02679844330215314,0.6791331307270194,3,2
signal,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,zero_contribution,regime_dependent,-0.059930230969401865,-0.18488541970832587,0.8729008516184028,2,3
signal,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,drop_and_reaggregate,regime_dependent,0.042110164899858304,0.3079630812363715,0.6960726837585111,3,2
signal,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,zero_contribution,regime_dependent,-0.005703221426518246,-0.03423456072142661,0.50709040126694,2,3
signal,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,drop_and_reaggregate,regime_dependent,-0.031588392031528856,-0.4095083246423822,0.2694644011727953,2,3
signal,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,zero_contribution,regime_dependent,0.05193276130200797,0.16758403404517097,0.31684235292096835,3,2
signal,raw__weekly__cxt_bi_status_V230101,drop_and_reaggregate,regime_dependent,0.03823789052430726,0.2697445673060504,0.589426045167454,3,1
signal,raw__weekly__cxt_bi_status_V230101,zero_contribution,regime_dependent,0.01316943079477706,0.10835748904577519,0.5894260451674495,3,2
state,raw__30m__cxt_bi_status_V230101::向上,zero_mapped_state,regime_dependent,-0.0057022697499197195,-0.040550550958484005,0.6243163817743715,2,3
state,raw__30m__cxt_bi_status_V230101::向下,zero_mapped_state,regime_dependent,-0.006954524939567497,-0.020831937766064013,1.0,2,3
state,raw__daily__cxt_bi_status_V230101::向下,zero_mapped_state,regime_dependent,-0.00406378451790923,-0.030720181975363525,1.0,1,3
state,raw__daily__cxt_five_bi_V230619__di_1::aAb式底背驰,zero_mapped_state,regime_dependent,0.0,0.0,1.0,2,1
state,raw__daily__pressure_support_V240406__di_1__w_20::支撑位,zero_mapped_state,regime_dependent,0.005891058948848782,0.017747298173560355,1.0,2,2
state,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10::多头,zero_mapped_state,regime_dependent,0.010947527663271117,0.0866559367732121,1.0,3,2
state,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20::多头,zero_mapped_state,regime_dependent,-0.006197199359519123,-0.019053990356183145,1.0,1,2
state,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5::多头,zero_mapped_state,regime_dependent,0.017561171654836283,0.1330296156024715,0.6960726837585121,3,2
state,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5::空头,zero_mapped_state,regime_dependent,-0.01679688835312887,-0.12351649846761714,0.8900242379845303,2,3
state,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26::多头,zero_mapped_state,regime_dependent,0.002869466370023721,0.017802325388986157,1.0,2,2
state,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5::高量N10,zero_mapped_state,regime_dependent,0.031899546271278556,0.10571770438619188,0.9999999999999818,3,2
state,raw__weekly__cxt_bi_status_V230101::向下,zero_mapped_state,regime_dependent,0.00958535337778188,0.02260879310472541,1.0,3,1
group,trend,zero_contribution,stable_positive,-0.13187114047222703,-0.5225161823975094,0.42190001781378855,1,4
state,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5::高量N9,zero_mapped_state,stable_positive,-0.07154662013083024,-0.28477245533295603,0.4080713042881004,1,4
state,raw__30m__cxt_third_buy_V230228__di_1::其他,zero_mapped_state,unmodeled_state,0.0,0.0,0.0,0,0
state,raw__daily__cxt_five_bi_V230619__di_1::上颈线突破,zero_mapped_state,unmodeled_state,0.0,0.0,0.0,0,0
state,raw__daily__cxt_five_bi_V230619__di_1::下颈线突破,zero_mapped_state,unmodeled_state,0.0,0.0,0.0,0,0
state,raw__daily__cxt_five_bi_V230619__di_1::其他,zero_mapped_state,unmodeled_state,0.0,0.0,0.0,0,0
state,raw__daily__cxt_five_bi_V230619__di_1::类三卖,zero_mapped_state,unmodeled_state,0.0,0.0,0.0,0,0
state,raw__daily__cxt_seven_bi_V230620__di_1::其他,zero_mapped_state,unmodeled_state,0.0,0.0,0.0,0,0
state,raw__daily__cxt_seven_bi_V230620__di_1::类三卖,zero_mapped_state,unmodeled_state,0.0,0.0,0.0,0,0
state,raw__daily__pressure_support_V240406__di_1__w_20::其他,zero_mapped_state,unmodeled_state,0.0,0.0,0.0,0,0
state,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5::高量N4,zero_mapped_state,unmodeled_state,0.0,0.0,0.0,0,0
state,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5::高量N5,zero_mapped_state,unmodeled_state,0.0,0.0,0.0,0,0
state,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5::高量N6,zero_mapped_state,unmodeled_state,0.0,0.0,0.0,0,0
