object_type,object_id,counterfactual,window,champion_return,counterfactual_return,return_delta,champion_sharpe,counterfactual_sharpe,sharpe_delta,dominant_share,trade_count,exposure,max_drawdown,local_classification,value
threshold,entry,enter=0.10,2023H2,-0.10632026926329408,-0.12120320768154613,-0.014882938418252056,-2.295242649962902,-2.5944672858553064,-0.2992246358924042,0.8697828714896721,17,0.5161290322580645,-0.1356302182980681,inconclusive,0.1
threshold,entry,enter=0.10,2024H1,-0.09485536840967668,-0.09485536840967668,0.0,-1.2263976900051408,-1.2263976900051408,0.0,0.0,16,0.5555555555555556,-0.11218947015927683,inconclusive,0.1
threshold,entry,enter=0.10,2024H2,0.18015949433488965,0.15299689598352728,-0.027162598351362366,1.0655359885390128,0.9550720739914047,-0.11046391454760807,1.0,17,0.528,-0.18357160128619643,inconclusive,0.1
threshold,entry,enter=0.10,2025H1,0.03483459850082471,0.03523331273867991,0.0003987142378552022,0.5727132492529325,0.5732208812387359,0.0005076319858033917,0.9999999999999849,13,0.6752136752136753,-0.12466526082289675,inconclusive,0.1
threshold,entry,enter=0.10,2025H2,0.466221134770592,0.46618727009466854,-3.3864675923478416e-05,3.257468496072225,3.2532750358453515,-0.004193460226873391,0.7384040627554014,11,0.7857142857142857,-0.10762651461154682,inconclusive,0.1
threshold,entry,enter=0.20,2021,0.0029406556554447683,0.06920547346505201,0.06626481780960725,0.13294054781997158,0.6076015863205816,0.47466103850061003,0.2929209414884212,23,0.5349794238683128,-0.1258355729240097,inconclusive,0.2
threshold,entry,enter=0.20,2022,-0.07098337536211052,-0.022306532277123092,0.04867684308498743,-0.3925555936985177,-0.04940499869083425,0.34315059500768347,0.48305963457143936,23,0.5,-0.1690756526185786,inconclusive,0.2
threshold,entry,enter=0.20,2023,-0.06031910763728798,-0.05868595650319086,0.0016331511340971216,-0.3898777490492146,-0.3895413396460082,0.0003364094032063947,0.48629458714173723,27,0.6033057851239669,-0.18292418292598234,inconclusive,0.2
threshold,entry,enter=0.20,2024,0.06821503071757551,0.18039956194143403,0.11218453122385852,0.429718323504386,0.7539905466342991,0.3242722231299131,0.6243163817743708,25,0.47520661157024796,-0.18231540565177773,inconclusive,0.2
threshold,entry,enter=0.20,2025,0.5165797353772803,0.4418304356156315,-0.07474929976164879,2.1935321360904703,1.9882457113914374,-0.2052864246990329,0.5970559731774151,19,0.6790123456790124,-0.1457492592097619,inconclusive,0.2
threshold,entry,enter=0.20,2021H1,0.24893799167194453,0.18774996857862658,-0.061188023093317945,3.071835242807882,2.587731408368901,-0.48410383443898075,1.0,5,0.5423728813559322,-0.07616618755034121,inconclusive,0.2
threshold,entry,enter=0.20,2021H2,-0.19785984963082448,-0.10080881432497113,0.09705103530585335,-2.7932256547119008,-1.6584515443753687,1.134774110336532,0.4080688510935563,19,0.528,-0.1258355729240097,inconclusive,0.2
threshold,entry,enter=0.20,2022H1,-0.06477702515250938,-0.05055319640768419,0.014223828744825195,-0.7230789850675907,-0.5347462370533154,0.18833274801427535,0.0,13,0.5128205128205128,-0.1690756526185786,inconclusive,0.2
