object_type,object_id,parent,mapped_score,total_days,eligible_years
state,raw__daily__cxt_seven_bi_V230620__di_1::aAbcd式顶背驰,raw__daily__cxt_seven_bi_V230620__di_1,-1.0,5,1.0
state,raw__daily__cxt_seven_bi_V230620__di_1::aAb式底背驰,raw__daily__cxt_seven_bi_V230620__di_1,1.0,22,1.0
state,raw__daily__cxt_seven_bi_V230620__di_1::aAb式顶背驰,raw__daily__cxt_seven_bi_V230620__di_1,-1.0,3,0.0
state,raw__daily__cxt_seven_bi_V230620__di_1::abcAd式底背驰,raw__daily__cxt_seven_bi_V230620__di_1,1.0,26,2.0
state,raw__daily__cxt_seven_bi_V230620__di_1::abcAd式顶背驰,raw__daily__cxt_seven_bi_V230620__di_1,-1.0,11,1.0
state,raw__daily__cxt_seven_bi_V230620__di_1::其他,raw__daily__cxt_seven_bi_V230620__di_1,0.0,1034,5.0
state,raw__daily__cxt_seven_bi_V230620__di_1::向上中枢完成,raw__daily__cxt_seven_bi_V230620__di_1,1.0,27,3.0
state,raw__daily__cxt_seven_bi_V230620__di_1::向下中枢完成,raw__daily__cxt_seven_bi_V230620__di_1,-1.0,38,3.0
state,raw__daily__cxt_seven_bi_V230620__di_1::类三买,raw__daily__cxt_seven_bi_V230620__di_1,1.0,12,1.0
state,raw__daily__cxt_seven_bi_V230620__di_1::类三卖,raw__daily__cxt_seven_bi_V230620__di_1,0.0,20,3.0
signal,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,trend,,1246,
state,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5::多头,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,1.0,591,5.0
state,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5::空头,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,-1.0,621,5.0
signal,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,trend,,1246,
state,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10::多头,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,1.0,567,5.0
state,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10::空头,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,-1.0,645,5.0
signal,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,trend,,1246,
state,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20::多头,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,1.0,553,5.0
state,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20::空头,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,-1.0,659,5.0
signal,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,trend,,1246,
state,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26::多头,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,1.0,559,5.0
state,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26::空头,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,-1.0,653,5.0
signal,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,volume_position,,1246,
state,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5::其他,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,0.0,13,1.0
state,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5::高量N10,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,1.0,480,5.0
state,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5::高量N2,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,-1.0,5,0.0
state,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5::高量N3,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,-1.0,30,2.0
state,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5::高量N4,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,0.0,55,5.0
state,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5::高量N5,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,0.0,58,5.0
state,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5::高量N6,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,0.0,84,5.0
state,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5::高量N7,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,1.0,129,5.0
state,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5::高量N8,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,1.0,143,5.0
state,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5::高量N9,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,1.0,215,5.0
signal,raw__daily__pressure_support_V240406__di_1__w_20,volume_position,,1246,
state,raw__daily__pressure_support_V240406__di_1__w_20::其他,raw__daily__pressure_support_V240406__di_1__w_20,0.0,998,5.0
state,raw__daily__pressure_support_V240406__di_1__w_20::压力位,raw__daily__pressure_support_V240406__di_1__w_20,-1.0,97,5.0
state,raw__daily__pressure_support_V240406__di_1__w_20::支撑位,raw__daily__pressure_support_V240406__di_1__w_20,1.0,117,5.0
signal,raw__weekly__cxt_bi_status_V230101,structure,,1246,
state,raw__weekly__cxt_bi_status_V230101::其他,raw__weekly__cxt_bi_status_V230101,0.0,110,1.0
state,raw__weekly__cxt_bi_status_V230101::向上,raw__weekly__cxt_bi_status_V230101,1.0,526,5.0
state,raw__weekly__cxt_bi_status_V230101::向下,raw__weekly__cxt_bi_status_V230101,-1.0,557,5.0
