trial_id,annualized_sharpe
20260911_S003_EX13:OPPOSITE_CONTROL:-1:15:00,0.1180212902788813
20260911_S003_EX13:OPPOSITE_CONTROL:1:15:00,-0.5326903825221584
20260911_S003_EX13:REGIME_PULLBACK:-1:15:00,-1.0242960138276662
20260911_S003_EX13:REGIME_PULLBACK:1:15:00,-1.4287987892017058
20260911_S003_EX15:ABNORMAL_ACTIVITY_CONTINUATION:OPPOSITE:-1,-0.6691915325932292
20260911_S003_EX15:ABNORMAL_ACTIVITY_CONTINUATION:OPPOSITE:1,-0.6254381574395081
20260911_S003_EX15:ABNORMAL_ACTIVITY_CONTINUATION:PRIMARY:-1,-0.3085680082330813
20260911_S003_EX15:ABNORMAL_ACTIVITY_CONTINUATION:PRIMARY:1,-0.5112130051085888
20260911_S003_EX15:DIRECTIONAL_EFFICIENCY_CONTINUATION:OPPOSITE:-1,-0.760779378111134
20260911_S003_EX15:DIRECTIONAL_EFFICIENCY_CONTINUATION:OPPOSITE:1,-1.6663921586427297
20260911_S003_EX15:DIRECTIONAL_EFFICIENCY_CONTINUATION:PRIMARY:-1,-0.15706272468475116
20260911_S003_EX15:DIRECTIONAL_EFFICIENCY_CONTINUATION:PRIMARY:1,0.28794614627815435
20260911_S003_EX15:VWAP_DEVIATION_REVERSION:OPPOSITE:-1,-0.034728266544536306
20260911_S003_EX15:VWAP_DEVIATION_REVERSION:OPPOSITE:1,-0.13118032660393555
20260911_S003_EX15:VWAP_DEVIATION_REVERSION:PRIMARY:-1,-1.020889900315829
20260911_S003_EX15:VWAP_DEVIATION_REVERSION:PRIMARY:1,-0.813375062796448
20260911_S003_EX16:AFTERNOON_TO_CLOSE:13:05_OPEN:15:00_CLOSE,-2.429313060892945
20260911_S003_EX16:OPEN_TO_1030:OPEN:10:30_CLOSE,-1.2403442721910813
20260911_S003_EX16:OPEN_TO_1130:OPEN:11:30_CLOSE,-0.671048224934634
20260911_S003_EX16:OPEN_TO_CLOSE:OPEN:15:00_CLOSE,-0.4700927434511188
20260911_S003_EX16:OVERNIGHT:PREVIOUS_CLOSE:OPEN,-4.585010713867005
20260911_S003_EX16:SIGNAL_0935_TO_1030:09:40_OPEN:10:30_CLOSE,-2.4038165907723523
20260911_S003_EX16:SIGNAL_0935_TO_1130:09:40_OPEN:11:30_CLOSE,-1.4890526774111843
20260911_S003_EX16:SIGNAL_1030_TO_CLOSE:10:35_OPEN:15:00_CLOSE,-1.650166884004503
20260911_S003_EX18:LATE_SESSION_FLOW_CONTINUATION:FIXED_LONG:-1,-0.41937526277141113
20260911_S003_EX18:LATE_SESSION_FLOW_CONTINUATION:FIXED_LONG:1,0.47745182560336247
20260911_S003_EX18:LATE_SESSION_FLOW_CONTINUATION:OPPOSITE:-1,-0.41937526277141113
20260911_S003_EX18:LATE_SESSION_FLOW_CONTINUATION:OPPOSITE:1,-1.5732143084107477
20260911_S003_EX18:LATE_SESSION_FLOW_CONTINUATION:PRIMARY:-1,-0.8649676545427463
20260911_S003_EX18:LATE_SESSION_FLOW_CONTINUATION:PRIMARY:1,0.47745182560336247
20260911_S003_EX18:OPENING_GAP_REVERSION:FIXED_LONG:-1,-0.5390730014977367
20260911_S003_EX18:OPENING_GAP_REVERSION:FIXED_LONG:1,-0.8021234872110814
20260911_S003_EX18:OPENING_GAP_REVERSION:OPPOSITE:-1,-0.5390730014977367
20260911_S003_EX18:OPENING_GAP_REVERSION:OPPOSITE:1,-0.7947096782088015
20260911_S003_EX18:OPENING_GAP_REVERSION:PRIMARY:-1,-0.5250855862155557
20260911_S003_EX18:OPENING_GAP_REVERSION:PRIMARY:1,-0.8021234872110814
20260911_S003_EX18:PRIOR_INTRADAY_CONTINUATION:FIXED_LONG:-1,-0.02592642410314731
20260911_S003_EX18:PRIOR_INTRADAY_CONTINUATION:FIXED_LONG:1,0.28953029049554474
20260911_S003_EX18:PRIOR_INTRADAY_CONTINUATION:OPPOSITE:-1,-0.02592642410314731
20260911_S003_EX18:PRIOR_INTRADAY_CONTINUATION:OPPOSITE:1,-1.6545445773430911
20260911_S003_EX18:PRIOR_INTRADAY_CONTINUATION:PRIMARY:-1,-1.058127536348959
20260911_S003_EX18:PRIOR_INTRADAY_CONTINUATION:PRIMARY:1,0.28953029049554474
20260911_S003_EX23:OPENING_GAP_REVERSION:OPPOSITE_SHORT:-1,-1.4361001641311175
20260911_S003_EX23:OPENING_GAP_REVERSION:PRIMARY_LONG:1,-0.7035903533204976
20260911_S003_EX23:RELATIVE_RESIDUAL_REVERSION:OPPOSITE_SHORT:-1,-1.4159237128964453
20260911_S003_EX23:RELATIVE_RESIDUAL_REVERSION:PRIMARY_LONG:1,-0.5811617306854681
20260911_S003_EX23:RELATIVE_STRENGTH_CONTINUATION:OPPOSITE_SHORT:-1,-1.6547858439419716
20260911_S003_EX23:RELATIVE_STRENGTH_CONTINUATION:PRIMARY_LONG:1,-0.2670712385483105
20260911_S003_EX27:RELATIVE_STRENGTH_WITH_BASIS_CONFIRMATION:OPPOSITE_SHORT:-1,-1.7218165637558625
20260911_S003_EX27:RELATIVE_STRENGTH_WITH_BASIS_CONFIRMATION:PRIMARY_LONG:1,-0.3918239623976368
20260911_S003_EX33:BREADTH_THRUST_CONTINUATION:OPPOSITE_SHORT:-1,-2.1109522019630163
20260911_S003_EX33:BREADTH_THRUST_CONTINUATION:PRIMARY_LONG:1,0.10576676192619307
20260911_S003_EX38:MARGIN_DELEVERAGING_REVERSAL:OPPOSITE_SHORT:-1,-1.6004359898686742
20260911_S003_EX38:MARGIN_DELEVERAGING_REVERSAL:PRIMARY_LONG:1,-0.1902328281454787
20260911_S003_EX45:CONSTITUENT_MONEYFLOW_BREADTH_CONTINUATION:OPPOSITE_SHORT:-1,-2.1838106340005816
20260911_S003_EX45:CONSTITUENT_MONEYFLOW_BREADTH_CONTINUATION:PRIMARY_LONG:1,0.6691892103675147
