omitted_count,omitted_signal_dates,remaining_trades,mean_return_4,mean_return_5,mean_return_6,mean_band_return,mean_peak_advantage
2,2022-08-04|2023-10-11,23,0.00925753424905916,0.012624965598374888,0.012688636143020269,0.011523711996818106,0.0016518804023351742
2,2022-08-04|2023-11-02,23,0.007660547395860668,0.010587944281996324,0.010168670511567768,0.009472387396474921,0.0016733353282821048
2,2022-08-04|2023-12-15,23,0.009493215668035621,0.012366804740095095,0.012010479961459241,0.01129016678986332,0.001614956925347664
2,2022-08-04|2024-03-14,23,0.0077203814146229064,0.010817658052452064,0.011098047979928072,0.00987869581566768,0.0014084433551765749
2,2022-08-04|2024-06-03,23,0.009223383904223146,0.011846859636019502,0.01114836798934654,0.01073953717652973,0.0016609836892346596
2,2022-08-04|2024-11-26,23,0.006791131284040239,0.009697645552991631,0.009691535780925742,0.008726770872652537,0.0014563120205086414
2,2022-08-04|2025-01-23,23,0.007349328599760196,0.009348485924789459,0.008632835324624053,0.00844354994972457,0.0013574039625973337
2,2022-08-04|2025-03-25,23,0.009219362885541545,0.011880846587037775,0.011710482870116156,0.01093689744756516,0.0014159237092089235
2,2022-08-04|2025-04-24,23,0.008365814373181502,0.010029949654400381,0.010144900750148362,0.009513554925910082,0.0007745920927354488
2,2022-08-04|2025-11-20,23,0.008916158854747464,0.01179148394612836,0.010735802786147256,0.010481148529007693,0.0019655031256810007
2,2022-08-04|2026-04-02,23,0.0069197217284123515,0.009860311157317052,0.008735652101436998,0.008505228329055469,0.0020326242423923764
2,2022-08-04|2026-08-03,23,0.0056208730449003414,0.00844450109485929,0.008089187545007257,0.007384853894922297,0.0015894707999054907
2,2022-10-25|2022-12-02,23,0.01065322598207689,0.013106015965120515,0.012455593112726449,0.012071611686641287,0.001551606417718845
2,2022-10-25|2023-02-17,23,0.009876930411403868,0.012551340840254154,0.011858405197189793,0.01142889214961594,0.0016836730359573232
2,2022-10-25|2023-03-06,23,0.011693152744536412,0.014031573493348173,0.013303684569593004,0.013009470269159199,0.0015331548362834656
2,2022-10-25|2023-03-20,23,0.009602712650945661,0.012104454027111114,0.011398245501159131,0.01103513739307197,0.001603974951058718
2,2022-10-25|2023-03-29,23,0.00953769020310723,0.01194240843232045,0.010806781033000338,0.010762293222809341,0.001770172814266666
