l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801080.SI,电子,801081.SI,半导体,850813.SI,半导体材料,688432.SH,有研硅,2022-10-28,,Y
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,688449.SH,联芸科技,2024-11-08,,Y
801080.SI,电子,801081.SI,半导体,850815.SI,模拟芯片设计,688458.SH,美芯晟,2023-05-04,,Y
801080.SI,电子,801081.SI,半导体,850816.SI,集成电路制造,688469.SH,芯联集成-U,2023-05-04,,Y
801080.SI,电子,801081.SI,半导体,850818.SI,半导体设备,688478.SH,晶升股份,2023-03-31,,Y
801080.SI,电子,801081.SI,半导体,850815.SI,模拟芯片设计,688484.SH,南芯科技,2023-03-17,,Y
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,688486.SH,龙迅股份,2023-02-13,,Y
801080.SI,电子,801081.SI,半导体,850812.SI,分立器件,688498.SH,源杰科技,2022-12-02,,Y
801080.SI,电子,801081.SI,半导体,850815.SI,模拟芯片设计,688508.SH,芯朋微,2020-07-06,,Y
801080.SI,电子,801081.SI,半导体,850815.SI,模拟芯片设计,688512.SH,慧智微-U,2023-05-04,,Y
801080.SI,电子,801081.SI,半导体,850815.SI,模拟芯片设计,688515.SH,裕太微-U,2023-01-20,,Y
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,688521.SH,芯原股份,2020-07-31,,Y
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,688525.SH,佰维存储,2022-12-23,,Y
801080.SI,电子,801081.SI,半导体,850813.SI,半导体材料,688530.SH,欧莱新材,2024-05-09,,Y
801080.SI,电子,801081.SI,半导体,850813.SI,半导体材料,688535.SH,华海诚科,2023-03-17,,Y
801080.SI,电子,801081.SI,半导体,850815.SI,模拟芯片设计,688536.SH,思瑞浦,2020-09-04,,Y
801080.SI,电子,801081.SI,半导体,850815.SI,模拟芯片设计,688582.SH,芯动联科,2023-06-09,,Y
801080.SI,电子,801081.SI,半导体,850813.SI,半导体材料,688584.SH,上海合晶,2024-01-26,,Y
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,688589.SH,力合微,2020-07-06,,Y
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,688591.SH,泰凌微,2023-08-21,,Y
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,688593.SH,新相微,2023-05-12,,Y
801080.SI,电子,801081.SI,半导体,850815.SI,模拟芯片设计,688595.SH,芯海科技,2020-09-09,2022-07-28,N
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,688595.SH,芯海科技,2022-07-29,,Y
801080.SI,电子,801081.SI,半导体,850815.SI,模拟芯片设计,688601.SH,力芯微,2021-06-09,,Y
801080.SI,电子,801081.SI,半导体,850818.SI,半导体设备,688605.SH,先锋精科,2024-11-22,,Y
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,688608.SH,恒玄科技,2020-12-01,,Y
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,688620.SH,安凯微,2023-06-09,,Y
801080.SI,电子,801081.SI,半导体,850818.SI,半导体设备,688652.SH,京仪装备,2023-11-17,,Y
