order_id,decision_id,cycle_id,signal_date,execution_date,side,quantity,order_type,limit_price,status,checkpoint
ORD-9A617ECF54D66A0FE617,DEC-CF983E6F0C4D9FF6148A,CYC-43DE3E0C02CC1B372F71,2021-09-08,2021-09-09,SELL,6200,MARKETABLE_LIMIT,8.516,FILLED,11:30_CLOSE
ORD-2651D2D44A02743AE668,DEC-93F64DD9289384AF4138,CYC-08D17C75CF457354EDA0,2021-09-09,2021-09-10,BUY,6200,MARKETABLE_LIMIT,8.548,FILLED,OPEN
ORD-B0A17668C86D34702B55,DEC-93F64DD9289384AF4138,CYC-08D17C75CF457354EDA0,2021-09-09,2021-09-10,SELL,6200,MARKETABLE_LIMIT,8.558,FILLED,11:30_CLOSE
ORD-BCAD2F79F2FDA1636D35,DEC-0691D32DE7CDC974D6B9,CYC-113494A9B55695655415,2021-09-23,2021-09-24,BUY,6300,MARKETABLE_LIMIT,8.429,FILLED,OPEN
ORD-AC2920BFF18C30A1EC24,DEC-0691D32DE7CDC974D6B9,CYC-113494A9B55695655415,2021-09-23,2021-09-24,SELL,6300,MARKETABLE_LIMIT,8.367,FILLED,11:30_CLOSE
ORD-2A7EC7D213A312E764F5,DEC-9BE9A44ACAE830FE4FA5,CYC-C756CA17798CAD757CE5,2021-10-13,2021-10-14,BUY,6800,MARKETABLE_LIMIT,7.805000000000001,FILLED,OPEN
ORD-D984FE2BA8F1A2388258,DEC-9BE9A44ACAE830FE4FA5,CYC-C756CA17798CAD757CE5,2021-10-13,2021-10-14,SELL,6800,MARKETABLE_LIMIT,7.88,FILLED,11:30_CLOSE
ORD-1260EE4EDBF4C823400A,DEC-3A47C7E7776E0FDA6459,CYC-7ABA509189BE4B3C802C,2021-10-25,2021-10-26,BUY,6700,MARKETABLE_LIMIT,7.975999999999999,FILLED,OPEN
ORD-01611816CD43BB4C5D7F,DEC-3A47C7E7776E0FDA6459,CYC-7ABA509189BE4B3C802C,2021-10-25,2021-10-26,SELL,6700,MARKETABLE_LIMIT,8.005999999999998,FILLED,11:30_CLOSE
ORD-9DFEA52BCF1C4E107290,DEC-BA35311AF2FB35911C45,CYC-AE1663434EE6D05359F7,2021-10-29,2021-11-01,BUY,6800,MARKETABLE_LIMIT,7.866999999999999,FILLED,OPEN
