ts_code,trade_date,close,pre_close,pct_chg,vol,amount
688001.SH,2025-06-12,24.5,24.33,0.6987,24205.66,59658.234
688001.SH,2025-06-11,24.33,24.16,0.7036,16356.73,40061.396
688001.SH,2025-06-10,24.16,24.68,-2.107,18099.84,43904.565
688001.SH,2025-06-09,24.68,24.7,-0.081,19766.46,48838.859
688001.SH,2025-06-06,24.7,24.6,0.4065,18608.75,45705.364
688001.SH,2025-06-05,24.6,24.26,1.4015,18130.67,44205.419
688001.SH,2025-06-04,24.26,24.13,0.5387,14551.69,35278.903
688001.SH,2025-06-03,24.13,23.97,0.6675,15445.68,37344.181
688001.SH,2025-05-30,23.97,24.45,-1.9632,19768.05,47574.325
688001.SH,2025-05-29,24.45,24.22,0.9496,24170.04,58937.363
688001.SH,2025-05-28,24.22,24.41,-0.7784,13009.79,31742.567
688001.SH,2025-05-27,24.41,24.53,-0.4892,12879.6,31295.56
688001.SH,2025-05-26,24.53,24.29,0.9881,12711.93,31159.438
688001.SH,2025-05-23,24.29,24.57,-1.1396,16425.63,40504.133
688001.SH,2025-05-22,24.57,25.05,-1.9162,15929.05,39609.556
688001.SH,2025-05-21,25.05,25.2,-0.5952,16465.25,41118.257
688001.SH,2025-05-20,25.2,25.13,0.2786,14865.56,37494.294
688001.SH,2025-05-19,25.13,25.2,-0.2778,14566.81,36363.774
688001.SH,2025-05-16,25.2,25.2,0.0,13429.36,34113.657
688001.SH,2025-05-15,25.2,25.81,-2.3634,14514.55,36730.19
688001.SH,2025-05-14,25.81,25.73,0.3109,21678.21,55921.257
688001.SH,2025-05-13,25.73,25.97,-0.9241,18828.27,48733.157
688001.SH,2025-05-12,25.97,25.36,2.4054,27759.19,72023.754
688001.SH,2025-05-09,25.36,26.36,-3.7936,28627.68,73013.37
688001.SH,2025-05-08,26.36,25.56,3.1299,35961.27,93952.617
688001.SH,2025-05-07,25.56,25.42,0.5507,45698.51,119045.828
688001.SH,2025-05-06,25.42,24.95,1.8838,24638.41,62264.641
688001.SH,2025-04-30,24.95,23.8,4.8319,38465.39,95467.382
688001.SH,2025-04-29,23.8,23.76,0.1684,18992.48,45395.967
688001.SH,2025-04-28,23.76,23.95,-0.7933,19535.29,46457.255
688001.SH,2025-04-25,23.95,23.85,0.4193,18840.16,45286.913
688001.SH,2025-04-24,23.85,24.53,-2.7721,26569.11,63882.53
688001.SH,2025-04-23,24.53,23.68,3.5895,40999.83,99734.54
688001.SH,2025-04-22,23.68,24.17,-2.0273,24883.98,59118.65
688001.SH,2025-04-21,24.17,23.7,1.9831,23570.09,56098.646
688001.SH,2025-04-18,23.7,23.65,0.2114,18037.14,42814.988
688001.SH,2025-04-17,23.65,23.7,-0.211,24205.65,57722.628
688001.SH,2025-04-16,23.7,24.18,-1.9851,28868.78,68233.763
688001.SH,2025-04-15,24.18,24.26,-0.3298,31399.3,75542.128
688001.SH,2025-04-14,24.26,24.4,-0.5738,61275.7,150087.689
688001.SH,2025-04-11,24.4,23.85,2.3061,58226.97,140687.49
688001.SH,2025-04-10,23.85,23.68,0.7179,50439.19,123400.685
688001.SH,2025-04-09,23.68,23.24,1.8933,50032.17,115859.118
688001.SH,2025-04-08,23.24,22.79,1.9746,51474.63,119554.046
688001.SH,2025-04-07,22.79,28.49,-20.007,67417.12,164507.514
688001.SH,2025-04-03,28.49,29.52,-3.4892,31478.05,91100.169
688001.SH,2025-04-02,29.52,29.5,0.0678,20426.96,60341.023
688001.SH,2025-04-01,29.5,30.19,-2.2855,33661.01,100833.615
688001.SH,2025-03-31,30.19,30.46,-0.8864,27479.97,82495.647
688001.SH,2025-03-28,30.46,31.65,-3.7599,43314.48,133608.03
688001.SH,2025-03-27,31.65,32.24,-1.83,24980.86,79716.524
688001.SH,2025-03-26,32.24,31.47,2.4468,33502.19,108067.462
688001.SH,2025-03-25,31.47,31.61,-0.4429,25347.64,80186.77
688001.SH,2025-03-24,31.61,32.15,-1.6796,35801.15,112919.977
688001.SH,2025-03-21,32.15,34.25,-6.1314,65973.62,214584.025
688001.SH,2025-03-20,34.25,35.02,-2.1987,55886.49,194032.356
688001.SH,2025-03-19,35.02,35.03,-0.0285,67739.51,233507.784
688001.SH,2025-03-18,35.03,34.6,1.2428,109278.59,381479.298
688001.SH,2025-03-17,34.6,30.67,12.8138,212673.61,729169.271
688001.SH,2025-03-14,30.67,28.96,5.9047,65394.83,197036.007
688001.SH,2025-03-13,28.96,31.11,-6.911,75371.39,220830.692
688001.SH,2025-03-12,31.11,32.27,-3.5947,71207.63,225005.588
688001.SH,2025-03-11,32.27,28.91,11.6223,135947.92,424593.703
688001.SH,2025-03-10,28.91,28.68,0.802,25766.5,73926.135
688001.SH,2025-03-07,28.68,29.15,-1.6123,29818.75,86586.822
688001.SH,2025-03-06,29.15,28.52,2.209,27846.63,81082.538
688001.SH,2025-03-05,28.52,28.67,-0.5232,20568.72,58592.737
688001.SH,2025-03-04,28.67,27.91,2.723,21667.43,61723.931
688001.SH,2025-03-03,27.91,27.78,0.468,43533.33,121921.738
688001.SH,2025-02-28,27.78,30.89,-10.068,83005.8,236653.366
688001.SH,2025-02-27,30.89,31.0,-0.3548,40612.79,125917.076
688001.SH,2025-02-26,31.0,30.28,2.3778,54572.8,167882.861
688001.SH,2025-02-25,30.28,30.61,-1.0781,46132.65,140751.453
688001.SH,2025-02-24,30.61,32.63,-6.1906,68230.25,211921.961
688001.SH,2025-02-21,32.63,31.68,2.9987,64550.02,209678.769
688001.SH,2025-02-20,31.68,32.54,-2.6429,49222.42,156824.295
688001.SH,2025-02-19,32.54,29.71,9.5254,82133.54,259116.598
688001.SH,2025-02-18,29.71,30.61,-2.9402,34449.43,103847.3
688001.SH,2025-02-17,30.61,30.76,-0.4876,52489.14,160726.303
688001.SH,2025-02-14,30.76,33.56,-8.3433,93951.08,296457.11
688001.SH,2025-02-13,33.56,32.56,3.0713,90485.13,303328.332
688001.SH,2025-02-12,32.56,32.5,0.1846,86378.61,286484.686
688001.SH,2025-02-11,32.5,30.9,5.178,56239.16,180132.889
688001.SH,2025-02-10,30.9,30.6,0.9804,36810.21,112120.694
688001.SH,2025-02-07,30.6,31.74,-3.5917,45566.98,143057.461
688001.SH,2025-02-06,31.74,30.38,4.4766,39040.15,122248.417
688001.SH,2025-02-05,30.38,29.93,1.5035,27581.89,83816.158
688001.SH,2025-01-27,29.93,30.03,-0.333,36979.98,110826.273
688001.SH,2025-01-24,30.03,28.17,6.6028,54077.34,158688.885
688001.SH,2025-01-23,28.17,27.39,2.8478,39291.95,111630.682
688001.SH,2025-01-22,27.39,28.0,-2.1786,17086.37,47028.977
688001.SH,2025-01-21,28.0,27.52,1.7442,32558.31,89100.176
688001.SH,2025-01-20,27.52,27.45,0.255,29268.28,81394.402
688001.SH,2025-01-17,27.45,27.27,0.6601,20892.61,56975.546
688001.SH,2025-01-16,27.27,27.62,-1.2672,25436.92,70269.691
688001.SH,2025-01-15,27.62,28.22,-2.1262,24420.11,67387.153
688001.SH,2025-01-14,28.22,26.26,7.4638,49282.51,136665.128
688001.SH,2025-01-13,26.26,26.07,0.7288,29063.25,76890.216
688001.SH,2025-01-10,26.07,26.1,-0.1149,40026.09,105542.682
688001.SH,2025-01-09,26.1,25.18,3.6537,33068.13,85405.249
688001.SH,2025-01-08,25.18,25.51,-1.2936,27474.02,68536.426
688001.SH,2025-01-07,25.51,25.0,2.04,20230.9,50993.171
688001.SH,2025-01-06,25.0,25.5,-1.9608,26679.81,67241.733
688001.SH,2025-01-03,25.5,26.29,-3.0049,31360.8,81357.463
688001.SH,2025-01-02,26.29,27.1,-2.9889,31592.24,83885.49
688001.SH,2024-12-31,27.1,28.32,-4.3079,35656.81,98403.657
688001.SH,2024-12-30,28.32,28.67,-1.2208,25193.52,71298.576
688001.SH,2024-12-27,28.67,28.99,-1.1038,33158.14,96341.61
688001.SH,2024-12-26,28.99,28.63,1.2574,33550.9,97637.179
688001.SH,2024-12-25,28.63,29.75,-3.7647,42718.56,123258.714
688001.SH,2024-12-24,29.75,29.7,0.1684,42141.12,125620.627
688001.SH,2024-12-23,29.7,33.28,-10.7572,91532.2,282286.711
688001.SH,2024-12-20,33.28,32.83,1.3707,37437.39,125221.181
688001.SH,2024-12-19,32.83,32.78,0.1525,25942.04,85200.494
688001.SH,2024-12-18,32.78,32.25,1.6434,33988.81,112281.858
688001.SH,2024-12-17,32.25,32.99,-2.2431,35104.41,114133.861
688001.SH,2024-12-16,32.99,35.44,-6.9131,58479.76,196611.858
688001.SH,2024-12-13,35.44,36.88,-3.9046,65133.92,229426.938
688001.SH,2024-12-12,36.88,35.31,4.4463,68239.42,246904.214
688001.SH,2024-12-11,35.31,36.53,-3.3397,40788.56,144887.129
688001.SH,2024-12-10,36.53,36.45,0.2195,76485.87,286109.608
688001.SH,2024-12-09,36.45,35.8,1.8156,78393.53,281843.032
688001.SH,2024-12-06,35.8,34.05,5.1395,77138.54,270618.864
688001.SH,2024-12-05,34.05,34.03,0.0588,43292.48,148745.086
688001.SH,2024-12-04,34.03,33.27,2.2843,57944.91,195207.11
688001.SH,2024-12-03,33.27,33.4,-0.3892,55064.86,180695.139
688001.SH,2024-12-02,33.4,31.6,5.6962,81943.16,274772.234
688001.SH,2024-11-29,31.6,30.77,2.6974,40805.46,129046.191
688001.SH,2024-11-28,30.77,32.65,-5.758,48298.11,152091.708
688001.SH,2024-11-27,32.65,30.96,5.4587,49419.18,157753.047
688001.SH,2024-11-26,30.96,32.18,-3.7912,36660.21,114160.677
688001.SH,2024-11-25,32.18,31.48,2.2236,50964.48,159269.445
688001.SH,2024-11-22,31.48,33.82,-6.919,48261.92,158125.202
688001.SH,2024-11-21,33.82,35.61,-5.0267,77196.3,263341.067
688001.SH,2024-11-20,35.61,31.34,13.6248,127593.96,445073.448
688001.SH,2024-11-19,31.34,29.8,5.1678,27852.7,85448.485
688001.SH,2024-11-18,29.8,30.39,-1.9414,29287.43,88127.903
688001.SH,2024-11-15,30.39,31.78,-4.3738,31221.51,97882.128
688001.SH,2024-11-14,31.78,33.91,-6.2813,35294.92,115736.408
688001.SH,2024-11-13,33.91,34.57,-1.9092,41329.79,138169.775
688001.SH,2024-11-12,34.57,34.87,-0.8603,71650.29,252922.963
688001.SH,2024-11-11,34.87,31.92,9.2419,89330.64,308031.743
688001.SH,2024-11-08,31.92,31.6,1.0127,41667.95,134885.885
688001.SH,2024-11-07,31.6,32.11,-1.5883,36317.82,113814.851
688001.SH,2024-11-06,32.11,30.6,4.9346,69892.94,224714.87
688001.SH,2024-11-05,30.6,30.49,0.3608,39654.1,121304.598
688001.SH,2024-11-04,30.49,29.13,4.6687,41440.0,127503.531
688001.SH,2024-11-01,29.13,31.09,-6.3043,34045.18,101309.433
688001.SH,2024-10-31,31.09,31.05,0.1288,63694.91,193396.608
688001.SH,2024-10-30,31.05,32.37,-4.0778,41613.11,130919.838
688001.SH,2024-10-29,32.37,33.51,-3.402,33477.34,109648.713
688001.SH,2024-10-28,33.51,34.06,-1.6148,28472.11,95317.385
688001.SH,2024-10-25,34.06,33.67,1.1583,37799.74,129468.483
688001.SH,2024-10-24,33.67,33.12,1.6606,52498.86,179764.865
688001.SH,2024-10-23,33.12,31.97,3.5971,66183.78,222910.81
688001.SH,2024-10-22,31.97,30.92,3.3959,45830.45,143214.698
688001.SH,2024-10-21,30.92,30.9,0.0647,40773.24,128630.749
688001.SH,2024-10-18,30.9,28.1,9.9644,46773.59,140295.497
688001.SH,2024-10-17,28.1,28.15,-0.1776,16926.99,48283.552
688001.SH,2024-10-16,28.15,28.88,-2.5277,18683.99,52926.298
688001.SH,2024-10-15,28.88,29.86,-3.282,24773.49,73224.732
688001.SH,2024-10-14,29.86,29.3,1.9113,32180.92,93662.143
688001.SH,2024-10-11,29.3,31.3,-6.3898,48358.24,143231.147
688001.SH,2024-10-10,31.3,33.12,-5.4952,52544.4,170203.643
688001.SH,2024-10-09,33.12,35.5,-6.7042,85850.07,299433.854
688001.SH,2024-10-08,35.5,30.48,16.4698,91279.87,319381.929
688001.SH,2024-09-30,30.48,26.6,14.5865,69697.05,201872.108
688001.SH,2024-09-27,26.6,25.25,5.3465,29595.89,77470.994
688001.SH,2024-09-26,25.25,22.57,11.8742,49865.23,120695.644
688001.SH,2024-09-25,22.57,22.67,-0.4411,15820.41,36198.258
688001.SH,2024-09-24,22.67,21.53,5.2949,16345.3,36252.762
688001.SH,2024-09-23,21.53,21.78,-1.1478,7053.28,15272.532
688001.SH,2024-09-20,21.78,22.06,-1.2693,8175.77,17792.667
688001.SH,2024-09-19,22.06,21.6,2.1296,8814.86,19419.295
688001.SH,2024-09-18,21.6,21.96,-1.6393,6393.0,13768.388
688001.SH,2024-09-13,21.96,22.41,-2.008,7804.68,17294.211
688001.SH,2024-09-12,22.41,22.75,-1.4945,5461.7,12339.08
688001.SH,2024-09-11,22.75,22.71,0.1761,5861.95,13316.624
688001.SH,2024-09-10,22.71,22.76,-0.2197,9742.94,21933.741
688001.SH,2024-09-09,22.76,22.86,-0.4374,9672.04,22097.905
688001.SH,2024-09-06,22.86,23.33,-2.0146,10515.41,24156.011
688001.SH,2024-09-05,23.33,23.33,0.0,8565.93,19960.268
688001.SH,2024-09-04,23.33,23.02,1.3467,16499.15,38506.051
688001.SH,2024-09-03,23.02,22.15,3.9278,17152.52,39005.46
688001.SH,2024-09-02,22.15,22.29,-0.6281,17271.78,38831.249
688001.SH,2024-08-30,22.29,21.44,3.9646,18663.28,41490.186
688001.SH,2024-08-29,21.44,21.25,0.8941,9122.87,19475.32
688001.SH,2024-08-28,21.25,20.81,2.1144,7600.67,15996.247
688001.SH,2024-08-27,20.81,21.16,-1.6541,4975.24,10433.959
688001.SH,2024-08-26,21.16,21.01,0.7139,4232.16,8990.489
688001.SH,2024-08-23,21.01,20.87,0.6708,4721.38,9924.585
688001.SH,2024-08-22,20.87,21.3,-2.0188,5684.68,11970.365
688001.SH,2024-08-21,21.3,21.37,-0.3276,5788.59,12394.41
688001.SH,2024-08-20,21.37,21.85,-2.1968,8376.61,18037.557
