trial_id,behavior_hash,nearest_points,neighborhood_radius,local_feasible_rate,local_feasible_points
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02824,7c575f11c341a51f308e473b4ff2dcb9f8797d00f329bfd121741e6bc64ba899,20,0.03203970476294282,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-01785,1fc556886bffd25376cf5a0fe8165e738535da2c9e5c0e0561d2bb9a9501bc30,20,0.09960459713933534,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-01758,20b80647d465e266057563edf6fd44b7bf0623ceb378cc955709017750c6111c,20,0.13359321058747176,0.95,19
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02914,53659e8ed70be6e385fedda6ca2a12d06fd9c939f8560fb30f89328cea87f600,20,0.16494250251291953,0.9,18
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02748,1dbfd6c31d1032e380c7b8caefe394c21f5ef4d210657275a0e0c70bea3eaa57,20,0.03203970476294282,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02711,b90d07bdbea90df729ba3706571cd7c29b8160496a235609054174415b6b1102,20,0.09618732398590679,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02925,58251d3de7a1f27bac01c1aac19fb27a6bce7601ee436fe94ecdc4a27a95352e,20,0.09960459713933534,0.85,17
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02685,8b52846caa7834e08b15a4175e097294793e23fc8c3a2fb97871dabd42869269,20,0.09618732398590679,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02598,b0d04848e9bb67f0082eaab8f52daddaaf244ba8bf23e239b74b77fb522b2bbe,20,0.042357413768844665,0.95,19
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02896,abe70ad2f8b1a3be94fa051e8ea13f46ff4f15344eaebcdeec1ece382a42a321,20,0.17019862668318797,0.75,15
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02942,77b4e832df72b8be968f1e60f89146af78bfe2d8bf96846739b66fd150d53e60,20,0.08156460157539591,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02669,edb047c2bc56eb904e6d80f92dc83dd9a0a17fe875372f5b297116e69926c805,20,0.12381024579207334,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02151,7d1cc4f900dd8aa0fce8f0df2743581d9e51e015a7c78b596b07dbd03fae8eb4,20,0.08227480023209988,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02472,064be1d9f1c73aabe1871ec786fceee7728e80b8ad73c5a1390b9b0026ae63c8,20,0.14832861870460623,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02978,ebadfc32a5741af61b2312982accfe9ccdf284b87bb2615eb4bb6b1912d431ee,20,0.14640511913877008,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02200,7958b839c2f20fae8b46d6a782a8c0899d0d8eb296462c889dd26dfadbf65063,20,0.11512990853753047,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02733,d9271c97a1bd23730ae85a34428099da8db1a023c8e175dbe038f71a77210590,20,0.050826125280595935,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02840,d82a647d85d1c15f66ab4efec5867f4146996ad0e7a06c9e58b77b93b760f7f2,20,0.09618732398590679,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-01575,39df32efeb131946258a1b92aaaf335b6f09653130820bbfbaccf8050c522d48,20,0.15690263205399457,0.5,10
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02885,353746f2ec988b5926ae065349f34413fc7eeb14fe1c100817caeac6ff37f626,20,0.09960459713933534,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-01068,10fe1169175a3c8cf77878c974436c475b85b043f587cd104fdbab47f0db2acc,20,0.14219778720277204,0.4,8
