mechanism_id,variant,year,episodes,mean_return,median_return,win_rate,profit_factor,cumulative_return,annualized_return
PRIOR_INTRADAY_CONTINUATION,FIXED_LONG,2023,65,-0.0003790462776882194,-0.0005610691093327347,0.46153846153846156,0.8490813471634193,-0.02575849598817115,-0.02575849598817115
PRIOR_INTRADAY_CONTINUATION,FIXED_LONG,2024,64,0.0020674775438291465,0.0007087137066970062,0.546875,1.4602861928982946,0.13174076108649513,0.13174076108649513
PRIOR_INTRADAY_CONTINUATION,FIXED_LONG,2025,63,3.8257654460629526e-05,-0.0002937494076536984,0.49206349206349204,1.0140425141049771,0.0006604827093161791,0.0006604827093161791
PRIOR_INTRADAY_CONTINUATION,FIXED_LONG,2026,50,-6.803500094573644e-05,-0.000503726981016861,0.48,0.9847715453694517,-0.006614996365524428,-0.006614996365524428
LATE_SESSION_FLOW_CONTINUATION,PRIMARY,2021,62,0.0013553080721778975,0.0023194758863424036,0.5483870967741935,1.4683882932819636,0.0850388639051578,0.0850388639051578
LATE_SESSION_FLOW_CONTINUATION,PRIMARY,2022,67,-0.00031471420290259307,-0.001199280431741001,0.4626865671641791,0.9284276560019487,-0.024651970513602572,-0.024651970513602572
LATE_SESSION_FLOW_CONTINUATION,PRIMARY,2023,68,-0.00135747958504047,-0.0016943253162390315,0.4117647058823529,0.5687087851446043,-0.08955934291392964,-0.08955934291392964
LATE_SESSION_FLOW_CONTINUATION,PRIMARY,2024,66,0.0006988740734683854,-0.0009768614064848413,0.4696969696969697,1.1319693856172128,0.03815785044687048,0.03815785044687048
LATE_SESSION_FLOW_CONTINUATION,PRIMARY,2025,63,-0.0011282377457112716,-0.0005135734980815654,0.47619047619047616,0.7180656321523384,-0.07101555308137286,-0.07101555308137286
LATE_SESSION_FLOW_CONTINUATION,PRIMARY,2026,53,-0.0010308242943268923,-0.0016594512308971687,0.49056603773584906,0.8161825238960938,-0.056987363835424354,-0.056987363835424354
LATE_SESSION_FLOW_CONTINUATION,OPPOSITE,2021,62,-0.00367170673876332,-0.00470567703305913,0.3548387096774194,0.34853642434501464,-0.20579671453820203,-0.20579671453820203
