hypothesis_id,mechanism,signal_name,state_primary,exit_clock,episodes,mean_return,median_return,win_rate,profit_factor,cagr,max_drawdown,calmar,positive_years,rolling_30d_median_episodes,rolling_30d_p10_episodes,rolling_30d_min_episodes,rolling_30d_max_episodes,density_pass,matched_random_percentile,evidence
M06,10bar_price_momentum_continuation,ntmdk_V230824,看多,10:30,792,-0.0003695355780319088,-0.001199280431741001,0.4457070707070707,0.9157554877036584,-0.059537021171964355,-0.4668713416441911,-0.12752340069170132,2,17.0,15.0,12,27,False,0.8815,EVIDENCE_RATE_FAIL
M07,macd_direction_continuation,tas_macd_direct_V221106,向上,10:30,883,-0.0009269087335749455,-0.001685373980624405,0.42808607021517553,0.8082157167282789,-0.14446250388633453,-0.6499808511435526,-0.22225655360796007,1,19.0,17.0,15,24,True,0.527,DIRECTION_FAIL
M01,10bar_momentum_continuation,bar_section_momentum_V221112,上涨,11:30,701,-0.00029686660515715986,-0.000813791925539431,0.4664764621968616,0.9394255471031482,-0.04640347319958793,-0.4511101669765285,-0.10286505735527421,3,15.0,13.0,11,20,False,0.797,EVIDENCE_RATE_FAIL
M02,10bar_down_move_reversal,bar_section_momentum_V221112,下跌,11:30,697,-0.0011280255022360426,-0.0009415254073362744,0.45767575322812054,0.7818044197182948,-0.1374166717217179,-0.581188211067587,-0.23644091381223417,1,15.0,13.0,11,19,False,0.201,EVIDENCE_RATE_FAIL
M03,weak_bottom_fractal_reversal,cxt_fx_power_V221107,弱底,11:30,674,-0.0013551927925738326,-0.001627123299402955,0.4169139465875371,0.7472420397885844,-0.15846192771827017,-0.6451543222903258,-0.2456186407551661,1,15.0,13.0,9,19,False,0.121,EVIDENCE_RATE_FAIL
M04,rbreaker_long,bar_r_breaker_V230326,做多,11:30,658,-0.00014202399972200062,-0.0008351166354240713,0.47112462006079026,0.9717050237628415,-0.027955819347740607,-0.49364119036596843,-0.056631861143951814,2,14.0,13.0,10,18,False,0.8365,EVIDENCE_RATE_FAIL
M05,cci_oversold_reversal,cci_decision_V240620,开多,11:30,616,-0.0012817043805688356,-0.0004699600865051279,0.4772727272727273,0.7623445683286024,-0.13748721599348657,-0.5864645279588963,-0.23443398439116284,0,13.0,11.0,10,19,False,0.152,EVIDENCE_RATE_FAIL
M06,10bar_price_momentum_continuation,ntmdk_V230824,看多,11:30,714,-0.0002743147622500201,-0.0008738193239937186,0.46078431372549017,0.9439975705498755,-0.045174332415996554,-0.5050588003259302,-0.08944370910247311,2,16.0,14.0,12,20,False,0.787,EVIDENCE_RATE_FAIL
M07,macd_direction_continuation,tas_macd_direct_V221106,向上,11:30,734,-0.000448281955864158,-0.0011992804317409456,0.4550408719346049,0.9136960276201761,-0.06899495100595998,-0.623762739917735,-0.11061088870915789,3,16.0,14.0,12,19,False,0.7095,EVIDENCE_RATE_FAIL
M01,10bar_momentum_continuation,bar_section_momentum_V221112,上涨,15:00,590,-0.0007301521338961801,-0.00044600088333413,0.47966101694915253,0.8748592160129721,-0.08506335373513674,-0.5123112371922969,-0.16603843046918776,2,13.0,12.0,10,15,False,0.4785,EVIDENCE_RATE_FAIL
M02,10bar_down_move_reversal,bar_section_momentum_V221112,下跌,15:00,579,-0.0008817969500081946,5.078304706795933e-05,0.5008635578583766,0.8493504469884219,-0.09627595046811754,-0.5514548101009382,-0.1745853852476057,2,13.0,12.0,10,15,False,0.3865,EVIDENCE_RATE_FAIL
M03,weak_bottom_fractal_reversal,cxt_fx_power_V221107,弱底,15:00,581,-0.0007908247968349051,-0.0003309090880022625,0.48709122203098104,0.8643547699875217,-0.08965467962912721,-0.5144890114629308,-0.17425965886850991,1,13.0,11.0,9,15,False,0.431,EVIDENCE_RATE_FAIL
M04,rbreaker_long,bar_r_breaker_V230326,做多,15:00,588,-0.0002278845719286222,-0.00014670997248089623,0.4914965986394558,0.9616109959613925,-0.03898299978020525,-0.5301541062457445,-0.0735314492917184,2,13.0,11.0,10,15,False,0.719,EVIDENCE_RATE_FAIL
M05,cci_oversold_reversal,cci_decision_V240620,开多,15:00,528,-0.0006953303531640104,-0.0002545134151443751,0.4943181818181818,0.8825235698282631,-0.07314341613783393,-0.4563821227610805,-0.16026792569200846,3,12.0,10.0,8,15,False,0.488,EVIDENCE_RATE_FAIL
M06,10bar_price_momentum_continuation,ntmdk_V230824,看多,15:00,599,-0.0004643577124445441,-0.00019596479179295745,0.48747913188647746,0.9168955940537944,-0.06008735783531827,-0.451967208054466,-0.13294627743895351,1,13.0,12.0,10,15,False,0.648,EVIDENCE_RATE_FAIL
M07,macd_direction_continuation,tas_macd_direct_V221106,向上,15:00,652,-0.00011601489803530666,-0.00018648792154013494,0.495398773006135,0.9796188792954424,-0.027887693699716443,-0.45653867818264937,-0.06108506252028726,3,14.0,13.0,12,15,False,0.8275,EVIDENCE_RATE_FAIL
