trial_id,source,episodes
EX23:QB-Q75-V1-H2,experiments/S004/20260913_S004_EX23/artifacts/path_episodes.csv.gz,283
EX23:QB-Q75-V2-H1,experiments/S004/20260913_S004_EX23/artifacts/path_episodes.csv.gz,257
EX23:QB-Q75-V2-H2,experiments/S004/20260913_S004_EX23/artifacts/path_episodes.csv.gz,212
EX23:QB-Q80-V1-H1,experiments/S004/20260913_S004_EX23/artifacts/path_episodes.csv.gz,322
EX23:QB-Q80-V1-H2,experiments/S004/20260913_S004_EX23/artifacts/path_episodes.csv.gz,250
EX23:QB-Q80-V2-H1,experiments/S004/20260913_S004_EX23/artifacts/path_episodes.csv.gz,222
EX23:QB-Q80-V2-H2,experiments/S004/20260913_S004_EX23/artifacts/path_episodes.csv.gz,186
EX27:BL-Q50,experiments/S004/20260913_S004_EX27/artifacts/trades.csv.gz,266
EX31:AB-Q75,experiments/S004/20260913_S004_EX31/artifacts/trades.csv.gz,346
EX35:NEG_Q70,experiments/S004/20260913_S004_EX35/artifacts/trades.csv.gz,365
EX35:POS_Q70,experiments/S004/20260913_S004_EX35/artifacts/trades.csv.gz,381
EX38:ACCUM_Q60,experiments/S004/20260913_S004_EX38/artifacts/trades.csv.gz,335
EX39:ACCUM_Q60_510500,experiments/S004/20260913_S004_EX39/artifacts/replication_trades.csv.gz,275
EX40:S004-C002,experiments/S004/20260913_S004_EX40/artifacts/overlay_episodes.csv.gz,160
