event_id,window,year,signal_date,start_date,end_date,interval_days,path_mechanisms,alternative_log_value,event_type,action_family,regime,block_label,ex04_margin,margin_band,model_eligible
2022H2:early_ex04_exit:20221121,2022H2,2022,2022-11-21,2022-11-22,2022-11-22,1,early_exit,-0.0118281486913133,early_ex04_exit,continue_hold,downtrend,independent_double_block,-0.04923973245256,far,True
2022H2:missed_baseline_entry:20221125,2022H2,2022,2022-11-25,2022-11-28,2022-11-30,3,fully_missed_entry,0.0053652444107470994,missed_baseline_entry,enter_now,sideways,independent_double_block,-0.0327229842895582,far,True
2023H1:early_ex04_exit:20230208,2023H1,2023,2023-02-08,2023-02-09,2023-02-09,1,interrupted_holding,0.0300965573421222,early_ex04_exit,continue_hold,sideways,joint_margin_block,-0.0016635186917023,near,True
2023H1:missed_baseline_entry:20230223,2023H1,2023,2023-02-23,2023-02-24,2023-03-01,4,late_entry,-0.0004998750416511,missed_baseline_entry,enter_now,sideways,threshold_block,-0.0080316262648669,near,True
2023H1:missed_baseline_entry:20230509,2023H1,2023,2023-05-09,2023-05-10,2023-05-15,4,late_entry,-0.0080972525155915,missed_baseline_entry,enter_now,sideways,independent_double_block,-0.0327229842895582,far,True
2023H1:missed_baseline_entry:20230524,2023H1,2023,2023-05-24,2023-05-25,2023-05-25,1,late_entry,0.0081581877014636,missed_baseline_entry,enter_now,sideways,independent_double_block,-0.056511091169987,far,True
2023H1:early_ex04_exit:20230606,2023H1,2023,2023-06-06,2023-06-07,2023-06-09,3,interrupted_holding,0.004295196010233902,early_ex04_exit,continue_hold,sideways,independent_double_block,-0.04923973245256,far,True
2023H1:early_ex04_exit:20230626,2023H1,2023,2023-06-26,2023-06-27,2023-06-30,4,early_exit,-0.004342499434105701,early_ex04_exit,continue_hold,sideways,joint_margin_block,-0.0016635186917023,near,True
2023H2:early_ex04_exit:20230706,2023H2,2023,2023-07-06,2023-07-07,2023-07-07,1,early_exit,-0.0063592845092109,early_ex04_exit,continue_hold,downtrend,independent_double_block,-0.04923973245256,far,True
2023H2:early_ex04_exit:20230808,2023H2,2023,2023-08-08,2023-08-09,2023-08-14,4,early_exit,-0.0345189012578987,early_ex04_exit,continue_hold,sideways,independent_double_block,-0.04923973245256,far,True
2023H2:missed_baseline_entry:20230829,2023H2,2023,2023-08-29,2023-08-30,2023-08-30,1,late_entry,0.0162544435703964,missed_baseline_entry,enter_now,downtrend,threshold_block,-0.0080316262648669,near,True
2023H2:early_ex04_exit:20230907,2023H2,2023,2023-09-07,2023-09-08,2023-09-12,3,early_exit,0.0070218872880697,early_ex04_exit,continue_hold,sideways,independent_double_block,-0.04923973245256,far,True
2023H2:missed_baseline_entry:20231222,2023H2,2023,2023-12-22,2023-12-25,2023-12-27,3,fully_missed_entry,-0.0168553798137318,missed_baseline_entry,enter_now,sideways,threshold_block,-0.0080316262648669,near,True
2024H1:early_ex04_exit:20240103,2024H1,2024,2024-01-03,2024-01-04,2024-01-04,1,early_exit,-0.0054065666737078,early_ex04_exit,continue_hold,sideways,joint_margin_block,-0.0016635186917023,near,True
2024H1:missed_baseline_entry:20240125,2024H1,2024,2024-01-25,2024-01-26,2024-01-30,3,fully_missed_entry,-0.09147165324737769,missed_baseline_entry,enter_now,downtrend,threshold_block,-0.0080316262648669,near,True
2024H1:missed_baseline_entry:20240206,2024H1,2024,2024-02-06,2024-02-07,2024-02-07,1,late_entry,0.0274832966218194,missed_baseline_entry,enter_now,downtrend,threshold_block,-0.0080316262648669,near,True
2024H1:missed_baseline_entry:20240328,2024H1,2024,2024-03-28,2024-03-29,2024-04-03,4,fully_missed_entry,-0.005647891559052201,missed_baseline_entry,enter_now,downtrend,independent_double_block,-0.0327229842895582,far,True
2024H1:missed_baseline_entry:20240531,2024H1,2024,2024-05-31,2024-06-03,2024-06-03,1,late_entry,0.0086565002443353,missed_baseline_entry,enter_now,sideways,threshold_block,-0.0080316262648669,near,True
2024H2:missed_baseline_entry:20240710,2024H2,2024,2024-07-10,2024-07-11,2024-07-11,1,late_entry,-0.0045676772609766,missed_baseline_entry,enter_now,sideways,threshold_block,-0.0080316262648669,near,True
2024H2:early_ex04_exit:20240724,2024H2,2024,2024-07-24,2024-07-25,2024-07-29,3,early_exit,-0.0036349601061203985,early_ex04_exit,continue_hold,sideways,independent_double_block,-0.04923973245256,far,True
2024H2:missed_baseline_entry:20240830,2024H2,2024,2024-08-30,2024-09-02,2024-09-04,3,fully_missed_entry,-0.0276638039824736,missed_baseline_entry,enter_now,sideways,threshold_block,-0.0080316262648669,near,True
2024H2:early_ex04_exit:20241030,2024H2,2024,2024-10-30,2024-10-31,2024-11-01,2,early_exit,-0.0169810399131353,early_ex04_exit,continue_hold,uptrend,independent_double_block,-0.04923973245256,far,True
2024H2:missed_baseline_entry:20241129,2024H2,2024,2024-11-29,2024-12-02,2024-12-02,1,late_entry,0.0081832475318098,missed_baseline_entry,enter_now,uptrend,independent_double_block,-0.0318197331452957,far,True
2025H1:early_ex04_exit:20250311,2025H1,2025,2025-03-11,2025-03-12,2025-03-13,2,early_exit,-0.0336144937357228,early_ex04_exit,continue_hold,uptrend,independent_double_block,-0.04923973245256,far,True
2025H1:early_ex04_exit:20250418,2025H1,2025,2025-04-18,2025-04-21,2025-04-21,1,interrupted_holding,0.0082072922866199,early_ex04_exit,continue_hold,sideways,joint_margin_block,-0.0016635186917024,near,True
2025H1:early_ex04_exit:20250613,2025H1,2025,2025-06-13,2025-06-16,2025-06-24,7,interrupted_holding,0.008508175845024698,early_ex04_exit,continue_hold,sideways,joint_margin_block,-0.0016635186917023,near,True
2025H2:early_ex04_exit:20251014,2025H2,2025,2025-10-14,2025-10-15,2025-10-16,2,early_exit,0.0094749868023809,early_ex04_exit,continue_hold,uptrend,joint_margin_block,-0.0138567819137722,far,True
2025H2:missed_baseline_entry:20251021,2025H2,2025,2025-10-21,2025-10-22,2025-10-24,3,late_entry,0.0484247971648393,missed_baseline_entry,enter_now,uptrend,threshold_block,-0.0080316262648669,near,True
2025H2:missed_baseline_entry:20251201,2025H2,2025,2025-12-01,2025-12-02,2025-12-04,3,fully_missed_entry,-0.004937752147696197,missed_baseline_entry,enter_now,sideways,threshold_block,-0.0080316262648669,near,True
