mechanism,signal_date,event_date,signal_clock,execution_clock,announcement_date,premium_rate,prior_60_premium_q20
ETF_DISCOUNT_REVERSAL,2022-03-08,2022-03-10,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2022-03-09,-0.0035134312667718,-0.0012672427613989001
ETF_DISCOUNT_REVERSAL,2022-03-10,2022-03-14,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2022-03-11,-0.0023720020529608,-0.00129843044824438
ETF_DISCOUNT_REVERSAL,2022-03-15,2022-03-17,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2022-03-16,-0.0029386756567268,-0.00129843044824438
ETF_DISCOUNT_REVERSAL,2022-03-18,2022-03-21,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2022-03-19,-0.00164425144399,-0.00133887650114548
ETF_DISCOUNT_REVERSAL,2022-03-21,2022-03-23,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2022-03-22,-0.0016659900040599,-0.00136507355673834
ETF_DISCOUNT_REVERSAL,2022-03-22,2022-03-24,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2022-03-23,-0.0014279314592899,-0.00137489813301758
ETF_DISCOUNT_REVERSAL,2022-04-07,2022-04-11,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2022-04-08,-0.0018442007748502,-0.00137489813301758
ETF_DISCOUNT_REVERSAL,2022-04-22,2022-04-25,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2022-04-23,-0.0015953409847745,-0.00136507355673834
ETF_DISCOUNT_REVERSAL,2022-04-25,2022-04-27,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2022-04-26,-0.0024504122653066,-0.00137489813301758
ETF_DISCOUNT_REVERSAL,2022-05-06,2022-05-09,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2022-05-07,-0.0017255703968811,-0.00139458132988254
ETF_DISCOUNT_REVERSAL,2022-05-11,2022-05-13,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2022-05-12,-0.001377517064186,-0.00137489813301758
