signal_date,regime,score,target_position
2023-01-05,trend,0.5140806425190987,1.0
2023-01-06,range,0.5725061767490567,1.0
2023-01-09,range,0.47081310882238253,1.0
2023-01-10,range,0.36912004089570827,1.0
2023-01-11,range,0.1393452987376628,1.0
2023-01-12,range,0.19031894903590824,1.0
2023-01-13,range,-0.013067186817440221,0.0
2023-01-16,range,0.1354818062883606,0.0
2023-01-17,range,0.1354818062883606,0.0
2023-01-18,range,0.33886794214170907,1.0
2023-01-19,range,0.33886794214170907,1.0
2023-01-20,range,0.33886794214170907,1.0
2023-01-30,range,0.33886794214170907,1.0
2023-01-31,range,0.47081310882238253,1.0
2023-02-01,range,0.521786759120628,1.0
2023-02-02,range,0.36912004089570827,1.0
2023-02-03,range,0.31840062326727947,1.0
2023-02-06,range,0.24103836666433703,1.0
2023-02-07,range,0.19031894903590824,1.0
2023-02-08,range,0.05799084439632346,1.0
2023-02-09,range,0.33873923685261437,1.0
2023-02-10,range,0.36924715723061663,1.0
2023-02-13,range,0.36924715723061663,1.0
2023-02-14,range,0.03777934714589695,1.0
2023-02-15,range,0.03777934714589695,1.0
2023-02-16,range,-0.06404083711568559,0.0
2023-02-17,range,0.037652230810988674,0.0
2023-02-20,range,-0.1657339050423598,0.0
2023-02-21,range,-0.023363609945015906,0.0
2023-02-22,range,-0.12505667787169011,0.0
2023-02-23,range,0.1555645982496925,0.0
2023-02-24,range,-0.023363609945015906,0.0
2023-02-27,range,-0.12505667787169011,0.0
2023-02-28,range,0.09454875749368796,0.0
2023-03-01,range,0.3487814273103735,1.0
2023-03-02,range,0.017313617225653777,1.0
2023-03-03,range,0.24708835938369927,1.0
2023-03-06,range,0.5013210292003848,1.0
2023-03-07,range,-0.1354818062883606,0.0
2023-03-08,range,-0.1354818062883606,0.0
2023-03-09,range,0.2976790717230334,1.0
2023-03-10,range,-0.21683626062969996,1.0
2023-03-13,range,0.216324617381694,1.0
2023-03-14,range,0.41971075323504237,1.0
2023-03-15,range,0.4911517224077174,1.0
2023-03-16,range,-0.09454875749368785,0.0
2023-03-17,range,0.4911517224077174,1.0
2023-03-20,range,0.2877655865543689,1.0
2023-03-21,range,0.2877655865543689,1.0
2023-03-22,trend,0.25524854007454045,1.0
2023-03-23,trend,0.25524854007454045,1.0
2023-03-24,trend,0.38466459129681957,1.0
2023-03-27,trend,0.2228945272689707,1.0
2023-03-28,trend,0.1168226071895119,1.0
2023-03-29,trend,0.44937261690795904,1.0
2023-03-30,trend,0.3686897974740695,1.0
2023-03-31,trend,0.5951678871130579,1.0
2023-04-03,trend,0.5951678871130579,1.0
2023-04-04,trend,0.5140806425190987,1.0
2023-04-06,trend,0.3523105784912498,1.0
2023-04-07,trend,0.3523105784912498,1.0
2023-04-10,trend,0.3433006968285003,1.0
2023-04-11,trend,0.2626178773946106,1.0
2023-04-12,trend,0.3433006968285003,1.0
2023-04-13,trend,0.035937575175587474,1.0
2023-04-14,trend,0.3523105784912498,1.0
2023-04-17,trend,0.33654052490578495,1.0
2023-04-18,trend,0.029177403252872103,1.0
2023-04-19,trend,0.19094746728072098,1.0
2023-04-20,trend,0.33654052490578495,1.0
2023-04-21,trend,-0.2871956000627902,0.0
2023-04-24,trend,-0.38466459129681957,0.0
2023-04-25,range,-0.1657339050423598,0.0
2023-04-26,range,0.037652230810988674,0.0
2023-04-27,range,0.037652230810988674,0.0
2023-04-28,range,0.25725766617636675,1.0
2023-05-04,range,0.07832945798165836,1.0
2023-05-05,range,-0.1657339050423598,1.0
2023-05-08,range,-0.1657339050423598,0.0
2023-05-09,range,0.13934529873766288,0.0
2023-05-10,range,0.037652230810988674,0.0
2023-05-11,range,0.13934529873766288,0.0
2023-05-12,range,0.037652230810988674,0.0
2023-05-15,range,0.21658043900569707,1.0
2023-05-16,range,0.3182735069323713,1.0
2023-05-17,range,0.1148873710790228,1.0
2023-05-18,range,0.26742697296903417,1.0
2023-05-19,range,0.26742697296903417,1.0
2023-05-22,range,0.24708835938369927,1.0
2023-05-23,range,-0.08437945070102043,0.0
2023-05-24,range,0.11900668515232804,0.0
2023-05-25,range,0.22069975307900225,1.0
2023-05-26,range,0.6236085323363969,1.0
2023-05-29,range,0.6744550662997341,1.0
2023-05-30,range,0.5219154644097226,1.0
2023-05-31,range,0.5728891147079681,1.0
2023-06-01,range,0.6236085323363969,1.0
2023-06-02,range,0.49153466036662874,1.0
2023-06-05,range,0.5422540779950575,1.0
2023-06-06,range,-0.013194303152348485,0.0
2023-06-07,range,0.19019183270099999,1.0
2023-06-08,range,0.037652230810988674,1.0
2023-06-09,range,0.2778521013857046,1.0
2023-06-12,range,0.2778521013857046,1.0
2023-06-13,range,0.5829313051657272,1.0
2023-06-14,range,0.5829313051657272,1.0
2023-06-15,range,0.48123823723905296,1.0
2023-06-16,range,0.48123823723905296,1.0
2023-06-19,range,0.5829313051657272,1.0
2023-06-20,range,0.5725061767490567,1.0
2023-06-21,range,0.19019183270099999,1.0
2023-06-26,range,0.037652230810988674,1.0
2023-06-27,range,0.13934529873766288,1.0
2023-06-28,range,0.037652230810988674,1.0
2023-06-29,range,0.13934529873766288,1.0
2023-06-30,range,0.13934529873766288,1.0
2023-07-03,range,0.2775962797617016,1.0
2023-07-04,range,0.2775962797617016,1.0
2023-07-05,trend,-0.19054051446340092,0.0
2023-07-06,trend,-0.19054051446340092,0.0
2023-07-07,trend,-0.2552485400745405,0.0
2023-07-10,trend,-0.22289452726897072,0.0
2023-07-11,trend,0.012593444032767187,0.0
2023-07-12,trend,-0.5140806425190987,0.0
